,id,class,title,seatNumber,area
0,seat_2472,[free],座位空闲,001,一楼3C创客空间
1,seat_2504,[free],座位空闲,002,一楼3C创客空间
2,seat_2473,[free],座位空闲,003,一楼3C创客空间
3,seat_2505,[free],座位空闲,004,一楼3C创客空间
4,seat_2475,[free],座位空闲,005,一楼3C创客空间
5,seat_2507,[free],座位空闲,006,一楼3C创客空间
6,seat_2476,[free],座位空闲,007,一楼3C创客空间
7,seat_2508,[free],座位空闲,008,一楼3C创客空间
8,seat_2478,[free],座位空闲,009,一楼3C创客空间
9,seat_2510,[free],座位空闲,010,一楼3C创客空间
10,seat_2479,[free],座位空闲,011,一楼3C创客空间
11,seat_2511,[free],座位空闲,012,一楼3C创客空间
12,seat_2575,[free],座位空闲,013,一楼3C创客空间
13,seat_2574,[free],座位空闲,014,一楼3C创客空间
14,seat_2572,[free],座位空闲,015,一楼3C创客空间
15,seat_2571,[free],座位空闲,016,一楼3C创客空间
16,seat_2569,[free],座位空闲,017,一楼3C创客空间
17,seat_3089,[free],座位空闲,018,一楼3C创客空间
18,seat_2633,[free],座位空闲,019,一楼3C创客空间
19,seat_2665,[free],座位空闲,020,一楼3C创客空间
20,seat_2634,[free],座位空闲,021,一楼3C创客空间
21,seat_2666,[free],座位空闲,022,一楼3C创客空间
22,seat_2637,[free],座位空闲,023,一楼3C创客空间
23,seat_2669,[free],座位空闲,024,一楼3C创客空间
24,seat_2638,[free],座位空闲,025,一楼3C创客空间
25,seat_2670,[free],座位空闲,026,一楼3C创客空间
26,seat_2691,[free],座位空闲,027,一楼3C创客空间
27,seat_2659,[free],座位空闲,028,一楼3C创客空间
28,seat_2628,[free],座位空闲,029,一楼3C创客空间
29,seat_2661,[free],座位空闲,030,一楼3C创客空间
30,seat_2693,[free],座位空闲,031,一楼3C创客空间
31,seat_2724,[free],座位空闲,032,一楼3C创客空间
32,seat_2687,[free],座位空闲,033,一楼3C创客空间
33,seat_2655,[free],座位空闲,034,一楼3C创客空间
34,seat_2624,[free],座位空闲,035,一楼3C创客空间
35,seat_2657,[free],座位空闲,036,一楼3C创客空间
36,seat_2689,[free],座位空闲,037,一楼3C创客空间
37,seat_2720,[free],座位空闲,038,一楼3C创客空间
38,seat_2683,[free],座位空闲,039,一楼3C创客空间
39,seat_2651,[free],座位空闲,040,一楼3C创客空间
40,seat_2620,[free],座位空闲,041,一楼3C创客空间
41,seat_2653,[free],座位空闲,042,一楼3C创客空间
42,seat_2685,[free],座位空闲,043,一楼3C创客空间
43,seat_2716,[free],座位空闲,044,一楼3C创客空间
44,seat_2679,[free],座位空闲,045,一楼3C创客空间
45,seat_2647,[free],座位空闲,046,一楼3C创客空间
46,seat_2616,[free],座位空闲,047,一楼3C创客空间
47,seat_2649,[free],座位空闲,048,一楼3C创客空间
48,seat_2681,[free],座位空闲,049,一楼3C创客空间
49,seat_2712,[free],座位空闲,050,一楼3C创客空间
50,seat_2675,[free],座位空闲,051,一楼3C创客空间
51,seat_2643,[free],座位空闲,052,一楼3C创客空间
52,seat_2612,[free],座位空闲,053,一楼3C创客空间
53,seat_2645,[free],座位空闲,054,一楼3C创客空间
54,seat_2677,[free],座位空闲,055,一楼3C创客空间
55,seat_2708,[free],座位空闲,056,一楼3C创客空间
56,seat_2833,[free],座位空闲,057,一楼3C创客空间
57,seat_2801,[free],座位空闲,058,一楼3C创客空间
58,seat_2770,[free],座位空闲,059,一楼3C创客空间
59,seat_2803,[free],座位空闲,060,一楼3C创客空间
60,seat_2835,[free],座位空闲,061,一楼3C创客空间
61,seat_2866,[free],座位空闲,062,一楼3C创客空间
62,seat_2837,[free],座位空闲,063,一楼3C创客空间
63,seat_2805,[free],座位空闲,064,一楼3C创客空间
64,seat_3088,[free],座位空闲,065,一楼3C创客空间
65,seat_2807,[free],座位空闲,066,一楼3C创客空间
66,seat_2839,[free],座位空闲,067,一楼3C创客空间
67,seat_2870,[free],座位空闲,068,一楼3C创客空间
68,seat_2841,[free],座位空闲,069,一楼3C创客空间
69,seat_2809,[free],座位空闲,070,一楼3C创客空间
70,seat_2778,[free],座位空闲,071,一楼3C创客空间
71,seat_2811,[free],座位空闲,072,一楼3C创客空间
72,seat_2843,[free],座位空闲,073,一楼3C创客空间
73,seat_2874,[free],座位空闲,074,一楼3C创客空间
74,seat_2845,[free],座位空闲,075,一楼3C创客空间
75,seat_2813,[free],座位空闲,076,一楼3C创客空间
76,seat_2782,[free],座位空闲,077,一楼3C创客空间
77,seat_2815,[free],座位空闲,078,一楼3C创客空间
78,seat_2847,[free],座位空闲,079,一楼3C创客空间
79,seat_2878,[free],座位空闲,080,一楼3C创客空间
80,seat_2849,[free],座位空闲,081,一楼3C创客空间
81,seat_2817,[free],座位空闲,082,一楼3C创客空间
82,seat_2786,[free],座位空闲,083,一楼3C创客空间
83,seat_2819,[free],座位空闲,084,一楼3C创客空间
84,seat_2851,[free],座位空闲,085,一楼3C创客空间
85,seat_2882,[free],座位空闲,086,一楼3C创客空间
86,seat_2853,[free],座位空闲,087,一楼3C创客空间
87,seat_2821,[free],座位空闲,088,一楼3C创客空间
88,seat_2790,[free],座位空闲,089,一楼3C创客空间
89,seat_2823,[free],座位空闲,090,一楼3C创客空间
90,seat_2855,[free],座位空闲,091,一楼3C创客空间
91,seat_2886,[free],座位空闲,092,一楼3C创客空间
92,seat_2993,[free],座位空闲,093,一楼3C创客空间
93,seat_2961,[free],座位空闲,094,一楼3C创客空间
94,seat_2930,[free],座位空闲,095,一楼3C创客空间
95,seat_2963,[free],座位空闲,096,一楼3C创客空间
96,seat_2995,[free],座位空闲,097,一楼3C创客空间
97,seat_3026,[free],座位空闲,098,一楼3C创客空间
98,seat_3091,[free],座位空闲,099,一楼3C创客空间
99,seat_3092,[free],座位空闲,100,一楼3C创客空间
100,seat_3093,[free],座位空闲,101,一楼3C创客空间
101,seat_3094,[free],座位空闲,102,一楼3C创客空间
102,seat_3096,[free],座位空闲,103,一楼3C创客空间
103,seat_3097,[free],座位空闲,104,一楼3C创客空间
104,seat_3098,[free],座位空闲,105,一楼3C创客空间
105,seat_3099,[free],座位空闲,106,一楼3C创客空间
106,seat_3100,[free],座位空闲,107,一楼3C创客空间
107,seat_3101,[free],座位空闲,108,一楼3C创客空间
108,seat_3709,[free],座位空闲,001,一楼创新学习讨论区
109,seat_3740,[free],座位空闲,002,一楼创新学习讨论区
110,seat_3710,[free],座位空闲,003,一楼创新学习讨论区
111,seat_3741,[free],座位空闲,004,一楼创新学习讨论区
112,seat_3803,[free],座位空闲,005,一楼创新学习讨论区
113,seat_3834,[free],座位空闲,006,一楼创新学习讨论区
114,seat_3802,[free],座位空闲,007,一楼创新学习讨论区
115,seat_4210,[free],座位空闲,008,一楼创新学习讨论区
116,seat_3800,[free],座位空闲,009,一楼创新学习讨论区
117,seat_3831,[free],座位空闲,010,一楼创新学习讨论区
118,seat_3799,[free],座位空闲,011,一楼创新学习讨论区
119,seat_3830,[free],座位空闲,012,一楼创新学习讨论区
120,seat_3895,[free],座位空闲,013,一楼创新学习讨论区
121,seat_4208,[free],座位空闲,014,一楼创新学习讨论区
122,seat_3896,[free],座位空闲,015,一楼创新学习讨论区
123,seat_4209,[free],座位空闲,016,一楼创新学习讨论区
124,seat_3956,[free],座位空闲,017,一楼创新学习讨论区
125,seat_3987,[free],座位空闲,018,一楼创新学习讨论区
126,seat_4049,[free],座位空闲,019,一楼创新学习讨论区
127,seat_4080,[free],座位空闲,020,一楼创新学习讨论区
128,seat_4142,[free],座位空闲,021,一楼创新学习讨论区
129,seat_9131,[free],座位空闲,022,一楼创新学习讨论区
130,seat_4195,[free],座位空闲,023,一楼创新学习讨论区
131,seat_4194,[free],座位空闲,024,一楼创新学习讨论区
132,seat_4193,[free],座位空闲,025,一楼创新学习讨论区
133,seat_4192,[free],座位空闲,026,一楼创新学习讨论区
134,seat_4191,[free],座位空闲,027,一楼创新学习讨论区
135,seat_4190,[free],座位空闲,028,一楼创新学习讨论区
136,seat_4189,[free],座位空闲,029,一楼创新学习讨论区
137,seat_4188,[free],座位空闲,030,一楼创新学习讨论区
138,seat_4186,[free],座位空闲,031,一楼创新学习讨论区
139,seat_4185,[free],座位空闲,032,一楼创新学习讨论区
140,seat_4184,[free],座位空闲,033,一楼创新学习讨论区
141,seat_4183,[free],座位空闲,034,一楼创新学习讨论区
142,seat_3105,[free],座位空闲,109,一楼3C创客空间
143,seat_3106,[free],座位空闲,110,一楼3C创客空间
144,seat_3680,[free],座位空闲,001,二楼自然科学图书借阅
145,seat_3679,[free],座位空闲,002,二楼自然科学图书借阅
146,seat_3164,[free],座位空闲,003,二楼自然科学图书借阅
147,seat_3190,[free],座位空闲,004,二楼自然科学图书借阅
148,seat_3113,[free],座位空闲,005,二楼自然科学图书借阅
149,seat_3139,[free],座位空闲,006,二楼自然科学图书借阅
150,seat_4180,[free],座位空闲,035,一楼创新学习讨论区
151,seat_4179,[free],座位空闲,036,一楼创新学习讨论区
152,seat_9139,[free],座位空闲,037,一楼创新学习讨论区
153,seat_4203,[free],座位空闲,038,一楼创新学习讨论区
154,seat_9138,[free],座位空闲,039,一楼创新学习讨论区
155,seat_4201,[free],座位空闲,040,一楼创新学习讨论区
