代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
v0	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11
sid	date	d	d	d	d	d	c	d	d	d	d
600490.SS	20040106	涉嫌违反证券法律法规	上海中科合臣股份有限公司	公司本身	立案调查	中国证券监督管理委员会宁波特派办			否	制造业	铜
600139.SS	20040106	未及时披露公司重大事项			公开谴责	上海证券交易所	0	《上海证券交易所股票上市规则》,《董事(监事)声明与承诺》	是	采矿业	铜
000880.SZ	20040113	涉嫌违反证券法律法规	潍柴重机股份有限公司	公司本身	立案调查	中国证监会济南稽查局			否	制造业	内燃机
600137.SS	20040121	未及时披露公司重大事项	刘祥兵	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	服装
600137.SS	20040121	未及时披露公司重大事项	张辛	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	服装
600137.SS	20040121	未及时披露公司重大事项	陈瑜	公司高管	公开处罚	中国证券监督管理委员会	10	《中华人民共和国证券法》	否	制造业	服装
600137.SS	20040121	未及时披露公司重大事项	冉小龙	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	服装
600137.SS	20040121	未及时披露公司重大事项	强巴	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	服装
600137.SS	20040121	未及时披露公司重大事项	张国志	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	服装
600137.SS	20040121	未及时披露公司重大事项	汤建海	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	服装
600137.SS	20040121	未及时披露公司重大事项	周兵	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	服装
600137.SS	20040121	未及时披露公司重大事项	张学锋	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	服装
600137.SS	20040121	未及时披露公司重大事项	邓宪	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	服装
600137.SS	20040121	未及时披露公司重大事项	杨天敏	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	否	制造业	服装
600137.SS	20040121	未及时披露公司重大事项	严波	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	否	制造业	服装
600137.SS	20040121	未及时披露公司重大事项	范池木	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	服装
600137.SS	20040121	未及时披露公司重大事项	刘邦文	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	否	制造业	服装
000880.SZ	20040130	未及时披露公司重大事项,信息披露虚假或严重误导性陈述			公开谴责	深圳证券交易所	0	《深圳证券交易所股票上市规则》,《董事(监事)声明与承诺》	否	制造业	内燃机
