代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
sid	date	d	d	d	d	d	c	d	d	d	d
600687.SH	2004-12-31	未依法履行其他职责	桑俊杰	公司高管	公开处罚	中国证券监督管理委员会	0	《股票发行与交易管理暂行条例》	是	制造业	黄金
000672.SZ	2004-12-25	涉嫌违反证券法律法规	白银铜城商厦(集团)股份有限公司	公司本身	立案调查	中国证券监督管理委员会甘肃监管局			否	制造业	水泥
600887.SH	2004-12-22	涉嫌违反证券法律法规	内蒙古伊利实业集团股份有限公司	公司本身	立案调查	内蒙古自治区检察院			否	制造业	乳制品
000713.SZ	2004-12-21	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	程刚	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	农、林、牧、渔业	种子
000713.SZ	2004-12-21	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	徐继萍	公司高管	公开处罚	中国证券监督管理委员会	15	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	农、林、牧、渔业	种子
000713.SZ	2004-12-21	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	郑文俊	公司高管	公开处罚	中国证券监督管理委员会	15	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	农、林、牧、渔业	种子
000713.SZ	2004-12-21	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	王光亚	公司高管	公开处罚	中国证券监督管理委员会	30	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	农、林、牧、渔业	种子
000713.SZ	2004-12-21	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	吴大香	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	农、林、牧、渔业	种子
000713.SZ	2004-12-21	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	王春生	公司高管	公开处罚	中国证券监督管理委员会	15	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	农、林、牧、渔业	种子
000713.SZ	2004-12-21	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	王金生	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	农、林、牧、渔业	种子
000713.SZ	2004-12-21	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	卓文燕	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	农、林、牧、渔业	种子
000713.SZ	2004-12-21	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	陈小剑	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	农、林、牧、渔业	种子
000713.SZ	2004-12-21	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	庞莉萍	公司高管	公开处罚	中国证券监督管理委员会	25	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	农、林、牧、渔业	种子
000713.SZ	2004-12-21	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	张国良	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	农、林、牧、渔业	种子
000713.SZ	2004-12-21	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	钱克明	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	农、林、牧、渔业	种子
