代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
000517.SZ	2005-12-30	未按时披露定期报告			公开谴责	深圳证券交易所	0	《深圳证券交易所股票上市规则》	是	房地产业	房地产
000736.SZ	2005-12-30	信息披露虚假或严重误导性陈述,未及时披露公司重大事项			公开处罚	中国证券监督管理委员会	50	《中华人民共和国证券法》	是	房地产业	房地产
600608.SH	2005-12-15	涉嫌违反证券法律法规	上海宽频科技股份有限公司	公司本身	立案调查	中国证券监督管理委员会上海稽查局			否	制造业	综合
000736.SZ	2005-12-07	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	吕俊	公司高管	公开处罚	中国证券监督管理委员会	10	《中华人民共和国证券法》	是	房地产业	房地产
000736.SZ	2005-12-07	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	富庶	公司高管	公开处罚	中国证券监督管理委员会	20	《中华人民共和国证券法》	是	房地产业	房地产
000736.SZ	2005-12-07	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	孟凡萍	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	是	房地产业	房地产
000736.SZ	2005-12-07	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	周新长	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	是	房地产业	房地产
000736.SZ	2005-12-07	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	王东	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	是	房地产业	房地产
000736.SZ	2005-12-07	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	虞留海	公司高管	公开处罚	中国证券监督管理委员会	10	《中华人民共和国证券法》	是	房地产业	房地产
000736.SZ	2005-12-07	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	徐明华	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	是	房地产业	房地产
000736.SZ	2005-12-07	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	何霖	公司高管	公开处罚	中国证券监督管理委员会	10	《中华人民共和国证券法》	是	房地产业	房地产
000736.SZ	2005-12-07	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	郭维平	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	是	房地产业	房地产
000736.SZ	2005-12-07	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	罗敏	公司高管	公开处罚	中国证券监督管理委员会	25	《中华人民共和国证券法》	是	房地产业	房地产
000736.SZ	2005-12-07	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	盛学军	公司高管	公开处罚	中国证券监督管理委员会	10	《中华人民共和国证券法》	是	房地产业	房地产
000736.SZ	2005-12-07	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	张鹏	公司高管	公开处罚	中国证券监督管理委员会	10	《中华人民共和国证券法》	是	房地产业	房地产
600986.SH	2005-11-30	涉嫌违反证券法律法规	科达集团股份有限公司	公司本身	立案调查	中国证监会济南稽查局			否	建筑业	基础建设
000688.SZ	2005-11-18	涉嫌违反证券法律法规	朝华科技（集团）股份有限公司	公司本身	立案调查	中国证券监督管理委员会重庆监管局			否	采矿业	铅锌
000688.SZ	2005-11-15	未及时披露公司重大事项			公开谴责	深圳证券交易所	0	《深圳证券交易所股票上市规则》	否	采矿业	铅锌
600608.SH	2005-11-15	未及时披露公司重大事项			公开谴责	上海证券交易所	0	《上海证券交易所股票上市规则》,《董事(监事)声明与承诺》	否	制造业	综合
600198.SH	2005-11-08	涉嫌违反证券法律法规	大唐电信科技股份有限公司	公司本身	立案调查	中国证监会北京证监局			是	制造业	通信传输设备
000691.SZ	2005-10-28	涉嫌违反证券法律法规	海南亚太实业发展股份有限公司	公司本身	立案调查	中国证券监督管理委员会海南监管局			否	房地产业	房地产
000633.SZ	2005-10-25	未及时披露公司重大事项			公开处罚	中国证券监督管理委员会	40	《深圳证券交易所股票上市规则》,《中华人民共和国证券法》	否	制造业	铜
600800.SH	2005-10-20	涉嫌违反证券法律法规	天津环球磁卡股份有限公司	公司本身	立案调查	中国证券监督管理委员会天津稽察局			否	制造业	电子设备制造
