sid	unlock_date	total_equity	ratio_to_total_equity	type	after_ratio_to_total_equity	before_ratio_to_total_equity	after_total_number	before_total_number	cumsum_unlock_times
v0	v1	v2	v3	v4	v5	v6	v7	v8	v9
sid	date	c	c	d	c	c	c	c	d
600456.SS	20070104	40662	0.82	股权分置限售股份	34.28	33.47	13940.7	13608	2
600673.SS	20070104	12673.34	8.81	股权分置限售股份	57.33	48.51	7265.01	6147.9	2
600535.SS	20070104	28500	12.83	股权分置限售股份	46.78	33.95	13332.38	9675	2
600119.SS	20070104	25740	15.1	股权分置限售股份	58.3	43.2	15005.21	11119.68	2
600890.SS	20070105	57919.49	16.29	股权分置对价股份	51.7	35.41	29943.94	20509.55	1
600712.SS	20070105	14467.2	12.24	股权分置对价股份	55.97	43.73	8097.79	6326.4	1
601988.SS	20070105	25383916.2	0.35	首发机构配售股份	2.05	1.71	520779.4	433117.05	3
600644.SS	20070105	32648.01	27.18	股权分置对价股份	66.62	39.44	21749.37	12876.15	1
600067.SS	20070105	37098.52	3.87	股权分置限售股份	75.02	71.15	27830.44	26395.92	2
600663.SS	20070108	186768.4	3.94	股权分置限售股份	15.55	11.6	29034.76	21670.74	2
600667.SS	20070108	36881.74	12.85	股权分置对价股份	64.27	51.42	23705	18964	1
600039.SS	20070108	30400	23.68	股权分置对价股份	63.16	39.47	19200	12000	1
000757.SZ	20070108	30527.77	20.11	股权分置对价股份	48.85	28.74	14911.95	8772.9	1
600425.SS	20070109	18492.75	0.78	股权分置限售股份	44.58	43.8	8244.2	8100	2
600260.SS	20070109	26382	1.91	股权分置限售股份	77.99	76.08	20576.54	20072.16	3
600493.SS	20070109	17000	0.55	股权分置限售股份	44.67	44.12	7593.1	7500	2
000421.SZ	20070109	35168.41	12.53	股权分置对价股份	46.2	33.67	16248.55	11840.69	1
000530.SZ	20070109	35001.5	8.65	股权分置限售股份	45.15	36.5	15802.27	12774.47	2
000931.SZ	20070109	67484.69	8.89	股权分置对价股份	64.43	55.55	43482.25	37484.7	1
000971.SZ	20070109	24310	5.42	股权分置限售股份	64.55	59.14	15693.28	14376.88	2
601628.SS	20070109	2826470.5	2.12	首发一般股份	2.12		60000	0	1
600538.SS	20070110	27921.6	15.4	股权分置限售股份	78.91	63.51	22033.56	17734.15	2
600081.SS	20070110	31356	10	股权分置对价股份	35	25	10974.6	7839	1
000056.SZ	20070110	22090.12	11.3	股权分置限售股份	44.86	33.55	9909.25	7412.24	2
000502.SZ	20070110	18481.96	15.77	股权分置对价股份	46.7	30.93	8630.96	5715.85	1
000933.SZ	20070110	50000	15	股权分置限售股份	62.32	47.32	31160	23660	2
002103.SZ	20070110	18994	20.22	首发一般股份	20.22		3840	0	1
000909.SZ	20070110	19600	5	股权分置限售股份	46.94	41.94	9200	8220	2
002104.SZ	20070110	11520	20	首发一般股份	20		2304	0	1
600452.SS	20070111	16000	5.46	股权分置限售股份	48.36	42.9	7737	6864	2
600618.SS	20070111	115640	14.13	股权分置限售股份	17.57	3.44	20315.24	3980.04	2
600820.SS	20070111	59112.87	4.82	股权分置限售股份	63.42	58.6	37488.73	34641.55	2
000695.SZ	20070111	22214.75	2.81	股权分置限售股份	48.01	45.2	10666.1	10041.82	2
002071.SZ	20070112	12268	8.15	首发机构配售股份	40.76	32.61	5000	4000	2
000006.SZ	20070112	25359.16	11.53	股权分置限售股份	86.2	74.67	21860.29	18935.13	2
002070.SZ	20070112	10800	5	首发机构配售股份	25	20	2700	2160	2
600115.SS	20070112	486695	1.97	股权分置对价股份	8.14	6.16	39600	30000	1
600639.SS	20070112	84438.64	4.21	股权分置限售股份	26.88	22.66	22694.35	19136.46	2
002105.SZ	20070112	26800	20.3	首发一般股份	20.3		5440	0	1
000090.SZ	20070112	23442.47	14.82	股权分置限售股份	63.52	48.7	14891.57	11416.78	2
002106.SZ	20070112	19520	20	首发一般股份	20		3904	0	1
000568.SZ	20070112	87139.97	4.83	股权分置限售股份	43.03	38.21	37500.03	33293.03	2
600582.SS	20070115	22480	3.61	股权分置对价股份	33.68	30.07	7571.2	6760	1
600997.SS	20070115	56120	2.96	股权分置限售股份	43.84	40.88	24603.95	22942.5	2
600807.SS	20070115	16057.56	2	股权分置对价股份	42.08	40.07	6756.75	6435	1
000070.SZ	20070115	25000	10.88	股权分置限售股份	49.5	38.62	12375.56	9655.61	2
600375.SS	20070115	18748.12	19.5	股权分置限售股份	67.39	47.88	12634.22	8977.5	2
600599.SS	20070115	12600	6.29	股权分置对价股份	37.71	31.43	4752	3960	1
600822.SS	20070115	25272.03	15.16	股权分置限售股份	22.01	6.85	5561.93	1730.3	2
000504.SZ	20070115	31157.39	8.35	股权分置对价股份	36.2	27.84	11278.27	8675.59	1
000856.SZ	20070115	22700	22.91	股权分置对价股份	51.54	28.63	11700	6500	1
000158.SZ	20070115	43000	0.56	股权分置限售股份	41.37	40.81	17789.04	17549.81	2
600300.SS	20070116	66000	0.15	股权分置限售股份	39.55	39.39	26100.8	26000	2
