date,autd
2005/9/29,121.44
2005/9/30,121.95
2005/10/10,122.95
2005/10/11,123.1
2005/10/12,123.6
2005/10/13,122.92
2005/10/14,122.45
2005/10/17,122.69
2005/10/18,122.94
2005/10/19,122
2005/10/20,120.98
2005/10/21,120.5
2005/10/24,120.41
2005/10/25,120.95
2005/10/26,122.75
2005/10/27,122.79
2005/10/28,122.75
2005/10/31,122.38
2005/11/1,121.35
2005/11/2,120.59
2005/11/3,120.93
2005/11/4,120.18
2005/11/7,119.4
2005/11/8,119.23
2005/11/9,120.35
2005/11/10,121.02
2005/11/11,120.91
2005/11/14,122
2005/11/15,121.52
2005/11/16,122.14
2005/11/17,123.25
2005/11/18,125.29
2005/11/21,125.8
2005/11/22,126.83
2005/11/23,127
2005/11/24,127.55
2005/11/25,128.08
2005/11/28,128.71
2005/11/29,129.36
2005/11/30,128.29
2005/12/1,128.35
2005/12/2,130.31
2005/12/5,131.1
2005/12/6,131.76
2005/12/7,132.82
2005/12/8,134.41
2005/12/9,135.47
2005/12/12,139.19
2005/12/13,135.6
2005/12/14,133.55
2005/12/15,131.6
2005/12/16,129.1
2005/12/19,131.95
2005/12/20,131.8
2005/12/21,128.5
2005/12/22,128.65
2005/12/23,131
2005/12/26,131.39
2005/12/27,132.16
2005/12/28,132.8
2005/12/29,134
2005/12/30,133.31
2006/1/4,138.24
2006/1/5,137.74
2006/1/6,136.76
2006/1/9,140.46
2006/1/10,140.96
2006/1/11,140.98
2006/1/12,141.26
2006/1/13,141.51
2006/1/16,143.69
2006/1/17,144.29
2006/1/18,141.81
2006/1/19,142.8
2006/1/20,143.8
2006/1/23,143.9
2006/1/24,143.9
2006/1/25,143.9
2006/1/26,144.9
2006/1/27,144.03
2006/2/6,147.71
2006/2/7,147.74
2006/2/8,142.1
2006/2/9,144.21
2006/2/10,144.75
2006/2/13,141.85
2006/2/14,139.36
2006/2/15,141.29
2006/2/16,140.08
2006/2/17,140.97
2006/2/20,143.42
2006/2/21,143.27
2006/2/22,143.48
2006/2/23,142.94
2006/2/24,142.98
2006/2/27,143.55
2006/2/28,143.4
2006/3/1,144.81
2006/3/2,145.51
2006/3/3,146.7
2006/3/6,146.75
2006/3/7,144.24
2006/3/8,143.1
2006/3/9,141.13
2006/3/10,141.42
2006/3/13,141.3
2006/3/14,141.21
2006/3/15,142.46
2006/3/16,142.31
2006/3/17,143.15
2006/3/20,143.59
2006/3/21,142.83
2006/3/22,142.61
2006/3/23,141.97
2006/3/24,141.87
2006/3/27,144.61
2006/3/28,145.54
2006/3/30,144.78
2006/3/31,150.59
2006/4/3,150.39
2006/4/4,151.01
2006/4/5,150.39
2006/4/6,152.4
2006/4/7,153.1
2006/4/10,152.87
2006/4/11,154.85
2006/4/12,153.59
2006/4/13,153.35
2006/4/14,154.23
2006/4/17,156.15
2006/4/18,158.58
2006/4/19,160.57
2006/4/20,165.27
2006/4/21,158.86
2006/4/24,162.55
2006/4/25,161.19
2006/4/26,163
2006/4/27,164.45
2006/4/28,164.22
2006/5/8,175.6
2006/5/9,174.25
2006/5/10,181.14
2006/5/11,183.09
2006/5/12,185.4
2006/5/15,184.2
2006/5/16,175.66
2006/5/17,181.66
2006/5/18,176.71
2006/5/19,177.1
2006/5/22,168.54
2006/5/23,169.67
2006/5/24,171.73
2006/5/25,167.3
2006/5/26,168.15
2006/5/29,167.7
2006/5/30,169
2006/5/31,168.82
2006/6/1,163.6
2006/6/2,161.69
2006/6/5,165.45
2006/6/6,164.08
2006/6/7,161.29
2006/6/8,160.05
2006/6/9,156.8
2006/6/12,155.24
2006/6/13,152.57
2006/6/14,144.66
2006/6/16,149.44
2006/6/19,147.05
2006/6/20,146.8
2006/6/21,148.3
2006/6/22,152.66
2006/6/23,150.08
2006/6/26,150.91
2006/6/27,151.4
2006/6/28,149.8
2006/6/29,154.19
2006/7/3,159.01
2006/7/4,159.63
2006/7/5,160.53
2006/7/6,160.6
2006/7/7,162
2006/7/10,161.34
2006/7/11,160.92
2006/7/12,164.37
2006/7/13,166.79
2006/7/14,169.03
2006/7/17,173.53
2006/7/18,167
2006/7/19,161
2006/7/20,164.5
2006/7/21,160.6
2006/7/24,157.72
2006/7/25,160.07
2006/7/26,159
2006/7/27,161.78
2006/7/28,162.43
2006/7/31,163.1
2006/8/1,162.5
2006/8/2,166.07
2006/8/3,166.42
2006/8/4,165.33
2006/8/7,166.5
2006/8/8,165.75
2006/8/9,164.2
2006/8/10,167
2006/8/11,164.4
2006/8/14,161.77
2006/8/15,160.7
2006/8/16,161.23
2006/8/17,162.08
2006/8/18,157.9
2006/8/21,159.69
2006/8/22,160.69
2006/8/23,160
2006/8/24,159.96
2006/8/25,159.65
2006/8/28,159.7
2006/8/29,158.2
2006/8/30,157.6
2006/8/31,159
2006/9/1,160.37
2006/9/4,160.31
2006/9/5,160.6
2006/9/6,162.4
2006/9/7,162.42
2006/9/8,158.01
2006/9/11,152.36
2006/9/12,152.44
2006/9/13,149.22
2006/9/14,151.21
2006/9/15,147.92
2006/9/18,149.07
2006/9/19,149.92
2006/9/20,147.35
2006/9/21,147.81
2006/9/22,149.68
2006/9/25,150.06
2006/9/26,150.5
2006/9/27,151.25
2006/9/28,152.69
2006/9/29,152.72
2006/10/9,148
2006/10/10,147.49
2006/10/11,145.56
2006/10/12,146.75
2006/10/16,147.34
2006/10/17,151.19
2006/10/18,150.3
2006/10/19,150.03
2006/10/20,152.63
2006/10/23,150.22
2006/10/24,147.65
2006/10/25,148.19
2006/10/26,150.65
2006/10/27,150.5
2006/10/30,152.27
2006/10/31,152.04
2006/11/1,153.5
2006/11/2,155.61
2006/11/3,157.18
2006/11/6,158.48
2006/11/7,158.07
2006/11/8,158.25
2006/11/9,156.47
