,open,high,low,close,volume,amount
2015-01-26,17.83,21.4,17.83,21.4,31471.0,669195.0
2015-01-27,23.54,23.54,23.54,23.54,16300.0,383702.0
2015-01-28,25.89,25.89,25.89,25.89,19100.0,494499.0
2015-01-29,28.48,28.48,28.48,28.48,50800.0,1446784.0
2015-01-30,31.33,31.33,31.33,31.33,102090.0,3198480.0
2015-02-02,34.46,34.46,34.46,34.46,185449.0,6390573.0
2015-02-03,37.91,37.91,37.91,37.91,164460.0,6234679.0
2015-02-04,41.7,41.7,41.7,41.7,158920.0,6626964.0
2015-02-05,45.87,45.87,44.03,45.87,18765638.0,853350400.0
2015-02-06,42.0,43.0,41.28,41.28,4017600.0,168533056.0
2015-02-09,37.15,37.15,37.15,37.15,751700.0,27925656.0
2015-02-10,33.44,35.59,33.44,34.81,14219114.0,485852416.0
2015-02-11,34.2,35.58,34.0,34.97,9530252.0,331555200.0
2015-02-12,34.69,35.92,34.01,34.95,8049044.0,281993088.0
2015-02-13,34.98,36.0,34.81,35.94,7569275.0,269024224.0
2015-02-16,35.8,35.8,34.83,35.24,6759221.0,238623248.0
2015-02-17,35.79,35.98,35.3,35.45,5367922.0,191175440.0
2015-02-25,35.3,35.33,34.2,34.41,4376845.0,151555024.0
2015-02-26,34.2,34.99,34.18,34.92,3221096.0,111688032.0
2015-02-27,35.0,35.86,34.71,35.8,4641562.0,163684928.0
2015-03-02,36.6,39.38,36.6,39.26,12033490.0,459507296.0
2015-03-03,38.28,40.49,37.76,39.12,9728543.0,380646112.0
2015-03-04,38.92,38.92,37.61,38.04,4979668.0,189587376.0
2015-03-05,38.19,40.18,37.75,39.17,6566923.0,258559536.0
2015-03-06,38.5,38.97,37.7,37.91,3085500.0,117409960.0
2015-03-09,37.9,37.9,36.73,37.32,2772558.0,103113584.0
2015-03-10,37.95,39.48,37.78,38.61,3328395.0,128230152.0
2015-03-11,38.49,38.55,37.87,38.3,2119652.0,80883712.0
2015-03-12,38.14,38.53,37.13,37.51,2336746.0,88087248.0
2015-03-13,37.6,38.77,37.2,38.65,2169252.0,82503400.0
2015-03-16,39.09,42.52,39.09,42.52,7195984.0,299476064.0
2015-03-17,42.59,46.6,42.58,45.51,7304102.0,328133472.0
2015-03-18,45.0,46.39,43.96,45.89,3828180.0,173156016.0
2015-03-19,45.18,45.76,44.02,44.71,2732469.0,122289528.0
2015-03-20,44.91,47.98,44.72,46.38,3486713.0,161742608.0
2015-03-23,46.38,46.76,45.52,46.75,2617256.0,120621432.0
2015-03-24,46.5,46.5,43.4,45.22,3435314.0,155497840.0
2015-03-25,45.18,48.38,44.3,47.21,3692127.0,174014720.0
2015-03-26,47.3,47.44,44.57,45.79,2542040.0,116752992.0
2015-03-27,45.02,47.8,44.8,47.63,2269918.0,104146800.0
2015-03-30,47.5,50.44,47.07,48.4,2829331.0,138662496.0
2015-03-31,48.24,49.68,46.99,48.48,2576308.0,124339920.0
2015-04-01,48.99,52.9,48.99,51.87,3174280.0,162159424.0
2015-04-02,51.79,52.89,51.01,52.32,2992984.0,155459040.0
2015-04-03,52.3,55.6,51.61,53.86,2931936.0,157902272.0
2015-04-07,53.85,55.24,52.5,54.44,2561067.0,138256288.0
2015-04-08,50.1,55.39,50.1,55.05,4880733.0,258997760.0
2015-04-09,54.14,60.56,53.01,60.56,4923053.0,277757312.0
2015-04-10,62.3,66.62,62.28,66.62,3169487.0,206671968.0
2015-04-13,68.78,73.28,68.78,73.28,2937101.0,213235264.0
2015-04-14,77.4,78.38,70.18,76.85,4674837.0,346195520.0
2015-04-15,76.8,83.85,71.01,72.61,3484285.0,273986528.0
2015-04-16,66.0,78.0,65.6,73.89,5663028.0,404316064.0
2015-04-17,75.35,75.6,70.51,74.85,3786160.0,276390400.0
2015-04-20,74.0,74.7,70.61,72.2,1823280.0,132778712.0
2015-04-21,71.91,79.42,71.1,79.42,2645600.0,200896400.0
2015-04-22,82.95,87.36,80.01,87.36,2409900.0,203287936.0
2015-04-23,89.98,95.5,86.35,92.84,2777392.0,251376464.0
2015-04-24,89.0,92.56,86.68,89.06,2306157.0,205880368.0
2015-04-27,89.09,94.99,85.8,91.69,2605464.0,236855664.0
2015-04-28,91.58,94.98,89.0,92.08,1367484.0,124872096.0
2015-04-29,90.3,101.29,90.3,101.29,2731039.0,265363936.0
2015-04-30,104.53,105.0,98.0,98.88,1657314.0,167356096.0
2015-05-04,97.0,99.0,90.5,92.19,1946148.0,181766368.0
2015-05-05,92.5,92.5,84.98,86.94,1704970.0,148651920.0
2015-05-06,87.49,92.36,85.23,87.92,1475269.0,130939232.0
2015-05-07,86.95,90.0,83.0,87.78,1226380.0,107037232.0
2015-05-08,87.9,90.5,85.8,89.61,1577918.0,139729808.0
2015-05-11,90.9,95.8,87.8,94.41,2261977.0,205666656.0
2015-05-12,93.7,95.8,91.1,92.64,1784010.0,165510560.0
2015-05-13,92.8,95.0,89.0,89.46,1953951.0,176231760.0
