,open,high,low,close,average,turn,volume,amount,tnum
2009-1-5,10.4693,10.6578,10.4034,10.5636,11.18,0.863,859233.0,9606559.0,644.0
2009-1-6,10.6484,11.1666,10.5447,11.063,11.63,1.374,1367472.0,15906458.0,1075.0
2009-1-7,11.0253,11.308,10.8463,11.1195,11.83,1.529,1522086.0,18013145.0,1096.0
2009-1-8,10.997,11.2609,10.9593,11.1007,11.77,0.982,976999.0,11500951.0,754.0
2009-1-9,11.2232,11.2609,11.0441,11.2138,11.88,0.747,743097.0,8824865.0,547.0
2009-1-12,11.2043,11.619,11.0818,11.5813,12.22,2.253,2242279.0,27400724.0,1394.0
2009-1-13,11.4965,11.6755,11.1195,11.242,12.11,2.03,2019887.0,24451618.0,1433.0
2009-1-14,11.3834,11.4399,11.129,11.4305,12.05,0.91,905850.0,10915882.0,723.0
2009-1-15,11.3928,11.7792,11.3174,11.487,12.26,1.644,1636400.0,20060427.0,1129.0
2009-1-16,11.5813,11.7792,11.4965,11.7226,12.33,1.601,1593260.0,19639849.0,1054.0
2009-1-19,11.7697,11.8734,11.2986,11.3174,12.17,2.097,2087389.0,25394823.0,1137.0
2009-1-20,11.3174,11.3174,11.3174,11.3174,0.0,0.0,0.0,0.0,0.0
2009-1-21,11.2797,11.9111,11.1761,11.7697,12.42,2.859,2845807.0,35340495.0,1419.0
2009-1-22,12.1278,12.665,12.0619,12.1467,13.07,3.037,3022313.0,39502192.0,1823.0
2009-1-23,12.1372,12.6367,11.9676,12.5048,13.23,2.008,1998392.0,26439486.0,1530.0
2009-2-2,12.7498,13.155,12.6178,13.1361,13.73,2.03,2020538.0,27745162.0,1664.0
2009-2-3,13.1267,13.155,12.91,13.0984,13.86,1.118,1112373.0,15412783.0,1167.0
2009-2-4,13.0984,13.1738,12.6744,12.8063,13.72,2.895,2881145.0,39527150.0,2162.0
2009-2-5,12.91,13.7581,12.91,13.4754,14.12,3.212,3196771.0,45149934.0,2650.0
2009-2-6,13.3811,13.645,13.0984,13.4848,14.18,3.236,3220865.0,45679813.0,2609.0
2009-2-9,13.6638,13.6638,13.1267,13.4188,14.17,3.276,3260855.0,46208019.0,2770.0
2009-2-10,13.4188,13.4188,13.4188,13.4188,0.0,0.0,0.0,0.0,0.0
2009-2-11,13.4188,14.2104,13.4094,14.0313,14.84,4.742,4719399.0,70058026.0,3083.0
2009-2-12,13.956,14.0219,12.6273,13.1927,13.89,5.711,5684128.0,78975731.0,3970.0
2009-2-13,13.1927,13.5413,12.8628,13.4471,13.99,3.772,3754409.0,52509831.0,3146.0
2009-2-16,13.4754,14.2481,13.4471,14.0408,14.85,5.084,5060165.0,75151168.0,3177.0
2009-2-17,14.0879,14.6815,13.6638,14.2198,15.22,5.993,5964355.0,90773250.0,3263.0
2009-2-18,14.0313,14.4554,13.8334,13.9465,15.01,3.827,3808540.0,57164215.0,2128.0
2009-2-19,14.135,14.9831,13.9654,14.7852,15.36,4.236,4215697.0,64744435.0,3208.0
2009-2-20,14.8229,15.4071,14.6344,14.9831,15.91,4.976,4951834.0,78762008.0,3056.0
2009-2-23,14.7569,15.6239,14.7569,15.3695,16.16,3.74,3721794.0,60159042.0,2331.0
2009-2-24,15.2658,15.6898,14.3423,14.5214,15.86,3.028,3013261.0,47794535.0,2384.0
2009-2-25,14.7475,14.8323,14.1444,14.5214,15.41,3.023,3008776.0,46362497.0,1660.0
2009-2-26,14.5779,15.1527,13.1079,13.3434,15.07,2.648,2634907.0,39709992.0,2151.0
2009-2-27,13.268,13.3623,12.1561,12.3823,13.46,2.292,2281416.0,30713249.0,1626.0
2009-3-2,12.2503,12.7592,12.1844,12.5896,13.25,1.201,1195716.0,15845957.0,983.0
