,Open,High,low,Close,AvgPrice,Turn,Volume,Amount,Tnum
20090105,5.4652,5.5649,5.3821,5.5649,5.4569,0.997,93604888.0,615404405.27,34584.0
20090106,5.5482,5.7725,5.4901,5.731,5.6977,1.296,121683118.0,835047762.96,46870.0
20090107,5.7559,5.8639,5.6977,5.6977,5.7808,0.889,83482931.0,580781803.5,39364.0
20090108,5.6064,5.814,5.5482,5.731,5.6645,0.892,83766170.0,571374361.27,36524.0
20090109,5.731,5.8223,5.6562,5.7227,5.7393,0.668,62681566.0,432865431.55,31078.0
20090112,5.6645,5.7559,5.5898,5.6562,5.6728,0.825,77418893.0,529016566.39,29629.0
20090113,5.5732,5.5898,5.4569,5.4569,5.5316,0.942,88412103.0,588719745.99,32292.0
20090114,5.4569,5.731,5.4403,5.7227,5.5898,1.054,98944509.0,665967836.54,37712.0
20090115,5.623,5.7725,5.5981,5.6894,5.6728,0.74,69456123.0,474415201.72,33268.0
20090116,5.6894,5.9054,5.6811,5.7476,5.814,1.62,152049781.0,1064036652.01,60129.0
20090119,5.8057,6.0217,5.7476,5.8306,5.9054,1.342,125946742.0,895167371.83,50156.0
20090120,5.814,5.8473,5.6811,5.7476,5.7393,0.664,62349396.0,431038404.22,25511.0
20090121,5.6811,5.9469,5.6479,5.8971,5.8223,1.4,131422876.0,921549098.15,50959.0
20090122,5.9054,5.9884,5.7891,5.922,5.8971,0.957,89801029.0,637207541.89,39422.0
20090123,5.8971,5.9386,5.8057,5.8473,5.8639,0.621,58268918.0,411382126.39,26029.0
20090202,5.8888,5.9054,5.7808,5.8223,5.814,0.758,71188619.0,498150500.0,29045.0
20090203,5.8223,5.8971,5.6064,5.8888,5.731,3.32,311674075.0,2149248421.75,137287.0
20090204,5.8888,6.03,5.814,6.03,5.9386,2.631,247050262.0,1766885959.77,124357.0
20090205,6.03,6.2459,5.9635,6.03,6.113,3.044,285770461.0,2104606998.03,132176.0
20090206,6.0549,6.52,6.0549,6.4951,6.3207,3.97,372720640.0,2836660159.26,158346.0
20090209,6.5699,6.6695,6.3954,6.5615,6.5532,3.22,302288015.0,2385715636.11,141441.0
20090210,6.5615,6.8689,6.412,6.7609,6.6861,3.041,285523244.0,2298856896.87,134822.0
20090211,6.6197,6.8522,6.5532,6.6446,6.6695,2.866,269051786.0,2159901915.4,141058.0
20090212,6.6529,6.7609,6.412,6.7443,6.5948,2.703,253798624.0,2015842966.76,118055.0
20090213,6.7443,7.1429,6.6944,7.1014,6.9353,3.997,375290632.0,3134836438.82,180049.0
20090216,7.1429,7.1845,6.8689,7.0682,7.0267,3.125,293357795.0,2481661482.33,153979.0
20090217,7.0516,7.0516,6.7027,6.711,6.8522,2.669,250592964.0,2066773800.09,137893.0
20090218,6.5615,6.6446,6.2958,6.3041,6.4619,2.746,257758399.0,2004161447.6,131410.0
20090219,6.329,6.4868,6.2293,6.412,6.3539,1.899,178252602.0,1364318354.19,83892.0
20090220,6.3871,6.4785,6.2625,6.4287,6.3539,1.683,157961219.0,1208890587.15,75654.0
20090223,6.52,6.7941,6.52,6.7277,6.6778,2.743,257479689.0,2071274655.01,129524.0
20090224,6.6363,7.0516,6.4785,6.5034,6.7277,2.935,275501974.0,2231257464.91,150114.0
20090225,6.4619,6.4619,6.0466,6.2875,6.2708,2.572,241462418.0,1822908317.73,129367.0
20090226,6.2127,6.3871,5.814,5.9718,6.1629,1.844,173081368.0,1284575740.75,84003.0
20090227,5.9137,6.0134,5.7808,5.9386,5.8971,1.667,156535155.0,1111825982.92,71422.0
20090302,5.9386,6.2791,5.8556,6.1546,6.1296,1.722,161673234.0,1192557460.04,60665.0
20090303,6.0217,6.3705,5.9635,6.1629,6.221,1.351,126813187.0,950296422.94,55420.0
20090304,6.2293,6.6197,6.2293,6.5615,6.4785,2.476,232419292.0,1814008667.4,100539.0
20090305,6.6446,6.8107,6.4785,6.5865,6.6612,1.818,170655406.0,1368102793.55,84619.0
20090306,6.4785,6.8356,6.437,6.711,6.736,2.395,224880876.0,1824312612.32,94326.0
20090309,6.7692,7.035,6.4619,6.5532,6.7692,2.002,187995552.0,1531805592.3,86483.0
20090310,6.4619,6.5366,6.2625,6.4868,6.3871,1.287,120788488.0,929409069.42,55031.0
20090311,6.6529,6.7194,6.3207,6.3954,6.5615,1.396,131087923.0,1035662124.33,53216.0
20090312,6.3954,6.5283,6.1878,6.5034,6.3207,1.443,135447870.0,1030220576.88,64077.0
20090313,6.5034,6.5865,6.3539,6.4037,6.4536,1.238,116240756.0,903313090.27,49769.0
20090316,6.3705,6.5865,6.3207,6.5532,6.4951,1.213,113859099.0,890088712.88,42551.0
20090317,6.5615,7.0184,6.5366,6.9436,6.819,3.192,299657563.0,2459909297.48,140246.0
20090318,6.9768,7.0184,6.8439,6.8689,6.9353,2.592,243334932.0,2032544853.86,105820.0
20090319,6.8606,7.0018,6.7858,6.9021,6.8938,1.936,181724039.0,1507406827.84,75277.0
20090320,6.9602,6.9934,6.6446,6.7526,6.7775,2.401,225408708.0,1839651982.77,104312.0
20090323,6.7692,7.0516,6.7277,6.9768,6.9353,3.39,318295606.0,2657452303.1,123275.0
20090324,7.1346,7.2509,6.8938,6.9685,7.0599,2.921,274212103.0,2329601539.94,103353.0
20090325,6.8855,7.0765,6.8107,6.8107,6.9436,1.906,178930507.0,1495087275.52,84174.0
20090326,6.7609,6.9934,6.6612,6.9768,6.819,1.988,186605630.0,1532377536.98,86740.0
20090327,7.0101,7.0184,6.8772,6.9187,6.9519,1.836,172334345.0,1442151758.15,68694.0
