,Open,High,low,Close,AvgPrice,Turn,Volume,Amount,Tnum
20150901,32.18,32.18,28.76,28.76,29.5504,6.4987,5450801.0,161073432.0,7015.0
20150902,27.0,30.5,25.95,26.13,27.8885,7.4853,6278363.0,175093971.0,8327.0
20150907,26.88,28.3,26.58,27.05,27.3385,5.3898,4520747.0,123590553.0,6348.0
20150908,26.9,29.74,26.76,29.3,28.1773,5.4136,4540664.0,127943793.0,6221.0
20150909,29.55,30.82,29.3,30.17,30.0254,6.6204,5552910.0,166728575.0,7355.0
20150910,29.44,31.47,28.87,30.12,30.0554,6.0463,5071379.0,152422333.0,7516.0
20150911,29.76,30.81,28.26,29.75,29.4878,6.028,5056023.0,149091213.0,7161.0
20150914,29.98,30.15,26.78,26.78,28.0932,4.2963,3603549.0,101235244.0,5692.0
20150915,25.42,25.8,24.1,24.1,24.6854,5.1331,4305380.0,106280076.0,5137.0
20150916,24.1,26.51,23.0,26.5,25.04,6.1754,5179654.0,129698281.0,6175.0
20150917,26.26,27.35,25.03,25.33,26.187,6.5534,5496712.0,143942370.0,7361.0
20150918,25.33,25.89,24.19,25.0,25.1061,3.4701,2910600.0,73073755.0,4388.0
20150921,24.69,26.1,24.19,25.95,25.5715,3.9806,3338716.0,85376063.0,4375.0
20150922,25.9,26.95,25.71,26.09,26.2753,4.0588,3404303.0,89449187.0,4474.0
20150923,25.1,27.77,25.1,26.85,26.2587,5.019,4209712.0,110541375.0,5559.0
20150924,27.3,27.98,26.0,26.5,26.8616,6.4718,5428233.0,145811192.0,5951.0
20150925,26.42,26.66,24.53,25.19,25.5681,4.0428,3390895.0,86698888.0,4652.0
20150928,25.21,26.86,24.6,26.34,25.8514,3.5161,2949160.0,76239862.0,4071.0
20150929,25.6,26.0,25.28,25.48,25.6769,2.6605,2231542.0,57299018.0,2881.0
20150930,25.53,25.8,25.0,25.36,25.3954,2.091,1753800.0,44538432.0,2183.0
20151008,26.63,26.85,25.98,26.31,26.5086,3.8128,3197967.0,84773772.0,4317.0
20151009,26.4,27.75,26.15,27.41,27.0638,5.1288,4301815.0,116423361.0,5711.0
20151012,27.45,29.49,27.15,28.91,28.5196,5.2951,4441278.0,126663654.0,5638.0
20151013,28.8,29.23,27.91,29.11,28.5968,4.9337,4138183.0,118338641.0,5287.0
20151014,28.82,29.0,28.02,28.07,28.4882,3.3725,2828668.0,80583744.0,3673.0
20151015,27.91,29.58,27.91,29.43,29.1454,5.0922,4271140.0,124484101.0,4781.0
20151016,30.01,31.58,30.01,31.13,30.8025,7.4887,6281199.0,193476364.0,6370.0
20151019,30.89,33.32,29.95,33.03,30.9431,9.5198,7984790.0,247073983.0,9211.0
20151020,32.41,34.33,32.21,33.4,33.5437,7.1341,5983785.0,200718583.0,6708.0
20151021,33.9,33.9,30.06,30.06,31.4505,7.485,6278102.0,197449617.0,7338.0
20151022,30.03,31.8,30.03,31.6,30.9711,6.2103,5208908.0,161325740.0,5518.0
20151023,32.13,33.2,31.5,32.59,32.5176,5.4464,4568172.0,148545900.0,4888.0
20151026,32.9,33.19,31.13,32.27,32.1154,4.3875,3680043.0,118186075.0,4686.0
20151027,32.0,32.29,29.88,32.27,31.2833,3.7886,3177740.0,99410157.0,3826.0
20151028,32.05,32.78,31.7,32.1,32.3071,3.9147,3283471.0,106079360.0,3544.0
20151029,33.57,33.57,32.23,32.87,32.8881,3.4476,2891722.0,95103135.0,3796.0
20151030,32.51,33.5,31.73,32.5,32.4555,2.464,2066730.0,67076809.0,3011.0
20151102,31.5,32.52,30.88,31.31,31.7866,2.5307,2122628.0,67471126.0,2557.0
20151103,31.41,32.0,31.0,31.64,31.5225,2.4165,2026890.0,63892581.0,2183.0
20151104,31.51,33.33,31.07,33.16,32.6251,3.8013,3188389.0,104021385.0,3864.0
20151105,33.5,34.19,33.02,33.4,33.6765,4.4295,3715242.0,125116406.0,4420.0
20151106,33.3,34.28,33.0,33.9,33.708,4.566,3829714.0,129091890.0,3878.0
20151109,33.58,37.29,32.88,37.29,35.8004,9.0663,7604406.0,272240960.0,6915.0
20151110,36.91,39.35,36.22,37.4,37.8285,6.4159,5381394.0,203570089.0,6308.0
20151111,37.4,38.97,37.4,38.4,38.3645,4.4128,3701239.0,141996216.0,3900.0
20151112,38.58,39.0,37.26,38.43,38.1254,3.5102,2944185.0,112248247.0,3781.0
20151113,38.05,38.68,35.61,36.8,37.1356,3.2059,2688941.0,99855314.0,3274.0
20151116,35.9,37.56,35.11,37.0,36.7047,2.4748,2075759.0,76190203.0,2426.0
