,divergence_signal,volume_signal
000009.SZ,,1.0
002074.SZ,1.0,
002079.SZ,1.0,
002097.SZ,,
002182.SZ,,
002227.SZ,,
002281.SZ,,
002343.SZ,,
002354.SZ,,
002395.SZ,,
002402.SZ,1.0,
002502.SZ,,
002577.SZ,,
002635.SZ,,
002643.SZ,,
002657.SZ,1.0,
002759.SZ,,
002792.SZ,,
300001.SZ,,
300024.SZ,,
300025.SZ,1.0,
300033.SZ,,
300037.SZ,,
300062.SZ,,
300073.SZ,1.0,
300113.SZ,,
300223.SZ,,
300296.SZ,-1.0,
300308.SZ,,
300322.SZ,,
300327.SZ,,
300377.SZ,,
300394.SZ,1.0,
300408.SZ,,
300431.SZ,,
300458.SZ,,
300474.SZ,,
300481.SZ,,
300491.SZ,,
300494.SZ,,
300496.SZ,,
300511.SZ,,
600570.SH,,
603026.SH,,
603528.SH,,
603799.SH,,
