,Open,High,low,Close,AvgPrice,Turn,Volume,Amount,Tnum,mean_volume,std_volume,zscore_volume,signal
2009-01-05,2.043,2.0731,2.0079,2.0731,2.048,1.591,11859078.0,48358089.09,6301.0,,,,0
2009-01-06,2.0581,2.1735,2.043,2.1534,2.1183,2.531,18866118.0,79611160.85,9586.0,,,,0
2009-01-07,2.1635,2.1936,2.1233,2.1384,2.1534,2.057,15333043.0,65726572.39,7971.0,,,,0
2009-01-08,2.0982,2.1334,2.038,2.0681,2.0882,1.756,13091369.0,54422343.98,7047.0,,,,0
2009-01-09,2.0731,2.1785,2.0631,2.1434,2.1233,2.055,15319869.0,64777899.54,7793.0,,,,0
2009-01-12,2.1283,2.2287,2.0932,2.2187,2.1886,3.886,28966837.0,126437501.22,12099.0,,,,0
2009-01-13,2.2086,2.309,2.1835,2.2438,2.2538,5.401,40257992.0,180802741.04,17906.0,,,,0
2009-01-14,2.2438,2.3944,2.2137,2.3643,2.3291,5.51,41072543.0,190623686.37,17324.0,,,,0
2009-01-15,2.3341,2.6002,2.3191,2.5048,2.545,15.788,117692262.0,597016288.32,40561.0,,,,0
2009-01-16,2.5098,2.7558,2.4948,2.6604,2.6403,16.429,122468406.0,644694071.55,33274.0,,,,0
2009-01-19,2.6855,2.7809,2.6203,2.6956,2.7056,9.415,70185935.0,378185699.51,20978.0,,,,0
2009-01-20,2.6604,2.9465,2.6403,2.9064,2.7909,7.447,55512416.0,308556501.99,20920.0,,,,0
2009-01-21,2.8461,2.9716,2.7708,2.9064,2.8813,6.367,47459204.0,272537095.65,19080.0,,,,0
2009-01-22,2.8963,3.0921,2.8411,3.0319,2.9867,5.495,40962274.0,243600766.28,17553.0,,,,0
2009-01-23,3.0018,3.0319,2.9114,2.9315,2.9566,3.905,29111125.0,171523553.72,12174.0,,,,0
2009-02-02,2.9566,3.067,2.8612,2.9917,2.9867,3.795,28292054.0,168214489.79,11320.0,,,,0
2009-02-03,2.9616,3.2276,2.9265,3.2276,3.0921,6.975,51992004.0,320444121.8,17150.0,,,,0
2009-02-04,3.2327,3.2929,3.1523,3.2126,3.2176,3.694,27538336.0,176501469.11,12926.0,,,,0
2009-02-05,3.1825,3.3632,3.0971,3.2076,3.2327,4.282,31917532.0,205524191.02,15508.0,,,,0
2009-02-06,3.1523,3.3933,3.1523,3.313,3.2879,4.156,30979588.0,203055549.87,14850.0,,,,0
2009-02-09,3.3632,3.4937,3.2879,3.3481,3.3732,4.125,30752575.0,206622028.32,14918.0,,,,0
2009-02-10,3.3632,3.6844,3.308,3.6844,3.5087,6.001,44735625.0,312878439.7,20228.0,,,,0
2009-02-11,3.5991,3.8451,3.5188,3.6292,3.7045,7.197,53645972.0,395807715.1,22893.0,,,,0
