,jlr,roe,yoygr,mv
000687.SZ,0.349914545291,0.1003,1.0731,12754084900.1
000796.SZ,0.328430901879,0.1328,0.3503,13426164313.8
000915.SZ,0.327833304259,0.1359,0.369,8336793241.25
000952.SZ,0.338888128066,0.2172,0.4753,4747165975.18
002043.SZ,0.477805505997,0.1489,0.5651,10507328692.6
002071.SZ,0.30155653337,0.1337,0.9052,7166863535.92
002074.SZ,0.413436785411,0.2217,1.2837,28639118000.0
002138.SZ,0.331420027804,0.1085,0.3051,13961174562.7
002174.SZ,0.367922883204,0.1541,0.6831,24469960428.5
002180.SZ,0.975004910168,0.1299,0.618,29864829066.3
002234.SZ,0.993276247208,0.2496,0.5183,7336712691.28
002343.SZ,0.366764129535,0.1293,1.9012,13995695000.0
002366.SZ,0.406996767632,0.2246,3.6953,23410548450.0
002407.SZ,0.372662384499,0.1667,0.4385,19452423835.4
002411.SZ,0.730382987102,0.1043,1.2105,39410342139.5
002426.SZ,0.538097026696,0.1103,2.0918,32365262152.7
002458.SZ,0.393377974977,0.5818,1.7529,12963772322.9
002460.SZ,0.424461407037,0.234,1.3326,22844309214.1
002503.SZ,0.53691941705,0.1066,2.0208,21260974597.5
002572.SZ,0.376200512664,0.1382,0.4347,26266861388.0
002615.SZ,0.434453637998,0.1259,0.7097,4883760000.0
002677.SZ,0.316369723323,0.1165,0.3187,7840887318.28
002717.SZ,0.482862537082,0.1028,0.4692,11495436502.7
002768.SZ,0.366235548112,0.1074,0.5946,6273600000.0
002821.SZ,0.310546548554,0.1963,0.5115,15576291635.0
300058.SZ,0.349984919721,0.1084,0.4229,20488522644.5
300115.SZ,0.413681990239,0.1374,0.5187,24141856165.7
300136.SZ,0.624028873875,0.2223,0.6645,27412212802.1
300144.SZ,0.308621660708,0.1287,0.6581,32436861174.4
300156.SZ,0.561434900178,0.2244,1.9195,25230409886.7
300203.SZ,0.384891446826,0.1025,0.3301,13888471044.0
300219.SZ,0.350740084904,0.1308,0.3851,10218959804.4
300231.SZ,0.410518549743,0.1679,0.4854,6884441955.0
300237.SZ,0.403035815091,0.1039,0.6387,12593295093.6
300244.SZ,0.402694314203,0.1267,0.9852,19748895595.5
300246.SZ,0.455416970743,0.1168,0.6316,5357046960.0
300252.SZ,0.534400228623,0.1684,0.3451,14939627791.7
300262.SZ,0.38485539931,0.1215,0.8849,7844104704.15
300267.SZ,0.37525680876,0.1601,0.543,29566183420.9
300271.SZ,0.352097348465,0.1105,0.3405,12167442082.0
300302.SZ,0.644204368441,0.1087,0.4427,11316469500.0
300322.SZ,0.63511763918,0.1252,1.4353,7750970487.0
300324.SZ,0.337846987136,0.1392,0.8973,24729754811.0
300355.SZ,0.342485549132,0.1007,0.386,10327308400.3
300373.SZ,0.385114294422,0.1042,0.5126,9983731512.59
300393.SZ,0.732613908873,0.1413,0.964,9320220000.0
300394.SZ,0.364285820375,0.1267,0.3468,6599533500.0
300429.SZ,0.341274369954,0.1227,0.324,9572462696.68
300432.SZ,0.365054030153,0.1694,0.3126,9972000000.0
300438.SZ,0.510832292186,0.1004,0.5239,9056880000.0
300447.SZ,0.422860678925,0.1462,0.546,9199321548.0
300450.SZ,0.512575934314,0.1994,1.1281,13867920000.0
300457.SZ,0.534496870852,0.1667,1.2735,7706790000.0
300476.SZ,0.537313432836,0.122,0.4651,8506225000.0
300484.SZ,0.466732161815,0.2596,1.5406,9653280000.0
300567.SZ,0.471544715447,0.1852,0.4648,5952000000.0
300568.SZ,0.415395411277,0.2199,0.3889,4980000000.0
600053.SH,0.481113929222,0.2127,1.7424,19249211520.0
600074.SH,0.505756718869,0.2213,2.2411,35861303780.8
600076.SH,0.327202406532,0.1068,0.3251,10901143919.7
600094.SH,0.365240539692,0.1024,0.843,22426445016.4
600213.SH,0.621683589912,0.4922,0.8368,3368200000.0
600258.SH,1.02206173831,0.1302,3.6151,5456412000.0
600419.SH,0.481921280854,0.1071,0.5386,6004246977.82
600487.SH,0.470763161213,0.2038,0.378,24688841702.8
600675.SH,0.786496969697,0.1063,3.6615,9428649959.9
600699.SH,0.67029099381,0.1014,0.9497,23728108516.0
600856.SH,0.6619115616,0.1619,0.6682,14700931704.0
603338.SH,0.344692609389,0.1363,0.4161,8602750000.0
603686.SH,0.360621889351,0.1399,0.3732,9014785000.0
