,cash,float_capital,net_value
2010-03-22,100000000.0,100000000.0,1.0
2010-03-23,100000000.0,100000000.0,1.0
2010-03-24,100000000.0,100000000.0,1.0
2010-03-25,100000000.0,100000000.0,1.0
2010-03-26,100000000.0,100000000.0,1.0
2010-03-29,100000000.0,100000000.0,1.0
2010-03-30,100000000.0,100000000.0,1.0
2010-03-31,100000000.0,100000000.0,1.0
2010-04-01,100000000.0,100000000.0,1.0
2010-04-02,100000000.0,100000000.0,1.0
2010-04-06,100000000.0,100000000.0,1.0
2010-04-07,100000000.0,100000000.0,1.0
2010-04-08,100000000.0,100000000.0,1.0
2010-04-09,100000000.0,100000000.0,1.0
2010-04-12,100000000.0,100000000.0,1.0
2010-04-13,100000000.0,100000000.0,1.0
2010-04-14,100000000.0,100000000.0,1.0
2010-04-15,100000000.0,100000000.0,1.0
2010-04-16,100000000.0,100000000.0,1.0
2010-04-19,100000000.0,100000000.0,1.0
2010-04-20,100000000.0,100000000.0,1.0
2010-04-21,100000000.0,100000000.0,1.0
2010-04-22,100000000.0,100000000.0,1.0
2010-04-23,100000000.0,100000000.0,1.0
2010-04-26,100000000.0,100000000.0,1.0
2010-04-27,100000000.0,100000000.0,1.0
2010-04-28,100000000.0,100000000.0,1.0
2010-04-29,100000000.0,100000000.0,1.0
2010-04-30,100000000.0,100000000.0,1.0
2010-05-04,100000000.0,100000000.0,1.0
2010-05-05,-34061966.0,100000034.0,1.00000034
2010-05-06,-34061966.0,98334034.0,0.98334034
2010-05-07,96090044.0,96090044.0,0.96090044
2010-05-10,96090044.0,96090044.0,0.96090044
2010-05-11,96090044.0,96090044.0,0.96090044
2010-05-12,96090044.0,96090044.0,0.96090044
2010-05-13,96090044.0,96090044.0,0.96090044
2010-05-14,96090044.0,96090044.0,0.96090044
2010-05-17,96090044.0,96090044.0,0.96090044
2010-05-18,96090044.0,96090044.0,0.96090044
2010-05-19,96090044.0,96090044.0,0.96090044
2010-05-20,96090044.0,96090044.0,0.96090044
2010-05-21,96090044.0,96090044.0,0.96090044
2010-05-24,96090044.0,96090044.0,0.96090044
2010-05-25,96090044.0,96090044.0,0.96090044
2010-05-26,96090044.0,96090044.0,0.96090044
2010-05-27,96090044.0,96090044.0,0.96090044
2010-05-28,96090044.0,96090044.0,0.96090044
2010-05-31,96090044.0,96090044.0,0.96090044
2010-06-01,96090044.0,96090044.0,0.96090044
2010-06-02,96090044.0,96090044.0,0.96090044
2010-06-03,96090044.0,96090044.0,0.96090044
2010-06-04,96090044.0,96090044.0,0.96090044
2010-06-07,96090044.0,96090044.0,0.96090044
2010-06-08,96090044.0,96090044.0,0.96090044
2010-06-09,96090044.0,96090044.0,0.96090044
2010-06-10,96090044.0,96090044.0,0.96090044
2010-06-11,96090044.0,96090044.0,0.96090044
2010-06-17,96090044.0,96090044.0,0.96090044
2010-06-18,96090044.0,96090044.0,0.96090044
2010-06-21,-6482929.0,96090071.0,0.96090071
2010-06-22,-6482929.0,95766071.0,0.95766071
2010-06-23,-6482929.0,95577071.0,0.95577071
2010-06-24,-6482929.0,95469071.0,0.95469071
2010-06-25,-6482929.0,95118071.0,0.95118071
2010-06-28,-6482929.0,95334071.0,0.95334071
2010-06-29,-6482929.0,95118071.0,0.95118071
2010-06-30,-6482929.0,94470071.0,0.94470071
2010-07-01,94254073.0,94254073.0,0.94254073
2010-07-02,94254073.0,94254073.0,0.94254073
2010-07-05,94254073.0,94254073.0,0.94254073
2010-07-06,94254073.0,94254073.0,0.94254073
2010-07-07,94254073.0,94254073.0,0.94254073
2010-07-08,94254073.0,94254073.0,0.94254073
2010-07-09,94254073.0,94254073.0,0.94254073
2010-07-12,94254073.0,94254073.0,0.94254073
2010-07-13,94254073.0,94254073.0,0.94254073
2010-07-14,94254073.0,94254073.0,0.94254073
2010-07-15,94254073.0,94254073.0,0.94254073
2010-07-16,94254073.0,94254073.0,0.94254073
2010-07-19,94254073.0,94254073.0,0.94254073
2010-07-20,94254073.0,94254073.0,0.94254073
2010-07-21,94254073.0,94254073.0,0.94254073
2010-07-22,94254073.0,94254073.0,0.94254073
2010-07-23,94254073.0,94254073.0,0.94254073
2010-07-26,94254073.0,94254073.0,0.94254073
2010-07-27,94254073.0,94254073.0,0.94254073
2010-07-28,94254073.0,94254073.0,0.94254073
2010-07-29,94254073.0,94254073.0,0.94254073
2010-07-30,94254073.0,94254073.0,0.94254073
2010-08-02,-22325897.0,94254103.0,0.94254103
2010-08-03,-22325897.0,92844103.0,0.92844103
2010-08-04,-22325897.0,93504103.0,0.93504103
2010-08-05,92034109.0,92034109.0,0.92034109
2010-08-06,92034109.0,92034109.0,0.92034109
2010-08-09,6058131.0,92034131.0,0.92034131
2010-08-10,6058131.0,91110131.0,0.91110131
2010-08-11,6058131.0,91022131.0,0.91022131
2010-08-12,6058131.0,91330131.0,0.91330131
2010-08-13,2116132.0,92782132.0,0.92782132
2010-08-16,2116132.0,93748132.0,0.93748132
2010-08-17,2116132.0,93518132.0,0.93518132
2010-08-18,2116132.0,92828132.0,0.92828132
2010-08-19,2116132.0,92483132.0,0.92483132
2010-08-20,90873132.0,90873132.0,0.90873132
