,cash,float_capital,net_value
2012-07-23,100000000.0,100000000.0,1.0
2012-07-24,100000000.0,100000000.0,1.0
2012-07-25,100000000.0,100000000.0,1.0
2012-07-26,100000000.0,100000000.0,1.0
2012-07-27,20297992.6,100001992.6,1.000019926
2012-07-30,20297992.6,99542992.6,0.995429926
2012-07-31,11296717.6375,101311717.637,1.01311717637
2012-08-01,11296717.6375,100801717.637,1.00801717637
2012-08-02,11296717.6375,99391717.6375,0.993917176375
2012-08-03,98881498.675,98881498.675,0.98881498675
2012-08-06,98881498.675,98881498.675,0.98881498675
2012-08-07,98881498.675,98881498.675,0.98881498675
2012-08-08,98881498.675,98881498.675,0.98881498675
2012-08-09,98881498.675,98881498.675,0.98881498675
2012-08-10,98881498.675,98881498.675,0.98881498675
2012-08-13,98881498.675,98881498.675,0.98881498675
2012-08-14,98881498.675,98881498.675,0.98881498675
2012-08-15,98881498.675,98881498.675,0.98881498675
2012-08-16,98881498.675,98881498.675,0.98881498675
2012-08-17,17775526.375,98883526.375,0.98883526375
2012-08-20,17775526.375,98721526.375,0.98721526375
2012-08-21,8588256.0625,100463256.062,1.00463256062
2012-08-22,8588256.0625,102143256.062,1.02143256062
2012-08-23,8588256.0625,106133256.062,1.06133256062
2012-08-24,8588256.0625,105548256.062,1.05548256062
2012-08-27,8588256.0625,107708256.062,1.07708256062
2012-08-28,8588256.0625,106733256.062,1.06733256062
2012-08-29,8588256.0625,107543256.062,1.07543256062
2012-08-30,8588256.0625,106838256.062,1.06838256062
2012-08-31,8588256.0625,105653256.062,1.05653256062
2012-09-03,8588256.0625,110543256.062,1.10543256062
2012-09-04,8588256.0625,111383256.062,1.11383256062
2012-09-05,8588256.0625,111428256.062,1.11428256062
2012-09-06,8588256.0625,113888256.062,1.13888256062
2012-09-07,8588256.0625,111353256.062,1.11353256062
2012-09-10,8588256.0625,116438256.062,1.16438256062
2012-09-11,8588256.0625,116063256.062,1.16063256062
2012-09-12,8588256.0625,115988256.062,1.15988256062
2012-09-13,8588256.0625,114083256.062,1.14083256062
2012-09-14,8588256.0625,119003256.062,1.19003256062
2012-09-17,8588256.0625,118523256.062,1.18523256062
2012-09-18,8588256.0625,117578256.062,1.17578256062
2012-09-19,8588256.0625,119768256.062,1.19768256062
2012-09-20,8588256.0625,117848256.062,1.17848256062
2012-09-21,8588256.0625,119378256.062,1.19378256062
2012-09-24,8588256.0625,115718256.062,1.15718256062
2012-09-25,8588256.0625,115628256.062,1.15628256062
2012-09-26,8588256.0625,115493256.062,1.15493256062
2012-09-27,8588256.0625,116753256.062,1.16753256062
2012-09-28,8588256.0625,118913256.062,1.18913256062
2012-10-08,8588256.0625,114848256.062,1.14848256062
2012-10-09,8588256.0625,114818256.062,1.14818256062
2012-10-10,8588256.0625,114413256.062,1.14413256062
2012-10-11,8588256.0625,115043256.062,1.15043256062
2012-10-12,8588256.0625,114458256.062,1.14458256062
2012-10-15,111503256.062,111503256.062,1.11503256062
2012-10-16,111503256.062,111503256.062,1.11503256062
2012-10-17,111503256.062,111503256.062,1.11503256062
2012-10-18,111503256.062,111503256.062,1.11503256062
2012-10-19,111503256.062,111503256.062,1.11503256062
2012-10-22,111503256.062,111503256.062,1.11503256062
2012-10-23,111503256.062,111503256.062,1.11503256062
2012-10-24,111503256.062,111503256.062,1.11503256062
2012-10-25,111503256.062,111503256.062,1.11503256062
2012-10-26,111503256.062,111503256.062,1.11503256062
2012-10-29,111503256.062,111503256.062,1.11503256062
2012-10-30,111503256.062,111503256.062,1.11503256062
2012-10-31,111503256.062,111503256.062,1.11503256062
2012-11-01,111503256.062,111503256.062,1.11503256062
2012-11-02,111503256.062,111503256.062,1.11503256062
2012-11-05,111503256.062,111503256.062,1.11503256062
2012-11-06,111503256.062,111503256.062,1.11503256062
2012-11-07,111503256.062,111503256.062,1.11503256062
2012-11-08,111503256.062,111503256.062,1.11503256062
2012-11-09,111503256.062,111503256.062,1.11503256062
