,cash,float_capital,net_value
2010-03-22,100000000.0,100000000.0,1.0
2010-03-23,100000000.0,100000000.0,1.0
2010-03-24,100000000.0,100000000.0,1.0
2010-03-25,100000000.0,100000000.0,1.0
2010-03-26,100000000.0,100000000.0,1.0
2010-03-29,100000000.0,100000000.0,1.0
2010-03-30,100000000.0,100000000.0,1.0
2010-03-31,100000000.0,100000000.0,1.0
2010-04-01,100000000.0,100000000.0,1.0
2010-04-02,100000000.0,100000000.0,1.0
2010-04-06,100000000.0,100000000.0,1.0
2010-04-07,100000000.0,100000000.0,1.0
2010-04-08,100000000.0,100000000.0,1.0
2010-04-09,100000000.0,100000000.0,1.0
2010-04-12,17025030.0,100000030.0,1.0000003
2010-04-13,17025030.0,99800030.0,0.9980003
2010-04-14,17025030.0,100175030.0,1.0017503
2010-04-15,17025030.0,100025030.0,1.0002503
2010-04-16,17025030.0,99725030.0,0.9972503
2010-04-19,97425024.0,97425024.0,0.97425024
2010-04-20,97425024.0,97425024.0,0.97425024
2010-04-21,97425024.0,97425024.0,0.97425024
2010-04-22,97425024.0,97425024.0,0.97425024
2010-04-23,97425024.0,97425024.0,0.97425024
2010-04-26,97425024.0,97425024.0,0.97425024
2010-04-27,97425024.0,97425024.0,0.97425024
2010-04-28,97425024.0,97425024.0,0.97425024
2010-04-29,97425024.0,97425024.0,0.97425024
2010-04-30,97425024.0,97425024.0,0.97425024
2010-05-04,97425024.0,97425024.0,0.97425024
2010-05-05,97425024.0,97425024.0,0.97425024
2010-05-06,97425024.0,97425024.0,0.97425024
2010-05-07,97425024.0,97425024.0,0.97425024
2010-05-10,97425024.0,97425024.0,0.97425024
2010-05-11,97425024.0,97425024.0,0.97425024
2010-05-12,97425024.0,97425024.0,0.97425024
2010-05-13,97425024.0,97425024.0,0.97425024
2010-05-14,97425024.0,97425024.0,0.97425024
2010-05-17,97425024.0,97425024.0,0.97425024
2010-05-18,97425024.0,97425024.0,0.97425024
2010-05-19,97425024.0,97425024.0,0.97425024
2010-05-20,97425024.0,97425024.0,0.97425024
2010-05-21,97425024.0,97425024.0,0.97425024
2010-05-24,97425024.0,97425024.0,0.97425024
2010-05-25,97425024.0,97425024.0,0.97425024
2010-05-26,97425024.0,97425024.0,0.97425024
2010-05-27,97425024.0,97425024.0,0.97425024
2010-05-28,97425024.0,97425024.0,0.97425024
2010-05-31,97425024.0,97425024.0,0.97425024
2010-06-01,97425024.0,97425024.0,0.97425024
2010-06-02,97425024.0,97425024.0,0.97425024
2010-06-03,97425024.0,97425024.0,0.97425024
2010-06-04,97425024.0,97425024.0,0.97425024
2010-06-07,97425024.0,97425024.0,0.97425024
2010-06-08,97425024.0,97425024.0,0.97425024
2010-06-09,97425024.0,97425024.0,0.97425024
2010-06-10,97425024.0,97425024.0,0.97425024
2010-06-11,97425024.0,97425024.0,0.97425024
2010-06-17,97425024.0,97425024.0,0.97425024
2010-06-18,97425024.0,97425024.0,0.97425024
2010-06-21,97425024.0,97425024.0,0.97425024
2010-06-22,97425024.0,97425024.0,0.97425024
2010-06-23,97425024.0,97425024.0,0.97425024
2010-06-24,97425024.0,97425024.0,0.97425024
2010-06-25,97425024.0,97425024.0,0.97425024
2010-06-28,97425024.0,97425024.0,0.97425024
2010-06-29,97425024.0,97425024.0,0.97425024
2010-06-30,97425024.0,97425024.0,0.97425024
2010-07-01,97425024.0,97425024.0,0.97425024
2010-07-02,97425024.0,97425024.0,0.97425024
2010-07-05,97425024.0,97425024.0,0.97425024
2010-07-06,97425024.0,97425024.0,0.97425024
2010-07-07,97425024.0,97425024.0,0.97425024
2010-07-08,97425024.0,97425024.0,0.97425024
2010-07-09,97425024.0,97425024.0,0.97425024
2010-07-12,97425024.0,97425024.0,0.97425024
2010-07-13,97425024.0,97425024.0,0.97425024
2010-07-14,97425024.0,97425024.0,0.97425024
2010-07-15,97425024.0,97425024.0,0.97425024
2010-07-16,97425024.0,97425024.0,0.97425024
2010-07-19,97425024.0,97425024.0,0.97425024
2010-07-20,97425024.0,97425024.0,0.97425024
2010-07-21,97425024.0,97425024.0,0.97425024
2010-07-22,97425024.0,97425024.0,0.97425024
2010-07-23,10965060.0,97425060.0,0.9742506
2010-07-26,3697563.0,98175063.0,0.98175063
2010-07-27,3697563.0,97525063.0,0.97525063
2010-07-28,3697563.0,98695063.0,0.98695063
2010-07-29,3697563.0,98077563.0,0.98077563
2010-07-30,3697563.0,97817563.0,0.97817563
2010-08-02,3697563.0,99540063.0,0.99540063
2010-08-03,3697563.0,99312563.0,0.99312563
2010-08-04,3697563.0,99215063.0,0.99215063
2010-08-05,3697563.0,99150063.0,0.99150063
2010-08-06,3697563.0,99247563.0,0.99247563
2010-08-09,3697563.0,99767563.0,0.99767563
2010-08-10,3697563.0,98402563.0,0.98402563
2010-08-11,3697563.0,97947563.0,0.97947563
2010-08-12,97102563.0,97102563.0,0.97102563
2010-08-13,97102563.0,97102563.0,0.97102563
2010-08-16,97102563.0,97102563.0,0.97102563
2010-08-17,97102563.0,97102563.0,0.97102563
2010-08-18,97102563.0,97102563.0,0.97102563
2010-08-19,97102563.0,97102563.0,0.97102563
