,cash,float_capital,net_value
2010-03-22,100000000.0,100000000.0,1.0
2010-03-23,100000000.0,100000000.0,1.0
2010-03-24,100000000.0,100000000.0,1.0
2010-03-25,100000000.0,100000000.0,1.0
2010-03-26,100000000.0,100000000.0,1.0
2010-03-29,100000000.0,100000000.0,1.0
2010-03-30,100000000.0,100000000.0,1.0
2010-03-31,100000000.0,100000000.0,1.0
2010-04-01,100000000.0,100000000.0,1.0
2010-04-02,100000000.0,100000000.0,1.0
2010-04-06,520040.0,100000040.0,1.0000004
2010-04-07,520040.0,100792040.0,1.0079204
2010-04-08,520040.0,101240040.0,1.0124004
2010-04-09,520040.0,102000040.0,1.0200004
2010-04-12,520040.0,102688040.0,1.0268804
2010-04-13,520040.0,101900040.0,1.0190004
2010-04-14,520040.0,101940040.0,1.0194004
2010-04-15,520040.0,101824040.0,1.0182404
2010-04-16,520040.0,101852040.0,1.0185204
2010-04-19,100040040.0,100040040.0,1.0004004
2010-04-20,100040040.0,100040040.0,1.0004004
2010-04-21,100040040.0,100040040.0,1.0004004
2010-04-22,100040040.0,100040040.0,1.0004004
2010-04-23,100040040.0,100040040.0,1.0004004
2010-04-26,100040040.0,100040040.0,1.0004004
2010-04-27,100040040.0,100040040.0,1.0004004
2010-04-28,-2319920.0,100040080.0,1.0004008
2010-04-29,-2319920.0,100152080.0,1.0015208
2010-04-30,-2319920.0,100756080.0,1.0075608
2010-05-04,-2319920.0,100764080.0,1.0076408
2010-05-05,-2319920.0,100252080.0,1.0025208
2010-05-06,-2319920.0,100600080.0,1.0060008
2010-05-07,-2319920.0,103160080.0,1.0316008
2010-05-10,-2319920.0,102420080.0,1.0242008
2010-05-11,-2319920.0,103576080.0,1.0357608
2010-05-12,-2319920.0,105388080.0,1.0538808
2010-05-13,-2319920.0,105776080.0,1.0577608
2010-05-14,-2319920.0,105848080.0,1.0584808
2010-05-17,-2319920.0,106076080.0,1.0607608
2010-05-18,-2319920.0,104368080.0,1.0436808
2010-05-19,103836080.0,103836080.0,1.0383608
2010-05-20,103836080.0,103836080.0,1.0383608
2010-05-21,103836080.0,103836080.0,1.0383608
2010-05-24,103836080.0,103836080.0,1.0383608
2010-05-25,103836080.0,103836080.0,1.0383608
2010-05-26,103836080.0,103836080.0,1.0383608
2010-05-27,103836080.0,103836080.0,1.0383608
2010-05-28,103836080.0,103836080.0,1.0383608
2010-05-31,103836080.0,103836080.0,1.0383608
2010-06-01,103836080.0,103836080.0,1.0383608
2010-06-02,103836080.0,103836080.0,1.0383608
2010-06-03,103836080.0,103836080.0,1.0383608
2010-06-04,103836080.0,103836080.0,1.0383608
2010-06-07,103836080.0,103836080.0,1.0383608
2010-06-08,22236110.0,103836110.0,1.0383611
2010-06-09,22236110.0,103371110.0,1.0337111
2010-06-10,22236110.0,103038110.0,1.0303811
2010-06-11,22236110.0,102498110.0,1.0249811
2010-06-17,22236110.0,103407110.0,1.0340711
2010-06-18,22236110.0,104145110.0,1.0414511
2010-06-21,22236110.0,105060110.0,1.0506011
2010-06-22,22236110.0,103338110.0,1.0333811
2010-06-23,22236110.0,103590110.0,1.0359011
2010-06-24,103191110.0,103191110.0,1.0319111
2010-06-25,103191110.0,103191110.0,1.0319111
2010-06-28,103191110.0,103191110.0,1.0319111
2010-06-29,103191110.0,103191110.0,1.0319111
2010-06-30,103191110.0,103191110.0,1.0319111
2010-07-01,103191110.0,103191110.0,1.0319111
2010-07-02,103191110.0,103191110.0,1.0319111
2010-07-05,103191110.0,103191110.0,1.0319111
2010-07-06,103191110.0,103191110.0,1.0319111
2010-07-07,103191110.0,103191110.0,1.0319111
2010-07-08,103191110.0,103191110.0,1.0319111
2010-07-09,103191110.0,103191110.0,1.0319111
2010-07-12,103191110.0,103191110.0,1.0319111
2010-07-13,103191110.0,103191110.0,1.0319111
2010-07-14,103191110.0,103191110.0,1.0319111
2010-07-15,103191110.0,103191110.0,1.0319111
2010-07-16,103191110.0,103191110.0,1.0319111
2010-07-19,103191110.0,103191110.0,1.0319111
2010-07-20,103191110.0,103191110.0,1.0319111
2010-07-21,103191110.0,103191110.0,1.0319111
2010-07-22,103191110.0,103191110.0,1.0319111
2010-07-23,103191110.0,103191110.0,1.0319111
2010-07-26,103191110.0,103191110.0,1.0319111
2010-07-27,103191110.0,103191110.0,1.0319111
2010-07-28,103191110.0,103191110.0,1.0319111
2010-07-29,103191110.0,103191110.0,1.0319111
2010-07-30,103191110.0,103191110.0,1.0319111
2010-08-02,103191110.0,103191110.0,1.0319111
2010-08-03,103191110.0,103191110.0,1.0319111
2010-08-04,103191110.0,103191110.0,1.0319111
2010-08-05,103191110.0,103191110.0,1.0319111
2010-08-06,-1608850.0,103191150.0,1.0319115
2010-08-09,-1608850.0,103883150.0,1.0388315
2010-08-10,-1608850.0,102831150.0,1.0283115
2010-08-11,-1608850.0,103003150.0,1.0300315
2010-08-12,-1608850.0,103191150.0,1.0319115
2010-08-13,-1608850.0,104723150.0,1.0472315
2010-08-16,-1608850.0,105023150.0,1.0502315
2010-08-17,-1608850.0,105151150.0,1.0515115
2010-08-18,-1608850.0,105051150.0,1.0505115
