,cash,float_capital,net_value
2013-12-18,100000000.0,100000000.0,1.0
2013-12-19,100000000.0,100000000.0,1.0
2013-12-20,100000000.0,100000000.0,1.0
2013-12-23,100000000.0,100000000.0,1.0
2013-12-24,100000000.0,100000000.0,1.0
2013-12-25,100000000.0,100000000.0,1.0
2013-12-26,100000000.0,100000000.0,1.0
2013-12-27,100000000.0,100000000.0,1.0
2013-12-30,100000000.0,100000000.0,1.0
2013-12-31,100000000.0,100000000.0,1.0
2014-01-02,100000000.0,100000000.0,1.0
2014-01-03,100000000.0,100000000.0,1.0
2014-01-06,100000000.0,100000000.0,1.0
2014-01-07,100000000.0,100000000.0,1.0
2014-01-08,100000000.0,100000000.0,1.0
2014-01-09,100000000.0,100000000.0,1.0
2014-01-10,100000000.0,100000000.0,1.0
2014-01-13,100000000.0,100000000.0,1.0
2014-01-14,-4203831.68,100004168.32,1.0000416832
2014-01-15,165993.52,100675993.52,1.0067599352
2014-01-16,165993.52,100537993.52,1.0053799352
2014-01-17,165993.52,100307993.52,1.0030799352
2014-01-20,165993.52,100307993.52,1.0030799352
2014-01-21,165993.52,100169993.52,1.0016999352
2014-01-22,165993.52,100215993.52,1.0021599352
2014-01-23,165993.52,100353993.52,1.0035399352
2014-01-24,165993.52,100445993.52,1.0044599352
2014-01-27,165993.52,100721993.52,1.0072199352
2014-01-28,165993.52,100721993.52,1.0072199352
2014-01-29,165993.52,100721993.52,1.0072199352
2014-01-30,165993.52,101135993.52,1.0113599352
2014-02-07,165993.52,102009993.52,1.0200999352
2014-02-10,165993.52,101963993.52,1.0196399352
2014-02-11,165993.52,101917993.52,1.0191799352
2014-02-12,98881993.52,98881993.52,0.9888199352
2014-02-13,98881993.52,98881993.52,0.9888199352
2014-02-14,98881993.52,98881993.52,0.9888199352
2014-02-17,98881993.52,98881993.52,0.9888199352
2014-02-18,98881993.52,98881993.52,0.9888199352
2014-02-19,98881993.52,98881993.52,0.9888199352
2014-02-20,98881993.52,98881993.52,0.9888199352
2014-02-21,98881993.52,98881993.52,0.9888199352
2014-02-24,98881993.52,98881993.52,0.9888199352
2014-02-25,98881993.52,98881993.52,0.9888199352
2014-02-26,98881993.52,98881993.52,0.9888199352
2014-02-27,98881993.52,98881993.52,0.9888199352
2014-02-28,98881993.52,98881993.52,0.9888199352
2014-03-03,98881993.52,98881993.52,0.9888199352
2014-03-04,98881993.52,98881993.52,0.9888199352
2014-03-05,98881993.52,98881993.52,0.9888199352
2014-03-06,98881993.52,98881993.52,0.9888199352
2014-03-07,98881993.52,98881993.52,0.9888199352
2014-03-10,98881993.52,98881993.52,0.9888199352
2014-03-11,98881993.52,98881993.52,0.9888199352
2014-03-12,98881993.52,98881993.52,0.9888199352
2014-03-13,98881993.52,98881993.52,0.9888199352
2014-03-14,98881993.52,98881993.52,0.9888199352
2014-03-17,98881993.52,98881993.52,0.9888199352
2014-03-18,98881993.52,98881993.52,0.9888199352
2014-03-19,98881993.52,98881993.52,0.9888199352
2014-03-20,98881993.52,98881993.52,0.9888199352
2014-03-21,98881993.52,98881993.52,0.9888199352
2014-03-24,98881993.52,98881993.52,0.9888199352
2014-03-25,98881993.52,98881993.52,0.9888199352
2014-03-26,98881993.52,98881993.52,0.9888199352
2014-03-27,98881993.52,98881993.52,0.9888199352
2014-03-28,98881993.52,98881993.52,0.9888199352
2014-03-31,98881993.52,98881993.52,0.9888199352
2014-04-01,98881993.52,98881993.52,0.9888199352
2014-04-02,98881993.52,98881993.52,0.9888199352
2014-04-03,98881993.52,98881993.52,0.9888199352
2014-04-04,98881993.52,98881993.52,0.9888199352
2014-04-08,98881993.52,98881993.52,0.9888199352
2014-04-09,98881993.52,98881993.52,0.9888199352
2014-04-10,98881993.52,98881993.52,0.9888199352
2014-04-11,98881993.52,98881993.52,0.9888199352
2014-04-14,98881993.52,98881993.52,0.9888199352
2014-04-15,98881993.52,98881993.52,0.9888199352
2014-04-16,98881993.52,98881993.52,0.9888199352
2014-04-17,98881993.52,98881993.52,0.9888199352
2014-04-18,98881993.52,98881993.52,0.9888199352
2014-04-21,98881993.52,98881993.52,0.9888199352
2014-04-22,98881993.52,98881993.52,0.9888199352
2014-04-23,98881993.52,98881993.52,0.9888199352
2014-04-24,98881993.52,98881993.52,0.9888199352
2014-04-25,98881993.52,98881993.52,0.9888199352
2014-04-28,98881993.52,98881993.52,0.9888199352
2014-04-29,98881993.52,98881993.52,0.9888199352
2014-04-30,98881993.52,98881993.52,0.9888199352
2014-05-05,98881993.52,98881993.52,0.9888199352
2014-05-06,98881993.52,98881993.52,0.9888199352
2014-05-07,98881993.52,98881993.52,0.9888199352
2014-05-08,98881993.52,98881993.52,0.9888199352
2014-05-09,98881993.52,98881993.52,0.9888199352
2014-05-12,98881993.52,98881993.52,0.9888199352
2014-05-13,98881993.52,98881993.52,0.9888199352
2014-05-14,98881993.52,98881993.52,0.9888199352
2014-05-15,98881993.52,98881993.52,0.9888199352
2014-05-16,98881993.52,98881993.52,0.9888199352
2014-05-19,98881993.52,98881993.52,0.9888199352
2014-05-20,98881993.52,98881993.52,0.9888199352
2014-05-21,98881993.52,98881993.52,0.9888199352
2014-05-22,98881993.52,98881993.52,0.9888199352
2014-05-23,98881993.52,98881993.52,0.9888199352
2014-05-26,98881993.52,98881993.52,0.9888199352
2014-05-27,98881993.52,98881993.52,0.9888199352
2014-05-28,98881993.52,98881993.52,0.9888199352
2014-05-29,98881993.52,98881993.52,0.9888199352
2014-05-30,98881993.52,98881993.52,0.9888199352
2014-06-03,98881993.52,98881993.52,0.9888199352
2014-06-04,98881993.52,98881993.52,0.9888199352
2014-06-05,98881993.52,98881993.52,0.9888199352
2014-06-06,98881993.52,98881993.52,0.9888199352
2014-06-09,98881993.52,98881993.52,0.9888199352
2014-06-10,98881993.52,98881993.52,0.9888199352
2014-06-11,98881993.52,98881993.52,0.9888199352
2014-06-12,98881993.52,98881993.52,0.9888199352
2014-06-13,-76095007.12,98888992.88,0.9888899288
2014-06-16,-76095007.12,98612992.88,0.9861299288
2014-06-17,-76095007.12,98428992.88,0.9842899288
2014-06-18,-76095007.12,98336992.88,0.9833699288
2014-06-19,-76095007.12,97692992.88,0.9769299288
2014-06-20,-76095007.12,97692992.88,0.9769299288
2014-06-23,-76095007.12,98428992.88,0.9842899288
2014-06-24,-76095007.12,98060992.88,0.9806099288
2014-06-25,-76095007.12,98060992.88,0.9806099288
2014-06-26,-76095007.12,97784992.88,0.9778499288
2014-06-27,-76095007.12,98060992.88,0.9806099288
2014-06-30,-76095007.12,98520992.88,0.9852099288
2014-07-01,-76095007.12,97968992.88,0.9796899288
2014-07-02,-76095007.12,98888992.88,0.9888899288
2014-07-03,76618884.08,99526884.08,0.9952688408
2014-07-04,76618884.08,99574884.08,0.9957488408
2014-07-07,76618884.08,99490884.08,0.9949088408
2014-07-08,76618884.08,99394884.08,0.9939488408
2014-07-09,76618884.08,99370884.08,0.9937088408
2014-07-10,76618884.08,99406884.08,0.9940688408
2014-07-11,76618884.08,99430884.08,0.9943088408
2014-07-14,76618884.08,99418884.08,0.9941888408
2014-07-15,76618884.08,99502884.08,0.9950288408
2014-07-16,76618884.08,99454884.08,0.9945488408
2014-07-17,76618884.08,99478884.08,0.9947888408
2014-07-18,76618884.08,99478884.08,0.9947888408
2014-07-21,76618884.08,99406884.08,0.9940688408
2014-07-22,76618884.08,99358884.08,0.9935888408
2014-07-23,99297874.0,99297874.0,0.99297874
2014-07-24,99297874.0,99297874.0,0.99297874
2014-07-25,99297874.0,99297874.0,0.99297874
2014-07-28,99297874.0,99297874.0,0.99297874
2014-07-29,99297874.0,99297874.0,0.99297874
2014-07-30,99297874.0,99297874.0,0.99297874
2014-07-31,99297874.0,99297874.0,0.99297874
2014-08-01,99297874.0,99297874.0,0.99297874
2014-08-04,99297874.0,99297874.0,0.99297874
2014-08-05,99297874.0,99297874.0,0.99297874
2014-08-06,99297874.0,99297874.0,0.99297874
2014-08-07,99297874.0,99297874.0,0.99297874
2014-08-08,99297874.0,99297874.0,0.99297874
2014-08-11,99297874.0,99297874.0,0.99297874
2014-08-12,99297874.0,99297874.0,0.99297874
2014-08-13,99297874.0,99297874.0,0.99297874
2014-08-14,99297874.0,99297874.0,0.99297874
2014-08-15,99297874.0,99297874.0,0.99297874
2014-08-18,99297874.0,99297874.0,0.99297874
2014-08-19,99297874.0,99297874.0,0.99297874
2014-08-20,99297874.0,99297874.0,0.99297874
2014-08-21,99297874.0,99297874.0,0.99297874
2014-08-22,99297874.0,99297874.0,0.99297874
2014-08-25,99297874.0,99297874.0,0.99297874
2014-08-26,-45400337.84,99303662.16,0.9930366216
2014-08-27,-45400337.84,99607662.16,0.9960766216
2014-08-28,19673059.12,100061059.12,1.0006105912
2014-08-29,19673059.12,99725059.12,0.9972505912
2014-09-01,19673059.12,99851059.12,0.9985105912
2014-09-02,19673059.12,100061059.12,1.0006105912
2014-09-03,19673059.12,99977059.12,0.9997705912
2014-09-04,19673059.12,100229059.12,1.0022905912
2014-09-05,-7485854.48,101154145.52,1.0115414552
2014-09-09,-7485854.48,100426145.52,1.0042614552
2014-09-10,-7485854.48,101154145.52,1.0115414552
2014-09-11,581822.8,105465822.8,1.054658228
2014-09-12,581822.8,107597822.8,1.075978228
2014-09-15,581822.8,106973822.8,1.069738228
2014-09-16,581822.8,106245822.8,1.062458228
2014-09-17,581822.8,106609822.8,1.066098228
2014-09-18,581822.8,105933822.8,1.059338228
2014-09-19,103853822.8,103853822.8,1.038538228
2014-09-22,103853822.8,103853822.8,1.038538228
2014-09-23,103853822.8,103853822.8,1.038538228
2014-09-24,103853822.8,103853822.8,1.038538228
2014-09-25,103853822.8,103853822.8,1.038538228
2014-09-26,103853822.8,103853822.8,1.038538228
2014-09-29,103853822.8,103853822.8,1.038538228
2014-09-30,103853822.8,103853822.8,1.038538228
2014-10-08,103853822.8,103853822.8,1.038538228
2014-10-09,103853822.8,103853822.8,1.038538228
2014-10-10,103853822.8,103853822.8,1.038538228
2014-10-13,103853822.8,103853822.8,1.038538228
2014-10-14,103853822.8,103853822.8,1.038538228
