,cash,float_capital,net_value
2010-03-22,100000000.0,100000000.0,1.0
2010-03-23,100000000.0,100000000.0,1.0
2010-03-24,100000000.0,100000000.0,1.0
2010-03-25,100000000.0,100000000.0,1.0
2010-03-26,100000000.0,100000000.0,1.0
2010-03-29,-88082941.8,100000058.2,1.000000582
2010-03-30,-88082941.8,99224058.2,0.992240582
2010-03-31,-88082941.8,98933058.2,0.989330582
2010-04-01,-88082941.8,99321058.2,0.993210582
2010-04-02,-88082941.8,99515058.2,0.995150582
2010-04-06,-88082941.8,99903058.2,0.999030582
2010-04-07,-88082941.8,99321058.2,0.993210582
2010-04-08,96896100.8,96896100.8,0.968961008
2010-04-09,96896100.8,96896100.8,0.968961008
2010-04-12,96896100.8,96896100.8,0.968961008
2010-04-13,96896100.8,96896100.8,0.968961008
2010-04-14,96896100.8,96896100.8,0.968961008
2010-04-15,96896100.8,96896100.8,0.968961008
2010-04-16,96896100.8,96896100.8,0.968961008
2010-04-19,96896100.8,96896100.8,0.968961008
2010-04-20,96896100.8,96896100.8,0.968961008
2010-04-21,96896100.8,96896100.8,0.968961008
2010-04-22,96896100.8,96896100.8,0.968961008
2010-04-23,96896100.8,96896100.8,0.968961008
2010-04-26,96896100.8,96896100.8,0.968961008
2010-04-27,-52175853.0,96896147.0,0.96896147
2010-04-28,-52175853.0,96049147.0,0.96049147
2010-04-29,-52175853.0,95510147.0,0.95510147
2010-04-30,-52175853.0,95741147.0,0.95741147
2010-05-04,-52175853.0,95818147.0,0.95818147
2010-05-05,-52175853.0,96357147.0,0.96357147
2010-05-06,-52175853.0,95972147.0,0.95972147
2010-05-07,-52175853.0,96203147.0,0.96203147
2010-05-10,23757123.6,97743123.6,0.977431236
2010-05-11,23757123.6,97325123.6,0.973251236
2010-05-12,23757123.6,97515123.6,0.975151236
2010-05-13,23757123.6,97439123.6,0.974391236
2010-05-14,23757123.6,97363123.6,0.973631236
2010-05-17,23757123.6,97401123.6,0.974011236
2010-05-18,23757123.6,97781123.6,0.977811236
2010-05-19,-7618866.8,98275133.2,0.982751332
2010-05-20,2251130.2,98977130.2,0.989771302
2010-05-21,2251130.2,99124130.2,0.991241302
2010-05-24,2251130.2,98732130.2,0.987321302
2010-05-25,2251130.2,98095130.2,0.980951302
2010-05-26,2251130.2,98487130.2,0.984871302
2010-05-27,2251130.2,98193130.2,0.981931302
2010-05-28,97360129.6,97360129.6,0.973601296
2010-05-31,97360129.6,97360129.6,0.973601296
2010-06-01,97360129.6,97360129.6,0.973601296
2010-06-02,97360129.6,97360129.6,0.973601296
2010-06-03,97360129.6,97360129.6,0.973601296
2010-06-04,97360129.6,97360129.6,0.973601296
2010-06-07,97360129.6,97360129.6,0.973601296
2010-06-08,97360129.6,97360129.6,0.973601296
2010-06-09,97360129.6,97360129.6,0.973601296
2010-06-10,97360129.6,97360129.6,0.973601296
2010-06-11,97360129.6,97360129.6,0.973601296
2010-06-17,97360129.6,97360129.6,0.973601296
2010-06-18,97360129.6,97360129.6,0.973601296
2010-06-21,97360129.6,97360129.6,0.973601296
2010-06-22,97360129.6,97360129.6,0.973601296
2010-06-23,97360129.6,97360129.6,0.973601296
2010-06-24,-22981833.2,97360166.8,0.973601668
2010-06-25,-22981833.2,97608166.8,0.976081668
2010-06-28,-22981833.2,96306166.8,0.963061668
2010-06-29,-22981833.2,95686166.8,0.956861668
2010-06-30,-22981833.2,95996166.8,0.959961668
2010-07-01,-22981833.2,96492166.8,0.964921668
2010-07-02,-22981833.2,97236166.8,0.972361668
2010-07-05,-22981833.2,97174166.8,0.971741668
2010-07-06,-22981833.2,97484166.8,0.974841668
2010-07-07,6253157.8,97856157.8,0.978561578
2010-07-08,6253157.8,98044157.8,0.980441578
2010-07-09,-1638839.8,98984160.2,0.989841602
2010-07-12,347159.6,99647159.6,0.996471596
2010-07-13,347159.6,98797159.6,0.987971596
2010-07-14,347159.6,98247159.6,0.982471596
2010-07-15,347159.6,98247159.6,0.982471596
2010-07-16,347159.6,99647159.6,0.996471596
2010-07-19,347159.6,99547159.6,0.995471596
2010-07-20,347159.6,99997159.6,0.999971596
2010-07-21,347159.6,99647159.6,0.996471596
2010-07-22,347159.6,99647159.6,0.996471596
2010-07-23,347159.6,99897159.6,0.998971596
2010-07-26,347159.6,100247159.6,1.002471596
2010-07-27,347159.6,99847159.6,0.998471596
2010-07-28,347159.6,100197159.6,1.001971596
2010-07-29,347159.6,100047159.6,1.000471596
2010-07-30,347159.6,99897159.6,0.998971596
2010-08-02,347159.6,101447159.6,1.014471596
2010-08-03,347159.6,101097159.6,1.010971596
2010-08-04,347159.6,101847159.6,1.018471596
2010-08-05,347159.6,101397159.6,1.013971596
2010-08-06,347159.6,101947159.6,1.019471596
2010-08-09,347159.6,101897159.6,1.018971596
2010-08-10,347159.6,101547159.6,1.015471596
2010-08-11,347159.6,101297159.6,1.012971596
2010-08-12,347159.6,101547159.6,1.015471596
2010-08-13,347159.6,101997159.6,1.019971596
2010-08-16,347159.6,103147159.6,1.031471596
2010-08-17,347159.6,103347159.6,1.033471596
2010-08-18,347159.6,102847159.6,1.028471596
