,cash,float_capital,net_value
2010-03-22,100000000.0,100000000.0,1.0
2010-03-23,100000000.0,100000000.0,1.0
2010-03-24,100000000.0,100000000.0,1.0
2010-03-25,100000000.0,100000000.0,1.0
2010-03-26,100000000.0,100000000.0,1.0
2010-03-29,100000000.0,100000000.0,1.0
2010-03-30,100000000.0,100000000.0,1.0
2010-03-31,100000000.0,100000000.0,1.0
2010-04-01,100000000.0,100000000.0,1.0
2010-04-02,100000000.0,100000000.0,1.0
2010-04-06,100000000.0,100000000.0,1.0
2010-04-07,100000000.0,100000000.0,1.0
2010-04-08,100000000.0,100000000.0,1.0
2010-04-09,100000000.0,100000000.0,1.0
2010-04-12,100000000.0,100000000.0,1.0
2010-04-13,100000000.0,100000000.0,1.0
2010-04-14,100000000.0,100000000.0,1.0
2010-04-15,100000000.0,100000000.0,1.0
2010-04-16,100000000.0,100000000.0,1.0
2010-04-19,100000000.0,100000000.0,1.0
2010-04-20,100000000.0,100000000.0,1.0
2010-04-21,100000000.0,100000000.0,1.0
2010-04-22,100000000.0,100000000.0,1.0
2010-04-23,100000000.0,100000000.0,1.0
2010-04-26,100000000.0,100000000.0,1.0
2010-04-27,100000000.0,100000000.0,1.0
2010-04-28,100000000.0,100000000.0,1.0
2010-04-29,-23599935.5,100000064.5,1.000000645
2010-04-30,-23599935.5,100112564.5,1.001125645
2010-05-04,-23599935.5,99475064.5,0.994750645
2010-05-05,-23599935.5,98537564.5,0.985375645
2010-05-06,-23599935.5,98200064.5,0.982000645
2010-05-07,97187590.3,97187590.3,0.971875903
2010-05-10,97187590.3,97187590.3,0.971875903
2010-05-11,97187590.3,97187590.3,0.971875903
2010-05-12,97187590.3,97187590.3,0.971875903
2010-05-13,97187590.3,97187590.3,0.971875903
2010-05-14,97187590.3,97187590.3,0.971875903
2010-05-17,97187590.3,97187590.3,0.971875903
2010-05-18,-2562358.1,97187641.9,0.971876419
2010-05-19,-2562358.1,97817641.9,0.978176419
2010-05-20,-2562358.1,97067641.9,0.970676419
2010-05-21,-2562358.1,96167641.9,0.961676419
2010-05-24,95177641.9,95177641.9,0.951776419
2010-05-25,95177641.9,95177641.9,0.951776419
2010-05-26,95177641.9,95177641.9,0.951776419
2010-05-27,95177641.9,95177641.9,0.951776419
2010-05-28,95177641.9,95177641.9,0.951776419
2010-05-31,95177641.9,95177641.9,0.951776419
2010-06-01,95177641.9,95177641.9,0.951776419
2010-06-02,95177641.9,95177641.9,0.951776419
2010-06-03,95177641.9,95177641.9,0.951776419
2010-06-04,95177641.9,95177641.9,0.951776419
2010-06-07,95177641.9,95177641.9,0.951776419
2010-06-08,95177641.9,95177641.9,0.951776419
2010-06-09,95177641.9,95177641.9,0.951776419
2010-06-10,95177641.9,95177641.9,0.951776419
2010-06-11,95177641.9,95177641.9,0.951776419
2010-06-17,95177641.9,95177641.9,0.951776419
2010-06-18,95177641.9,95177641.9,0.951776419
2010-06-21,95177641.9,95177641.9,0.951776419
2010-06-22,95177641.9,95177641.9,0.951776419
2010-06-23,95177641.9,95177641.9,0.951776419
2010-06-24,95177641.9,95177641.9,0.951776419
2010-06-25,95177641.9,95177641.9,0.951776419
2010-06-28,95177641.9,95177641.9,0.951776419
2010-06-29,95177641.9,95177641.9,0.951776419
2010-06-30,95177641.9,95177641.9,0.951776419
2010-07-01,95177641.9,95177641.9,0.951776419
2010-07-02,95177641.9,95177641.9,0.951776419
2010-07-05,95177641.9,95177641.9,0.951776419
2010-07-06,95177641.9,95177641.9,0.951776419
2010-07-07,95177641.9,95177641.9,0.951776419
2010-07-08,95177641.9,95177641.9,0.951776419
2010-07-09,95177641.9,95177641.9,0.951776419
2010-07-12,95177641.9,95177641.9,0.951776419
2010-07-13,95177641.9,95177641.9,0.951776419
2010-07-14,95177641.9,95177641.9,0.951776419
2010-07-15,95177641.9,95177641.9,0.951776419
2010-07-16,95177641.9,95177641.9,0.951776419
2010-07-19,95177641.9,95177641.9,0.951776419
2010-07-20,95177641.9,95177641.9,0.951776419
2010-07-21,95177641.9,95177641.9,0.951776419
2010-07-22,95177641.9,95177641.9,0.951776419
2010-07-23,95177641.9,95177641.9,0.951776419
2010-07-26,95177641.9,95177641.9,0.951776419
2010-07-27,95177641.9,95177641.9,0.951776419
2010-07-28,95177641.9,95177641.9,0.951776419
2010-07-29,95177641.9,95177641.9,0.951776419
2010-07-30,95177641.9,95177641.9,0.951776419
2010-08-02,7425189.2,95177689.2,0.951776892
2010-08-03,7425189.2,95397689.2,0.953976892
2010-08-04,7425189.2,95507689.2,0.955076892
2010-08-05,7425189.2,95040189.2,0.950401892
2010-08-06,7425189.2,95617689.2,0.956176892
2010-08-09,7425189.2,95562689.2,0.955626892
2010-08-10,7425189.2,96085189.2,0.960851892
2010-08-11,7425189.2,96387689.2,0.963876892
2010-08-12,7425189.2,96332689.2,0.963326892
2010-08-13,7425189.2,97790189.2,0.977901892
2010-08-16,7425189.2,97900189.2,0.979001892
2010-08-17,7425189.2,97625189.2,0.976251892
2010-08-18,7425189.2,97707689.2,0.977076892
2010-08-19,7425189.2,97707689.2,0.977076892
2010-08-20,7425189.2,96470189.2,0.964701892
