,cash,float_capital,net_value
2015-03-10,100000000.0,100000000.0,1.0
2015-03-11,24704019.5,100000019.5,1.000000195
2015-03-12,24704019.5,99948019.5,0.999480195
2015-03-13,24704019.5,100364019.5,1.003640195
2015-03-16,7154024.0,100754024.0,1.00754024
2015-03-17,7154024.0,100914024.0,1.00914024
2015-03-18,7154024.0,99858024.0,0.99858024
2015-03-19,7154024.0,99602024.0,0.99602024
2015-03-20,7154024.0,99954024.0,0.99954024
2015-03-23,7154024.0,100338024.0,1.00338024
2015-03-24,4181024.75,102290024.75,1.0229002475
2015-03-25,4181024.75,101927024.75,1.0192702475
2015-03-26,4181024.75,102323024.75,1.0232302475
2015-03-27,4181024.75,103511024.75,1.0351102475
2015-03-30,4181024.75,103742024.75,1.0374202475
2015-03-31,4181024.75,103445024.75,1.0344502475
2015-04-01,4181024.75,101432024.75,1.0143202475
2015-04-02,4181024.75,101102024.75,1.0110202475
2015-04-03,4181024.75,101201024.75,1.0120102475
2015-04-07,4181024.75,101036024.75,1.0103602475
2015-04-08,99848024.75,99848024.75,0.9984802475
2015-04-09,99848024.75,99848024.75,0.9984802475
2015-04-10,99848024.75,99848024.75,0.9984802475
2015-04-13,99848024.75,99848024.75,0.9984802475
2015-04-14,99848024.75,99848024.75,0.9984802475
2015-04-15,99848024.75,99848024.75,0.9984802475
2015-04-16,99848024.75,99848024.75,0.9984802475
2015-04-17,99848024.75,99848024.75,0.9984802475
2015-04-20,99848024.75,99848024.75,0.9984802475
2015-04-21,99848024.75,99848024.75,0.9984802475
2015-04-22,99848024.75,99848024.75,0.9984802475
2015-04-23,99848024.75,99848024.75,0.9984802475
2015-04-24,99848024.75,99848024.75,0.9984802475
2015-04-27,99848024.75,99848024.75,0.9984802475
2015-04-28,99848024.75,99848024.75,0.9984802475
2015-04-29,99848024.75,99848024.75,0.9984802475
2015-04-30,99848024.75,99848024.75,0.9984802475
2015-05-04,26598043.5,99848043.5,0.998480435
2015-05-05,26598043.5,99923043.5,0.999230435
2015-05-06,26598043.5,99898043.5,0.998980435
2015-05-07,26598043.5,100198043.5,1.001980435
2015-05-08,26598043.5,99848043.5,0.998480435
2015-05-11,26598043.5,99773043.5,0.997730435
2015-05-12,26598043.5,100198043.5,1.001980435
2015-05-13,5941048.75,100373048.75,1.0037304875
2015-05-14,5941048.75,100661048.75,1.0066104875
2015-05-15,5941048.75,100629048.75,1.0062904875
2015-05-18,5941048.75,100277048.75,1.0027704875
2015-05-19,5941048.75,100405048.75,1.0040504875
2015-05-20,5941048.75,100117048.75,1.0011704875
2015-05-21,5941048.75,100213048.75,1.0021304875
2015-05-22,5941048.75,99989048.75,0.9998904875
2015-05-25,98645045.75,98645045.75,0.9864504575
2015-05-26,98645045.75,98645045.75,0.9864504575
2015-05-27,98645045.75,98645045.75,0.9864504575
2015-05-28,98645045.75,98645045.75,0.9864504575
2015-05-29,98645045.75,98645045.75,0.9864504575
2015-06-01,98645045.75,98645045.75,0.9864504575
2015-06-02,98645045.75,98645045.75,0.9864504575
2015-06-03,98645045.75,98645045.75,0.9864504575
2015-06-04,98645045.75,98645045.75,0.9864504575
2015-06-05,98645045.75,98645045.75,0.9864504575
2015-06-08,98645045.75,98645045.75,0.9864504575
2015-06-09,98645045.75,98645045.75,0.9864504575
2015-06-10,98645045.75,98645045.75,0.9864504575
2015-06-11,98645045.75,98645045.75,0.9864504575
2015-06-12,98645045.75,98645045.75,0.9864504575
2015-06-15,98645045.75,98645045.75,0.9864504575
2015-06-16,98645045.75,98645045.75,0.9864504575
2015-06-17,98645045.75,98645045.75,0.9864504575
2015-06-18,98645045.75,98645045.75,0.9864504575
2015-06-19,98645045.75,98645045.75,0.9864504575
2015-06-23,98645045.75,98645045.75,0.9864504575
2015-06-24,98645045.75,98645045.75,0.9864504575
2015-06-25,98645045.75,98645045.75,0.9864504575
2015-06-26,98645045.75,98645045.75,0.9864504575
2015-06-29,98645045.75,98645045.75,0.9864504575
2015-06-30,98645045.75,98645045.75,0.9864504575
2015-07-01,98645045.75,98645045.75,0.9864504575
2015-07-02,98645045.75,98645045.75,0.9864504575
2015-07-03,98645045.75,98645045.75,0.9864504575
2015-07-06,98645045.75,98645045.75,0.9864504575
2015-07-07,98645045.75,98645045.75,0.9864504575
2015-07-08,98645045.75,98645045.75,0.9864504575
2015-07-09,98645045.75,98645045.75,0.9864504575
2015-07-10,98645045.75,98645045.75,0.9864504575
2015-07-13,98645045.75,98645045.75,0.9864504575
2015-07-14,98645045.75,98645045.75,0.9864504575
