,cash,float_capital,net_value
2010-03-22,100000000.0,100000000.0,1.0
2010-03-23,100000000.0,100000000.0,1.0
2010-03-24,100000000.0,100000000.0,1.0
2010-03-25,100000000.0,100000000.0,1.0
2010-03-26,100000000.0,100000000.0,1.0
2010-03-29,38123094.0,100003094.0,1.00003094
2010-03-30,38123094.0,99953094.0,0.99953094
2010-03-31,38123094.0,99533094.0,0.99533094
2010-04-01,38123094.0,100423094.0,1.00423094
2010-04-02,38123094.0,101003094.0,1.01003094
2010-04-06,38123094.0,101273094.0,1.01273094
2010-04-07,38123094.0,101013094.0,1.01013094
2010-04-08,38123094.0,99993094.0,0.99993094
2010-04-09,38123094.0,100833094.0,1.00833094
2010-04-12,38123094.0,100833094.0,1.00833094
2010-04-13,38123094.0,100383094.0,1.00383094
2010-04-14,38123094.0,100483094.0,1.00483094
2010-04-15,38123094.0,100493094.0,1.00493094
2010-04-16,38123094.0,100253094.0,1.00253094
2010-04-19,97973094.0,97973094.0,0.97973094
2010-04-20,97973094.0,97973094.0,0.97973094
2010-04-21,97973094.0,97973094.0,0.97973094
2010-04-22,97973094.0,97973094.0,0.97973094
2010-04-23,97973094.0,97973094.0,0.97973094
2010-04-26,97973094.0,97973094.0,0.97973094
2010-04-27,97973094.0,97973094.0,0.97973094
2010-04-28,97973094.0,97973094.0,0.97973094
2010-04-29,97973094.0,97973094.0,0.97973094
2010-04-30,97973094.0,97973094.0,0.97973094
2010-05-04,97973094.0,97973094.0,0.97973094
2010-05-05,97973094.0,97973094.0,0.97973094
2010-05-06,97973094.0,97973094.0,0.97973094
2010-05-07,97973094.0,97973094.0,0.97973094
2010-05-10,97973094.0,97973094.0,0.97973094
2010-05-11,97973094.0,97973094.0,0.97973094
2010-05-12,97973094.0,97973094.0,0.97973094
2010-05-13,97973094.0,97973094.0,0.97973094
2010-05-14,97973094.0,97973094.0,0.97973094
2010-05-17,97973094.0,97973094.0,0.97973094
2010-05-18,97973094.0,97973094.0,0.97973094
2010-05-19,97973094.0,97973094.0,0.97973094
2010-05-20,97973094.0,97973094.0,0.97973094
2010-05-21,97973094.0,97973094.0,0.97973094
2010-05-24,97973094.0,97973094.0,0.97973094
2010-05-25,97973094.0,97973094.0,0.97973094
2010-05-26,97973094.0,97973094.0,0.97973094
2010-05-27,97973094.0,97973094.0,0.97973094
2010-05-28,97973094.0,97973094.0,0.97973094
2010-05-31,97973094.0,97973094.0,0.97973094
2010-06-01,97973094.0,97973094.0,0.97973094
2010-06-02,97973094.0,97973094.0,0.97973094
2010-06-03,97973094.0,97973094.0,0.97973094
2010-06-04,97973094.0,97973094.0,0.97973094
2010-06-07,97973094.0,97973094.0,0.97973094
2010-06-08,97973094.0,97973094.0,0.97973094
2010-06-09,97973094.0,97973094.0,0.97973094
2010-06-10,97973094.0,97973094.0,0.97973094
2010-06-11,97973094.0,97973094.0,0.97973094
2010-06-17,97973094.0,97973094.0,0.97973094
2010-06-18,97973094.0,97973094.0,0.97973094
2010-06-21,97973094.0,97973094.0,0.97973094
2010-06-22,97973094.0,97973094.0,0.97973094
2010-06-23,97973094.0,97973094.0,0.97973094
2010-06-24,97973094.0,97973094.0,0.97973094
2010-06-25,97973094.0,97973094.0,0.97973094
2010-06-28,71139435.75,97974435.75,0.9797443575
2010-06-29,71139435.75,97464435.75,0.9746443575
2010-06-30,71139435.75,96969435.75,0.9696943575
2010-07-01,96588163.25,96588163.25,0.9658816325
2010-07-02,96588163.25,96588163.25,0.9658816325
2010-07-05,96588163.25,96588163.25,0.9658816325
2010-07-06,96588163.25,96588163.25,0.9658816325
2010-07-07,96588163.25,96588163.25,0.9658816325
2010-07-08,96588163.25,96588163.25,0.9658816325
2010-07-09,96588163.25,96588163.25,0.9658816325
2010-07-12,96588163.25,96588163.25,0.9658816325
2010-07-13,96588163.25,96588163.25,0.9658816325
2010-07-14,96588163.25,96588163.25,0.9658816325
2010-07-15,96588163.25,96588163.25,0.9658816325
2010-07-16,96588163.25,96588163.25,0.9658816325
2010-07-19,96588163.25,96588163.25,0.9658816325
2010-07-20,96588163.25,96588163.25,0.9658816325
2010-07-21,96588163.25,96588163.25,0.9658816325
2010-07-22,42800852.75,96590852.75,0.9659085275
2010-07-23,42800852.75,98060852.75,0.9806085275
2010-07-26,42800852.75,98230852.75,0.9823085275
2010-07-27,42800852.75,97760852.75,0.9776085275
2010-07-28,42800852.75,98860852.75,0.9886085275
2010-07-29,42800852.75,98840852.75,0.9884085275
2010-07-30,42800852.75,98890852.75,0.9889085275
2010-08-02,42800852.75,100200852.75,1.0020085275
2010-08-03,42800852.75,100060852.75,1.0006085275
2010-08-04,42800852.75,100270852.75,1.0027085275
2010-08-05,42800852.75,100010852.75,1.0001085275
2010-08-06,42800852.75,100440852.75,1.0044085275
2010-08-09,42800852.75,100890852.75,1.0089085275
2010-08-10,42800852.75,99850852.75,0.9985085275
2010-08-11,42800852.75,99310852.75,0.9931085275
2010-08-12,98880852.75,98880852.75,0.9888085275
2010-08-13,98880852.75,98880852.75,0.9888085275
2010-08-16,98880852.75,98880852.75,0.9888085275
2010-08-17,98880852.75,98880852.75,0.9888085275
