,cash,float_capital,net_value
2013-02-22,100000000.0,100000000.0,1.0
2013-02-25,100000000.0,100000000.0,1.0
2013-02-26,100000000.0,100000000.0,1.0
2013-02-27,100000000.0,100000000.0,1.0
2013-02-28,100000000.0,100000000.0,1.0
2013-03-01,100000000.0,100000000.0,1.0
2013-03-04,100000000.0,100000000.0,1.0
2013-03-05,100000000.0,100000000.0,1.0
2013-03-06,100000000.0,100000000.0,1.0
2013-03-07,100000000.0,100000000.0,1.0
2013-03-08,100000000.0,100000000.0,1.0
2013-03-11,100000000.0,100000000.0,1.0
2013-03-12,100000000.0,100000000.0,1.0
2013-03-13,100000000.0,100000000.0,1.0
2013-03-14,100000000.0,100000000.0,1.0
2013-03-15,100000000.0,100000000.0,1.0
2013-03-18,100000000.0,100000000.0,1.0
2013-03-19,100000000.0,100000000.0,1.0
2013-03-20,100000000.0,100000000.0,1.0
2013-03-21,100000000.0,100000000.0,1.0
2013-03-22,100000000.0,100000000.0,1.0
2013-03-25,100000000.0,100000000.0,1.0
2013-03-26,100000000.0,100000000.0,1.0
2013-03-27,100000000.0,100000000.0,1.0
2013-03-28,100000000.0,100000000.0,1.0
2013-03-29,100000000.0,100000000.0,1.0
2013-04-01,100000000.0,100000000.0,1.0
2013-04-02,100000000.0,100000000.0,1.0
2013-04-03,100000000.0,100000000.0,1.0
2013-04-08,100000000.0,100000000.0,1.0
2013-04-09,100000000.0,100000000.0,1.0
2013-04-10,100000000.0,100000000.0,1.0
2013-04-11,100000000.0,100000000.0,1.0
2013-04-12,100000000.0,100000000.0,1.0
2013-04-15,100000000.0,100000000.0,1.0
2013-04-16,100000000.0,100000000.0,1.0
2013-04-17,100000000.0,100000000.0,1.0
2013-04-18,100000000.0,100000000.0,1.0
2013-04-19,100000000.0,100000000.0,1.0
2013-04-22,100000000.0,100000000.0,1.0
2013-04-23,100000000.0,100000000.0,1.0
2013-04-24,100000000.0,100000000.0,1.0
2013-04-25,100000000.0,100000000.0,1.0
2013-04-26,100000000.0,100000000.0,1.0
2013-05-02,100000000.0,100000000.0,1.0
2013-05-03,100000000.0,100000000.0,1.0
2013-05-06,100000000.0,100000000.0,1.0
2013-05-07,100000000.0,100000000.0,1.0
2013-05-08,100000000.0,100000000.0,1.0
2013-05-09,100000000.0,100000000.0,1.0
2013-05-10,62872042.0,100000042.0,1.00000042
2013-05-13,62872042.0,100448042.0,1.00448042
2013-05-14,62872042.0,100280042.0,1.00280042
2013-05-15,62872042.0,99664042.0,0.99664042
2013-05-16,41368066.0,100504066.0,1.00504066
2013-05-17,41368066.0,101252066.0,1.01252066
2013-05-20,41368066.0,100856066.0,1.00856066
2013-05-21,24988084.0,101428084.0,1.01428084
2013-05-22,24988084.0,101372084.0,1.01372084
2013-05-23,24988084.0,99748084.0,0.99748084
2013-05-24,24988084.0,99692084.0,0.99692084
2013-05-27,24988084.0,99748084.0,0.99748084
2013-05-28,24988084.0,100252084.0,1.00252084
2013-05-29,24988084.0,99636084.0,0.99636084
2013-05-30,98180072.0,98180072.0,0.98180072
2013-05-31,98180072.0,98180072.0,0.98180072
2013-06-03,98180072.0,98180072.0,0.98180072
2013-06-04,98180072.0,98180072.0,0.98180072
2013-06-05,98180072.0,98180072.0,0.98180072
2013-06-06,98180072.0,98180072.0,0.98180072
2013-06-07,98180072.0,98180072.0,0.98180072
2013-06-13,98180072.0,98180072.0,0.98180072
2013-06-14,98180072.0,98180072.0,0.98180072
2013-06-17,98180072.0,98180072.0,0.98180072
2013-06-18,98180072.0,98180072.0,0.98180072
2013-06-19,98180072.0,98180072.0,0.98180072
2013-06-20,98180072.0,98180072.0,0.98180072
2013-06-21,98180072.0,98180072.0,0.98180072
2013-06-24,98180072.0,98180072.0,0.98180072
2013-06-25,98180072.0,98180072.0,0.98180072
2013-06-26,98180072.0,98180072.0,0.98180072
2013-06-27,98180072.0,98180072.0,0.98180072
2013-06-28,98180072.0,98180072.0,0.98180072
2013-07-01,98180072.0,98180072.0,0.98180072
2013-07-02,98180072.0,98180072.0,0.98180072
2013-07-03,98180072.0,98180072.0,0.98180072
2013-07-04,98180072.0,98180072.0,0.98180072
2013-07-05,98180072.0,98180072.0,0.98180072
2013-07-08,98180072.0,98180072.0,0.98180072
2013-07-09,98180072.0,98180072.0,0.98180072
2013-07-10,98180072.0,98180072.0,0.98180072
2013-07-11,98180072.0,98180072.0,0.98180072
2013-07-12,98180072.0,98180072.0,0.98180072
2013-07-15,98180072.0,98180072.0,0.98180072
2013-07-16,98180072.0,98180072.0,0.98180072
2013-07-17,98180072.0,98180072.0,0.98180072
2013-07-18,98180072.0,98180072.0,0.98180072
2013-07-19,98180072.0,98180072.0,0.98180072
2013-07-22,98180072.0,98180072.0,0.98180072
2013-07-23,98180072.0,98180072.0,0.98180072
2013-07-24,98180072.0,98180072.0,0.98180072
2013-07-25,98180072.0,98180072.0,0.98180072
2013-07-26,98180072.0,98180072.0,0.98180072
