,cash,float_capital,net_value
2014-06-05,100000000.0,100000000.0,1.0
2014-06-06,100000000.0,100000000.0,1.0
2014-06-09,100000000.0,100000000.0,1.0
2014-06-10,100000000.0,100000000.0,1.0
2014-06-11,100000000.0,100000000.0,1.0
2014-06-12,100000000.0,100000000.0,1.0
2014-06-13,100000000.0,100000000.0,1.0
2014-06-16,100000000.0,100000000.0,1.0
2014-06-17,100000000.0,100000000.0,1.0
2014-06-18,100000000.0,100000000.0,1.0
2014-06-19,100000000.0,100000000.0,1.0
2014-06-20,100000000.0,100000000.0,1.0
2014-06-23,5057797.84,100003797.84,1.0000379784
2014-06-24,5057797.84,99539797.84,0.9953979784
2014-06-25,5057797.84,99713797.84,0.9971379784
2014-06-26,1761929.68,100641929.68,1.0064192968
2014-06-27,1761929.68,100161929.68,1.0016192968
2014-06-30,1761929.68,99621929.68,0.9962192968
2014-07-01,1761929.68,99861929.68,0.9986192968
2014-07-02,1761929.68,100281929.68,1.0028192968
2014-07-03,1761929.68,100341929.68,1.0034192968
2014-07-04,1761929.68,100221929.68,1.0022192968
2014-07-07,1761929.68,99861929.68,0.9986192968
2014-07-08,1761929.68,100401929.68,1.0040192968
2014-07-09,1761929.68,99981929.68,0.9998192968
2014-07-10,1761929.68,100881929.68,1.0088192968
2014-07-11,1761929.68,101301929.68,1.0130192968
2014-07-14,1761929.68,101961929.68,1.0196192968
2014-07-15,1761929.68,101841929.68,1.0184192968
2014-07-16,1761929.68,101361929.68,1.0136192968
2014-07-17,1761929.68,100881929.68,1.0088192968
2014-07-18,99321929.68,99321929.68,0.9932192968
2014-07-21,99321929.68,99321929.68,0.9932192968
2014-07-22,99321929.68,99321929.68,0.9932192968
2014-07-23,99321929.68,99321929.68,0.9932192968
2014-07-24,99321929.68,99321929.68,0.9932192968
2014-07-25,99321929.68,99321929.68,0.9932192968
2014-07-28,99321929.68,99321929.68,0.9932192968
2014-07-29,99321929.68,99321929.68,0.9932192968
2014-07-30,99321929.68,99321929.68,0.9932192968
2014-07-31,99321929.68,99321929.68,0.9932192968
2014-08-01,99321929.68,99321929.68,0.9932192968
2014-08-04,99321929.68,99321929.68,0.9932192968
2014-08-05,99321929.68,99321929.68,0.9932192968
2014-08-06,99321929.68,99321929.68,0.9932192968
2014-08-07,99321929.68,99321929.68,0.9932192968
2014-08-08,99321929.68,99321929.68,0.9932192968
2014-08-11,99321929.68,99321929.68,0.9932192968
2014-08-12,99321929.68,99321929.68,0.9932192968
2014-08-13,99321929.68,99321929.68,0.9932192968
2014-08-14,99321929.68,99321929.68,0.9932192968
2014-08-15,99321929.68,99321929.68,0.9932192968
2014-08-18,99321929.68,99321929.68,0.9932192968
2014-08-19,99321929.68,99321929.68,0.9932192968
2014-08-20,99321929.68,99321929.68,0.9932192968
2014-08-21,99321929.68,99321929.68,0.9932192968
2014-08-22,99321929.68,99321929.68,0.9932192968
2014-08-25,99321929.68,99321929.68,0.9932192968
2014-08-26,99321929.68,99321929.68,0.9932192968
2014-08-27,99321929.68,99321929.68,0.9932192968
2014-08-28,99321929.68,99321929.68,0.9932192968
2014-08-29,99321929.68,99321929.68,0.9932192968
2014-09-01,99321929.68,99321929.68,0.9932192968
2014-09-02,99321929.68,99321929.68,0.9932192968
2014-09-03,99321929.68,99321929.68,0.9932192968
2014-09-04,99321929.68,99321929.68,0.9932192968
2014-09-05,99321929.68,99321929.68,0.9932192968
2014-09-09,99321929.68,99321929.68,0.9932192968
2014-09-10,99321929.68,99321929.68,0.9932192968
2014-09-11,99321929.68,99321929.68,0.9932192968
2014-09-12,99321929.68,99321929.68,0.9932192968
