,cash,float_capital,net_value
2013-12-27,100000000.0,100000000.0,1.0
2013-12-30,100000000.0,100000000.0,1.0
2013-12-31,100000000.0,100000000.0,1.0
2014-01-02,100000000.0,100000000.0,1.0
2014-01-03,100000000.0,100000000.0,1.0
2014-01-06,100000000.0,100000000.0,1.0
2014-01-07,100000000.0,100000000.0,1.0
2014-01-08,100000000.0,100000000.0,1.0
2014-01-09,100000000.0,100000000.0,1.0
2014-01-10,100000000.0,100000000.0,1.0
2014-01-13,100000000.0,100000000.0,1.0
2014-01-14,100000000.0,100000000.0,1.0
2014-01-15,100000000.0,100000000.0,1.0
2014-01-16,100000000.0,100000000.0,1.0
2014-01-17,100000000.0,100000000.0,1.0
2014-01-20,100000000.0,100000000.0,1.0
2014-01-21,100000000.0,100000000.0,1.0
2014-01-22,100000000.0,100000000.0,1.0
2014-01-23,100000000.0,100000000.0,1.0
2014-01-24,100000000.0,100000000.0,1.0
2014-01-27,100000000.0,100000000.0,1.0
2014-01-28,100000000.0,100000000.0,1.0
2014-01-29,100000000.0,100000000.0,1.0
2014-01-30,100000000.0,100000000.0,1.0
2014-02-07,100000000.0,100000000.0,1.0
2014-02-10,100000000.0,100000000.0,1.0
2014-02-11,100000000.0,100000000.0,1.0
2014-02-12,100000000.0,100000000.0,1.0
2014-02-13,100000000.0,100000000.0,1.0
2014-02-14,100000000.0,100000000.0,1.0
2014-02-17,100000000.0,100000000.0,1.0
2014-02-18,100000000.0,100000000.0,1.0
2014-02-19,100000000.0,100000000.0,1.0
2014-02-20,100000000.0,100000000.0,1.0
2014-02-21,100000000.0,100000000.0,1.0
2014-02-24,100000000.0,100000000.0,1.0
2014-02-25,100000000.0,100000000.0,1.0
2014-02-26,100000000.0,100000000.0,1.0
2014-02-27,100000000.0,100000000.0,1.0
2014-02-28,100000000.0,100000000.0,1.0
2014-03-03,100000000.0,100000000.0,1.0
2014-03-04,100000000.0,100000000.0,1.0
2014-03-05,100000000.0,100000000.0,1.0
2014-03-06,100000000.0,100000000.0,1.0
2014-03-07,100000000.0,100000000.0,1.0
2014-03-10,100000000.0,100000000.0,1.0
2014-03-11,100000000.0,100000000.0,1.0
2014-03-12,100000000.0,100000000.0,1.0
2014-03-13,100000000.0,100000000.0,1.0
2014-03-14,100000000.0,100000000.0,1.0
2014-03-17,100000000.0,100000000.0,1.0
2014-03-18,100000000.0,100000000.0,1.0
2014-03-19,100000000.0,100000000.0,1.0
2014-03-20,100000000.0,100000000.0,1.0
2014-03-21,100000000.0,100000000.0,1.0
2014-03-24,100000000.0,100000000.0,1.0
2014-03-25,100000000.0,100000000.0,1.0
2014-03-26,100000000.0,100000000.0,1.0
2014-03-27,100000000.0,100000000.0,1.0
2014-03-28,68040958.8,100000958.8,1.000009588
2014-03-31,51801446.0,100521446.0,1.00521446
2014-04-01,51801446.0,100881446.0,1.00881446
2014-04-02,51801446.0,99921446.0,0.99921446
2014-04-03,51801446.0,100821446.0,1.00821446
2014-04-04,35281941.6,101361941.6,1.013619416
2014-04-08,26852194.5,102722194.5,1.027221945
2014-04-09,26852194.5,102182194.5,1.021821945
2014-04-10,26852194.5,101912194.5,1.019121945
2014-04-11,26852194.5,101732194.5,1.017321945
2014-04-14,26852194.5,100742194.5,1.007421945
2014-04-15,26852194.5,101552194.5,1.015521945
2014-04-16,26852194.5,100202194.5,1.002021945
2014-04-17,26852194.5,100022194.5,1.000221945
2014-04-18,98761954.8,98761954.8,0.987619548
2014-04-21,98761954.8,98761954.8,0.987619548
2014-04-22,98761954.8,98761954.8,0.987619548
2014-04-23,98761954.8,98761954.8,0.987619548
2014-04-24,98761954.8,98761954.8,0.987619548
2014-04-25,98761954.8,98761954.8,0.987619548
2014-04-28,98761954.8,98761954.8,0.987619548
2014-04-29,98761954.8,98761954.8,0.987619548
2014-04-30,98761954.8,98761954.8,0.987619548
2014-05-05,98761954.8,98761954.8,0.987619548
2014-05-06,98761954.8,98761954.8,0.987619548
2014-05-07,98761954.8,98761954.8,0.987619548
2014-05-08,98761954.8,98761954.8,0.987619548
2014-05-09,98761954.8,98761954.8,0.987619548
2014-05-12,98761954.8,98761954.8,0.987619548
2014-05-13,98761954.8,98761954.8,0.987619548
2014-05-14,98761954.8,98761954.8,0.987619548
2014-05-15,98761954.8,98761954.8,0.987619548
2014-05-16,98761954.8,98761954.8,0.987619548
2014-05-19,98761954.8,98761954.8,0.987619548
2014-05-20,98761954.8,98761954.8,0.987619548
2014-05-21,98761954.8,98761954.8,0.987619548
2014-05-22,98761954.8,98761954.8,0.987619548
2014-05-23,98761954.8,98761954.8,0.987619548
2014-05-26,98761954.8,98761954.8,0.987619548
2014-05-27,98761954.8,98761954.8,0.987619548
2014-05-28,98761954.8,98761954.8,0.987619548
2014-05-29,98761954.8,98761954.8,0.987619548
2014-05-30,98761954.8,98761954.8,0.987619548
2014-06-03,98761954.8,98761954.8,0.987619548
2014-06-04,98761954.8,98761954.8,0.987619548
2014-06-05,98761954.8,98761954.8,0.987619548
2014-06-06,98761954.8,98761954.8,0.987619548
2014-06-09,98761954.8,98761954.8,0.987619548
2014-06-10,98761954.8,98761954.8,0.987619548
2014-06-11,98761954.8,98761954.8,0.987619548
2014-06-12,98761954.8,98761954.8,0.987619548
2014-06-13,98761954.8,98761954.8,0.987619548
2014-06-16,98761954.8,98761954.8,0.987619548
2014-06-17,98761954.8,98761954.8,0.987619548
2014-06-18,98761954.8,98761954.8,0.987619548
2014-06-19,98761954.8,98761954.8,0.987619548
2014-06-20,98761954.8,98761954.8,0.987619548
2014-06-23,98761954.8,98761954.8,0.987619548
2014-06-24,98761954.8,98761954.8,0.987619548
2014-06-25,98761954.8,98761954.8,0.987619548
2014-06-26,47313498.3,98763498.3,0.987634983
2014-06-27,47313498.3,98063498.3,0.980634983
2014-06-30,47313498.3,97153498.3,0.971534983
2014-07-01,47313498.3,97643498.3,0.976434983
2014-07-02,47313498.3,98693498.3,0.986934983
2014-07-03,47313498.3,98413498.3,0.984134983
2014-07-04,47313498.3,98343498.3,0.983434983
2014-07-07,47313498.3,98063498.3,0.980634983
2014-07-08,47313498.3,98973498.3,0.989734983
2014-07-09,47313498.3,97713498.3,0.977134983
2014-07-10,47313498.3,97923498.3,0.979234983
2014-07-11,47313498.3,98413498.3,0.984134983
2014-07-14,47313498.3,98553498.3,0.985534983
2014-07-15,47313498.3,98693498.3,0.986934983
2014-07-16,47313498.3,98763498.3,0.987634983
2014-07-17,47313498.3,98273498.3,0.982734983
2014-07-18,96452234.7,96452234.7,0.964522347
2014-07-21,96452234.7,96452234.7,0.964522347
2014-07-22,96452234.7,96452234.7,0.964522347
2014-07-23,96452234.7,96452234.7,0.964522347
2014-07-24,96452234.7,96452234.7,0.964522347
2014-07-25,96452234.7,96452234.7,0.964522347
2014-07-28,96452234.7,96452234.7,0.964522347
2014-07-29,96452234.7,96452234.7,0.964522347
2014-07-30,96452234.7,96452234.7,0.964522347
2014-07-31,96452234.7,96452234.7,0.964522347
2014-08-01,96452234.7,96452234.7,0.964522347
2014-08-04,96452234.7,96452234.7,0.964522347
2014-08-05,96452234.7,96452234.7,0.964522347
2014-08-06,96452234.7,96452234.7,0.964522347
2014-08-07,96452234.7,96452234.7,0.964522347
2014-08-08,96452234.7,96452234.7,0.964522347
2014-08-11,96452234.7,96452234.7,0.964522347
2014-08-12,96452234.7,96452234.7,0.964522347
2014-08-13,96452234.7,96452234.7,0.964522347
2014-08-14,96452234.7,96452234.7,0.964522347
2014-08-15,96452234.7,96452234.7,0.964522347
