,cash,float_capital,net_value
2015-06-29,100000000.0,100000000.0,1.0
2015-06-30,100000000.0,100000000.0,1.0
2015-07-01,100000000.0,100000000.0,1.0
2015-07-02,100000000.0,100000000.0,1.0
2015-07-03,100000000.0,100000000.0,1.0
2015-07-06,100000000.0,100000000.0,1.0
2015-07-07,100000000.0,100000000.0,1.0
2015-07-08,100000000.0,100000000.0,1.0
2015-07-09,100000000.0,100000000.0,1.0
2015-07-10,100000000.0,100000000.0,1.0
2015-07-13,100000000.0,100000000.0,1.0
2015-07-14,100000000.0,100000000.0,1.0
2015-07-15,100000000.0,100000000.0,1.0
2015-07-16,100000000.0,100000000.0,1.0
2015-07-17,100000000.0,100000000.0,1.0
2015-07-20,100000000.0,100000000.0,1.0
2015-07-21,100000000.0,100000000.0,1.0
2015-07-22,100000000.0,100000000.0,1.0
2015-07-23,100000000.0,100000000.0,1.0
2015-07-24,100000000.0,100000000.0,1.0
2015-07-27,100000000.0,100000000.0,1.0
2015-07-28,100000000.0,100000000.0,1.0
2015-07-29,100000000.0,100000000.0,1.0
2015-07-30,100000000.0,100000000.0,1.0
2015-07-31,100000000.0,100000000.0,1.0
2015-08-03,100000000.0,100000000.0,1.0
2015-08-04,100000000.0,100000000.0,1.0
2015-08-05,100000000.0,100000000.0,1.0
2015-08-06,100000000.0,100000000.0,1.0
2015-08-07,100000000.0,100000000.0,1.0
2015-08-10,100000000.0,100000000.0,1.0
2015-08-11,100000000.0,100000000.0,1.0
2015-08-12,100000000.0,100000000.0,1.0
2015-08-13,100000000.0,100000000.0,1.0
2015-08-14,100000000.0,100000000.0,1.0
2015-08-17,100000000.0,100000000.0,1.0
2015-08-18,100000000.0,100000000.0,1.0
2015-08-19,100000000.0,100000000.0,1.0
2015-08-20,100000000.0,100000000.0,1.0
2015-08-21,100000000.0,100000000.0,1.0
2015-08-24,100000000.0,100000000.0,1.0
2015-08-25,100000000.0,100000000.0,1.0
2015-08-26,100000000.0,100000000.0,1.0
2015-08-27,100000000.0,100000000.0,1.0
2015-08-28,100000000.0,100000000.0,1.0
2015-08-31,100000000.0,100000000.0,1.0
2015-09-01,100000000.0,100000000.0,1.0
2015-09-02,100000000.0,100000000.0,1.0
2015-09-07,100000000.0,100000000.0,1.0
2015-09-08,100000000.0,100000000.0,1.0
2015-09-09,100000000.0,100000000.0,1.0
2015-09-10,100000000.0,100000000.0,1.0
2015-09-11,100000000.0,100000000.0,1.0
2015-09-14,100000000.0,100000000.0,1.0
2015-09-15,100000000.0,100000000.0,1.0
2015-09-16,100000000.0,100000000.0,1.0
2015-09-17,100000000.0,100000000.0,1.0
2015-09-18,100000000.0,100000000.0,1.0
2015-09-21,100000000.0,100000000.0,1.0
2015-09-22,100000000.0,100000000.0,1.0
2015-09-23,100000000.0,100000000.0,1.0
2015-09-24,100000000.0,100000000.0,1.0
