,cash,float_capital,net_value
2011-06-29,100000000.0,100000000.0,1.0
2011-06-30,100000000.0,100000000.0,1.0
2011-07-01,100000000.0,100000000.0,1.0
2011-07-04,100000000.0,100000000.0,1.0
2011-07-05,100000000.0,100000000.0,1.0
2011-07-06,8337749.95,100002749.95,1.0000274995
2011-07-07,8337749.95,99072749.95,0.9907274995
2011-07-08,8337749.95,98952749.95,0.9895274995
2011-07-11,8337749.95,98862749.95,0.9886274995
2011-07-12,8337749.95,98652749.95,0.9865274995
2011-07-13,8337749.95,99042749.95,0.9904274995
2011-07-14,8337749.95,98892749.95,0.9889274995
2011-07-15,8337749.95,98832749.95,0.9883274995
2011-07-18,8337749.95,98892749.95,0.9889274995
2011-07-19,8337749.95,98892749.95,0.9889274995
2011-07-20,8337749.95,98682749.95,0.9868274995
2011-07-21,98322749.95,98322749.95,0.9832274995
2011-07-22,98322749.95,98322749.95,0.9832274995
2011-07-25,98322749.95,98322749.95,0.9832274995
2011-07-26,98322749.95,98322749.95,0.9832274995
2011-07-27,98322749.95,98322749.95,0.9832274995
2011-07-28,98322749.95,98322749.95,0.9832274995
2011-07-29,98322749.95,98322749.95,0.9832274995
2011-08-01,98322749.95,98322749.95,0.9832274995
2011-08-02,98322749.95,98322749.95,0.9832274995
2011-08-03,98322749.95,98322749.95,0.9832274995
2011-08-04,-112825915.4,98329084.6,0.983290846
2011-08-05,-112825915.4,97909084.6,0.979090846
2011-08-08,96031615.3,96031615.3,0.960316153
2011-08-09,96031615.3,96031615.3,0.960316153
2011-08-10,96031615.3,96031615.3,0.960316153
2011-08-11,96031615.3,96031615.3,0.960316153
2011-08-12,96031615.3,96031615.3,0.960316153
2011-08-15,96031615.3,96031615.3,0.960316153
2011-08-16,96031615.3,96031615.3,0.960316153
2011-08-17,96031615.3,96031615.3,0.960316153
2011-08-18,96031615.3,96031615.3,0.960316153
2011-08-19,96031615.3,96031615.3,0.960316153
2011-08-22,96031615.3,96031615.3,0.960316153
2011-08-23,96031615.3,96031615.3,0.960316153
2011-08-24,96031615.3,96031615.3,0.960316153
2011-08-25,96031615.3,96031615.3,0.960316153
2011-08-26,96031615.3,96031615.3,0.960316153
2011-08-29,96031615.3,96031615.3,0.960316153
2011-08-30,96031615.3,96031615.3,0.960316153
2011-08-31,96031615.3,96031615.3,0.960316153
2011-09-01,96031615.3,96031615.3,0.960316153
2011-09-02,96031615.3,96031615.3,0.960316153
2011-09-05,96031615.3,96031615.3,0.960316153
2011-09-06,96031615.3,96031615.3,0.960316153
2011-09-07,96031615.3,96031615.3,0.960316153
2011-09-08,96031615.3,96031615.3,0.960316153
2011-09-09,96031615.3,96031615.3,0.960316153
2011-09-13,96031615.3,96031615.3,0.960316153
2011-09-14,96031615.3,96031615.3,0.960316153
2011-09-15,96031615.3,96031615.3,0.960316153
2011-09-16,96031615.3,96031615.3,0.960316153
2011-09-19,96031615.3,96031615.3,0.960316153
2011-09-20,96031615.3,96031615.3,0.960316153
2011-09-21,96031615.3,96031615.3,0.960316153
2011-09-22,96031615.3,96031615.3,0.960316153
2011-09-23,96031615.3,96031615.3,0.960316153
2011-09-26,96031615.3,96031615.3,0.960316153
2011-09-27,96031615.3,96031615.3,0.960316153
2011-09-28,96031615.3,96031615.3,0.960316153
2011-09-29,96031615.3,96031615.3,0.960316153
2011-09-30,96031615.3,96031615.3,0.960316153
2011-10-10,96031615.3,96031615.3,0.960316153
2011-10-11,96031615.3,96031615.3,0.960316153
2011-10-12,96031615.3,96031615.3,0.960316153
2011-10-13,96031615.3,96031615.3,0.960316153
2011-10-14,96031615.3,96031615.3,0.960316153
2011-10-17,96031615.3,96031615.3,0.960316153
2011-10-18,96031615.3,96031615.3,0.960316153
2011-10-19,96031615.3,96031615.3,0.960316153
2011-10-20,96031615.3,96031615.3,0.960316153
2011-10-21,96031615.3,96031615.3,0.960316153
2011-10-24,96031615.3,96031615.3,0.960316153
2011-10-25,96031615.3,96031615.3,0.960316153
2011-10-26,96031615.3,96031615.3,0.960316153
2011-10-27,96031615.3,96031615.3,0.960316153
2011-10-28,96031615.3,96031615.3,0.960316153
2011-10-31,96031615.3,96031615.3,0.960316153
2011-11-01,96031615.3,96031615.3,0.960316153
2011-11-02,96031615.3,96031615.3,0.960316153
2011-11-03,96031615.3,96031615.3,0.960316153
2011-11-04,96031615.3,96031615.3,0.960316153
2011-11-07,96031615.3,96031615.3,0.960316153
2011-11-08,96031615.3,96031615.3,0.960316153
2011-11-09,96031615.3,96031615.3,0.960316153
2011-11-10,96031615.3,96031615.3,0.960316153
2011-11-11,44683155.8,96033155.8,0.960331558
2011-11-14,44683155.8,95833155.8,0.958331558
2011-11-15,44683155.8,96013155.8,0.960131558
2011-11-16,44683155.8,95553155.8,0.955531558
2011-11-17,44683155.8,95713155.8,0.957131558
2011-11-18,44683155.8,95433155.8,0.954331558
2011-11-21,44683155.8,95113155.8,0.951131558
2011-11-22,44683155.8,95053155.8,0.950531558
2011-11-23,44683155.8,94713155.8,0.947131558
2011-11-24,44683155.8,94693155.8,0.946931558
2011-11-25,94512408.35,94512408.35,0.9451240835
2011-11-28,94512408.35,94512408.35,0.9451240835
2011-11-29,94512408.35,94512408.35,0.9451240835
2011-11-30,94512408.35,94512408.35,0.9451240835
2011-12-01,94512408.35,94512408.35,0.9451240835
2011-12-02,94512408.35,94512408.35,0.9451240835
2011-12-05,94512408.35,94512408.35,0.9451240835
2011-12-06,94512408.35,94512408.35,0.9451240835
2011-12-07,94512408.35,94512408.35,0.9451240835
2011-12-08,94512408.35,94512408.35,0.9451240835
2011-12-09,94512408.35,94512408.35,0.9451240835
2011-12-12,94512408.35,94512408.35,0.9451240835
2011-12-13,94512408.35,94512408.35,0.9451240835
