,cash,float_capital,net_value
2014-01-20,100000000.0,100000000.0,1.0
2014-01-21,100000000.0,100000000.0,1.0
2014-01-22,100000000.0,100000000.0,1.0
2014-01-23,100000000.0,100000000.0,1.0
2014-01-24,100000000.0,100000000.0,1.0
2014-01-27,100000000.0,100000000.0,1.0
2014-01-28,100000000.0,100000000.0,1.0
2014-01-29,100000000.0,100000000.0,1.0
2014-01-30,100000000.0,100000000.0,1.0
2014-02-07,100000000.0,100000000.0,1.0
2014-02-10,100000000.0,100000000.0,1.0
2014-02-11,100000000.0,100000000.0,1.0
2014-02-12,100000000.0,100000000.0,1.0
2014-02-13,100000000.0,100000000.0,1.0
2014-02-14,31047171.85,100005171.85,1.0000517185
2014-02-17,31047171.85,100167171.85,1.0016717185
2014-02-18,31047171.85,100365171.85,1.0036517185
2014-02-19,31047171.85,100347171.85,1.0034717185
2014-02-20,31047171.85,99177171.85,0.9917717185
2014-02-21,31047171.85,99105171.85,0.9910517185
2014-02-24,31047171.85,99357171.85,0.9935717185
2014-02-25,97410406.6,97410406.6,0.974104066
2014-02-26,97410406.6,97410406.6,0.974104066
2014-02-27,97410406.6,97410406.6,0.974104066
2014-02-28,97410406.6,97410406.6,0.974104066
2014-03-03,97410406.6,97410406.6,0.974104066
2014-03-04,97410406.6,97410406.6,0.974104066
2014-03-05,97410406.6,97410406.6,0.974104066
2014-03-06,97410406.6,97410406.6,0.974104066
2014-03-07,37294915.6,97414915.6,0.974149156
2014-03-10,16896445.6,98496445.6,0.984964456
2014-03-11,8663063.15,99237063.15,0.9923706315
2014-03-12,8663063.15,99193063.15,0.9919306315
2014-03-13,4427380.85,101855380.85,1.0185538085
2014-03-14,4427380.85,101441380.85,1.0144138085
2014-03-17,97531380.85,97531380.85,0.9753138085
2014-03-18,97531380.85,97531380.85,0.9753138085
2014-03-19,97531380.85,97531380.85,0.9753138085
2014-03-20,97531380.85,97531380.85,0.9753138085
2014-03-21,97531380.85,97531380.85,0.9753138085
2014-03-24,97531380.85,97531380.85,0.9753138085
2014-03-25,97531380.85,97531380.85,0.9753138085
2014-03-26,97531380.85,97531380.85,0.9753138085
2014-03-27,97531380.85,97531380.85,0.9753138085
2014-03-28,97531380.85,97531380.85,0.9753138085
2014-03-31,97531380.85,97531380.85,0.9753138085
2014-04-01,97531380.85,97531380.85,0.9753138085
2014-04-02,97531380.85,97531380.85,0.9753138085
2014-04-03,97531380.85,97531380.85,0.9753138085
2014-04-04,97531380.85,97531380.85,0.9753138085
2014-04-08,45851257.15,97535257.15,0.9753525715
2014-04-09,45851257.15,97283257.15,0.9728325715
2014-04-10,45851257.15,97835257.15,0.9783525715
2014-04-11,45851257.15,97835257.15,0.9783525715
2014-04-14,45851257.15,97535257.15,0.9753525715
2014-04-15,45851257.15,97775257.15,0.9777525715
2014-04-16,15403540.9,98053540.9,0.980535409
2014-04-17,6604200.9,99004200.9,0.990042009
2014-04-18,6604200.9,99571200.9,0.995712009
2014-04-21,2064541.4,101944541.4,1.019445414
2014-04-22,2064541.4,101834541.4,1.018345414
2014-04-23,2064541.4,101812541.4,1.018125414
2014-04-24,2064541.4,100712541.4,1.007125414
2014-04-25,2064541.4,101042541.4,1.010425414
2014-04-28,2064541.4,102802541.4,1.028025414
2014-04-29,2064541.4,102538541.4,1.025385414
2014-04-30,2064541.4,103726541.4,1.037265414
2014-05-05,2064541.4,104012541.4,1.040125414
2014-05-06,2064541.4,104430541.4,1.044305414
2014-05-07,2064541.4,105112541.4,1.051125414
2014-05-08,2064541.4,104210541.4,1.042105414
2014-05-09,2064541.4,104804541.4,1.048045414
2014-05-12,2064541.4,107048541.4,1.070485414
2014-05-13,2064541.4,107950541.4,1.079505414
2014-05-14,2064541.4,108060541.4,1.080605414
2014-05-15,2064541.4,108984541.4,1.089845414
2014-05-16,2064541.4,109864541.4,1.098645414
2014-05-19,2064541.4,107466541.4,1.074665414
2014-05-20,2064541.4,109644541.4,1.096445414
2014-05-21,105904541.4,105904541.4,1.059045414
2014-05-22,105904541.4,105904541.4,1.059045414
2014-05-23,105904541.4,105904541.4,1.059045414
2014-05-26,105904541.4,105904541.4,1.059045414
2014-05-27,105904541.4,105904541.4,1.059045414
2014-05-28,105904541.4,105904541.4,1.059045414
2014-05-29,105904541.4,105904541.4,1.059045414
2014-05-30,105904541.4,105904541.4,1.059045414
2014-06-03,105904541.4,105904541.4,1.059045414
2014-06-04,105904541.4,105904541.4,1.059045414
2014-06-05,105904541.4,105904541.4,1.059045414
2014-06-06,105904541.4,105904541.4,1.059045414
2014-06-09,105904541.4,105904541.4,1.059045414
2014-06-10,105904541.4,105904541.4,1.059045414
2014-06-11,53592465.1,105908465.1,1.059084651
2014-06-12,53592465.1,105831465.1,1.058314651
2014-06-13,53592465.1,106095465.1,1.060954651
2014-06-16,53592465.1,105589465.1,1.055894651
2014-06-17,53592465.1,106062465.1,1.060624651
2014-06-18,53592465.1,106161465.1,1.061614651
2014-06-19,24752628.25,106471628.25,1.0647162825
2014-06-20,10146723.775,107526723.775,1.07526723775
2014-06-23,10146723.775,107466723.775,1.07466723775
2014-06-24,10146723.775,107606723.775,1.07606723775
2014-06-25,10146723.775,107886723.775,1.07886723775
2014-06-26,10146723.775,107726723.775,1.07726723775
2014-06-27,5181096.225,109467096.225,1.09467096225
