,cash,float_capital,net_value
2013-06-13,100000000.0,100000000.0,1.0
2013-06-14,100000000.0,100000000.0,1.0
2013-06-17,100000000.0,100000000.0,1.0
2013-06-18,100000000.0,100000000.0,1.0
2013-06-19,100000000.0,100000000.0,1.0
2013-06-20,100000000.0,100000000.0,1.0
2013-06-21,100000000.0,100000000.0,1.0
2013-06-24,100000000.0,100000000.0,1.0
2013-06-25,100000000.0,100000000.0,1.0
2013-06-26,100000000.0,100000000.0,1.0
2013-06-27,100000000.0,100000000.0,1.0
2013-06-28,100000000.0,100000000.0,1.0
2013-07-01,100000000.0,100000000.0,1.0
2013-07-02,100000000.0,100000000.0,1.0
2013-07-03,100000000.0,100000000.0,1.0
2013-07-04,100000000.0,100000000.0,1.0
2013-07-05,100000000.0,100000000.0,1.0
2013-07-08,100000000.0,100000000.0,1.0
2013-07-09,100000000.0,100000000.0,1.0
2013-07-10,51185464.48,100001464.48,1.0000146448
2013-07-11,51185464.48,100145464.48,1.0014546448
2013-07-12,51185464.48,99617464.48,0.9961746448
2013-07-15,51185464.48,99089464.48,0.9908946448
2013-07-16,51185464.48,99281464.48,0.9928146448
2013-07-17,51185464.48,100193464.48,1.0019346448
2013-07-18,26538203.92,100482203.92,1.0048220392
2013-07-19,26538203.92,100842203.92,1.0084220392
2013-07-22,26538203.92,101058203.92,1.0105820392
2013-07-23,14058578.32,101418578.32,1.0141857832
2013-07-24,14058578.32,100830578.32,1.0083057832
2013-07-25,14058578.32,100578578.32,1.0057857832
2013-07-26,14058578.32,100074578.32,1.0007457832
2013-07-29,14058578.32,98814578.32,0.9881457832
2013-07-30,14058578.32,98814578.32,0.9881457832
2013-07-31,14058578.32,99318578.32,0.9931857832
2013-08-01,14058578.32,100242578.32,1.0024257832
2013-08-02,14058578.32,100998578.32,1.0099857832
2013-08-05,14058578.32,101418578.32,1.0141857832
2013-08-06,14058578.32,101166578.32,1.0116657832
2013-08-07,14058578.32,101418578.32,1.0141857832
2013-08-08,7656770.38,103686770.38,1.0368677038
2013-08-09,7656770.38,105576770.38,1.0557677038
2013-08-12,7656770.38,108276770.38,1.0827677038
2013-08-13,7656770.38,109536770.38,1.0953677038
2013-08-14,7656770.38,108636770.38,1.0863677038
2013-08-15,7656770.38,109176770.38,1.0917677038
2013-08-16,7656770.38,107466770.38,1.0746677038
2013-08-19,7656770.38,108276770.38,1.0827677038
2013-08-20,7656770.38,109266770.38,1.0926677038
