,cash,float_capital,net_value
2010-03-22,100000000.0,100000000.0,1.0
2010-03-23,100000000.0,100000000.0,1.0
2010-03-24,100000000.0,100000000.0,1.0
2010-03-25,100000000.0,100000000.0,1.0
2010-03-26,100000000.0,100000000.0,1.0
2010-03-29,100000000.0,100000000.0,1.0
2010-03-30,100000000.0,100000000.0,1.0
2010-03-31,100000000.0,100000000.0,1.0
2010-04-01,100000000.0,100000000.0,1.0
2010-04-02,100000000.0,100000000.0,1.0
2010-04-06,48160009.0,100000009.0,1.00000009
2010-04-07,48160009.0,100045009.0,1.00045009
2010-04-08,48160009.0,99505009.0,0.99505009
2010-04-09,48160009.0,100000009.0,1.00000009
2010-04-12,48160009.0,99842509.0,0.99842509
2010-04-13,48160009.0,99887509.0,0.99887509
2010-04-14,19072514.0,100517514.0,1.00517514
2010-04-15,19072514.0,100447514.0,1.00447514
2010-04-16,19072514.0,100237514.0,1.00237514
2010-04-19,97892512.0,97892512.0,0.97892512
2010-04-20,97892512.0,97892512.0,0.97892512
2010-04-21,97892512.0,97892512.0,0.97892512
2010-04-22,97892512.0,97892512.0,0.97892512
2010-04-23,97892512.0,97892512.0,0.97892512
2010-04-26,97892512.0,97892512.0,0.97892512
2010-04-27,97892512.0,97892512.0,0.97892512
2010-04-28,97892512.0,97892512.0,0.97892512
2010-04-29,97892512.0,97892512.0,0.97892512
2010-04-30,97892512.0,97892512.0,0.97892512
2010-05-04,97892512.0,97892512.0,0.97892512
2010-05-05,97892512.0,97892512.0,0.97892512
2010-05-06,97892512.0,97892512.0,0.97892512
2010-05-07,97892512.0,97892512.0,0.97892512
2010-05-10,97892512.0,97892512.0,0.97892512
2010-05-11,97892512.0,97892512.0,0.97892512
2010-05-12,97892512.0,97892512.0,0.97892512
2010-05-13,97892512.0,97892512.0,0.97892512
2010-05-14,97892512.0,97892512.0,0.97892512
2010-05-17,97892512.0,97892512.0,0.97892512
2010-05-18,97892512.0,97892512.0,0.97892512
2010-05-19,97892512.0,97892512.0,0.97892512
2010-05-20,97892512.0,97892512.0,0.97892512
2010-05-21,97892512.0,97892512.0,0.97892512
2010-05-24,97892512.0,97892512.0,0.97892512
2010-05-25,97892512.0,97892512.0,0.97892512
2010-05-26,97892512.0,97892512.0,0.97892512
2010-05-27,97892512.0,97892512.0,0.97892512
2010-05-28,97892512.0,97892512.0,0.97892512
2010-05-31,97892512.0,97892512.0,0.97892512
2010-06-01,97892512.0,97892512.0,0.97892512
2010-06-02,97892512.0,97892512.0,0.97892512
2010-06-03,97892512.0,97892512.0,0.97892512
2010-06-04,97892512.0,97892512.0,0.97892512
2010-06-07,97892512.0,97892512.0,0.97892512
2010-06-08,97892512.0,97892512.0,0.97892512
2010-06-09,97892512.0,97892512.0,0.97892512
2010-06-10,97892512.0,97892512.0,0.97892512
2010-06-11,97892512.0,97892512.0,0.97892512
2010-06-17,97892512.0,97892512.0,0.97892512
2010-06-18,97892512.0,97892512.0,0.97892512
2010-06-21,97892512.0,97892512.0,0.97892512
2010-06-22,97892512.0,97892512.0,0.97892512
2010-06-23,97892512.0,97892512.0,0.97892512
2010-06-24,97892512.0,97892512.0,0.97892512
2010-06-25,97892512.0,97892512.0,0.97892512
2010-06-28,97892512.0,97892512.0,0.97892512
2010-06-29,97892512.0,97892512.0,0.97892512
2010-06-30,97892512.0,97892512.0,0.97892512
2010-07-01,97892512.0,97892512.0,0.97892512
2010-07-02,97892512.0,97892512.0,0.97892512
2010-07-05,97892512.0,97892512.0,0.97892512
2010-07-06,97892512.0,97892512.0,0.97892512
2010-07-07,97892512.0,97892512.0,0.97892512
2010-07-08,97892512.0,97892512.0,0.97892512
2010-07-09,97892512.0,97892512.0,0.97892512
2010-07-12,97892512.0,97892512.0,0.97892512
2010-07-13,97892512.0,97892512.0,0.97892512
2010-07-14,97892512.0,97892512.0,0.97892512
2010-07-15,97892512.0,97892512.0,0.97892512
2010-07-16,97892512.0,97892512.0,0.97892512
2010-07-19,97892512.0,97892512.0,0.97892512
2010-07-20,97892512.0,97892512.0,0.97892512
2010-07-21,97892512.0,97892512.0,0.97892512
2010-07-22,51467522.0,97892522.0,0.97892522
2010-07-23,27780027.0,98842527.0,0.98842527
2010-07-26,27780027.0,99405027.0,0.99405027
2010-07-27,27780027.0,98655027.0,0.98655027
2010-07-28,27780027.0,99292527.0,0.99292527
2010-07-29,27780027.0,99405027.0,0.99405027
2010-07-30,13387530.0,99742530.0,0.9974253
2010-08-02,8505031.0,101272531.0,1.01272531
2010-08-03,8505031.0,101082531.0,1.01082531
2010-08-04,8505031.0,101462531.0,1.01462531
2010-08-05,8505031.0,99942531.0,0.99942531
2010-08-06,8505031.0,100607531.0,1.00607531
2010-08-09,3575032.0,102175032.0,1.02175032
2010-08-10,3575032.0,101525032.0,1.01525032
2010-08-11,3575032.0,100025032.0,1.00025032
2010-08-12,98375032.0,98375032.0,0.98375032
2010-08-13,98375032.0,98375032.0,0.98375032
2010-08-16,98375032.0,98375032.0,0.98375032
2010-08-17,98375032.0,98375032.0,0.98375032
2010-08-18,98375032.0,98375032.0,0.98375032
2010-08-19,98375032.0,98375032.0,0.98375032
