,cash,float_capital,net_value
2010-03-22,100000000.0,100000000.0,1.0
2010-03-23,100000000.0,100000000.0,1.0
2010-03-24,100000000.0,100000000.0,1.0
2010-03-25,100000000.0,100000000.0,1.0
2010-03-26,100000000.0,100000000.0,1.0
2010-03-29,100000000.0,100000000.0,1.0
2010-03-30,100000000.0,100000000.0,1.0
2010-03-31,100000000.0,100000000.0,1.0
2010-04-01,100000000.0,100000000.0,1.0
2010-04-02,100000000.0,100000000.0,1.0
2010-04-06,100000000.0,100000000.0,1.0
2010-04-07,100000000.0,100000000.0,1.0
2010-04-08,100000000.0,100000000.0,1.0
2010-04-09,100000000.0,100000000.0,1.0
2010-04-12,100000000.0,100000000.0,1.0
2010-04-13,100000000.0,100000000.0,1.0
2010-04-14,100000000.0,100000000.0,1.0
2010-04-15,100000000.0,100000000.0,1.0
2010-04-16,-21127968.5,100000031.5,1.000000315
2010-04-19,-21127968.5,98908031.5,0.989080315
2010-04-20,-21127968.5,100294031.5,1.002940315
2010-04-21,-21127968.5,100042031.5,1.000420315
2010-04-22,-21127968.5,100168031.5,1.001680315
2010-04-23,5134024.75,101428024.75,1.0142802475
2010-04-26,5134024.75,101791024.75,1.0179102475
2010-04-27,5134024.75,101395024.75,1.0139502475
2010-04-28,5134024.75,100702024.75,1.0070202475
2010-04-29,5134024.75,100834024.75,1.0083402475
2010-04-30,5134024.75,101560024.75,1.0156002475
2010-05-04,5134024.75,100768024.75,1.0076802475
2010-05-05,5134024.75,101329024.75,1.0132902475
2010-05-06,99844023.25,99844023.25,0.9984402325
2010-05-07,99844023.25,99844023.25,0.9984402325
2010-05-10,99844023.25,99844023.25,0.9984402325
2010-05-11,99844023.25,99844023.25,0.9984402325
2010-05-12,99844023.25,99844023.25,0.9984402325
2010-05-13,99844023.25,99844023.25,0.9984402325
2010-05-14,99844023.25,99844023.25,0.9984402325
2010-05-17,99844023.25,99844023.25,0.9984402325
2010-05-18,99844023.25,99844023.25,0.9984402325
2010-05-19,99844023.25,99844023.25,0.9984402325
2010-05-20,99844023.25,99844023.25,0.9984402325
2010-05-21,99844023.25,99844023.25,0.9984402325
2010-05-24,99844023.25,99844023.25,0.9984402325
2010-05-25,99844023.25,99844023.25,0.9984402325
2010-05-26,99844023.25,99844023.25,0.9984402325
2010-05-27,99844023.25,99844023.25,0.9984402325
2010-05-28,99844023.25,99844023.25,0.9984402325
2010-05-31,99844023.25,99844023.25,0.9984402325
2010-06-01,99844023.25,99844023.25,0.9984402325
2010-06-02,99844023.25,99844023.25,0.9984402325
2010-06-03,99844023.25,99844023.25,0.9984402325
2010-06-04,99844023.25,99844023.25,0.9984402325
2010-06-07,99844023.25,99844023.25,0.9984402325
2010-06-08,99844023.25,99844023.25,0.9984402325
2010-06-09,99844023.25,99844023.25,0.9984402325
2010-06-10,99844023.25,99844023.25,0.9984402325
2010-06-11,99844023.25,99844023.25,0.9984402325
2010-06-17,99844023.25,99844023.25,0.9984402325
2010-06-18,99844023.25,99844023.25,0.9984402325
2010-06-21,-2107949.75,99844050.25,0.9984405025
2010-06-22,-2107949.75,99628050.25,0.9962805025
2010-06-23,-2107949.75,99556050.25,0.9955605025
2010-06-24,-2107949.75,99340050.25,0.9934005025
2010-06-25,-2107949.75,99016050.25,0.9901605025
2010-06-28,-2107949.75,98944050.25,0.9894405025
2010-06-29,-2107949.75,99016050.25,0.9901605025
2010-06-30,-2107949.75,98332050.25,0.9833205025
2010-07-01,-2107949.75,98404050.25,0.9840405025
2010-07-02,-2107949.75,99052050.25,0.9905205025
2010-07-05,-2107949.75,98764050.25,0.9876405025
2010-07-06,-2107949.75,98980050.25,0.9898005025
2010-07-07,-2107949.75,99088050.25,0.9908805025
2010-07-08,-2107949.75,100276050.25,1.0027605025
2010-07-09,-2107949.75,101464050.25,1.0146405025
2010-07-12,-2107949.75,101032050.25,1.0103205025
2010-07-13,-2107949.75,100924050.25,1.0092405025
2010-07-14,-2107949.75,101176050.25,1.0117605025
2010-07-15,-2107949.75,101428050.25,1.0142805025
2010-07-16,-2107949.75,103156050.25,1.0315605025
2010-07-19,-2107949.75,103012050.25,1.0301205025
2010-07-20,-2107949.75,102400050.25,1.0240005025
2010-07-21,-2107949.75,102256050.25,1.0225605025
2010-07-22,-2107949.75,102148050.25,1.0214805025
2010-07-23,-2107949.75,102328050.25,1.0232805025
2010-07-26,-2107949.75,102940050.25,1.0294005025
2010-07-27,101032050.25,101032050.25,1.0103205025
2010-07-28,101032050.25,101032050.25,1.0103205025
2010-07-29,101032050.25,101032050.25,1.0103205025
2010-07-30,-2007923.5,101032076.5,1.010320765
2010-08-02,-2007923.5,103622076.5,1.036220765
2010-08-03,-2007923.5,102852076.5,1.028520765
2010-08-04,-2007923.5,103167076.5,1.031670765
2010-08-05,-2007923.5,101662076.5,1.016620765
2010-08-06,-2007923.5,102957076.5,1.029570765
2010-08-09,-2007923.5,104077076.5,1.040770765
2010-08-10,-2007923.5,102887076.5,1.028870765
2010-08-11,-2007923.5,102607076.5,1.026070765
2010-08-12,-2007923.5,102782076.5,1.027820765
2010-08-13,-2007923.5,104497076.5,1.044970765
