,cash,float_capital,net_value
2014-08-27,100000000.0,100000000.0,1.0
2014-08-28,100000000.0,100000000.0,1.0
2014-08-29,100000000.0,100000000.0,1.0
2014-09-01,100000000.0,100000000.0,1.0
2014-09-02,100000000.0,100000000.0,1.0
2014-09-03,100000000.0,100000000.0,1.0
2014-09-04,100000000.0,100000000.0,1.0
2014-09-05,100000000.0,100000000.0,1.0
2014-09-09,100000000.0,100000000.0,1.0
2014-09-10,100000000.0,100000000.0,1.0
2014-09-11,100000000.0,100000000.0,1.0
2014-09-12,100000000.0,100000000.0,1.0
2014-09-15,100000000.0,100000000.0,1.0
2014-09-16,100000000.0,100000000.0,1.0
2014-09-17,100000000.0,100000000.0,1.0
2014-09-18,100000000.0,100000000.0,1.0
2014-09-19,29800016.8,100000016.8,1.000000168
2014-09-22,29800016.8,99880016.8,0.998800168
2014-09-23,29800016.8,98392016.8,0.983920168
2014-09-24,29800016.8,98800016.8,0.988000168
2014-09-25,29800016.8,98728016.8,0.987280168
2014-09-26,29800016.8,98704016.8,0.987040168
2014-09-29,29800016.8,98128016.8,0.981280168
2014-09-30,29800016.8,98800016.8,0.988000168
2014-10-08,97792005.6,97792005.6,0.977920056
2014-10-09,97792005.6,97792005.6,0.977920056
2014-10-10,97792005.6,97792005.6,0.977920056
2014-10-13,97792005.6,97792005.6,0.977920056
2014-10-14,97792005.6,97792005.6,0.977920056
2014-10-15,97792005.6,97792005.6,0.977920056
2014-10-16,97792005.6,97792005.6,0.977920056
2014-10-17,97792005.6,97792005.6,0.977920056
2014-10-20,97792005.6,97792005.6,0.977920056
2014-10-21,97792005.6,97792005.6,0.977920056
2014-10-22,97792005.6,97792005.6,0.977920056
2014-10-23,97792005.6,97792005.6,0.977920056
2014-10-24,97792005.6,97792005.6,0.977920056
2014-10-27,97792005.6,97792005.6,0.977920056
2014-10-28,97792005.6,97792005.6,0.977920056
2014-10-29,97792005.6,97792005.6,0.977920056
2014-10-30,97792005.6,97792005.6,0.977920056
2014-10-31,97792005.6,97792005.6,0.977920056
2014-11-03,97792005.6,97792005.6,0.977920056
2014-11-04,97792005.6,97792005.6,0.977920056
2014-11-05,97792005.6,97792005.6,0.977920056
2014-11-06,97792005.6,97792005.6,0.977920056
2014-11-07,97792005.6,97792005.6,0.977920056
2014-11-10,97792005.6,97792005.6,0.977920056
2014-11-11,97792005.6,97792005.6,0.977920056
2014-11-12,97792005.6,97792005.6,0.977920056
2014-11-13,97792005.6,97792005.6,0.977920056
2014-11-14,97792005.6,97792005.6,0.977920056
2014-11-17,97792005.6,97792005.6,0.977920056
2014-11-18,97792005.6,97792005.6,0.977920056
2014-11-19,97792005.6,97792005.6,0.977920056
2014-11-20,97792005.6,97792005.6,0.977920056
2014-11-21,97792005.6,97792005.6,0.977920056
2014-11-24,97792005.6,97792005.6,0.977920056
2014-11-25,97792005.6,97792005.6,0.977920056
2014-11-26,97792005.6,97792005.6,0.977920056
2014-11-27,97792005.6,97792005.6,0.977920056
2014-11-28,97792005.6,97792005.6,0.977920056
2014-12-01,97792005.6,97792005.6,0.977920056
2014-12-02,97792005.6,97792005.6,0.977920056
2014-12-03,97792005.6,97792005.6,0.977920056
2014-12-04,97792005.6,97792005.6,0.977920056
2014-12-05,97792005.6,97792005.6,0.977920056
2014-12-08,97792005.6,97792005.6,0.977920056
2014-12-09,97792005.6,97792005.6,0.977920056
2014-12-10,97792005.6,97792005.6,0.977920056
2014-12-11,97792005.6,97792005.6,0.977920056
2014-12-12,97792005.6,97792005.6,0.977920056
2014-12-15,97792005.6,97792005.6,0.977920056
2014-12-16,97792005.6,97792005.6,0.977920056
2014-12-17,97792005.6,97792005.6,0.977920056
2014-12-18,97792005.6,97792005.6,0.977920056
2014-12-19,97792005.6,97792005.6,0.977920056
2014-12-22,97792005.6,97792005.6,0.977920056
2014-12-23,97792005.6,97792005.6,0.977920056
2014-12-24,97792005.6,97792005.6,0.977920056
2014-12-25,97792005.6,97792005.6,0.977920056
2014-12-26,97792005.6,97792005.6,0.977920056
2014-12-29,97792005.6,97792005.6,0.977920056
2014-12-30,97792005.6,97792005.6,0.977920056
2014-12-31,97792005.6,97792005.6,0.977920056
2015-01-05,97792005.6,97792005.6,0.977920056
2015-01-06,97792005.6,97792005.6,0.977920056
2015-01-07,97792005.6,97792005.6,0.977920056
2015-01-08,97792005.6,97792005.6,0.977920056
2015-01-09,97792005.6,97792005.6,0.977920056
2015-01-12,97792005.6,97792005.6,0.977920056
2015-01-13,97792005.6,97792005.6,0.977920056
2015-01-14,97792005.6,97792005.6,0.977920056
2015-01-15,97792005.6,97792005.6,0.977920056
2015-01-16,97792005.6,97792005.6,0.977920056
2015-01-19,97792005.6,97792005.6,0.977920056
2015-01-20,97792005.6,97792005.6,0.977920056
2015-01-21,97792005.6,97792005.6,0.977920056
2015-01-22,97792005.6,97792005.6,0.977920056
2015-01-23,97792005.6,97792005.6,0.977920056
2015-01-26,97792005.6,97792005.6,0.977920056
2015-01-27,97792005.6,97792005.6,0.977920056
2015-01-28,97792005.6,97792005.6,0.977920056
2015-01-29,97792005.6,97792005.6,0.977920056
2015-01-30,97792005.6,97792005.6,0.977920056
2015-02-02,97792005.6,97792005.6,0.977920056
2015-02-03,59560018.2,97792018.2,0.977920182
2015-02-04,59560018.2,97918018.2,0.979180182
2015-02-05,59560018.2,97846018.2,0.978460182
2015-02-06,35756025.9,98512025.9,0.985120259
2015-02-09,35756025.9,97903025.9,0.979030259
2015-02-10,35756025.9,97555025.9,0.975550259
2015-02-11,35756025.9,97758025.9,0.977580259
2015-02-12,35756025.9,98483025.9,0.984830259
2015-02-13,20167030.8,100339030.8,1.003390308
2015-02-16,11147033.6,101347033.6,1.013470336
2015-02-17,11147033.6,100947033.6,1.009470336
2015-02-25,11147033.6,102227033.6,1.022270336
2015-02-26,6453035.0,105027035.0,1.05027035
2015-02-27,6453035.0,105405035.0,1.05405035
2015-03-02,4016035.7,108807035.7,1.088070357
2015-03-03,4016035.7,107861035.7,1.078610357
2015-03-04,4016035.7,107173035.7,1.071730357
2015-03-05,4016035.7,109151035.7,1.091510357
2015-03-06,4016035.7,108979035.7,1.089790357
2015-03-09,4016035.7,110226035.7,1.102260357
2015-03-10,4016035.7,108248035.7,1.082480357
2015-03-11,4016035.7,107216035.7,1.072160357
2015-03-12,4016035.7,110484035.7,1.104840357
2015-03-13,4016035.7,109065035.7,1.090650357
2015-03-16,4016035.7,108291035.7,1.082910357
2015-03-17,4016035.7,106571035.7,1.065710357
2015-03-18,103862035.7,103862035.7,1.038620357
2015-03-19,103862035.7,103862035.7,1.038620357
2015-03-20,103862035.7,103862035.7,1.038620357
2015-03-23,103862035.7,103862035.7,1.038620357
2015-03-24,103862035.7,103862035.7,1.038620357
2015-03-25,103862035.7,103862035.7,1.038620357
2015-03-26,103862035.7,103862035.7,1.038620357
2015-03-27,103862035.7,103862035.7,1.038620357
2015-03-30,103862035.7,103862035.7,1.038620357
2015-03-31,103862035.7,103862035.7,1.038620357
2015-04-01,103862035.7,103862035.7,1.038620357
2015-04-02,66842046.2,103862046.2,1.038620462
2015-04-03,66842046.2,102902046.2,1.029020462
2015-04-07,66842046.2,103322046.2,1.033220462
2015-04-08,66842046.2,103307046.2,1.033070462
2015-04-09,66842046.2,102857046.2,1.028570462
2015-04-10,66842046.2,102512046.2,1.025120462
2015-04-13,66842046.2,103112046.2,1.031120462
2015-04-14,66842046.2,103082046.2,1.030820462
2015-04-15,66842046.2,103127046.2,1.031270462
2015-04-16,41622053.2,104672053.2,1.046720532
2015-04-17,26292057.4,105497057.4,1.054970574
2015-04-20,15936060.2,106551060.2,1.065510602
2015-04-21,15936060.2,105361060.2,1.053610602
2015-04-22,15936060.2,105081060.2,1.050810602
2015-04-23,15936060.2,104661060.2,1.046610602
2015-04-24,15936060.2,105956060.2,1.059560602
2015-04-27,15936060.2,106621060.2,1.066210602
2015-04-28,15936060.2,106551060.2,1.065510602
2015-04-29,15936060.2,105081060.2,1.050810602
2015-04-30,15936060.2,105991060.2,1.059910602
2015-05-04,15936060.2,105676060.2,1.056760602
2015-05-05,15936060.2,105711060.2,1.057110602
2015-05-06,15936060.2,106621060.2,1.066210602
2015-05-07,15936060.2,104976060.2,1.049760602
2015-05-08,103856058.8,103856058.8,1.038560588
2015-05-11,103856058.8,103856058.8,1.038560588
2015-05-12,103856058.8,103856058.8,1.038560588
2015-05-13,103856058.8,103856058.8,1.038560588
2015-05-14,103856058.8,103856058.8,1.038560588
2015-05-15,103856058.8,103856058.8,1.038560588
2015-05-18,103856058.8,103856058.8,1.038560588
2015-05-19,103856058.8,103856058.8,1.038560588
2015-05-20,103856058.8,103856058.8,1.038560588
2015-05-21,103856058.8,103856058.8,1.038560588
2015-05-22,103856058.8,103856058.8,1.038560588
2015-05-25,103856058.8,103856058.8,1.038560588
2015-05-26,103856058.8,103856058.8,1.038560588
2015-05-27,103856058.8,103856058.8,1.038560588
2015-05-28,103856058.8,103856058.8,1.038560588
2015-05-29,103856058.8,103856058.8,1.038560588
2015-06-01,103856058.8,103856058.8,1.038560588
2015-06-02,103856058.8,103856058.8,1.038560588
2015-06-03,103856058.8,103856058.8,1.038560588
2015-06-04,103856058.8,103856058.8,1.038560588
2015-06-05,103856058.8,103856058.8,1.038560588
2015-06-08,103856058.8,103856058.8,1.038560588
2015-06-09,103856058.8,103856058.8,1.038560588
2015-06-10,103856058.8,103856058.8,1.038560588
2015-06-11,103856058.8,103856058.8,1.038560588
2015-06-12,103856058.8,103856058.8,1.038560588
2015-06-15,103856058.8,103856058.8,1.038560588
2015-06-16,41006076.3,103856076.3,1.038560763
2015-06-17,41006076.3,103931076.3,1.039310763
2015-06-18,41006076.3,103281076.3,1.032810763
2015-06-19,41006076.3,103906076.3,1.039060763
2015-06-23,41006076.3,103156076.3,1.031560763
2015-06-24,41006076.3,103756076.3,1.037560763
2015-06-25,41006076.3,103556076.3,1.035560763
2015-06-26,41006076.3,103906076.3,1.039060763
2015-06-29,41006076.3,103256076.3,1.032560763
2015-06-30,41006076.3,103206076.3,1.032060763
2015-07-01,41006076.3,103056076.3,1.030560763
2015-07-02,41006076.3,103281076.3,1.032810763
2015-07-03,41006076.3,102856076.3,1.028560763
