,cash,float_capital,net_value
2015-06-09,100000000.0,100000000.0,1.0
2015-06-10,100000000.0,100000000.0,1.0
2015-06-11,100000000.0,100000000.0,1.0
2015-06-12,100000000.0,100000000.0,1.0
2015-06-15,100000000.0,100000000.0,1.0
2015-06-16,100000000.0,100000000.0,1.0
2015-06-17,100000000.0,100000000.0,1.0
2015-06-18,100000000.0,100000000.0,1.0
2015-06-19,100000000.0,100000000.0,1.0
2015-06-23,100000000.0,100000000.0,1.0
2015-06-24,100000000.0,100000000.0,1.0
2015-06-25,100000000.0,100000000.0,1.0
2015-06-26,100000000.0,100000000.0,1.0
2015-06-29,100000000.0,100000000.0,1.0
2015-06-30,100000000.0,100000000.0,1.0
2015-07-01,100000000.0,100000000.0,1.0
2015-07-02,100000000.0,100000000.0,1.0
2015-07-03,100000000.0,100000000.0,1.0
2015-07-06,100000000.0,100000000.0,1.0
2015-07-07,100000000.0,100000000.0,1.0
2015-07-08,100000000.0,100000000.0,1.0
2015-07-09,100000000.0,100000000.0,1.0
2015-07-10,100000000.0,100000000.0,1.0
2015-07-13,100000000.0,100000000.0,1.0
2015-07-14,100000000.0,100000000.0,1.0
2015-07-15,100000000.0,100000000.0,1.0
2015-07-16,100000000.0,100000000.0,1.0
2015-07-17,100000000.0,100000000.0,1.0
2015-07-20,100000000.0,100000000.0,1.0
2015-07-21,73141009.0,100000009.0,1.00000009
2015-07-22,73141009.0,99205009.0,0.99205009
2015-07-23,73141009.0,98962009.0,0.98962009
2015-07-24,73141009.0,98647009.0,0.98647009
2015-07-27,73141009.0,98434009.0,0.98434009
2015-07-28,73141009.0,98461009.0,0.98461009
2015-07-29,73141009.0,98938009.0,0.98938009
2015-07-30,73141009.0,98425009.0,0.98425009
2015-07-31,98173003.0,98173003.0,0.98173003
2015-08-03,98173003.0,98173003.0,0.98173003
2015-08-04,98173003.0,98173003.0,0.98173003
2015-08-05,98173003.0,98173003.0,0.98173003
2015-08-06,98173003.0,98173003.0,0.98173003
2015-08-07,98173003.0,98173003.0,0.98173003
2015-08-10,98173003.0,98173003.0,0.98173003
2015-08-11,98173003.0,98173003.0,0.98173003
2015-08-12,98173003.0,98173003.0,0.98173003
2015-08-13,98173003.0,98173003.0,0.98173003
2015-08-14,98173003.0,98173003.0,0.98173003
2015-08-17,98173003.0,98173003.0,0.98173003
2015-08-18,98173003.0,98173003.0,0.98173003
2015-08-19,98173003.0,98173003.0,0.98173003
2015-08-20,98173003.0,98173003.0,0.98173003
2015-08-21,98173003.0,98173003.0,0.98173003
2015-08-24,98173003.0,98173003.0,0.98173003
2015-08-25,98173003.0,98173003.0,0.98173003
2015-08-26,98173003.0,98173003.0,0.98173003
2015-08-27,98173003.0,98173003.0,0.98173003
2015-08-28,98173003.0,98173003.0,0.98173003
2015-08-31,98173003.0,98173003.0,0.98173003
2015-09-01,98173003.0,98173003.0,0.98173003
