,cash,float_capital,net_value
2014-05-14,100000000.0,100000000.0,1.0
2014-05-15,100000000.0,100000000.0,1.0
2014-05-16,100000000.0,100000000.0,1.0
2014-05-19,100000000.0,100000000.0,1.0
2014-05-20,100000000.0,100000000.0,1.0
2014-05-21,100000000.0,100000000.0,1.0
2014-05-22,100000000.0,100000000.0,1.0
2014-05-23,8512010.0,100000010.0,1.0000001
2014-05-26,8512010.0,100136010.0,1.0013601
2014-05-27,8512010.0,98328010.0,0.9832801
2014-05-28,8512010.0,98664010.0,0.9866401
2014-05-29,8512010.0,99160010.0,0.9916001
2014-05-30,8512010.0,99568010.0,0.9956801
2014-06-03,8512010.0,100272010.0,1.0027201
2014-06-04,8512010.0,100208010.0,1.0020801
2014-06-05,8512010.0,100744010.0,1.0074401
2014-06-06,8512010.0,100640010.0,1.0064001
2014-06-09,8512010.0,100400010.0,1.0040001
2014-06-10,8512010.0,102600010.0,1.0260001
2014-06-11,8512010.0,102320010.0,1.0232001
2014-06-12,8512010.0,102496010.0,1.0249601
2014-06-13,8512010.0,102824010.0,1.0282401
2014-06-16,8512010.0,103064010.0,1.0306401
2014-06-17,8512010.0,101728010.0,1.0172801
2014-06-18,8512010.0,101328010.0,1.0132801
2014-06-19,8512010.0,100960010.0,1.0096001
2014-06-20,8512010.0,101472010.0,1.0147201
2014-06-23,98888010.0,98888010.0,0.9888801
2014-06-24,98888010.0,98888010.0,0.9888801
2014-06-25,98888010.0,98888010.0,0.9888801
2014-06-26,98888010.0,98888010.0,0.9888801
2014-06-27,98888010.0,98888010.0,0.9888801
2014-06-30,98888010.0,98888010.0,0.9888801
2014-07-01,98888010.0,98888010.0,0.9888801
2014-07-02,98888010.0,98888010.0,0.9888801
2014-07-03,98888010.0,98888010.0,0.9888801
2014-07-04,28700017.5,98888017.5,0.988880175
2014-07-07,28700017.5,98978017.5,0.989780175
2014-07-08,28700017.5,98702017.5,0.987020175
2014-07-09,28700017.5,98006017.5,0.980060175
2014-07-10,28700017.5,98048017.5,0.980480175
2014-07-11,28700017.5,98276017.5,0.982760175
2014-07-14,28700017.5,98234017.5,0.982340175
2014-07-15,28700017.5,98210017.5,0.982100175
2014-07-16,28700017.5,98498017.5,0.984980175
2014-07-17,28700017.5,97730017.5,0.977300175
2014-07-18,28700017.5,97520017.5,0.975200175
2014-07-21,28700017.5,97568017.5,0.975680175
2014-07-22,28700017.5,97340017.5,0.973400175
2014-07-23,28700017.5,97982017.5,0.979820175
2014-07-24,28700017.5,97850017.5,0.978500175
2014-07-25,28700017.5,98570017.5,0.985700175
2014-07-28,28700017.5,98798017.5,0.987980175
2014-07-29,28700017.5,99152017.5,0.991520175
2014-07-30,28700017.5,99098017.5,0.990980175
2014-07-31,28700017.5,98972017.5,0.989720175
2014-08-01,28700017.5,98606017.5,0.986060175
2014-08-04,28700017.5,98654017.5,0.986540175
2014-08-05,28700017.5,98060017.5,0.980600175
2014-08-06,28700017.5,98366017.5,0.983660175
2014-08-07,28700017.5,98192017.5,0.981920175
2014-08-08,28700017.5,97904017.5,0.979040175
2014-08-11,28700017.5,98258017.5,0.982580175
2014-08-12,28700017.5,97808017.5,0.978080175
2014-08-13,28700017.5,97628017.5,0.976280175
2014-08-14,28700017.5,97724017.5,0.977240175
2014-08-15,28700017.5,98198017.5,0.981980175
2014-08-18,28700017.5,98408017.5,0.984080175
2014-08-19,28700017.5,98450017.5,0.984500175
2014-08-20,28700017.5,97946017.5,0.979460175
2014-08-21,28700017.5,98846017.5,0.988460175
2014-08-22,28700017.5,98792017.5,0.987920175
2014-08-25,28700017.5,98852017.5,0.988520175
2014-08-26,28700017.5,98792017.5,0.987920175
2014-08-27,28700017.5,98708017.5,0.987080175
2014-08-28,28700017.5,98438017.5,0.984380175
2014-08-29,28700017.5,98186017.5,0.981860175
2014-09-01,28700017.5,98042017.5,0.980420175
2014-09-02,28700017.5,98696017.5,0.986960175
2014-09-03,28700017.5,98708017.5,0.987080175
2014-09-04,28700017.5,99074017.5,0.990740175
2014-09-05,28700017.5,98396017.5,0.983960175
2014-09-09,28700017.5,97916017.5,0.979160175
2014-09-10,97538010.0,97538010.0,0.9753801
2014-09-11,97538010.0,97538010.0,0.9753801
2014-09-12,97538010.0,97538010.0,0.9753801
2014-09-15,97538010.0,97538010.0,0.9753801
2014-09-16,97538010.0,97538010.0,0.9753801
2014-09-17,97538010.0,97538010.0,0.9753801
2014-09-18,97538010.0,97538010.0,0.9753801
2014-09-19,97538010.0,97538010.0,0.9753801
2014-09-22,97538010.0,97538010.0,0.9753801
2014-09-23,97538010.0,97538010.0,0.9753801
2014-09-24,97538010.0,97538010.0,0.9753801
2014-09-25,97538010.0,97538010.0,0.9753801
2014-09-26,97538010.0,97538010.0,0.9753801
2014-09-29,97538010.0,97538010.0,0.9753801
2014-09-30,97538010.0,97538010.0,0.9753801
2014-10-08,97538010.0,97538010.0,0.9753801
2014-10-09,97538010.0,97538010.0,0.9753801
2014-10-10,97538010.0,97538010.0,0.9753801
2014-10-13,97538010.0,97538010.0,0.9753801
2014-10-14,97538010.0,97538010.0,0.9753801
2014-10-15,97538010.0,97538010.0,0.9753801
2014-10-16,97538010.0,97538010.0,0.9753801
2014-10-17,97538010.0,97538010.0,0.9753801
2014-10-20,97538010.0,97538010.0,0.9753801
2014-10-21,97538010.0,97538010.0,0.9753801
2014-10-22,97538010.0,97538010.0,0.9753801
2014-10-23,97538010.0,97538010.0,0.9753801
2014-10-24,97538010.0,97538010.0,0.9753801
2014-10-27,97538010.0,97538010.0,0.9753801
2014-10-28,97538010.0,97538010.0,0.9753801
2014-10-29,53326015.0,97538015.0,0.97538015
2014-10-30,53326015.0,97514015.0,0.97514015
2014-10-31,53326015.0,97854015.0,0.97854015
2014-11-03,53326015.0,97426015.0,0.97426015
2014-11-04,53326015.0,96858015.0,0.96858015
2014-11-05,53326015.0,96118015.0,0.96118015
2014-11-06,53326015.0,97058015.0,0.97058015
2014-11-07,53326015.0,97406015.0,0.97406015
2014-11-10,53326015.0,97730015.0,0.97730015
2014-11-11,53326015.0,96826015.0,0.96826015
2014-11-12,53326015.0,96906015.0,0.96906015
2014-11-13,53326015.0,97050015.0,0.97050015
2014-11-14,53326015.0,96478015.0,0.96478015
2014-11-17,53326015.0,96390015.0,0.96390015
2014-11-18,53326015.0,96262015.0,0.96262015
2014-11-19,53326015.0,96434015.0,0.96434015
2014-11-20,96066011.25,96066011.25,0.9606601125
2014-11-21,96066011.25,96066011.25,0.9606601125
2014-11-24,96066011.25,96066011.25,0.9606601125
2014-11-25,96066011.25,96066011.25,0.9606601125
2014-11-26,96066011.25,96066011.25,0.9606601125
2014-11-27,96066011.25,96066011.25,0.9606601125
2014-11-28,96066011.25,96066011.25,0.9606601125
2014-12-01,96066011.25,96066011.25,0.9606601125
2014-12-02,96066011.25,96066011.25,0.9606601125
2014-12-03,96066011.25,96066011.25,0.9606601125
2014-12-04,96066011.25,96066011.25,0.9606601125
2014-12-05,96066011.25,96066011.25,0.9606601125
2014-12-08,96066011.25,96066011.25,0.9606601125
2014-12-09,96066011.25,96066011.25,0.9606601125
2014-12-10,96066011.25,96066011.25,0.9606601125
2014-12-11,96066011.25,96066011.25,0.9606601125
2014-12-12,96066011.25,96066011.25,0.9606601125
2014-12-15,96066011.25,96066011.25,0.9606601125
2014-12-16,96066011.25,96066011.25,0.9606601125
2014-12-17,96066011.25,96066011.25,0.9606601125
2014-12-18,96066011.25,96066011.25,0.9606601125
2014-12-19,96066011.25,96066011.25,0.9606601125
2014-12-22,96066011.25,96066011.25,0.9606601125
2014-12-23,96066011.25,96066011.25,0.9606601125
2014-12-24,96066011.25,96066011.25,0.9606601125
2014-12-25,96066011.25,96066011.25,0.9606601125
2014-12-26,96066011.25,96066011.25,0.9606601125
2014-12-29,96066011.25,96066011.25,0.9606601125
2014-12-30,96066011.25,96066011.25,0.9606601125
2014-12-31,96066011.25,96066011.25,0.9606601125
2015-01-05,96066011.25,96066011.25,0.9606601125
2015-01-06,96066011.25,96066011.25,0.9606601125
2015-01-07,96066011.25,96066011.25,0.9606601125
2015-01-08,96066011.25,96066011.25,0.9606601125
2015-01-09,96066011.25,96066011.25,0.9606601125
2015-01-12,96066011.25,96066011.25,0.9606601125
2015-01-13,96066011.25,96066011.25,0.9606601125
2015-01-14,96066011.25,96066011.25,0.9606601125
2015-01-15,96066011.25,96066011.25,0.9606601125
2015-01-16,96066011.25,96066011.25,0.9606601125
2015-01-19,96066011.25,96066011.25,0.9606601125
2015-01-20,96066011.25,96066011.25,0.9606601125
2015-01-21,96066011.25,96066011.25,0.9606601125
2015-01-22,96066011.25,96066011.25,0.9606601125
2015-01-23,96066011.25,96066011.25,0.9606601125
2015-01-26,96066011.25,96066011.25,0.9606601125
2015-01-27,96066011.25,96066011.25,0.9606601125
2015-01-28,96066011.25,96066011.25,0.9606601125
2015-01-29,96066011.25,96066011.25,0.9606601125
2015-01-30,96066011.25,96066011.25,0.9606601125
2015-02-02,96066011.25,96066011.25,0.9606601125
2015-02-03,38988018.75,96066018.75,0.9606601875
2015-02-04,19694021.25,96870021.25,0.9687002125
2015-02-05,19694021.25,96054021.25,0.9605402125
2015-02-06,9923022.5,97862022.5,0.978620225
2015-02-09,9923022.5,97232022.5,0.972320225
2015-02-10,9923022.5,97376022.5,0.973760225
2015-02-11,9923022.5,97592022.5,0.975920225
2015-02-12,9923022.5,97835022.5,0.978350225
2015-02-13,9923022.5,100229022.5,1.002290225
2015-02-16,9923022.5,101075022.5,1.010750225
2015-02-17,9923022.5,100940022.5,1.009400225
2015-02-25,9923022.5,101291022.5,1.012910225
2015-02-26,9923022.5,102812022.5,1.028120225
