,cash,float_capital,net_value
2011-06-09,100000000.0,100000000.0,1.0
2011-06-10,100000000.0,100000000.0,1.0
2011-06-13,100000000.0,100000000.0,1.0
2011-06-14,100000000.0,100000000.0,1.0
2011-06-15,100000000.0,100000000.0,1.0
2011-06-16,100000000.0,100000000.0,1.0
2011-06-17,100000000.0,100000000.0,1.0
2011-06-20,100000000.0,100000000.0,1.0
2011-06-21,100000000.0,100000000.0,1.0
2011-06-22,100000000.0,100000000.0,1.0
2011-06-23,100000000.0,100000000.0,1.0
2011-06-24,100000000.0,100000000.0,1.0
2011-06-27,100000000.0,100000000.0,1.0
2011-06-28,100000000.0,100000000.0,1.0
2011-06-29,100000000.0,100000000.0,1.0
2011-06-30,22603096.0,100003096.0,1.00003096
2011-07-01,22603096.0,99823096.0,0.99823096
2011-07-04,5253790.0,100678790.0,1.0067879
2011-07-05,5253790.0,99963790.0,0.9996379
2011-07-06,5253790.0,100486290.0,1.0048629
2011-07-07,5253790.0,100513790.0,1.0051379
2011-07-08,5253790.0,100431290.0,1.0043129
2011-07-11,5253790.0,99688790.0,0.9968879
2011-07-12,5253790.0,99771290.0,0.9977129
2011-07-13,5253790.0,102576290.0,1.0257629
2011-07-14,5253790.0,101806290.0,1.0180629
2011-07-15,5253790.0,101146290.0,1.0114629
2011-07-18,5253790.0,101613790.0,1.0161379
2011-07-19,5253790.0,102796290.0,1.0279629
2011-07-20,5253790.0,102521290.0,1.0252129
2011-07-21,5253790.0,101201290.0,1.0120129
2011-07-22,5253790.0,101943790.0,1.0194379
2011-07-25,5253790.0,101008790.0,1.0100879
2011-07-26,5253790.0,102273790.0,1.0227379
2011-07-27,5253790.0,102988790.0,1.0298879
2011-07-28,5253790.0,102603790.0,1.0260379
2011-07-29,5253790.0,101723790.0,1.0172379
2011-08-01,5253790.0,102053790.0,1.0205379
2011-08-02,99798790.0,99798790.0,0.9979879
2011-08-03,99798790.0,99798790.0,0.9979879
2011-08-04,99798790.0,99798790.0,0.9979879
2011-08-05,99798790.0,99798790.0,0.9979879
2011-08-08,99798790.0,99798790.0,0.9979879
2011-08-09,99798790.0,99798790.0,0.9979879
2011-08-10,99798790.0,99798790.0,0.9979879
2011-08-11,99798790.0,99798790.0,0.9979879
2011-08-12,99798790.0,99798790.0,0.9979879
2011-08-15,99798790.0,99798790.0,0.9979879
2011-08-16,99798790.0,99798790.0,0.9979879
2011-08-17,99798790.0,99798790.0,0.9979879
2011-08-18,99798790.0,99798790.0,0.9979879
2011-08-19,99798790.0,99798790.0,0.9979879
2011-08-22,99798790.0,99798790.0,0.9979879
2011-08-23,99798790.0,99798790.0,0.9979879
2011-08-24,99798790.0,99798790.0,0.9979879
2011-08-25,99798790.0,99798790.0,0.9979879
2011-08-26,99798790.0,99798790.0,0.9979879
2011-08-29,99798790.0,99798790.0,0.9979879
2011-08-30,99798790.0,99798790.0,0.9979879
2011-08-31,99798790.0,99798790.0,0.9979879
2011-09-01,99798790.0,99798790.0,0.9979879
2011-09-02,99798790.0,99798790.0,0.9979879
2011-09-05,99798790.0,99798790.0,0.9979879
2011-09-06,99798790.0,99798790.0,0.9979879
2011-09-07,99798790.0,99798790.0,0.9979879
2011-09-08,99798790.0,99798790.0,0.9979879
2011-09-09,99798790.0,99798790.0,0.9979879
2011-09-13,99798790.0,99798790.0,0.9979879
2011-09-14,99798790.0,99798790.0,0.9979879
2011-09-15,99798790.0,99798790.0,0.9979879
2011-09-16,99798790.0,99798790.0,0.9979879
2011-09-19,99798790.0,99798790.0,0.9979879
2011-09-20,99798790.0,99798790.0,0.9979879
2011-09-21,99798790.0,99798790.0,0.9979879
2011-09-22,99798790.0,99798790.0,0.9979879
2011-09-23,99798790.0,99798790.0,0.9979879
2011-09-26,99798790.0,99798790.0,0.9979879
2011-09-27,99798790.0,99798790.0,0.9979879
2011-09-28,99798790.0,99798790.0,0.9979879
2011-09-29,99798790.0,99798790.0,0.9979879
2011-09-30,99798790.0,99798790.0,0.9979879
2011-10-10,99798790.0,99798790.0,0.9979879
2011-10-11,99798790.0,99798790.0,0.9979879
2011-10-12,99798790.0,99798790.0,0.9979879
2011-10-13,99798790.0,99798790.0,0.9979879
2011-10-14,70179974.8,99799974.8,0.997999748
2011-10-17,70179974.8,99709974.8,0.997099748
2011-10-18,70179974.8,98469974.8,0.984699748
2011-10-19,70179974.8,98549974.8,0.985499748
2011-10-20,97309432.2,97309432.2,0.973094322
2011-10-21,97309432.2,97309432.2,0.973094322
2011-10-24,97309432.2,97309432.2,0.973094322
2011-10-25,97309432.2,97309432.2,0.973094322
2011-10-26,97309432.2,97309432.2,0.973094322
2011-10-27,97309432.2,97309432.2,0.973094322
2011-10-28,97309432.2,97309432.2,0.973094322
2011-10-31,97309432.2,97309432.2,0.973094322
2011-11-01,97309432.2,97309432.2,0.973094322
2011-11-02,97309432.2,97309432.2,0.973094322
2011-11-03,97309432.2,97309432.2,0.973094322
2011-11-04,97309432.2,97309432.2,0.973094322
2011-11-07,97309432.2,97309432.2,0.973094322
2011-11-08,97309432.2,97309432.2,0.973094322
2011-11-09,97309432.2,97309432.2,0.973094322
2011-11-10,97309432.2,97309432.2,0.973094322
2011-11-11,97309432.2,97309432.2,0.973094322
2011-11-14,97309432.2,97309432.2,0.973094322
2011-11-15,97309432.2,97309432.2,0.973094322
2011-11-16,97309432.2,97309432.2,0.973094322
2011-11-17,97309432.2,97309432.2,0.973094322
2011-11-18,97309432.2,97309432.2,0.973094322
2011-11-21,97309432.2,97309432.2,0.973094322
2011-11-22,97309432.2,97309432.2,0.973094322
2011-11-23,97309432.2,97309432.2,0.973094322
2011-11-24,97309432.2,97309432.2,0.973094322
2011-11-25,97309432.2,97309432.2,0.973094322
2011-11-28,97309432.2,97309432.2,0.973094322
2011-11-29,97309432.2,97309432.2,0.973094322
2011-11-30,97309432.2,97309432.2,0.973094322
2011-12-01,58535983.2,97310983.2,0.973109832
2011-12-02,58535983.2,97148483.2,0.971484832
2011-12-05,58535983.2,97010983.2,0.970109832
2011-12-06,58535983.2,96898483.2,0.968984832
2011-12-07,58535983.2,97398483.2,0.973984832
2011-12-08,58535983.2,97235983.2,0.972359832
2011-12-09,58535983.2,97010983.2,0.970109832
2011-12-12,58535983.2,97060983.2,0.970609832
2011-12-13,58535983.2,96710983.2,0.967109832
2011-12-14,58535983.2,96210983.2,0.962109832
2011-12-15,95546114.4,95546114.4,0.955461144
2011-12-16,95546114.4,95546114.4,0.955461144
2011-12-19,95546114.4,95546114.4,0.955461144
2011-12-20,95546114.4,95546114.4,0.955461144
2011-12-21,95546114.4,95546114.4,0.955461144
2011-12-22,95546114.4,95546114.4,0.955461144
2011-12-23,95546114.4,95546114.4,0.955461144
2011-12-26,95546114.4,95546114.4,0.955461144
2011-12-27,95546114.4,95546114.4,0.955461144
2011-12-28,95546114.4,95546114.4,0.955461144
2011-12-29,95546114.4,95546114.4,0.955461144
2011-12-30,95546114.4,95546114.4,0.955461144
2012-01-04,95546114.4,95546114.4,0.955461144
2012-01-05,95546114.4,95546114.4,0.955461144
2012-01-06,95546114.4,95546114.4,0.955461144
2012-01-09,95546114.4,95546114.4,0.955461144
2012-01-10,95546114.4,95546114.4,0.955461144
2012-01-11,95546114.4,95546114.4,0.955461144
2012-01-12,95546114.4,95546114.4,0.955461144
2012-01-13,95546114.4,95546114.4,0.955461144
2012-01-16,95546114.4,95546114.4,0.955461144
2012-01-17,18774185.4,95549185.4,0.955491854
2012-01-18,3299804.4,96149804.4,0.961498044
2012-01-19,3299804.4,97649804.4,0.976498044
2012-01-20,3299804.4,98369804.4,0.983698044
2012-01-30,3299804.4,98369804.4,0.983698044
2012-01-31,3299804.4,98609804.4,0.986098044
2012-02-01,3299804.4,97619804.4,0.976198044
2012-02-02,3299804.4,98399804.4,0.983998044
2012-02-03,3299804.4,98519804.4,0.985198044
2012-02-06,3299804.4,99119804.4,0.991198044
2012-02-07,3299804.4,97949804.4,0.979498044
2012-02-08,3299804.4,99089804.4,0.990898044
2012-02-09,3299804.4,98129804.4,0.981298044
2012-02-10,3299804.4,98069804.4,0.980698044
2012-02-13,3299804.4,97739804.4,0.977398044
2012-02-14,96569804.4,96569804.4,0.965698044
2012-02-15,96569804.4,96569804.4,0.965698044
2012-02-16,96569804.4,96569804.4,0.965698044
2012-02-17,96569804.4,96569804.4,0.965698044
2012-02-20,96569804.4,96569804.4,0.965698044
2012-02-21,96569804.4,96569804.4,0.965698044
2012-02-22,96569804.4,96569804.4,0.965698044
2012-02-23,96569804.4,96569804.4,0.965698044
2012-02-24,96569804.4,96569804.4,0.965698044
2012-02-27,96569804.4,96569804.4,0.965698044
2012-02-28,16548005.4,96573005.4,0.965730054
2012-02-29,16548005.4,96598005.4,0.965980054
2012-03-01,16548005.4,95273005.4,0.952730054
2012-03-02,16548005.4,96073005.4,0.960730054
2012-03-05,16548005.4,95673005.4,0.956730054
2012-03-06,94522693.5,94522693.5,0.945226935
2012-03-07,94522693.5,94522693.5,0.945226935
2012-03-08,94522693.5,94522693.5,0.945226935
2012-03-09,94522693.5,94522693.5,0.945226935
2012-03-12,94522693.5,94522693.5,0.945226935
2012-03-13,94522693.5,94522693.5,0.945226935
2012-03-14,94522693.5,94522693.5,0.945226935
2012-03-15,94522693.5,94522693.5,0.945226935
2012-03-16,94522693.5,94522693.5,0.945226935
2012-03-19,94522693.5,94522693.5,0.945226935
2012-03-20,94522693.5,94522693.5,0.945226935
2012-03-21,94522693.5,94522693.5,0.945226935
2012-03-22,94522693.5,94522693.5,0.945226935
2012-03-23,94522693.5,94522693.5,0.945226935
2012-03-26,94522693.5,94522693.5,0.945226935
2012-03-27,94522693.5,94522693.5,0.945226935
2012-03-28,94522693.5,94522693.5,0.945226935
2012-03-29,94522693.5,94522693.5,0.945226935
2012-03-30,94522693.5,94522693.5,0.945226935
2012-04-05,94522693.5,94522693.5,0.945226935
2012-04-06,94522693.5,94522693.5,0.945226935
2012-04-09,94522693.5,94522693.5,0.945226935
2012-04-10,94522693.5,94522693.5,0.945226935
2012-04-11,94522693.5,94522693.5,0.945226935
2012-04-12,94522693.5,94522693.5,0.945226935
2012-04-13,94522693.5,94522693.5,0.945226935
2012-04-16,94522693.5,94522693.5,0.945226935
2012-04-17,94522693.5,94522693.5,0.945226935
2012-04-18,94522693.5,94522693.5,0.945226935
2012-04-19,94522693.5,94522693.5,0.945226935
2012-04-20,94522693.5,94522693.5,0.945226935
2012-04-23,94522693.5,94522693.5,0.945226935
2012-04-24,94522693.5,94522693.5,0.945226935
2012-04-25,94522693.5,94522693.5,0.945226935
2012-04-26,94522693.5,94522693.5,0.945226935
2012-04-27,94522693.5,94522693.5,0.945226935
2012-05-02,716445.9,94526445.9,0.945264459
2012-05-03,716445.9,93836445.9,0.938364459
2012-05-04,716445.9,93656445.9,0.936564459
2012-05-07,716445.9,93116445.9,0.931164459
2012-05-08,716445.9,93086445.9,0.930864459
2012-05-09,92846445.9,92846445.9,0.928464459
