,cash,float_capital,net_value
2010-03-22,100000000.0,100000000.0,1.0
2010-03-23,100000000.0,100000000.0,1.0
2010-03-24,100000000.0,100000000.0,1.0
2010-03-25,100000000.0,100000000.0,1.0
2010-03-26,100000000.0,100000000.0,1.0
2010-03-29,100000000.0,100000000.0,1.0
2010-03-30,100000000.0,100000000.0,1.0
2010-03-31,100000000.0,100000000.0,1.0
2010-04-01,100000000.0,100000000.0,1.0
2010-04-02,100000000.0,100000000.0,1.0
2010-04-06,100000000.0,100000000.0,1.0
2010-04-07,16386090.4,100002090.4,1.000020904
2010-04-08,16386090.4,100026090.4,1.000260904
2010-04-09,16386090.4,100362090.4,1.003620904
2010-04-12,2338441.6,100674441.6,1.006744416
2010-04-13,2338441.6,100198441.6,1.001984416
2010-04-14,2338441.6,100114441.6,1.001144416
2010-04-15,2338441.6,100058441.6,1.000584416
2010-04-16,2338441.6,100170441.6,1.001704416
2010-04-19,2338441.6,98770441.6,0.987704416
2010-04-20,2338441.6,98966441.6,0.989664416
2010-04-21,2338441.6,99274441.6,0.992744416
2010-04-22,2338441.6,99022441.6,0.990224416
2010-04-23,2338441.6,99834441.6,0.998344416
2010-04-26,2338441.6,100338441.6,1.003384416
2010-04-27,2338441.6,100702441.6,1.007024416
2010-04-28,2338441.6,99694441.6,0.996944416
2010-04-29,2338441.6,99218441.6,0.992184416
2010-04-30,2338441.6,99610441.6,0.996104416
2010-05-04,2338441.6,99050441.6,0.990504416
2010-05-05,2338441.6,99246441.6,0.992464416
2010-05-06,98378441.6,98378441.6,0.983784416
2010-05-07,98378441.6,98378441.6,0.983784416
2010-05-10,98378441.6,98378441.6,0.983784416
2010-05-11,98378441.6,98378441.6,0.983784416
2010-05-12,98378441.6,98378441.6,0.983784416
2010-05-13,98378441.6,98378441.6,0.983784416
2010-05-14,98378441.6,98378441.6,0.983784416
2010-05-17,98378441.6,98378441.6,0.983784416
2010-05-18,98378441.6,98378441.6,0.983784416
2010-05-19,98378441.6,98378441.6,0.983784416
2010-05-20,98378441.6,98378441.6,0.983784416
2010-05-21,98378441.6,98378441.6,0.983784416
2010-05-24,98378441.6,98378441.6,0.983784416
2010-05-25,98378441.6,98378441.6,0.983784416
2010-05-26,98378441.6,98378441.6,0.983784416
2010-05-27,98378441.6,98378441.6,0.983784416
2010-05-28,98378441.6,98378441.6,0.983784416
2010-05-31,98378441.6,98378441.6,0.983784416
2010-06-01,98378441.6,98378441.6,0.983784416
2010-06-02,98378441.6,98378441.6,0.983784416
2010-06-03,98378441.6,98378441.6,0.983784416
2010-06-04,98378441.6,98378441.6,0.983784416
2010-06-07,98378441.6,98378441.6,0.983784416
2010-06-08,98378441.6,98378441.6,0.983784416
2010-06-09,98378441.6,98378441.6,0.983784416
2010-06-10,98378441.6,98378441.6,0.983784416
2010-06-11,98378441.6,98378441.6,0.983784416
2010-06-17,98378441.6,98378441.6,0.983784416
2010-06-18,98378441.6,98378441.6,0.983784416
2010-06-21,98378441.6,98378441.6,0.983784416
2010-06-22,98378441.6,98378441.6,0.983784416
2010-06-23,98378441.6,98378441.6,0.983784416
2010-06-24,98378441.6,98378441.6,0.983784416
2010-06-25,98378441.6,98378441.6,0.983784416
2010-06-28,98378441.6,98378441.6,0.983784416
2010-06-29,98378441.6,98378441.6,0.983784416
2010-06-30,98378441.6,98378441.6,0.983784416
2010-07-01,98378441.6,98378441.6,0.983784416
2010-07-02,98378441.6,98378441.6,0.983784416
2010-07-05,98378441.6,98378441.6,0.983784416
2010-07-06,98378441.6,98378441.6,0.983784416
2010-07-07,98378441.6,98378441.6,0.983784416
2010-07-08,98378441.6,98378441.6,0.983784416
2010-07-09,98378441.6,98378441.6,0.983784416
2010-07-12,98378441.6,98378441.6,0.983784416
2010-07-13,98378441.6,98378441.6,0.983784416
2010-07-14,8724683.0,98380683.0,0.98380683
2010-07-15,8724683.0,98268683.0,0.98268683
2010-07-16,2188846.4,100228846.4,1.002288464
2010-07-19,2188846.4,100198846.4,1.001988464
2010-07-20,2188846.4,100048846.4,1.000488464
2010-07-21,2188846.4,99898846.4,0.998988464
2010-07-22,2188846.4,101068846.4,1.010688464
2010-07-23,2188846.4,101578846.4,1.015788464
2010-07-26,2188846.4,102268846.4,1.022688464
2010-07-27,2188846.4,100648846.4,1.006488464
2010-07-28,2188846.4,101518846.4,1.015188464
2010-07-29,2188846.4,102958846.4,1.029588464
2010-07-30,2188846.4,103258846.4,1.032588464
2010-08-02,2188846.4,105808846.4,1.058088464
2010-08-03,2188846.4,105658846.4,1.056588464
2010-08-04,2188846.4,106258846.4,1.062588464
2010-08-05,2188846.4,105028846.4,1.050288464
2010-08-06,2188846.4,108028846.4,1.080288464
2010-08-09,2188846.4,109918846.4,1.099188464
2010-08-10,2188846.4,108418846.4,1.084188464
2010-08-11,2188846.4,107998846.4,1.079988464
2010-08-12,2188846.4,108208846.4,1.082088464
2010-08-13,2188846.4,110668846.4,1.106688464
2010-08-16,2188846.4,111508846.4,1.115088464
2010-08-17,2188846.4,111148846.4,1.111488464
2010-08-18,2188846.4,109798846.4,1.097988464
2010-08-19,2188846.4,109978846.4,1.099788464
