,cash,float_capital,net_value
2010-03-22,100000000.0,100000000.0,1.0
2010-03-23,100000000.0,100000000.0,1.0
2010-03-24,100000000.0,100000000.0,1.0
2010-03-25,100000000.0,100000000.0,1.0
2010-03-26,100000000.0,100000000.0,1.0
2010-03-29,100000000.0,100000000.0,1.0
2010-03-30,100000000.0,100000000.0,1.0
2010-03-31,100000000.0,100000000.0,1.0
2010-04-01,100000000.0,100000000.0,1.0
2010-04-02,100000000.0,100000000.0,1.0
2010-04-06,100000000.0,100000000.0,1.0
2010-04-07,100000000.0,100000000.0,1.0
2010-04-08,100000000.0,100000000.0,1.0
2010-04-09,100000000.0,100000000.0,1.0
2010-04-12,20173592.35,100003592.35,1.0000359235
2010-04-13,20173592.35,100165592.35,1.0016559235
2010-04-14,20173592.35,99679592.35,0.9967959235
2010-04-15,20173592.35,99049592.35,0.9904959235
2010-04-16,20173592.35,99391592.35,0.9939159235
2010-04-19,97842038.95,97842038.95,0.9784203895
2010-04-20,97842038.95,97842038.95,0.9784203895
2010-04-21,97842038.95,97842038.95,0.9784203895
2010-04-22,97842038.95,97842038.95,0.9784203895
2010-04-23,97842038.95,97842038.95,0.9784203895
2010-04-26,97842038.95,97842038.95,0.9784203895
2010-04-27,97842038.95,97842038.95,0.9784203895
2010-04-28,97842038.95,97842038.95,0.9784203895
2010-04-29,97842038.95,97842038.95,0.9784203895
2010-04-30,97842038.95,97842038.95,0.9784203895
2010-05-04,97842038.95,97842038.95,0.9784203895
2010-05-05,97842038.95,97842038.95,0.9784203895
2010-05-06,97842038.95,97842038.95,0.9784203895
2010-05-07,97842038.95,97842038.95,0.9784203895
2010-05-10,97842038.95,97842038.95,0.9784203895
2010-05-11,97842038.95,97842038.95,0.9784203895
2010-05-12,97842038.95,97842038.95,0.9784203895
2010-05-13,97842038.95,97842038.95,0.9784203895
2010-05-14,97842038.95,97842038.95,0.9784203895
2010-05-17,97842038.95,97842038.95,0.9784203895
2010-05-18,97842038.95,97842038.95,0.9784203895
2010-05-19,97842038.95,97842038.95,0.9784203895
2010-05-20,97842038.95,97842038.95,0.9784203895
2010-05-21,97842038.95,97842038.95,0.9784203895
2010-05-24,97842038.95,97842038.95,0.9784203895
2010-05-25,97842038.95,97842038.95,0.9784203895
2010-05-26,97842038.95,97842038.95,0.9784203895
2010-05-27,97842038.95,97842038.95,0.9784203895
2010-05-28,97842038.95,97842038.95,0.9784203895
2010-05-31,97842038.95,97842038.95,0.9784203895
2010-06-01,97842038.95,97842038.95,0.9784203895
2010-06-02,97842038.95,97842038.95,0.9784203895
2010-06-03,97842038.95,97842038.95,0.9784203895
2010-06-04,97842038.95,97842038.95,0.9784203895
2010-06-07,97842038.95,97842038.95,0.9784203895
2010-06-08,97842038.95,97842038.95,0.9784203895
2010-06-09,97842038.95,97842038.95,0.9784203895
2010-06-10,97842038.95,97842038.95,0.9784203895
2010-06-11,97842038.95,97842038.95,0.9784203895
2010-06-17,97842038.95,97842038.95,0.9784203895
2010-06-18,97842038.95,97842038.95,0.9784203895
2010-06-21,97842038.95,97842038.95,0.9784203895
2010-06-22,97842038.95,97842038.95,0.9784203895
2010-06-23,97842038.95,97842038.95,0.9784203895
2010-06-24,97842038.95,97842038.95,0.9784203895
2010-06-25,97842038.95,97842038.95,0.9784203895
2010-06-28,97842038.95,97842038.95,0.9784203895
2010-06-29,97842038.95,97842038.95,0.9784203895
2010-06-30,97842038.95,97842038.95,0.9784203895
2010-07-01,97842038.95,97842038.95,0.9784203895
2010-07-02,97842038.95,97842038.95,0.9784203895
2010-07-05,97842038.95,97842038.95,0.9784203895
2010-07-06,97842038.95,97842038.95,0.9784203895
2010-07-07,97842038.95,97842038.95,0.9784203895
2010-07-08,97842038.95,97842038.95,0.9784203895
2010-07-09,97842038.95,97842038.95,0.9784203895
2010-07-12,97842038.95,97842038.95,0.9784203895
2010-07-13,97842038.95,97842038.95,0.9784203895
2010-07-14,97842038.95,97842038.95,0.9784203895
2010-07-15,97842038.95,97842038.95,0.9784203895
2010-07-16,97842038.95,97842038.95,0.9784203895
2010-07-19,97842038.95,97842038.95,0.9784203895
2010-07-20,25725284.35,97845284.35,0.9784528435
2010-07-21,25725284.35,97645284.35,0.9764528435
2010-07-22,25725284.35,97565284.35,0.9756528435
2010-07-23,7516103.8,98566103.8,0.985661038
2010-07-26,7516103.8,98366103.8,0.983661038
2010-07-27,7516103.8,96866103.8,0.968661038
2010-07-28,7516103.8,98491103.8,0.984911038
2010-07-29,7516103.8,98391103.8,0.983911038
2010-07-30,3812270.48,100116270.48,1.0011627048
2010-08-02,3812270.48,101208270.48,1.0120827048
2010-08-03,3812270.48,100454270.48,1.0045427048
2010-08-04,3812270.48,101130270.48,1.0113027048
2010-08-05,3812270.48,100558270.48,1.0055827048
2010-08-06,3812270.48,100948270.48,1.0094827048
2010-08-09,3812270.48,102560270.48,1.0256027048
2010-08-10,3812270.48,101988270.48,1.0198827048
2010-08-11,3812270.48,102092270.48,1.0209227048
2010-08-12,3812270.48,100532270.48,1.0053227048
2010-08-13,3812270.48,101390270.48,1.0139027048
2010-08-16,3812270.48,102092270.48,1.0209227048
