,cash,float_capital,net_value
2013-03-21,100000000.0,100000000.0,1.0
2013-03-22,100000000.0,100000000.0,1.0
2013-03-25,100000000.0,100000000.0,1.0
2013-03-26,100000000.0,100000000.0,1.0
2013-03-27,100000000.0,100000000.0,1.0
2013-03-28,100000000.0,100000000.0,1.0
2013-03-29,100000000.0,100000000.0,1.0
2013-04-01,100000000.0,100000000.0,1.0
2013-04-02,100000000.0,100000000.0,1.0
2013-04-03,100000000.0,100000000.0,1.0
2013-04-08,100000000.0,100000000.0,1.0
2013-04-09,100000000.0,100000000.0,1.0
2013-04-10,100000000.0,100000000.0,1.0
2013-04-11,100000000.0,100000000.0,1.0
2013-04-12,100000000.0,100000000.0,1.0
2013-04-15,100000000.0,100000000.0,1.0
2013-04-16,100000000.0,100000000.0,1.0
2013-04-17,100000000.0,100000000.0,1.0
2013-04-18,100000000.0,100000000.0,1.0
2013-04-19,100000000.0,100000000.0,1.0
2013-04-22,100000000.0,100000000.0,1.0
2013-04-23,100000000.0,100000000.0,1.0
2013-04-24,100000000.0,100000000.0,1.0
2013-04-25,100000000.0,100000000.0,1.0
2013-04-26,100000000.0,100000000.0,1.0
2013-05-02,100000000.0,100000000.0,1.0
2013-05-03,100000000.0,100000000.0,1.0
2013-05-06,100000000.0,100000000.0,1.0
2013-05-07,100000000.0,100000000.0,1.0
2013-05-08,100000000.0,100000000.0,1.0
2013-05-09,100000000.0,100000000.0,1.0
2013-05-10,100000000.0,100000000.0,1.0
2013-05-13,100000000.0,100000000.0,1.0
2013-05-14,100000000.0,100000000.0,1.0
2013-05-15,28401148.03,100002148.03,1.0000214803
2013-05-16,28401148.03,99973148.03,0.9997314803
2013-05-17,28401148.03,100408148.03,1.0040814803
2013-05-20,6018819.52,100524819.52,1.0052481952
2013-05-21,6018819.52,100638819.52,1.0063881952
2013-05-22,6018819.52,100828819.52,1.0082881952
2013-05-23,6018819.52,100448819.52,1.0044881952
2013-05-24,6018819.52,100030819.52,1.0003081952
2013-05-27,6018819.52,100676819.52,1.0067681952
2013-05-28,6018819.52,100638819.52,1.0063881952
2013-05-29,994970.24,101474970.24,1.0147497024
2013-05-30,994970.24,101474970.24,1.0147497024
2013-05-31,994970.24,102034970.24,1.0203497024
2013-06-03,994970.24,103514970.24,1.0351497024
2013-06-04,994970.24,103194970.24,1.0319497024
2013-06-05,994970.24,105234970.24,1.0523497024
2013-06-06,994970.24,103914970.24,1.0391497024
2013-06-07,994970.24,103234970.24,1.0323497024
2013-06-13,101914970.24,101914970.24,1.0191497024
2013-06-14,101914970.24,101914970.24,1.0191497024
2013-06-17,101914970.24,101914970.24,1.0191497024
2013-06-18,101914970.24,101914970.24,1.0191497024
2013-06-19,101914970.24,101914970.24,1.0191497024
2013-06-20,101914970.24,101914970.24,1.0191497024
2013-06-21,101914970.24,101914970.24,1.0191497024
2013-06-24,101914970.24,101914970.24,1.0191497024
2013-06-25,101914970.24,101914970.24,1.0191497024
2013-06-26,101914970.24,101914970.24,1.0191497024
2013-06-27,101914970.24,101914970.24,1.0191497024
2013-06-28,101914970.24,101914970.24,1.0191497024
2013-07-01,101914970.24,101914970.24,1.0191497024
2013-07-02,101914970.24,101914970.24,1.0191497024
2013-07-03,101914970.24,101914970.24,1.0191497024
2013-07-04,101914970.24,101914970.24,1.0191497024
2013-07-05,101914970.24,101914970.24,1.0191497024
2013-07-08,101914970.24,101914970.24,1.0191497024
2013-07-09,35668957.68,101916957.68,1.0191695768
2013-07-10,35668957.68,101994957.68,1.0199495768
2013-07-11,35668957.68,102358957.68,1.0235895768
2013-07-12,35668957.68,102358957.68,1.0235895768
2013-07-15,35668957.68,102150957.68,1.0215095768
2013-07-16,9839732.58,102827732.58,1.0282773258
2013-07-17,9839732.58,102683732.58,1.0268373258
2013-07-18,9839732.58,103115732.58,1.0311573258
2013-07-19,9839732.58,102575732.58,1.0257573258
2013-07-22,9839732.58,102179732.58,1.0217973258
2013-07-23,4623889.06,103727889.06,1.0372788906
2013-07-24,4623889.06,103537889.06,1.0353788906
2013-07-25,4623889.06,102739889.06,1.0273988906
2013-07-26,99927738.58,99927738.58,0.9992773858
2013-07-29,99927738.58,99927738.58,0.9992773858
2013-07-30,99927738.58,99927738.58,0.9992773858
2013-07-31,99927738.58,99927738.58,0.9992773858
2013-08-01,99927738.58,99927738.58,0.9992773858
2013-08-02,99927738.58,99927738.58,0.9992773858
2013-08-05,99927738.58,99927738.58,0.9992773858
2013-08-06,99927738.58,99927738.58,0.9992773858
2013-08-07,99927738.58,99927738.58,0.9992773858
2013-08-08,99927738.58,99927738.58,0.9992773858
2013-08-09,99927738.58,99927738.58,0.9992773858
2013-08-12,99927738.58,99927738.58,0.9992773858
2013-08-13,27101923.42,99929923.42,0.9992992342
