,cash,float_capital,net_value
2010-03-22,100000000.0,100000000.0,1.0
2010-03-23,100000000.0,100000000.0,1.0
2010-03-24,100000000.0,100000000.0,1.0
2010-03-25,100000000.0,100000000.0,1.0
2010-03-26,100000000.0,100000000.0,1.0
2010-03-29,100000000.0,100000000.0,1.0
2010-03-30,100000000.0,100000000.0,1.0
2010-03-31,100000000.0,100000000.0,1.0
2010-04-01,100000000.0,100000000.0,1.0
2010-04-02,100000000.0,100000000.0,1.0
2010-04-06,100000000.0,100000000.0,1.0
2010-04-07,100000000.0,100000000.0,1.0
2010-04-08,100000000.0,100000000.0,1.0
2010-04-09,100000000.0,100000000.0,1.0
2010-04-12,45990030.0,100000030.0,1.0000003
2010-04-13,45990030.0,99990030.0,0.9999003
2010-04-14,45990030.0,100100030.0,1.0010003
2010-04-15,45990030.0,99680030.0,0.9968003
2010-04-16,45990030.0,99920030.0,0.9992003
2010-04-19,45990030.0,98750030.0,0.9875003
2010-04-20,45990030.0,99340030.0,0.9934003
2010-04-21,45990030.0,99050030.0,0.9905003
2010-04-22,45990030.0,99280030.0,0.9928003
2010-04-23,45990030.0,98970030.0,0.9897003
2010-04-26,98189994.0,98189994.0,0.98189994
2010-04-27,98189994.0,98189994.0,0.98189994
2010-04-28,98189994.0,98189994.0,0.98189994
2010-04-29,98189994.0,98189994.0,0.98189994
2010-04-30,98189994.0,98189994.0,0.98189994
2010-05-04,98189994.0,98189994.0,0.98189994
2010-05-05,98189994.0,98189994.0,0.98189994
2010-05-06,98189994.0,98189994.0,0.98189994
2010-05-07,98189994.0,98189994.0,0.98189994
2010-05-10,98189994.0,98189994.0,0.98189994
2010-05-11,98189994.0,98189994.0,0.98189994
2010-05-12,98189994.0,98189994.0,0.98189994
2010-05-13,98189994.0,98189994.0,0.98189994
2010-05-14,98189994.0,98189994.0,0.98189994
2010-05-17,98189994.0,98189994.0,0.98189994
2010-05-18,98189994.0,98189994.0,0.98189994
2010-05-19,98189994.0,98189994.0,0.98189994
2010-05-20,98189994.0,98189994.0,0.98189994
2010-05-21,98189994.0,98189994.0,0.98189994
2010-05-24,98189994.0,98189994.0,0.98189994
2010-05-25,98189994.0,98189994.0,0.98189994
2010-05-26,98189994.0,98189994.0,0.98189994
2010-05-27,98189994.0,98189994.0,0.98189994
2010-05-28,98189994.0,98189994.0,0.98189994
2010-05-31,98189994.0,98189994.0,0.98189994
2010-06-01,98189994.0,98189994.0,0.98189994
2010-06-02,98189994.0,98189994.0,0.98189994
2010-06-03,98189994.0,98189994.0,0.98189994
2010-06-04,98189994.0,98189994.0,0.98189994
2010-06-07,98189994.0,98189994.0,0.98189994
2010-06-08,98189994.0,98189994.0,0.98189994
2010-06-09,98189994.0,98189994.0,0.98189994
2010-06-10,98189994.0,98189994.0,0.98189994
2010-06-11,98189994.0,98189994.0,0.98189994
2010-06-17,98189994.0,98189994.0,0.98189994
2010-06-18,98189994.0,98189994.0,0.98189994
2010-06-21,27448036.0,98190036.0,0.98190036
2010-06-22,27448036.0,97994036.0,0.97994036
2010-06-23,27448036.0,97980036.0,0.97980036
2010-06-24,27448036.0,98232036.0,0.98232036
2010-06-25,27448036.0,98428036.0,0.98428036
2010-06-28,7116048.0,98610048.0,0.98610048
2010-06-29,7116048.0,97278048.0,0.97278048
2010-06-30,7116048.0,97692048.0,0.97692048
2010-07-01,7116048.0,97854048.0,0.97854048
2010-07-02,7116048.0,98736048.0,0.98736048
2010-07-05,1929051.0,100482051.0,1.00482051
2010-07-06,1929051.0,100197051.0,1.00197051
2010-07-07,1929051.0,99950051.0,0.99950051
2010-07-08,1929051.0,100235051.0,1.00235051
2010-07-09,1929051.0,100330051.0,1.00330051
2010-07-12,1929051.0,99969051.0,0.99969051
2010-07-13,1929051.0,100026051.0,1.00026051
2010-07-14,1929051.0,99608051.0,0.99608051
2010-07-15,1929051.0,99703051.0,0.99703051
2010-07-16,1929051.0,100539051.0,1.00539051
2010-07-19,1929051.0,100558051.0,1.00558051
2010-07-20,1929051.0,101622051.0,1.01622051
2010-07-21,1929051.0,101204051.0,1.01204051
2010-07-22,1929051.0,101299051.0,1.01299051
2010-07-23,1929051.0,101736051.0,1.01736051
2010-07-26,1929051.0,102572051.0,1.02572051
2010-07-27,1929051.0,102135051.0,1.02135051
2010-07-28,1929051.0,103142051.0,1.03142051
2010-07-29,1929051.0,103750051.0,1.03750051
2010-07-30,1929051.0,104548051.0,1.04548051
2010-08-02,1929051.0,106201051.0,1.06201051
2010-08-03,1929051.0,105878051.0,1.05878051
2010-08-04,1929051.0,105023051.0,1.05023051
2010-08-05,1929051.0,105308051.0,1.05308051
2010-08-06,1929051.0,105840051.0,1.05840051
2010-08-09,1929051.0,106980051.0,1.06980051
2010-08-10,1929051.0,106030051.0,1.06030051
2010-08-11,1929051.0,106353051.0,1.06353051
2010-08-12,1929051.0,105745051.0,1.05745051
2010-08-13,1929051.0,106429051.0,1.06429051
2010-08-16,1929051.0,106638051.0,1.06638051
2010-08-17,1929051.0,106410051.0,1.06410051
2010-08-18,1929051.0,105650051.0,1.05650051
2010-08-19,1929051.0,105973051.0,1.05973051
