,cash,float_capital,net_value
2010-03-22,100000000.0,100000000.0,1.0
2010-03-23,100000000.0,100000000.0,1.0
2010-03-24,100000000.0,100000000.0,1.0
2010-03-25,100000000.0,100000000.0,1.0
2010-03-26,100000000.0,100000000.0,1.0
2010-03-29,26596027.0,100000027.0,1.00000027
2010-03-30,26596027.0,99730027.0,0.99730027
2010-03-31,26596027.0,99352027.0,0.99352027
2010-04-01,26596027.0,99946027.0,0.99946027
2010-04-02,26596027.0,100306027.0,1.00306027
2010-04-06,5936034.5,100972034.5,1.009720345
2010-04-07,5936034.5,100627034.5,1.006270345
2010-04-08,5936034.5,99753034.5,0.997530345
2010-04-09,5936034.5,100282034.5,1.002820345
2010-04-12,5936034.5,100236034.5,1.002360345
2010-04-13,5936034.5,99776034.5,0.997760345
2010-04-14,5936034.5,99868034.5,0.998680345
2010-04-15,5936034.5,99983034.5,0.999830345
2010-04-16,5936034.5,99661034.5,0.996610345
2010-04-19,97867031.5,97867031.5,0.978670315
2010-04-20,97867031.5,97867031.5,0.978670315
2010-04-21,97867031.5,97867031.5,0.978670315
2010-04-22,97867031.5,97867031.5,0.978670315
2010-04-23,97867031.5,97867031.5,0.978670315
2010-04-26,97867031.5,97867031.5,0.978670315
2010-04-27,97867031.5,97867031.5,0.978670315
2010-04-28,97867031.5,97867031.5,0.978670315
2010-04-29,97867031.5,97867031.5,0.978670315
2010-04-30,97867031.5,97867031.5,0.978670315
2010-05-04,97867031.5,97867031.5,0.978670315
2010-05-05,97867031.5,97867031.5,0.978670315
2010-05-06,97867031.5,97867031.5,0.978670315
2010-05-07,97867031.5,97867031.5,0.978670315
2010-05-10,97867031.5,97867031.5,0.978670315
2010-05-11,97867031.5,97867031.5,0.978670315
2010-05-12,97867031.5,97867031.5,0.978670315
2010-05-13,97867031.5,97867031.5,0.978670315
2010-05-14,97867031.5,97867031.5,0.978670315
2010-05-17,97867031.5,97867031.5,0.978670315
2010-05-18,97867031.5,97867031.5,0.978670315
2010-05-19,97867031.5,97867031.5,0.978670315
2010-05-20,97867031.5,97867031.5,0.978670315
2010-05-21,97867031.5,97867031.5,0.978670315
2010-05-24,97867031.5,97867031.5,0.978670315
2010-05-25,97867031.5,97867031.5,0.978670315
2010-05-26,97867031.5,97867031.5,0.978670315
2010-05-27,97867031.5,97867031.5,0.978670315
2010-05-28,97867031.5,97867031.5,0.978670315
2010-05-31,97867031.5,97867031.5,0.978670315
2010-06-01,97867031.5,97867031.5,0.978670315
2010-06-02,97867031.5,97867031.5,0.978670315
2010-06-03,97867031.5,97867031.5,0.978670315
2010-06-04,97867031.5,97867031.5,0.978670315
2010-06-07,97867031.5,97867031.5,0.978670315
2010-06-08,97867031.5,97867031.5,0.978670315
2010-06-09,97867031.5,97867031.5,0.978670315
2010-06-10,97867031.5,97867031.5,0.978670315
2010-06-11,97867031.5,97867031.5,0.978670315
2010-06-17,97867031.5,97867031.5,0.978670315
2010-06-18,97867031.5,97867031.5,0.978670315
2010-06-21,97867031.5,97867031.5,0.978670315
2010-06-22,97867031.5,97867031.5,0.978670315
2010-06-23,97867031.5,97867031.5,0.978670315
2010-06-24,97867031.5,97867031.5,0.978670315
2010-06-25,97867031.5,97867031.5,0.978670315
2010-06-28,97867031.5,97867031.5,0.978670315
2010-06-29,97867031.5,97867031.5,0.978670315
2010-06-30,97867031.5,97867031.5,0.978670315
2010-07-01,97867031.5,97867031.5,0.978670315
2010-07-02,97867031.5,97867031.5,0.978670315
2010-07-05,97867031.5,97867031.5,0.978670315
2010-07-06,97867031.5,97867031.5,0.978670315
2010-07-07,97867031.5,97867031.5,0.978670315
2010-07-08,97867031.5,97867031.5,0.978670315
2010-07-09,97867031.5,97867031.5,0.978670315
2010-07-12,97867031.5,97867031.5,0.978670315
2010-07-13,97867031.5,97867031.5,0.978670315
2010-07-14,97867031.5,97867031.5,0.978670315
2010-07-15,97867031.5,97867031.5,0.978670315
2010-07-16,97867031.5,97867031.5,0.978670315
2010-07-19,97867031.5,97867031.5,0.978670315
2010-07-20,97867031.5,97867031.5,0.978670315
2010-07-21,97867031.5,97867031.5,0.978670315
2010-07-22,97867031.5,97867031.5,0.978670315
2010-07-23,97867031.5,97867031.5,0.978670315
2010-07-26,97867031.5,97867031.5,0.978670315
2010-07-27,97867031.5,97867031.5,0.978670315
2010-07-28,97867031.5,97867031.5,0.978670315
2010-07-29,97867031.5,97867031.5,0.978670315
2010-07-30,97867031.5,97867031.5,0.978670315
2010-08-02,32222060.0,97867060.0,0.9786706
2010-08-03,32222060.0,97620060.0,0.9762006
2010-08-04,32222060.0,98038060.0,0.9803806
2010-08-05,32222060.0,96841060.0,0.9684106
2010-08-06,32222060.0,97069060.0,0.9706906
2010-08-09,32222060.0,97962060.0,0.9796206
2010-08-10,32222060.0,97316060.0,0.9731606
2010-08-11,32222060.0,97221060.0,0.9722106
2010-08-12,32222060.0,96613060.0,0.9661306
2010-08-13,32222060.0,97734060.0,0.9773406
2010-08-16,14492067.5,99596067.5,0.995960675
2010-08-17,14492067.5,99260067.5,0.992600675
2010-08-18,14492067.5,99140067.5,0.991400675
