,cash,float_capital,net_value
2010-03-22,100000000.0,100000000.0,1.0
2010-03-23,100000000.0,100000000.0,1.0
2010-03-24,100000000.0,100000000.0,1.0
2010-03-25,100000000.0,100000000.0,1.0
2010-03-26,100000000.0,100000000.0,1.0
2010-03-29,100000000.0,100000000.0,1.0
2010-03-30,100000000.0,100000000.0,1.0
2010-03-31,100000000.0,100000000.0,1.0
2010-04-01,100000000.0,100000000.0,1.0
2010-04-02,100000000.0,100000000.0,1.0
2010-04-06,100000000.0,100000000.0,1.0
2010-04-07,100000000.0,100000000.0,1.0
2010-04-08,100000000.0,100000000.0,1.0
2010-04-09,100000000.0,100000000.0,1.0
2010-04-12,100000000.0,100000000.0,1.0
2010-04-13,100000000.0,100000000.0,1.0
2010-04-14,100000000.0,100000000.0,1.0
2010-04-15,9125025.0,100000025.0,1.00000025
2010-04-16,9125025.0,99250025.0,0.99250025
2010-04-19,9125025.0,98375025.0,0.98375025
2010-04-20,9125025.0,98812525.0,0.98812525
2010-04-21,9125025.0,98125025.0,0.98125025
2010-04-22,97375021.0,97375021.0,0.97375021
2010-04-23,97375021.0,97375021.0,0.97375021
2010-04-26,97375021.0,97375021.0,0.97375021
2010-04-27,97375021.0,97375021.0,0.97375021
2010-04-28,97375021.0,97375021.0,0.97375021
2010-04-29,97375021.0,97375021.0,0.97375021
2010-04-30,97375021.0,97375021.0,0.97375021
2010-05-04,97375021.0,97375021.0,0.97375021
2010-05-05,97375021.0,97375021.0,0.97375021
2010-05-06,97375021.0,97375021.0,0.97375021
2010-05-07,97375021.0,97375021.0,0.97375021
2010-05-10,97375021.0,97375021.0,0.97375021
2010-05-11,97375021.0,97375021.0,0.97375021
2010-05-12,97375021.0,97375021.0,0.97375021
2010-05-13,97375021.0,97375021.0,0.97375021
2010-05-14,97375021.0,97375021.0,0.97375021
2010-05-17,97375021.0,97375021.0,0.97375021
2010-05-18,97375021.0,97375021.0,0.97375021
2010-05-19,97375021.0,97375021.0,0.97375021
2010-05-20,97375021.0,97375021.0,0.97375021
2010-05-21,97375021.0,97375021.0,0.97375021
2010-05-24,97375021.0,97375021.0,0.97375021
2010-05-25,97375021.0,97375021.0,0.97375021
2010-05-26,97375021.0,97375021.0,0.97375021
2010-05-27,97375021.0,97375021.0,0.97375021
2010-05-28,97375021.0,97375021.0,0.97375021
2010-05-31,97375021.0,97375021.0,0.97375021
2010-06-01,97375021.0,97375021.0,0.97375021
2010-06-02,97375021.0,97375021.0,0.97375021
2010-06-03,97375021.0,97375021.0,0.97375021
2010-06-04,97375021.0,97375021.0,0.97375021
2010-06-07,97375021.0,97375021.0,0.97375021
2010-06-08,97375021.0,97375021.0,0.97375021
2010-06-09,97375021.0,97375021.0,0.97375021
2010-06-10,97375021.0,97375021.0,0.97375021
2010-06-11,97375021.0,97375021.0,0.97375021
2010-06-17,97375021.0,97375021.0,0.97375021
2010-06-18,97375021.0,97375021.0,0.97375021
2010-06-21,97375021.0,97375021.0,0.97375021
2010-06-22,97375021.0,97375021.0,0.97375021
2010-06-23,97375021.0,97375021.0,0.97375021
2010-06-24,97375021.0,97375021.0,0.97375021
2010-06-25,97375021.0,97375021.0,0.97375021
2010-06-28,97375021.0,97375021.0,0.97375021
2010-06-29,97375021.0,97375021.0,0.97375021
2010-06-30,97375021.0,97375021.0,0.97375021
2010-07-01,97375021.0,97375021.0,0.97375021
2010-07-02,97375021.0,97375021.0,0.97375021
2010-07-05,97375021.0,97375021.0,0.97375021
2010-07-06,97375021.0,97375021.0,0.97375021
2010-07-07,97375021.0,97375021.0,0.97375021
2010-07-08,97375021.0,97375021.0,0.97375021
2010-07-09,97375021.0,97375021.0,0.97375021
2010-07-12,97375021.0,97375021.0,0.97375021
2010-07-13,97375021.0,97375021.0,0.97375021
2010-07-14,97375021.0,97375021.0,0.97375021
2010-07-15,97375021.0,97375021.0,0.97375021
2010-07-16,97375021.0,97375021.0,0.97375021
2010-07-19,97375021.0,97375021.0,0.97375021
2010-07-20,97375021.0,97375021.0,0.97375021
2010-07-21,97375021.0,97375021.0,0.97375021
2010-07-22,97375021.0,97375021.0,0.97375021
2010-07-23,24580044.0,97375044.0,0.97375044
2010-07-26,24580044.0,97777544.0,0.97777544
2010-07-27,24580044.0,97202544.0,0.97202544
2010-07-28,5455050.0,97892550.0,0.9789255
2010-07-29,5455050.0,97965050.0,0.9796505
2010-07-30,5455050.0,98255050.0,0.9825505
2010-08-02,2205051.0,99705051.0,0.99705051
2010-08-03,2205051.0,98730051.0,0.98730051
2010-08-04,2205051.0,98730051.0,0.98730051
2010-08-05,2205051.0,97605051.0,0.97605051
2010-08-06,2205051.0,98505051.0,0.98505051
2010-08-09,2205051.0,100005051.0,1.00005051
2010-08-10,2205051.0,99405051.0,0.99405051
2010-08-11,2205051.0,99030051.0,0.99030051
2010-08-12,2205051.0,97830051.0,0.97830051
2010-08-13,2205051.0,99030051.0,0.99030051
2010-08-16,2205051.0,100380051.0,1.00380051
2010-08-17,2205051.0,100230051.0,1.00230051
2010-08-18,2205051.0,99630051.0,0.99630051
2010-08-19,2205051.0,100755051.0,1.00755051
