,cash,float_capital,net_value
2010-03-22,100000000.0,100000000.0,1.0
2010-03-23,100000000.0,100000000.0,1.0
2010-03-24,100000000.0,100000000.0,1.0
2010-03-25,100000000.0,100000000.0,1.0
2010-03-26,100000000.0,100000000.0,1.0
2010-03-29,100000000.0,100000000.0,1.0
2010-03-30,1486016.25,100000016.25,1.0000001625
2010-03-31,1486016.25,99948016.25,0.9994801625
2010-04-01,1486016.25,99948016.25,0.9994801625
2010-04-02,1486016.25,100286016.25,1.0028601625
2010-04-06,1486016.25,100338016.25,1.0033801625
2010-04-07,1486016.25,101768016.25,1.0176801625
2010-04-08,1486016.25,101482016.25,1.0148201625
2010-04-09,1486016.25,102236016.25,1.0223601625
2010-04-12,1486016.25,102262016.25,1.0226201625
2010-04-13,1486016.25,101846016.25,1.0184601625
2010-04-14,1486016.25,101664016.25,1.0166401625
2010-04-15,1486016.25,101664016.25,1.0166401625
2010-04-16,1486016.25,101794016.25,1.0179401625
2010-04-19,100416016.25,100416016.25,1.0041601625
2010-04-20,100416016.25,100416016.25,1.0041601625
2010-04-21,100416016.25,100416016.25,1.0041601625
2010-04-22,100416016.25,100416016.25,1.0041601625
2010-04-23,100416016.25,100416016.25,1.0041601625
2010-04-26,100416016.25,100416016.25,1.0041601625
2010-04-27,100416016.25,100416016.25,1.0041601625
2010-04-28,100416016.25,100416016.25,1.0041601625
2010-04-29,100416016.25,100416016.25,1.0041601625
2010-04-30,100416016.25,100416016.25,1.0041601625
2010-05-04,100416016.25,100416016.25,1.0041601625
2010-05-05,100416016.25,100416016.25,1.0041601625
2010-05-06,100416016.25,100416016.25,1.0041601625
2010-05-07,100416016.25,100416016.25,1.0041601625
2010-05-10,100416016.25,100416016.25,1.0041601625
2010-05-11,100416016.25,100416016.25,1.0041601625
2010-05-12,100416016.25,100416016.25,1.0041601625
2010-05-13,100416016.25,100416016.25,1.0041601625
2010-05-14,100416016.25,100416016.25,1.0041601625
2010-05-17,100416016.25,100416016.25,1.0041601625
2010-05-18,100416016.25,100416016.25,1.0041601625
2010-05-19,100416016.25,100416016.25,1.0041601625
2010-05-20,100416016.25,100416016.25,1.0041601625
2010-05-21,100416016.25,100416016.25,1.0041601625
2010-05-24,100416016.25,100416016.25,1.0041601625
2010-05-25,100416016.25,100416016.25,1.0041601625
2010-05-26,100416016.25,100416016.25,1.0041601625
2010-05-27,100416016.25,100416016.25,1.0041601625
2010-05-28,100416016.25,100416016.25,1.0041601625
2010-05-31,100416016.25,100416016.25,1.0041601625
2010-06-01,100416016.25,100416016.25,1.0041601625
2010-06-02,100416016.25,100416016.25,1.0041601625
2010-06-03,100416016.25,100416016.25,1.0041601625
2010-06-04,100416016.25,100416016.25,1.0041601625
2010-06-07,100416016.25,100416016.25,1.0041601625
2010-06-08,100416016.25,100416016.25,1.0041601625
2010-06-09,100416016.25,100416016.25,1.0041601625
2010-06-10,100416016.25,100416016.25,1.0041601625
2010-06-11,100416016.25,100416016.25,1.0041601625
2010-06-17,100416016.25,100416016.25,1.0041601625
2010-06-18,100416016.25,100416016.25,1.0041601625
2010-06-21,11592031.25,100416031.25,1.0041603125
2010-06-22,11592031.25,100128031.25,1.0012803125
2010-06-23,11592031.25,99888031.25,0.9988803125
2010-06-24,11592031.25,99672031.25,0.9967203125
2010-06-25,11592031.25,99432031.25,0.9943203125
2010-06-28,11592031.25,99216031.25,0.9921603125
2010-06-29,98232030.0,98232030.0,0.9823203
2010-06-30,98232030.0,98232030.0,0.9823203
2010-07-01,98232030.0,98232030.0,0.9823203
2010-07-02,98232030.0,98232030.0,0.9823203
2010-07-05,98232030.0,98232030.0,0.9823203
2010-07-06,98232030.0,98232030.0,0.9823203
2010-07-07,98232030.0,98232030.0,0.9823203
2010-07-08,98232030.0,98232030.0,0.9823203
2010-07-09,98232030.0,98232030.0,0.9823203
2010-07-12,98232030.0,98232030.0,0.9823203
2010-07-13,98232030.0,98232030.0,0.9823203
2010-07-14,98232030.0,98232030.0,0.9823203
2010-07-15,98232030.0,98232030.0,0.9823203
2010-07-16,-11807951.25,98232048.75,0.9823204875
2010-07-19,-11807951.25,98022048.75,0.9802204875
2010-07-20,-11807951.25,97902048.75,0.9790204875
2010-07-21,-11807951.25,97962048.75,0.9796204875
2010-07-22,-11807951.25,98382048.75,0.9838204875
2010-07-23,-4423952.5,98952047.5,0.989520475
2010-07-26,-4423952.5,99288047.5,0.992880475
2010-07-27,-4423952.5,98084047.5,0.980840475
2010-07-28,-4423952.5,98616047.5,0.986160475
2010-07-29,-4423952.5,99652047.5,0.996520475
2010-07-30,-4423952.5,99904047.5,0.999040475
2010-08-02,-4423952.5,102004047.5,1.020040475
2010-08-03,-4423952.5,102060047.5,1.020600475
2010-08-04,-4423952.5,102480047.5,1.024800475
2010-08-05,-4423952.5,101920047.5,1.019200475
2010-08-06,-4423952.5,104328047.5,1.043280475
2010-08-09,-4423952.5,106764047.5,1.067640475
2010-08-10,-4423952.5,105812047.5,1.058120475
2010-08-11,-4423952.5,105084047.5,1.050840475
2010-08-12,-4423952.5,104804047.5,1.048040475
2010-08-13,-4423952.5,107548047.5,1.075480475
