,cash,float_capital,net_value
2010-03-22,100000000.0,100000000.0,1.0
2010-03-23,100000000.0,100000000.0,1.0
2010-03-24,100000000.0,100000000.0,1.0
2010-03-25,100000000.0,100000000.0,1.0
2010-03-26,100000000.0,100000000.0,1.0
2010-03-29,100000000.0,100000000.0,1.0
2010-03-30,100000000.0,100000000.0,1.0
2010-03-31,100000000.0,100000000.0,1.0
2010-04-01,62020012.0,100000012.0,1.00000012
2010-04-02,62020012.0,100130012.0,1.00130012
2010-04-06,33145021.0,100520021.0,1.00520021
2010-04-07,33145021.0,100555021.0,1.00555021
2010-04-08,33145021.0,98875021.0,0.98875021
2010-04-09,33145021.0,99505021.0,0.99505021
2010-04-12,33145021.0,99960021.0,0.99960021
2010-04-13,33145021.0,99330021.0,0.99330021
2010-04-14,33145021.0,99697521.0,0.99697521
2010-04-15,33145021.0,99732521.0,0.99732521
2010-04-16,33145021.0,100257521.0,1.00257521
2010-04-19,97002515.0,97002515.0,0.97002515
2010-04-20,97002515.0,97002515.0,0.97002515
2010-04-21,97002515.0,97002515.0,0.97002515
2010-04-22,97002515.0,97002515.0,0.97002515
2010-04-23,97002515.0,97002515.0,0.97002515
2010-04-26,97002515.0,97002515.0,0.97002515
2010-04-27,97002515.0,97002515.0,0.97002515
2010-04-28,97002515.0,97002515.0,0.97002515
2010-04-29,97002515.0,97002515.0,0.97002515
2010-04-30,97002515.0,97002515.0,0.97002515
2010-05-04,97002515.0,97002515.0,0.97002515
2010-05-05,97002515.0,97002515.0,0.97002515
2010-05-06,97002515.0,97002515.0,0.97002515
2010-05-07,97002515.0,97002515.0,0.97002515
2010-05-10,97002515.0,97002515.0,0.97002515
2010-05-11,97002515.0,97002515.0,0.97002515
2010-05-12,97002515.0,97002515.0,0.97002515
2010-05-13,97002515.0,97002515.0,0.97002515
2010-05-14,97002515.0,97002515.0,0.97002515
2010-05-17,97002515.0,97002515.0,0.97002515
2010-05-18,97002515.0,97002515.0,0.97002515
2010-05-19,97002515.0,97002515.0,0.97002515
2010-05-20,97002515.0,97002515.0,0.97002515
2010-05-21,97002515.0,97002515.0,0.97002515
2010-05-24,97002515.0,97002515.0,0.97002515
2010-05-25,97002515.0,97002515.0,0.97002515
2010-05-26,97002515.0,97002515.0,0.97002515
2010-05-27,97002515.0,97002515.0,0.97002515
2010-05-28,97002515.0,97002515.0,0.97002515
2010-05-31,97002515.0,97002515.0,0.97002515
2010-06-01,97002515.0,97002515.0,0.97002515
2010-06-02,97002515.0,97002515.0,0.97002515
2010-06-03,97002515.0,97002515.0,0.97002515
2010-06-04,97002515.0,97002515.0,0.97002515
2010-06-07,97002515.0,97002515.0,0.97002515
2010-06-08,97002515.0,97002515.0,0.97002515
2010-06-09,97002515.0,97002515.0,0.97002515
2010-06-10,97002515.0,97002515.0,0.97002515
2010-06-11,97002515.0,97002515.0,0.97002515
2010-06-17,97002515.0,97002515.0,0.97002515
2010-06-18,97002515.0,97002515.0,0.97002515
2010-06-21,97002515.0,97002515.0,0.97002515
2010-06-22,97002515.0,97002515.0,0.97002515
2010-06-23,68432527.0,97002527.0,0.97002527
2010-06-24,53852533.0,97592533.0,0.97592533
2010-06-25,53852533.0,96587533.0,0.96587533
2010-06-28,53852533.0,97652533.0,0.97652533
2010-06-29,53852533.0,95672533.0,0.95672533
2010-06-30,53852533.0,95027533.0,0.95027533
2010-07-01,53852533.0,94697533.0,0.94697533
2010-07-02,53852533.0,96512533.0,0.96512533
2010-07-05,53852533.0,96887533.0,0.96887533
2010-07-06,53852533.0,97367533.0,0.97367533
2010-07-07,53852533.0,96782533.0,0.96782533
2010-07-08,53852533.0,97232533.0,0.97232533
2010-07-09,53852533.0,97277533.0,0.97277533
2010-07-12,53852533.0,96707533.0,0.96707533
2010-07-13,53852533.0,95792533.0,0.95792533
2010-07-14,53852533.0,96512533.0,0.96512533
2010-07-15,53852533.0,96572533.0,0.96572533
2010-07-16,53852533.0,96887533.0,0.96887533
2010-07-19,53852533.0,96677533.0,0.96677533
2010-07-20,53852533.0,97547533.0,0.97547533
2010-07-21,53852533.0,97547533.0,0.97547533
2010-07-22,53852533.0,97997533.0,0.97997533
2010-07-23,38852539.0,98852539.0,0.98852539
2010-07-26,38852539.0,99552539.0,0.99552539
2010-07-27,38852539.0,98692539.0,0.98692539
2010-07-28,23552545.0,100052545.0,1.00052545
2010-07-29,23552545.0,100202545.0,1.00202545
2010-07-30,23552545.0,99927545.0,0.99927545
2010-08-02,15690048.0,102177548.0,1.02177548
2010-08-03,15690048.0,102562548.0,1.02562548
2010-08-04,7695051.0,103635051.0,1.03635051
2010-08-05,7695051.0,104025051.0,1.04025051
2010-08-06,7695051.0,105825051.0,1.05825051
2010-08-09,7695051.0,107955051.0,1.07955051
2010-08-10,7695051.0,105915051.0,1.05915051
2010-08-11,7695051.0,104595051.0,1.04595051
2010-08-12,101445051.0,101445051.0,1.01445051
2010-08-13,101445051.0,101445051.0,1.01445051
2010-08-16,101445051.0,101445051.0,1.01445051
2010-08-17,101445051.0,101445051.0,1.01445051
2010-08-18,101445051.0,101445051.0,1.01445051
2010-08-19,101445051.0,101445051.0,1.01445051
