,open,high,low,close
2012-05-11,6110,6115,6000,6002
2012-05-14,6040,6045,5960,5976
2012-05-15,5895,5910,5711,5842
2012-05-16,5750,5786,5643,5647
2012-05-17,5705,5787,5691,5763
2012-05-18,5808,5881,5768,5863
2012-05-21,5957,5964,5903,5940
2012-05-22,5920,5930,5882,5890
2012-05-23,5800,5818,5759,5791
2012-05-24,5785,5838,5766,5832
2012-05-25,5858,5912,5804,5904
2012-05-28,5940,5992,5916,5986
2012-05-29,5933,5982,5922,5962
2012-05-30,5817,5855,5798,5801
2012-05-31,5836,5878,5826,5851
2012-06-01,5800,5840,5771,5832
2012-06-04,5923,5998,5901,5949
2012-06-05,5954,5985,5921,5931
2012-06-06,6001,6092,5991,6088
2012-06-07,6145,6154,6110,6134
2012-06-08,6005,6023,5905,5935
2012-06-11,6054,6099,6031,6062
2012-06-12,5992,6038,5978,5989
2012-06-13,6050,6083,6040,6083
2012-06-14,6068,6128,6061,6080
2012-06-15,6050,6085,6032,6070
2012-06-18,6087,6095,6003,6010
2012-06-19,6058,6080,6045,6061
2012-06-20,5996,6029,5990,6010
2012-06-21,5900,5925,5893,5911
2012-06-25,5700,5742,5691,5716
2012-06-26,5830,5830,5783,5791
2012-06-27,5767,5771,5725,5745
2012-06-28,5778,5778,5733,5736
2012-06-29,5651,5764,5632,5751
2012-07-02,5831,5831,5785,5796
2012-07-03,5820,5915,5810,5908
2012-07-04,5952,5979,5932,5948
2012-07-05,5960,5995,5944,5994
2012-07-06,5929,5932,5864,5872
2012-07-09,5790,5832,5782,5808
2012-07-10,5813,5834,5795,5798
2012-07-11,5755,5780,5750,5775
2012-07-12,5774,5779,5728,5743
2012-07-13,5770,5830,5764,5828
2012-07-16,5810,5834,5787,5828
2012-07-17,5845,5877,5812,5830
2012-07-18,5835,5838,5780,5811
2012-07-19,5815,5828,5797,5822
2012-07-20,5809,5811,5787,5799
2012-07-23,5806,5808,5755,5761
2012-07-24,5769,5791,5761,5771
2012-07-25,5761,5794,5717,5717
2012-07-26,5817,5863,5797,5849
2012-07-27,5839,5909,5839,5904
2012-07-30,5900,5902,5864,5870
2012-07-31,5955,6021,5949,6001
2012-08-01,5942,5969,5926,5967
2012-08-02,5857,5887,5857,5873
2012-08-03,5843,5845,5819,5839
2012-08-06,5947,5949,5918,5929
2012-08-07,5943,5951,5933,5943
2012-08-08,5976,5976,5930,5932
2012-08-09,5965,5999,5957,5997
2012-08-10,5982,5983,5938,5953
2012-08-13,5981,6001,5963,5972
2012-08-14,5951,5957,5921,5953
2012-08-15,5938,5946,5927,5930
2012-08-16,5946,5955,5922,5929
2012-08-17,5993,6014,5980,6008
2012-08-20,5977,6011,5973,5996
2012-08-21,6077,6135,6071,6125
2012-08-22,6185,6243,6179,6237
2012-08-23,6314,6542,6310,6503
2012-08-24,6495,6525,6436,6464
2012-08-27,6565,6685,6562,6608
2012-08-28,6528,6552,6493,6543
