,open,high,low,close
2010-01-04,17440,17450,17185,17200
2010-01-05,17250,17570,17240,17540
2010-01-06,17520,18295,17520,18160
2010-01-07,18400,18685,17200,17835
2010-01-08,17770,17890,17320,17500
2010-01-11,17770,18270,17750,18260
2010-01-12,18180,18325,17960,18255
2010-01-13,17500,17640,17250,17410
2010-01-14,17810,17810,17550,17600
2010-01-15,17680,17825,17465,17590
2010-01-18,17400,17715,17350,17665
2010-01-19,17640,17860,17610,17735
2010-01-20,17730,17780,17405,17410
2010-01-21,17300,17490,17290,17465
2010-01-22,17275,17370,16930,17060
2010-01-25,17050,17320,16965,17205
2010-01-26,17215,17270,16955,16970
2010-01-27,17055,17110,16945,17010
2010-01-28,16575,16625,16260,16315
2010-01-29,16025,16160,15875,15995
2010-02-01,16065,16220,15790,16200
2010-02-02,16265,16345,16100,16225
2010-02-03,16380,16610,16275,16600
2010-02-04,16255,16500,16155,16375
2010-02-05,16005,16160,15985,16135
2010-02-08,16155,16245,16055,16160
2010-02-09,16135,16340,16090,16320
2010-02-10,16465,16540,16375,16475
2010-02-11,16455,16650,16450,16495
2010-02-12,16545,16785,16455,16680
2010-02-22,17340,17340,16755,16835
2010-02-23,16850,16940,16795,16870
2010-02-24,16655,16780,16635,16685
2010-02-25,16705,16825,16645,16695
2010-02-26,16595,16695,16565,16585
2010-03-01,16845,16925,16640,16700
2010-03-02,16695,16695,16400,16405
2010-03-03,16545,16600,16510,16535
2010-03-04,16635,16645,16495,16540
2010-03-05,16565,16610,16525,16585
2010-03-08,16635,16830,16600,16770
2010-03-09,16705,16705,16590,16630
2010-03-10,16690,16815,16660,16760
2010-03-11,16675,16685,16560,16600
2010-03-12,16655,16660,16530,16610
2010-03-15,16645,16655,16335,16365
2010-03-16,16315,16415,16210,16390
2010-03-17,16465,16550,16370,16515
2010-03-18,16545,16580,16315,16370
2010-03-19,16395,16645,16355,16545
2010-03-22,16415,16510,16375,16380
2010-03-23,16435,16475,16245,16305
2010-03-24,16305,16435,16160,16220
2010-03-25,16145,16220,16015,16075
2010-03-26,16115,16290,16050,16255
2010-03-29,16295,16345,16265,16320
2010-03-30,16395,16405,16295,16355
2010-03-31,16385,16385,16200,16270
2010-04-01,16340,16445,16295,16345
2010-04-02,16395,16445,16345,16405
2010-04-06,16425,16565,16420,16510
2010-04-07,16510,16545,16410,16480
2010-04-08,16440,16440,16280,16300
2010-04-09,16360,16405,16330,16385
2010-04-12,16515,16660,16490,16595
2010-04-13,16530,16700,16475,16555
2010-04-14,16700,16720,16620,16630
2010-04-15,16695,16705,16570,16600
2010-04-16,16645,16645,16530,16540
2010-04-19,16370,16380,16075,16080
2010-04-20,16160,16225,16115,16205
2010-04-21,16195,16220,16135,16200
2010-04-22,16075,16175,16070,16130
2010-04-23,16085,16140,16025,16060
2010-04-26,16150,16220,16110,16120
2010-04-27,16100,16100,15920,15955
2010-04-28,15250,15685,15170,15590
2010-04-29,15660,15755,15615,15640
2010-04-30,15760,15775,15625,15720
2010-05-04,15680,15680,15520,15595
2010-05-05,15355,15430,15260,15420
2010-05-06,15410,15515,15290,15310
2010-05-07,15210,15310,14945,14985
2010-05-10,15185,15235,15070,15230
2010-05-11,15250,15270,15145,15180
2010-05-12,15155,15230,15090,15110
2010-05-13,15185,15205,15150,15200
2010-05-14,15190,15235,15135,15160
2010-05-17,15030,15060,14405,14500
2010-05-18,14495,14585,14225,14550
2010-05-19,14375,14570,14095,14485
2010-05-20,14510,14605,14430,14520
2010-05-21,14400,14485,14265,14425
2010-05-24,14590,14670,14505,14640
2010-05-25,14530,14625,14480,14500
2010-05-26,14575,14620,14490,14570
2010-05-27,14510,14590,14460,14585
2010-05-28,14650,14805,14625,14700
2010-05-31,14625,14700,14580,14615
2010-06-01,14605,14635,14475,14480
2010-06-02,14440,14500,14055,14260
2010-06-03,14330,14420,14180,14280
2010-06-04,14175,14205,13945,14075
2010-06-07,13355,13435,13325,13325
2010-06-08,13315,13575,13265,13550
2010-06-09,13595,13965,13470,13965
2010-06-10,13865,13945,13715,13760
2010-06-11,13875,13940,13840,13930
2010-06-17,14105,14115,13815,13825
2010-06-18,13825,13870,13735,13780
2010-06-21,13890,14455,13865,14250
2010-06-22,14045,14135,13955,14020
2010-06-23,13955,14195,13915,14065
2010-06-24,14085,14220,14060,14130
2010-06-25,14135,14215,14035,14075
2010-06-28,14145,14285,14130,14160
2010-06-29,14160,14265,13980,14025
2010-06-30,13860,13985,13860,13935
2010-07-01,13860,13970,13825,13850
2010-07-02,13855,14045,13855,14020
2010-07-05,13995,14120,13975,14055
2010-07-06,14010,14090,13960,14055
2010-07-07,14145,14185,14045,14065
2010-07-08,14180,14195,14105,14140
2010-07-09,14145,14165,14055,14130
2010-07-12,14125,14170,13945,14060
2010-07-13,14070,14070,13960,13975
2010-07-14,14045,14125,14025,14055
2010-07-15,14045,14100,14010,14055
2010-07-16,14095,14145,14025,14145
2010-07-19,14015,14100,13995,14045
2010-07-20,14060,14205,14050,14165
2010-07-21,14165,14215,14095,14150
2010-07-22,14160,14205,14140,14180
2010-07-23,14290,14465,14265,14410
2010-07-26,14405,14585,14350,14535
2010-07-27,14520,14550,14415,14435
2010-07-28,14420,14640,14415,14615
2010-07-29,14575,14645,14480,14520
2010-07-30,14540,14565,14450,14480
2010-08-02,14660,14820,14635,14745
2010-08-03,14955,14955,14695,14710
2010-08-04,14670,14725,14585,14695
2010-08-05,14740,14835,14650,14685
2010-08-06,14635,14720,14605,14700
2010-08-09,14710,14800,14710,14780
2010-08-10,14730,14740,14545,14570
2010-08-11,14580,14615,14460,14500
2010-08-12,14445,14470,14250,14370
2010-08-13,14415,14575,14380,14560
2010-08-16,14455,14585,14410,14520
2010-08-17,14525,14600,14495,14555
2010-08-18,14575,14660,14520,14525
2010-08-19,14535,14555,14440,14535
2010-08-20,14475,14475,14330,14335
2010-08-23,14335,14460,14295,14355
2010-08-24,14330,14425,14320,14330
2010-08-25,14330,14375,14260,14340
2010-08-26,14380,14425,14315,14350
2010-08-27,14400,14400,14325,14350
2010-08-30,14430,14560,14410,14540
2010-08-31,14490,14495,14340,14350
2010-09-01,14370,14515,14370,14475
2010-09-02,14555,14610,14480,14540
2010-09-03,14610,14625,14525,14580
2010-09-06,14595,14750,14595,14710
2010-09-07,14730,14900,14635,14750
2010-09-08,14715,14730,14640,14705
2010-09-09,14715,14760,13890,14470
2010-09-10,14470,14695,14455,14680
2010-09-13,14790,14820,14630,14665
2010-09-14,14665,14685,14525,14540
2010-09-15,14585,14605,14480,14525
2010-09-16,14540,14560,14465,14520
2010-09-17,14545,14600,14525,14580
2010-09-20,14615,14680,14580,14650
2010-09-21,14670,14670,14540,14615
2010-09-27,14875,14875,14700,14820
2010-09-28,14760,14910,14720,14775
2010-09-29,14810,14890,14745,14840
2010-09-30,14850,14850,14290,14760
2010-10-08,14755,14925,14730,14865
2010-10-11,15120,15485,15100,15385
2010-10-12,15275,15320,15155,15220
2010-10-13,15355,15430,15285,15350
