,open,high,low,close
2010-01-04,4080,4090,4049,4057
2010-01-05,4067,4082,4060,4066
2010-01-06,4066,4194,4057,4154
2010-01-07,4165,4188,3975,4044
2010-01-08,4040,4050,3947,3981
2010-01-11,4012,4050,4012,4031
2010-01-12,4000,4029,3981,4004
2010-01-13,3905,3938,3896,3909
2010-01-14,3943,3943,3918,3919
2010-01-15,3905,3949,3902,3915
2010-01-18,3908,3925,3890,3909
2010-01-19,3935,3935,3910,3919
2010-01-20,3910,3929,3858,3861
2010-01-21,3860,3903,3852,3901
2010-01-22,3887,3893,3837,3889
2010-01-25,3878,3926,3875,3911
2010-01-26,3910,3930,3883,3885
2010-01-27,3905,3938,3900,3922
2010-01-28,3900,3900,3842,3863
2010-01-29,3870,3884,3850,3853
2010-02-01,3839,3849,3760,3768
2010-02-02,3785,3798,3728,3735
2010-02-03,3771,3785,3744,3782
2010-02-04,3740,3760,3720,3755
2010-02-05,3740,3793,3728,3785
2010-02-08,3810,3825,3801,3812
2010-02-09,3812,3819,3796,3809
2010-02-10,3807,3815,3748,3769
2010-02-11,3807,3828,3784,3798
2010-02-12,3801,3808,3763,3776
2010-02-22,3815,3850,3800,3819
2010-02-23,3830,3878,3825,3874
2010-02-24,3851,3867,3848,3858
2010-02-25,3867,3874,3825,3838
2010-02-26,3830,3845,3820,3830
2010-03-01,3860,3904,3843,3883
2010-03-02,3881,3898,3865,3873
2010-03-03,3886,3910,3878,3892
2010-03-04,3882,3889,3833,3834
2010-03-05,3814,3840,3804,3835
2010-03-08,3842,3845,3821,3842
2010-03-09,3836,3855,3826,3845
2010-03-10,3835,3852,3834,3836
2010-03-11,3855,3876,3830,3850
2010-03-12,3825,3830,3806,3810
2010-03-15,3813,3816,3786,3800
2010-03-16,3805,3839,3804,3838
2010-03-17,3850,3859,3841,3846
2010-03-18,3858,3858,3827,3835
2010-03-19,3842,3875,3841,3861
2010-03-22,3850,3885,3850,3870
2010-03-23,3900,3901,3861,3870
2010-03-24,3867,3871,3850,3858
2010-03-25,3855,3874,3855,3862
2010-03-26,3850,3858,3835,3853
2010-03-29,3868,3878,3855,3869
2010-03-30,3880,3898,3862,3893
2010-03-31,3896,3920,3885,3888
2010-04-01,3847,3876,3838,3868
2010-04-02,3867,3884,3867,3878
2010-04-06,3872,3885,3869,3875
2010-04-07,3884,3903,3880,3894
2010-04-08,3895,3916,3881,3883
2010-04-09,3885,3896,3885,3891
2010-04-12,3905,3914,3890,3908
2010-04-13,3910,3910,3888,3904
2010-04-14,3919,3922,3901,3902
2010-04-15,3905,3906,3888,3892
2010-04-16,3910,3915,3901,3901
2010-04-19,3894,3899,3863,3872
2010-04-20,3890,3894,3883,3891
2010-04-21,3894,3898,3889,3893
2010-04-22,3899,3907,3895,3899
2010-04-23,3910,3916,3905,3909
2010-04-26,3915,3922,3897,3907
2010-04-27,3897,3899,3875,3890
2010-04-28,3860,3872,3823,3866
2010-04-29,3867,3881,3867,3870
2010-04-30,3874,3906,3870,3905
2010-05-04,3882,3891,3873,3882
2010-05-05,3881,3948,3865,3943
2010-05-06,3942,3944,3889,3894
2010-05-07,3857,3861,3816,3828
