,open,high,low,close
2013-10-09,4598,4658,4470,4476
2013-10-10,4460,4522,4452,4502
2013-10-11,4510,4524,4456,4466
2013-10-14,4476,4490,4434,4444
2013-10-15,4448,4494,4436,4442
2013-10-16,4428,4484,4428,4432
2013-10-17,4448,4460,4408,4410
2013-10-18,4412,4430,4402,4404
2013-10-21,4410,4466,4406,4452
2013-10-22,4444,4454,4428,4440
2013-10-23,4432,4444,4408,4436
2013-10-24,4434,4482,4426,4458
2013-10-25,4460,4464,4406,4406
2013-10-28,4410,4412,4250,4268
2013-10-29,4266,4288,4248,4270
2013-10-30,4270,4328,4228,4316
2013-10-31,4308,4324,4288,4292
2013-11-01,4288,4340,4256,4310
2013-11-04,4280,4336,4276,4314
2013-11-05,4310,4332,4264,4308
2013-11-06,4300,4316,4290,4308
2013-11-07,4312,4324,4268,4274
2013-11-08,4272,4284,4252,4260
2013-11-11,4262,4286,4254,4278
2013-11-12,4272,4308,4268,4304
2013-11-13,4280,4290,4262,4286
2013-11-14,4298,4302,4264,4266
2013-11-15,4266,4284,4246,4270
2013-11-18,4278,4314,4272,4292
2013-11-19,4280,4306,4264,4296
2013-11-20,4296,4326,4296,4310
2013-11-21,4306,4312,4288,4298
2013-11-22,4312,4350,4308,4338
2013-11-25,4336,4368,4316,4356
2013-11-26,4360,4444,4350,4370
2013-11-27,4366,4384,4332,4336
2013-11-28,4330,4358,4318,4346
2013-11-29,4352,4366,4332,4352
2013-12-02,4362,4372,4340,4354
2013-12-03,4360,4410,4352,4382
2013-12-04,4408,4412,4378,4388
2013-12-05,4398,4406,4372,4376
2013-12-06,4382,4430,4360,4424
2013-12-09,4426,4442,4376,4396
2013-12-10,4398,4408,4380,4388
2013-12-11,4390,4404,4380,4390
2013-12-12,4398,4420,4372,4388
2013-12-13,4388,4388,4302,4370
2013-12-16,4378,4382,4334,4360
2013-12-17,4360,4364,4328,4330
2013-12-18,4330,4340,4314,4334
2013-12-19,4334,4350,4326,4326
2013-12-20,4326,4350,4314,4316
2013-12-23,4314,4330,4306,4330
2013-12-24,4328,4334,4316,4326
2013-12-25,4326,4356,4324,4338
2013-12-26,4342,4344,4268,4282
2013-12-27,4276,4328,4262,4316
2013-12-30,4320,4340,4312,4334
2013-12-31,4320,4324,4292,4304
2014-01-02,4302,4314,4282,4290
2014-01-03,4282,4292,4254,4278
2014-01-06,4270,4306,4262,4284
2014-01-07,4272,4288,4248,4248
2014-01-08,4246,4276,4206,4272
2014-01-09,4266,4312,4264,4282
2014-01-10,4280,4306,4256,4282
2014-01-13,4280,4318,4276,4308
2014-01-14,4310,4346,4302,4342
2014-01-15,4320,4378,4318,4370
2014-01-16,4380,4498,4354,4364
2014-01-17,4374,4384,4346,4354
2014-01-20,4358,4376,4330,4354
2014-01-21,4360,4366,4336,4348
2014-01-22,4370,4374,4344,4350
2014-01-23,4360,4360,4350,4356
2014-01-24,4356,4374,4352,4360
2014-01-27,4350,4386,4350,4372
2014-01-28,4372,4390,4366,4372
2014-01-29,4368,4374,4328,4372
2014-01-30,4370,4438,4352,4390
2014-02-07,4392,4428,4392,4428
2014-02-10,4428,4444,4386,4426
2014-02-11,4402,4426,4402,4424
2014-02-12,4420,4420,4290,4292
2014-02-13,4312,4346,4206,4246
2014-02-14,4114,4434,4092,4092
2014-02-17,4092,4118,4062,4102
2014-02-18,4100,4110,4080,4098
2014-02-19,4106,4118,4078,4086
2014-02-20,4082,4090,4026,4068
2014-02-21,4066,4070,4034,4064
2014-02-24,4060,4068,4044,4048
2014-02-25,4054,4066,4044,4048
2014-02-26,4052,4054,3928,3970
2014-02-27,3966,3994,3952,3974
2014-02-28,3972,3978,3956,3972
2014-03-03,3984,3986,3954,3962
2014-03-04,3962,3974,3944,3948
2014-03-05,3954,3992,3952,3968
2014-03-06,3964,3966,3926,3960
2014-03-07,3966,3976,3936,3942
2014-03-10,3930,3936,3852,3890
2014-03-11,3886,3936,3880,3918
2014-03-12,3906,3908,3858,3888
2014-03-13,3886,3896,3876,3888
2014-03-14,3882,3890,3858,3886
2014-03-17,3888,3904,3874,3886
2014-03-18,3884,3896,3880,3892
2014-03-19,3894,3928,3892,3912
2014-03-20,3924,3934,3914,3916
2014-03-21,3914,3924,3894,3918
2014-03-24,3916,3934,3916,3926
2014-03-25,3926,3952,3918,3936
2014-03-26,3934,3946,3910,3916
2014-03-27,3918,3920,3904,3912
2014-03-28,3910,3916,3744,3868
2014-03-31,3988,3988,3866,3868
2014-04-01,3864,3882,3858,3876
2014-04-02,3872,3878,3836,3840
