,open,high,low,close
2010-01-04,16600,16845,16530,16610
2010-01-05,16650,16680,16485,16525
2010-01-06,16280,16480,16190,16320
2010-01-07,16395,16500,15710,16035
2010-01-08,16030,16065,15800,15960
2010-01-11,16060,16165,15985,16040
2010-01-12,16150,16245,15980,16075
2010-01-13,15790,15840,15585,15625
2010-01-14,15775,15825,15650,15665
2010-01-15,15600,15720,15500,15525
2010-01-18,15400,15585,15400,15550
2010-01-19,15600,15645,15515,15560
2010-01-20,15600,15600,15220,15235
2010-01-21,15230,15475,15125,15440
2010-01-22,15320,15565,15230,15505
2010-01-25,15480,15575,15400,15500
2010-01-26,15355,15385,15105,15110
2010-01-27,15175,15240,15095,15170
2010-01-28,15015,15150,14950,15105
2010-01-29,15100,15175,14990,15080
2010-02-01,15120,15245,15070,15195
2010-02-02,15130,15175,14905,14980
2010-02-03,15170,15300,15100,15265
2010-02-04,15180,15360,15150,15315
2010-02-05,15105,15260,15100,15245
2010-02-08,15060,15105,14960,15005
2010-02-09,15205,15235,15120,15140
2010-02-10,15355,15460,15305,15350
2010-02-11,15400,15450,15360,15390
2010-02-12,15430,15475,15365,15430
2010-02-22,16200,16200,15865,15965
2010-02-23,16010,16110,16010,16035
2010-02-24,15945,16010,15815,15815
2010-02-25,15855,15885,15630,15635
2010-02-26,15785,16020,15780,15980
2010-03-01,16125,16190,15950,15975
2010-03-02,15985,16000,15810,15830
2010-03-03,15825,16070,15760,16030
2010-03-04,16090,16145,15880,15885
2010-03-05,15860,15990,15860,15955
2010-03-08,16010,16160,15960,16045
2010-03-09,16055,16350,16030,16285
2010-03-10,16175,16220,16085,16110
2010-03-11,16100,16150,15910,15970
2010-03-12,15945,16075,15875,16050
2010-03-15,16150,16175,16065,16155
2010-03-16,16145,16270,15975,16220
2010-03-17,16315,16390,16220,16335
2010-03-18,16280,16390,16200,16280
2010-03-19,16360,16640,16355,16540
2010-03-22,16535,16620,16500,16520
2010-03-23,16555,16590,16310,16365
2010-03-24,16400,16450,16240,16285
2010-03-25,16210,16325,16165,16250
2010-03-26,16200,16220,16090,16170
2010-03-29,16150,16255,16120,16145
2010-03-30,16190,16200,16070,16145
2010-03-31,16120,16185,16040,16070
2010-04-01,16160,16200,16120,16130
2010-04-02,16190,16310,16165,16305
2010-04-06,16320,16395,16310,16370
2010-04-07,16350,16370,16275,16300
2010-04-08,16240,16250,16205,16210
2010-04-09,16070,16105,16000,16090
2010-04-12,16100,16170,16060,16125
2010-04-13,16070,16115,16050,16095
2010-04-14,16200,16260,16145,16150
2010-04-15,16130,16175,16115,16115
2010-04-16,16165,16190,16145,16160
2010-04-19,16085,16110,15950,15990
2010-04-20,16055,16145,16050,16145
2010-04-21,16400,16425,16305,16360
2010-04-22,16310,16350,16285,16290
2010-04-23,16300,16335,16285,16310
2010-04-26,16390,16395,16320,16320
2010-04-27,16315,16405,16280,16345
2010-04-28,16285,16440,16270,16405
2010-04-29,16375,16495,16375,16480
2010-04-30,16400,16505,16390,16495
2010-05-04,16455,16505,16400,16410
2010-05-05,16260,16305,16225,16285
2010-05-06,16355,16395,16240,16240
2010-05-07,16060,16170,16020,16105
2010-05-10,16175,16240,16125,16235
2010-05-11,16200,16280,16175,16185
2010-05-12,16140,16235,16135,16215
2010-05-13,16210,16365,16210,16355
2010-05-14,16320,16420,16290,16350
2010-05-17,16320,16560,16235,16325
2010-05-18,16395,16720,16390,16625
