,open,high,low,close
2014-12-19,2750,2755,2686,2730
2014-12-22,2732,2737,2664,2675
2014-12-23,2673,2697,2652,2677
2014-12-24,2684,2697,2678,2689
2014-12-25,2687,2687,2602,2664
2014-12-26,2664,2675,2655,2658
2014-12-29,2659,2674,2657,2668
2014-12-30,2664,2670,2647,2658
2014-12-31,2665,2665,2645,2650
2015-01-05,2655,2655,2615,2621
2015-01-06,2626,2634,2561,2567
2015-01-07,2577,2588,2562,2580
2015-01-08,2577,2594,2573,2589
2015-01-09,2589,2599,2574,2585
2015-01-12,2586,2597,2585,2595
2015-01-13,2595,2598,2575,2595
2015-01-14,2583,2602,2583,2584
2015-01-15,2582,2600,2577,2599
2015-01-16,2597,2630,2592,2621
2015-01-19,2627,2651,2617,2638
2015-01-20,2637,2645,2631,2639
2015-01-21,2641,2660,2639,2648
2015-01-22,2650,2651,2609,2631
2015-01-23,2627,2640,2618,2623
2015-01-26,2632,2640,2597,2631
2015-01-27,2632,2673,2630,2665
2015-01-28,2662,2700,2641,2696
2015-01-29,2697,2765,2687,2717
2015-01-30,2717,2732,2703,2715
2015-02-02,2718,2749,2702,2733
2015-02-03,2732,2743,2719,2729
2015-02-04,2738,2754,2722,2734
2015-02-05,2737,2795,2729,2751
2015-02-06,2758,2776,2752,2776
2015-02-09,2779,2810,2770,2799
2015-02-10,2805,2817,2791,2816
2015-02-11,2812,2815,2795,2799
2015-02-12,2799,2804,2767,2777
2015-02-13,2777,2809,2774,2793
2015-02-16,2795,2797,2782,2795
2015-02-17,2792,2792,2754,2762
2015-02-25,2761,2780,2739,2747
2015-02-26,2746,2775,2743,2765
2015-02-27,2765,2802,2764,2793
2015-03-02,2793,2812,2793,2798
2015-03-03,2796,2797,2755,2779
2015-03-04,2779,2810,2772,2808
2015-03-05,2801,2806,2780,2785
2015-03-06,2782,2800,2771,2775
2015-03-09,2773,2802,2771,2800
2015-03-10,2799,2872,2798,2851
2015-03-11,2850,2912,2850,2896
2015-03-12,2903,2903,2867,2894
2015-03-13,2895,2932,2880,2910
2015-03-16,2906,2943,2899,2925
2015-03-17,2926,2935,2912,2930
2015-03-18,2934,2934,2889,2897
2015-03-19,2906,2910,2879,2889
2015-03-20,2888,2924,2883,2900
2015-03-23,2918,2927,2898,2912
2015-03-24,2922,2997,2916,2973
2015-03-25,2977,2987,2944,2962
2015-03-26,2962,2984,2948,2974
2015-03-27,2978,3026,2957,3010
2015-03-30,3016,3024,2982,3017
2015-03-31,3016,3037,3000,3008
2015-04-01,3002,3006,2917,2947
2015-04-02,2949,2969,2925,2937
2015-04-03,2947,2947,2907,2940
2015-04-07,2932,2946,2912,2935
2015-04-08,2935,2948,2887,2899
2015-04-09,2900,2905,2883,2898
2015-04-10,2896,2939,2895,2932
2015-04-13,2919,2978,2919,2967
2015-04-14,2970,2973,2924,2933
2015-04-15,2934,2936,2849,2871
2015-04-16,2882,2893,2861,2877
2015-04-17,2880,2906,2872,2903
2015-04-20,2906,2918,2872,2883
2015-04-21,2885,2898,2863,2881
2015-04-22,2877,2896,2873,2891
2015-04-23,2888,2908,2888,2891
2015-04-24,2898,2902,2857,2888
2015-04-27,2880,2891,2873,2886
2015-04-28,2887,2918,2877,2887
2015-04-29,2890,2890,2865,2882
2015-04-30,2884,2914,2883,2910
2015-05-04,2901,2951,2901,2930
2015-05-05,2933,2937,2918,2933
2015-05-06,2936,2936,2924,2932
2015-05-07,2930,2967,2918,2944
2015-05-08,2935,2942,2923,2930
2015-05-11,2935,2949,2921,2927
2015-05-12,2924,2945,2918,2944
2015-05-13,2937,2960,2937,2951
2015-05-14,2951,2962,2940,2960
2015-05-15,2965,2974,2955,2959
2015-05-18,2961,2961,2944,2948
2015-05-19,2950,2957,2940,2952
2015-05-20,2946,2960,2932,2943
2015-05-21,2946,2951,2936,2946
2015-05-22,2946,2948,2930,2939
2015-05-25,2932,2935,2896,2897
2015-05-26,2901,2913,2865,2868
2015-05-27,2863,2877,2825,2829
2015-05-28,2847,2853,2827,2846
2015-05-29,2847,2866,2842,2857
2015-06-01,2865,2883,2865,2866
2015-06-02,2863,2881,2857,2880
2015-06-03,2881,2881,2855,2860
2015-06-04,2855,2862,2812,2844
2015-06-05,2845,2848,2808,2809
2015-06-08,2797,2817,2752,2811
2015-06-09,2815,2825,2801,2814
2015-06-10,2820,2823,2787,2806
2015-06-11,2802,2823,2802,2815
2015-06-12,2812,2812,2781,2807
2015-06-15,2775,2798,2748,2771
2015-06-16,2775,2814,2763,2807
2015-06-17,2809,2822,2800,2806
2015-06-18,2805,2833,2804,2818
2015-06-19,2818,2829,2802,2812
2015-06-23,2820,2855,2801,2809
2015-06-24,2807,2814,2786,2807
2015-06-25,2807,2812,2787,2788
2015-06-26,2795,2801,2781,2797
2015-06-29,2806,2811,2774,2774
2015-06-30,2780,2780,2755,2769
2015-07-01,2783,2824,2780,2793
2015-07-02,2795,2795,2756,2774
2015-07-03,2779,2792,2774,2789
2015-07-06,2787,2804,2783,2792
2015-07-07,2793,2810,2786,2791
2015-07-08,2753,2795,2691,2749
2015-07-09,2784,2826,2777,2814
2015-07-10,2805,2830,2793,2795
2015-07-13,2795,2848,2782,2786
2015-07-14,2805,2808,2785,2787
2015-07-15,2783,2794,2776,2787
2015-07-16,2793,2825,2785,2822
2015-07-17,2822,2835,2807,2827
2015-07-20,2825,2825,2757,2775
2015-07-21,2775,2782,2766,2778
2015-07-22,2776,2788,2771,2781
2015-07-23,2784,2786,2773,2776
2015-07-24,2775,2779,2753,2769
2015-07-27,2770,2770,2710,2712
2015-07-28,2713,2723,2695,2708
2015-07-29,2709,2724,2709,2718
2015-07-30,2720,2727,2698,2698
2015-07-31,2703,2718,2700,2711
2015-08-03,2705,2706,2662,2679
2015-08-04,2680,2699,2657,2664
2015-08-05,2672,2679,2650,2673
2015-08-06,2678,2681,2659,2663
2015-08-07,2670,2670,2641,2644
2015-08-10,2643,2660,2608,2620
2015-08-11,2628,2651,2628,2631
2015-08-12,2625,2636,2614,2622
2015-08-13,2610,2680,2604,2675
2015-08-14,2674,2707,2672,2685
2015-08-17,2689,2706,2674,2700
2015-08-18,2697,2718,2677,2690
2015-08-19,2698,2698,2665,2672
2015-08-20,2671,2683,2645,2649
2015-08-21,2651,2661,2633,2642
2015-08-24,2635,2642,2615,2637
2015-08-25,2640,2685,2640,2665
2015-08-26,2670,2675,2654,2660
2015-08-27,2663,2665,2631,2645
2015-08-28,2659,2677,2644,2645
2015-08-31,2648,2648,2573,2579
2015-09-01,2588,2610,2562,2582
2015-09-02,2583,2583,2559,2578
2015-09-07,2571,2591,2554,2561
2015-09-08,2565,2594,2565,2593
2015-09-09,2607,2613,2569,2571
2015-09-10,2570,2582,2534,2571
2015-09-11,2575,2593,2571,2574
2015-09-14,2579,2586,2548,2552
2015-09-15,2559,2562,2539,2552
