,open,high,low,close
2010-01-04,60150,60710,59820,60030
2010-01-05,60450,60670,59900,60590
2010-01-06,60660,61940,60510,61630
2010-01-07,62070,63450,60510,61170
2010-01-08,61200,61460,59680,60690
2010-01-11,61550,62520,61530,62170
2010-01-12,61520,61850,61050,61700
2010-01-13,59500,60480,58770,59770
2010-01-14,61010,61240,60600,60750
2010-01-15,60710,60960,60170,60510
2010-01-18,60000,60950,59960,60880
2010-01-19,61230,61680,61150,61630
2010-01-20,61910,62000,61000,61000
2010-01-21,60770,61130,60180,60950
2010-01-22,59550,60000,58710,59480
2010-01-25,59900,60180,59400,60050
2010-01-26,60550,60570,59300,59330
2010-01-27,59670,59970,59230,59650
2010-01-28,57620,58100,57170,57600
2010-01-29,56900,57000,55510,55690
2010-02-01,55170,55400,53480,54590
2010-02-02,55330,55610,54230,54420
2010-02-03,55190,56120,54680,56010
2010-02-04,53820,54580,53540,54120
2010-02-05,52400,52470,51480,52100
2010-02-08,52540,53400,52430,52680
2010-02-09,52530,53510,52100,53320
2010-02-10,54120,55010,53770,54780
2010-02-11,55010,55790,54930,55510
2010-02-12,56710,56820,56000,56530
2010-02-22,60110,60110,59070,59130
2010-02-23,58930,59250,58380,59010
2010-02-24,57760,58420,57610,58280
2010-02-25,58410,58910,57840,57970
2010-02-26,58170,58520,57870,58150
2010-03-01,61110,61110,60060,60740
2010-03-02,60150,60240,59080,59130
2010-03-03,59960,60000,59370,59620
2010-03-04,59830,60340,59360,59370
2010-03-05,59340,59930,59100,59830
2010-03-08,60170,60740,60010,60650
2010-03-09,60260,60480,59940,60230
2010-03-10,60270,60700,60260,60580
2010-03-11,60140,60260,59160,59270
2010-03-12,59760,59760,59170,59550
2010-03-15,59350,59400,58240,58340
2010-03-16,57910,58810,57720,58760
2010-03-17,59240,60160,59120,60100
2010-03-18,59960,60270,59420,59500
2010-03-19,59650,60450,59560,60190
2010-03-22,59460,59860,59370,59490
2010-03-23,59940,60140,59470,59520
2010-03-24,59580,59850,58990,59260
2010-03-25,59260,59380,58860,59280
2010-03-26,59310,60140,59130,60120
2010-03-29,60800,62060,60780,61880
2010-03-30,61780,62260,61580,61830
2010-03-31,62280,62350,61380,61410
2010-04-01,61590,62580,61480,62300
2010-04-02,62490,62900,62180,62880
2010-04-06,62880,63500,62760,63150
2010-04-07,63140,63230,62630,62890
2010-04-08,62490,62550,61860,61870
2010-04-09,62360,62770,62310,62710
2010-04-12,62930,63570,62560,62710
2010-04-13,62200,62560,61980,62260
2010-04-14,62810,63030,62320,62360
2010-04-15,62640,62880,62300,62370
2010-04-16,62480,62580,61980,62130
2010-04-19,60930,61030,59800,59850
2010-04-20,60420,60630,60230,60580
2010-04-21,60420,60790,60110,60710
2010-04-22,60380,60860,60210,60440
2010-04-23,60520,60830,60350,60380
2010-04-26,61190,61460,61060,61230
2010-04-27,60880,61000,60130,60310
2010-04-28,58150,58630,57580,58080
2010-04-29,58560,58710,58390,58450
2010-04-30,58570,58990,57960,58430
2010-05-04,57800,58050,57450,57870
2010-05-05,56190,56610,55910,56570
2010-05-06,56590,57210,55700,55720
2010-05-07,54980,55380,54120,54230
