,open,high,low,close
2010-01-04,1878,1900,1875,1892
2010-01-05,1893,1904,1889,1891
2010-01-06,1895,1918,1890,1908
2010-01-07,1910,1921,1881,1898
2010-01-08,1898,1927,1895,1925
2010-01-11,1932,1936,1918,1921
2010-01-12,1915,1922,1905,1908
2010-01-13,1885,1896,1879,1887
2010-01-14,1898,1903,1892,1896
2010-01-15,1894,1897,1890,1891
2010-01-18,1888,1897,1888,1896
2010-01-19,1898,1903,1894,1896
2010-01-20,1896,1898,1888,1890
2010-01-21,1891,1896,1888,1895
2010-01-22,1893,1894,1868,1877
2010-01-25,1880,1880,1866,1867
2010-01-26,1867,1869,1859,1859
2010-01-27,1860,1865,1855,1861
2010-01-28,1852,1857,1843,1844
2010-01-29,1847,1855,1843,1854
2010-02-01,1851,1854,1845,1847
2010-02-02,1850,1853,1841,1846
2010-02-03,1920,1920,1851,1862
2010-02-04,1853,1853,1846,1848
2010-02-05,1846,1851,1843,1850
2010-02-08,1850,1854,1849,1850
2010-02-09,1851,1852,1845,1849
2010-02-10,1850,1860,1846,1858
2010-02-11,1860,1861,1854,1855
2010-02-12,1859,1859,1855,1858
2010-02-22,1866,1868,1860,1865
2010-02-23,1865,1878,1864,1877
2010-02-24,1872,1877,1872,1874
2010-02-25,1876,1878,1870,1871
2010-02-26,1873,1875,1866,1866
2010-03-01,1871,1883,1870,1878
2010-03-02,1875,1878,1870,1872
2010-03-03,1873,1876,1870,1871
2010-03-04,1872,1873,1863,1863
2010-03-05,1860,1863,1856,1862
2010-03-08,1862,1870,1861,1869
2010-03-09,1868,1873,1866,1870
2010-03-10,1869,1874,1866,1872
2010-03-11,1872,1875,1869,1873
2010-03-12,1872,1879,1871,1879
2010-03-15,1880,1895,1878,1893
2010-03-16,1894,1899,1889,1897
2010-03-17,1902,1903,1895,1899
2010-03-18,1900,1901,1891,1894
2010-03-19,1895,1909,1894,1907
2010-03-22,1908,1916,1905,1912
2010-03-23,1914,1918,1908,1909
2010-03-24,1908,1910,1903,1904
2010-03-25,1907,1916,1905,1912
2010-03-26,1910,1919,1907,1917
2010-03-29,1919,1941,1919,1939
2010-03-30,1939,1941,1931,1931
2010-03-31,1933,1936,1925,1928
2010-04-01,1925,1937,1925,1932
2010-04-02,1933,1935,1927,1934
2010-04-06,1935,1946,1933,1938
2010-04-07,1939,1939,1928,1932
2010-04-08,1932,1933,1901,1907
2010-04-09,1906,1910,1902,1904
2010-04-12,1902,1911,1891,1897
2010-04-13,1895,1916,1895,1914
2010-04-14,1915,1919,1912,1913
2010-04-15,1916,1916,1908,1913
2010-04-16,1915,1915,1911,1914
2010-04-19,1912,1929,1911,1925
2010-04-20,1925,1932,1923,1924
2010-04-21,1925,1928,1922,1927
2010-04-22,1928,1929,1923,1924
2010-04-23,1924,1928,1923,1926
2010-04-26,1927,1929,1914,1916
2010-04-27,1914,1937,1911,1936
2010-04-28,1930,1937,1922,1925
2010-04-29,1927,1928,1914,1918
2010-04-30,1918,1924,1915,1921
2010-05-04,1919,1925,1914,1922
2010-05-05,1918,1932,1918,1929
2010-05-06,1929,1936,1922,1924
2010-05-07,1917,1932,1916,1927
2010-05-10,1930,1950,1930,1947
2010-05-11,1948,1950,1935,1936
2010-05-12,1943,1947,1939,1941
2010-05-13,1942,1942,1932,1939
2010-05-14,1939,1947,1937,1937
2010-05-17,1935,1942,1920,1938
2010-05-18,1935,1952,1934,1948
2010-05-19,1946,1963,1943,1961
2010-05-20,1962,1979,1962,1974
2010-05-21,1973,1979,1965,1977
2010-05-24,1981,1984,1966,1969
2010-05-25,1965,1967,1953,1956
2010-05-26,1959,1965,1956,1964
2010-05-27,1963,1965,1956,1958
2010-05-28,1956,1958,1927,1941
2010-05-31,1940,1949,1933,1943
2010-06-01,1944,1949,1938,1945
2010-06-02,1942,1946,1925,1930
2010-06-03,1931,1934,1923,1929
2010-06-04,1932,1940,1928,1938
2010-06-07,1930,1932,1925,1929
2010-06-08,1930,1933,1910,1914
2010-06-09,1910,1913,1902,1913
2010-06-10,1910,1914,1905,1909
2010-06-11,1910,1924,1908,1923
2010-06-17,1925,1928,1911,1912
2010-06-18,1912,1914,1905,1909
2010-06-21,1914,1939,1911,1935
2010-06-22,1930,1939,1925,1935
2010-06-23,1934,1934,1917,1933
2010-06-24,1930,1943,1930,1941
2010-06-25,1940,1946,1938,1945
2010-06-28,1946,1947,1922,1924
2010-06-29,1921,1922,1908,1914
2010-06-30,1909,1919,1906,1919
2010-07-01,1929,1939,1926,1927
2010-07-02,1931,1940,1928,1939
2010-07-05,1941,1945,1933,1938
2010-07-06,1938,1944,1935,1943
2010-07-07,1940,1954,1939,1949
2010-07-08,1957,1957,1949,1953
2010-07-09,1954,1973,1954,1973
2010-07-12,1976,1994,1971,1986
2010-07-13,1983,1983,1967,1969
2010-07-14,1971,1977,1956,1958
2010-07-15,1962,1969,1954,1958
2010-07-16,1968,1987,1964,1986
2010-07-19,1982,1996,1979,1984
2010-07-20,1978,1997,1975,1993
2010-07-21,1994,2004,1982,1986
2010-07-22,1988,1991,1981,1986
2010-07-23,1989,1996,1982,1991
2010-07-26,1991,2001,1987,1998
2010-07-27,1992,1998,1989,1990
2010-07-28,1989,1999,1989,1997
2010-07-29,2001,2007,1992,1994
2010-07-30,1996,1997,1985,1991
2010-08-02,2000,2024,1997,2022
2010-08-03,2021,2025,2012,2015
2010-08-04,2016,2032,2016,2030
2010-08-05,2036,2042,2020,2021
2010-08-06,2026,2034,2021,2032
2010-08-09,2028,2036,2025,2031
2010-08-10,2032,2036,2023,2024
2010-08-11,2022,2029,2017,2019
2010-08-12,2018,2028,2016,2024
2010-08-13,2029,2035,2025,2033
2010-08-16,2038,2062,2036,2056
2010-08-17,2053,2063,2052,2060
2010-08-18,2066,2067,2048,2050
2010-08-19,2047,2058,2047,2055
2010-08-20,2050,2053,2037,2037
2010-08-23,2043,2050,2040,2046
2010-08-24,2043,2043,2027,2028
2010-08-25,2026,2031,2019,2024
2010-08-26,2024,2030,2022,2029
2010-08-27,2035,2048,2034,2047
2010-08-30,2070,2071,2051,2058
2010-08-31,2052,2053,2034,2036
2010-09-01,2040,2048,2038,2047
2010-09-02,2050,2056,2030,2035
2010-09-03,2036,2045,2025,2040
2010-09-06,2060,2065,2050,2058
2010-09-07,2057,2066,2050,2066
2010-09-08,2064,2090,2062,2072
2010-09-09,2075,2076,2050,2053
2010-09-10,2058,2069,2057,2063
2010-09-13,2060,2067,2046,2059
2010-09-14,2058,2065,2055,2058
2010-09-15,2069,2079,2063,2070
2010-09-16,2073,2075,2061,2066
2010-09-17,2072,2094,2070,2091
2010-09-20,2108,2142,2107,2139
2010-09-21,2122,2123,2098,2111
