,open,high,low,close
2012-12-04,1309,1326,1296,1311
2012-12-05,1313,1345,1311,1331
2012-12-06,1333,1338,1320,1325
2012-12-07,1322,1340,1319,1331
2012-12-10,1331,1344,1331,1336
2012-12-11,1335,1337,1286,1293
2012-12-12,1289,1306,1283,1299
2012-12-13,1297,1312,1282,1289
2012-12-14,1287,1315,1283,1304
2012-12-17,1307,1335,1307,1327
2012-12-18,1328,1339,1316,1325
2012-12-19,1324,1353,1318,1351
2012-12-20,1348,1356,1342,1350
2012-12-21,1345,1354,1330,1336
2012-12-24,1336,1349,1334,1344
2012-12-25,1344,1363,1339,1352
2012-12-26,1351,1354,1344,1352
2012-12-27,1358,1367,1349,1352
2012-12-28,1353,1364,1343,1351
2012-12-31,1352,1365,1349,1363
2013-01-04,1371,1425,1367,1425
2013-01-07,1440,1468,1433,1445
2013-01-08,1438,1470,1427,1457
2013-01-09,1459,1476,1452,1476
2013-01-10,1479,1484,1456,1463
2013-01-11,1462,1465,1428,1439
2013-01-14,1438,1502,1438,1502
2013-01-15,1520,1527,1490,1497
2013-01-16,1499,1515,1455,1500
2013-01-17,1503,1512,1491,1506
2013-01-18,1520,1521,1488,1496
2013-01-21,1495,1518,1484,1501
2013-01-22,1505,1508,1475,1490
2013-01-23,1492,1496,1472,1481
2013-01-24,1479,1489,1458,1467
2013-01-25,1470,1472,1459,1469
2013-01-28,1471,1496,1468,1491
2013-01-29,1487,1494,1483,1488
2013-01-30,1492,1498,1485,1486
2013-01-31,1485,1508,1484,1492
2013-02-01,1492,1503,1487,1501
2013-02-04,1506,1556,1501,1539
2013-02-05,1535,1553,1531,1542
2013-02-06,1546,1559,1531,1536
2013-02-07,1538,1540,1513,1530
2013-02-08,1527,1542,1525,1541
2013-02-18,1538,1550,1513,1514
2013-02-19,1513,1523,1504,1521
2013-02-20,1526,1529,1508,1517
2013-02-21,1498,1502,1456,1465
2013-02-22,1465,1476,1446,1460
2013-02-25,1457,1481,1439,1466
2013-02-26,1455,1471,1439,1443
2013-02-27,1455,1469,1450,1465
2013-02-28,1473,1494,1472,1489
2013-03-01,1487,1488,1457,1475
2013-03-04,1464,1471,1409,1425
2013-03-05,1431,1439,1411,1434
2013-03-06,1437,1448,1425,1432
2013-03-07,1428,1428,1415,1425
2013-03-08,1431,1435,1392,1411
2013-03-11,1410,1415,1390,1403
2013-03-12,1407,1412,1388,1394
2013-03-13,1400,1400,1345,1356
2013-03-14,1346,1350,1316,1343
2013-03-15,1349,1387,1335,1358
2013-03-18,1341,1360,1327,1342
2013-03-19,1347,1365,1341,1357
2013-03-20,1352,1385,1352,1383
2013-03-21,1389,1400,1385,1391
2013-03-22,1385,1396,1380,1386
2013-03-25,1390,1399,1388,1391
2013-03-26,1388,1391,1359,1365
2013-03-27,1370,1372,1360,1362
2013-03-28,1362,1367,1344,1347
2013-03-29,1337,1350,1322,1344
2013-04-01,1339,1344,1307,1311
2013-04-02,1310,1334,1304,1333
2013-04-03,1331,1348,1328,1336
2013-04-08,1319,1351,1317,1348
2013-04-09,1353,1361,1346,1356
2013-04-10,1359,1360,1332,1337
2013-04-11,1337,1351,1321,1323
2013-04-12,1320,1334,1320,1327
2013-04-15,1313,1333,1283,1300
2013-04-16,1287,1312,1272,1308
2013-04-17,1310,1318,1238,1247
2013-04-18,1235,1269,1225,1258
2013-04-19,1268,1287,1256,1281
2013-04-22,1278,1293,1266,1269
2013-04-23,1271,1278,1237,1249
2013-04-24,1251,1265,1223,1250
2013-04-25,1253,1265,1240,1259
2013-04-26,1270,1278,1243,1250
2013-05-02,1227,1240,1217,1233
2013-05-03,1241,1264,1233,1258
2013-05-06,1274,1278,1260,1263
2013-05-07,1260,1310,1255,1293
2013-05-08,1292,1309,1292,1306
2013-05-09,1306,1313,1294,1304
2013-05-10,1302,1331,1292,1326
2013-05-13,1326,1354,1322,1342
2013-05-14,1345,1352,1329,1336
2013-05-15,1339,1339,1311,1314
2013-05-16,1312,1357,1302,1344
2013-05-17,1348,1365,1339,1361
2013-05-20,1359,1367,1350,1352
2013-05-21,1356,1367,1346,1365
