,open,high,low,close
2014-03-21,3250,3308,3240,3300
2014-03-24,3290,3306,3242,3306
2014-03-25,3302,3376,3296,3354
2014-03-26,3346,3358,3330,3352
2014-03-27,3344,3362,3326,3338
2014-03-28,3352,3362,3336,3358
2014-03-31,3372,3398,3358,3386
2014-04-01,3388,3394,3372,3390
2014-04-02,3386,3402,3364,3366
2014-04-03,3360,3390,3358,3386
2014-04-04,3388,3416,3378,3416
2014-04-08,3426,3464,3418,3456
2014-04-09,3464,3464,3420,3428
2014-04-10,3426,3446,3418,3422
2014-04-11,3406,3428,3406,3410
2014-04-14,3408,3440,3408,3414
2014-04-15,3418,3424,3394,3424
2014-04-16,3422,3422,3386,3394
2014-04-17,3404,3404,3386,3388
2014-04-18,3386,3388,3322,3330
2014-04-21,3316,3340,3316,3316
2014-04-22,3316,3342,3300,3330
2014-04-23,3334,3364,3312,3356
2014-04-24,3352,3372,3342,3366
2014-04-25,3374,3376,3348,3354
2014-04-28,3348,3348,3310,3312
2014-04-29,3310,3350,3310,3336
2014-04-30,3346,3346,3314,3320
2014-05-05,3310,3338,3200,3328
2014-05-06,3318,3340,3312,3320
2014-05-07,3314,3334,3306,3308
2014-05-08,3306,3314,3286,3288
2014-05-09,3288,3306,3278,3294
2014-05-12,3308,3312,3274,3312
2014-05-13,3312,3322,3296,3302
2014-05-14,3302,3306,3290,3300
2014-05-15,3300,3304,3274,3276
2014-05-16,3270,3276,3216,3248
2014-05-19,3238,3260,3226,3240
2014-05-20,3236,3252,3230,3238
2014-05-21,3240,3260,3230,3250
2014-05-22,3248,3290,3248,3256
2014-05-23,3262,3270,3252,3258
2014-05-26,3264,3306,3262,3302
2014-05-27,3308,3346,3296,3316
2014-05-28,3276,3318,3276,3288
2014-05-29,3284,3300,3276,3284
2014-05-30,3276,3276,3228,3240
2014-06-03,3232,3266,3222,3244
2014-06-04,3244,3252,3236,3238
2014-06-05,3244,3260,3228,3246
2014-06-06,3252,3258,3236,3258
2014-06-09,3254,3258,3230,3238
2014-06-10,3238,3248,3206,3244
2014-06-11,3246,3254,3230,3236
2014-06-12,3228,3232,3206,3222
2014-06-13,3214,3234,3206,3224
2014-06-16,3226,3226,3192,3202
2014-06-17,3194,3222,3184,3214
2014-06-18,3216,3252,3208,3240
2014-06-19,3242,3256,3236,3240
2014-06-20,3246,3262,3230,3254
2014-06-23,3258,3280,3254,3274
2014-06-24,3276,3276,3254,3258
2014-06-25,3266,3268,3248,3264
2014-06-26,3272,3296,3264,3296
2014-06-27,3298,3304,3278,3280
2014-06-30,3276,3284,3262,3262
2014-07-01,3264,3272,3252,3270
2014-07-02,3270,3288,3254,3284
2014-07-03,3288,3304,3282,3286
2014-07-04,3284,3290,3272,3282
2014-07-07,3288,3288,3260,3270
2014-07-08,3270,3290,3262,3288
2014-07-09,3286,3292,3268,3274
2014-07-10,3278,3316,3272,3304
2014-07-11,3314,3320,3296,3318
2014-07-14,3324,3342,3320,3340
2014-07-15,3338,3364,3332,3336
2014-07-16,3334,3338,3320,3320
2014-07-17,3276,3326,3276,3304
2014-07-18,3304,3304,3246,3252
2014-07-21,3242,3270,3242,3260
2014-07-22,3246,3278,3246,3262
2014-07-23,3260,3266,3252,3254
2014-07-24,3256,3270,3254,3264
2014-07-25,3262,3282,3260,3270
2014-07-28,3264,3286,3258,3276
2014-07-29,3278,3304,3278,3296
2014-07-30,3294,3294,3264,3276
2014-07-31,3280,3286,3252,3266
2014-08-01,3266,3270,3244,3258
2014-08-04,3256,3276,3252,3266
2014-08-05,3256,3360,3256,3286
2014-08-06,3296,3316,3280,3310
2014-08-07,3316,3326,3306,3316
2014-08-08,3306,3318,3284,3296
2014-08-11,3308,3308,3286,3290
2014-08-12,3284,3332,3278,3300
2014-08-13,3302,3318,3284,3286
2014-08-14,3286,3286,3248,3254
2014-08-15,3246,3296,3194,3274
2014-08-18,3278,3282,3244,3254
2014-08-19,3250,3274,3250,3266
2014-08-20,3256,3276,3244,3244
2014-08-21,3246,3256,3230,3250
2014-08-22,3284,3284,3188,3188
2014-08-25,3184,3216,3156,3166
2014-08-26,3172,3190,3140,3152
2014-08-27,3160,3196,3132,3146
2014-08-28,3156,3156,3100,3108
2014-08-29,3102,3146,3102,3140
2014-09-01,3120,3144,3098,3108
2014-09-02,3098,3124,3084,3096
2014-09-03,3084,3090,3050,3070
2014-09-04,3068,3068,3034,3034
2014-09-05,3048,3048,3024,3030
2014-09-09,3028,3028,2950,2954
2014-09-10,2948,3006,2906,2974
2014-09-11,2970,2974,2920,2936
2014-09-12,2940,2970,2924,2966
2014-09-15,2956,2998,2956,2994
2014-09-16,2998,3008,2946,2948
2014-09-17,2978,2984,2942,2960
2014-09-18,2958,2968,2928,2932
2014-09-19,2912,2930,2870,2880
2014-09-22,2880,2880,2788,2790
2014-09-23,2788,2848,2784,2806
2014-09-24,2816,2842,2814,2830
2014-09-25,2832,2832,2784,2788
2014-09-26,2788,2862,2778,2834
2014-09-29,2848,2848,2778,2798
2014-09-30,2800,2826,2800,2814
2014-10-08,2826,2852,2752,2770
2014-10-09,2780,2814,2752,2808
2014-10-10,2808,2858,2788,2838
2014-10-13,2838,2940,2838,2918
2014-10-14,2932,2932,2884,2892
2014-10-15,2888,2908,2878,2900
2014-10-16,2848,2886,2832,2866
2014-10-17,2876,2880,2846,2858
2014-10-20,2880,2904,2868,2894
2014-10-21,2898,2910,2872,2872
2014-10-22,2870,2884,2842,2864
2014-10-23,2860,2860,2830,2832
2014-10-24,2846,2868,2832,2856
2014-10-27,2866,2876,2848,2860
2014-10-28,2860,2864,2840,2842
2014-10-29,2846,2858,2838,2858
2014-10-30,2864,2870,2818,2850
2014-10-31,2850,2868,2840,2854
2014-11-03,2842,2856,2828,2828
2014-11-04,2828,2848,2820,2834
2014-11-05,2828,2840,2824,2826
2014-11-06,2826,2842,2824,2830
2014-11-07,2834,2846,2830,2834
2014-11-10,2848,2884,2848,2872
2014-11-11,2870,2878,2848,2866
2014-11-12,2870,2896,2866,2886
2014-11-13,2878,2878,2848,2868
2014-11-14,2858,2876,2840,2874
2014-11-17,2876,2888,2868,2870
2014-11-18,2870,2870,2854,2860
2014-11-19,2854,2874,2850,2858
2014-11-20,2858,2884,2858,2882
2014-11-21,2878,2918,2878,2882
2014-11-24,2894,2916,2870,2882
2014-11-25,2878,2894,2858,2886
2014-11-26,2884,2892,2874,2884
2014-11-27,2886,2986,2886,2978
2014-11-28,2876,2974,2876,2958
2014-12-01,2940,3010,2908,2984
2014-12-02,3000,3016,2978,2982
2014-12-03,2978,2994,2942,2990
2014-12-04,2986,3014,2960,2974
2014-12-05,2984,3004,2958,3004
2014-12-08,2990,3008,2980,2996
2014-12-09,2988,3008,2978,2978
2014-12-10,2984,2994,2970,2994
2014-12-11,2984,3006,2978,3002
2014-12-12,3012,3014,2992,3002
2014-12-15,2998,3012,2998,3008
2014-12-16,2980,3000,2970,2978
2014-12-17,2986,2986,2976,2978
2014-12-18,2978,2986,2978,2984
2014-12-19,2984,2996,2970,2986
2014-12-22,2986,2986,2946,2952
2014-12-23,2946,2946,2902,2902
2014-12-24,2918,2950,2910,2946
2014-12-25,2936,2938,2922,2922
2014-12-26,2918,2948,2914,2918
2014-12-29,2918,2960,2902,2948
2014-12-30,2948,3054,2944,3054
2014-12-31,3048,3056,3002,3026
2015-01-05,3026,3026,2984,3000
2015-01-06,2980,3090,2980,3034
2015-01-07,3028,3030,2992,3000
2015-01-08,3000,3010,2972,2976
2015-01-09,2980,2980,2930,2932
2015-01-12,2934,2940,2848,2850
2015-01-13,2848,2862,2822,2834
2015-01-14,2830,2840,2726,2768
2015-01-15,2768,2794,2756,2790
2015-01-16,2796,2806,2748,2780
2015-01-19,2774,2782,2748,2764
2015-01-20,2754,2772,2736,2742
2015-01-21,2748,2760,2730,2738
2015-01-22,2726,2754,2710,2730
2015-01-23,2730,2738,2704,2708
2015-01-26,2702,2710,2642,2658
2015-01-27,2658,2674,2644,2648
2015-01-28,2648,2718,2644,2692
2015-01-29,2700,2724,2684,2720
2015-01-30,2718,2722,2694,2698
2015-02-02,2700,2814,2676,2690
2015-02-03,2696,2700,2680,2684
2015-02-04,2688,2704,2670,2672
2015-02-05,2684,2686,2662,2676
2015-02-06,2676,2692,2672,2682
2015-02-09,2686,2686,2664,2672
2015-02-10,2668,2684,2668,2680
2015-02-11,2680,2704,2676,2700
2015-02-12,2704,2708,2678,2694
2015-02-13,2696,2720,2684,2708
2015-02-16,2706,2744,2706,2722
2015-02-17,2726,2726,2700,2710
2015-02-25,2712,2712,2670,2692
2015-02-26,2692,2712,2686,2708
2015-02-27,2712,2718,2680,2682
2015-03-02,2682,2704,2668,2692
2015-03-03,2690,2700,2676,2682
2015-03-04,2680,2692,2676,2688
2015-03-05,2688,2688,2652,2660
2015-03-06,2660,2670,2642,2646
2015-03-09,2646,2660,2614,2624
2015-03-10,2622,2630,2592,2596
2015-03-11,2580,2606,2580,2592
2015-03-12,2586,2658,2582,2608
2015-03-13,2610,2624,2596,2600
2015-03-16,2600,2628,2594,2626
2015-03-17,2616,2634,2614,2632
2015-03-18,2630,2636,2596,2602
2015-03-19,2600,2622,2596,2608
2015-03-20,2604,2622,2604,2608
2015-03-23,2608,2666,2600,2656
2015-03-24,2674,2678,2644,2652
2015-03-25,2650,2664,2630,2634
2015-03-26,2638,2644,2612,2616
2015-03-27,2610,2618,2556,2606
2015-03-30,2606,2618,2572,2586
2015-03-31,2588,2604,2574,2576
2015-04-01,2578,2600,2546,2550
2015-04-02,2550,2558,2508,2508
2015-04-03,2510,2528,2490,2496
2015-04-07,2492,2508,2440,2440
2015-04-08,2440,2468,2418,2456
2015-04-09,2446,2452,2422,2426
2015-04-10,2426,2430,2408,2410
2015-04-13,2410,2484,2408,2476
2015-04-14,2476,2488,2454,2470
2015-04-15,2472,2478,2444,2446
2015-04-16,2436,2474,2436,2460
2015-04-17,2462,2478,2454,2460
2015-04-20,2454,2458,2428,2430
2015-04-21,2428,2440,2420,2436
2015-04-22,2440,2494,2434,2486
2015-04-23,2488,2500,2472,2498
2015-04-24,2498,2560,2498,2554
2015-04-27,2564,2580,2540,2574
2015-04-28,2576,2596,2556,2562
2015-04-29,2561,2583,2510,2524
2015-04-30,2524,2556,2518,2551
2015-05-04,2557,2609,2550,2596
2015-05-05,2595,2661,2592,2625
2015-05-06,2625,2631,2594,2599
2015-05-07,2599,2606,2555,2559
2015-05-08,2560,2574,2534,2568
2015-05-11,2562,2586,2561,2579
2015-05-12,2574,2586,2549,2550
2015-05-13,2554,2570,2545,2551
2015-05-14,2551,2556,2516,2535
2015-05-15,2534,2541,2524,2535
2015-05-18,2534,2546,2522,2522
2015-05-19,2516,2519,2498,2507
2015-05-20,2499,2507,2471,2476
2015-05-21,2481,2512,2476,2503
2015-05-22,2504,2539,2491,2518
2015-05-25,2505,2529,2489,2519
2015-05-26,2517,2554,2505,2528
2015-05-27,2530,2539,2518,2534
2015-05-28,2520,2545,2507,2524
2015-05-29,2522,2533,2500,2524
2015-06-01,2527,2561,2521,2546
2015-06-02,2542,2553,2531,2542
2015-06-03,2541,2545,2524,2524
2015-06-04,2515,2527,2511,2523
2015-06-05,2526,2530,2496,2512
2015-06-08,2511,2511,2495,2504
2015-06-09,2500,2524,2500,2513
2015-06-10,2511,2526,2509,2524
2015-06-11,2526,2537,2522,2527
2015-06-12,2525,2526,2456,2465
2015-06-15,2455,2480,2444,2447
2015-06-16,2441,2454,2410,2412
2015-06-17,2410,2417,2379,2383
2015-06-18,2391,2409,2384,2400
2015-06-19,2399,2424,2394,2406
2015-06-23,2414,2414,2374,2393
2015-06-24,2397,2403,2387,2397
2015-06-25,2399,2400,2358,2360
2015-06-26,2344,2376,2344,2352
2015-06-29,2354,2365,2328,2333
2015-06-30,2331,2331,2244,2284
2015-07-01,2279,2287,2266,2268
2015-07-02,2256,2270,2240,2261
2015-07-03,2263,2299,2256,2271
2015-07-06,2268,2271,2168,2173
2015-07-07,2173,2175,2102,2105
2015-07-08,2105,2153,2037,2037
2015-07-09,1924,2203,1924,2127
2015-07-10,2136,2176,2119,2129
2015-07-13,2106,2142,2068,2094
2015-07-14,2104,2119,2079,2096
2015-07-15,2100,2108,2074,2079
2015-07-16,2079,2119,2057,2086
2015-07-17,2087,2098,2079,2094
2015-07-20,2094,2172,2075,2164
2015-07-21,2182,2182,2117,2127
2015-07-22,2129,2141,2068,2094
2015-07-23,2090,2107,2075,2100
2015-07-24,2099,2113,2087,2092
2015-07-27,2097,2132,2095,2110
2015-07-28,2107,2128,2094,2114
2015-07-29,2117,2145,2116,2133
2015-07-30,2137,2138,2103,2106
2015-07-31,2106,2110,2089,2100
2015-08-03,2096,2153,2096,2112
2015-08-04,2107,2137,2099,2136
2015-08-05,2142,2148,2128,2144
2015-08-06,2187,2187,2126,2137
2015-08-07,2135,2136,2104,2117
2015-08-10,2112,2124,2097,2113
2015-08-11,2112,2128,2107,2109
2015-08-12,2108,2123,2058,2122
2015-08-13,2126,2153,2122,2131
2015-08-14,2128,2139,2120,2139
2015-08-17,2143,2149,2113,2113
2015-08-18,2113,2122,2109,2112
2015-08-19,2109,2113,2086,2089
2015-08-20,2093,2101,2067,2073
2015-08-21,2078,2084,2067,2072
2015-08-24,2069,2117,1973,1978
2015-08-25,1971,2012,1957,1979
2015-08-26,1998,2016,1985,1985
2015-08-27,1987,2022,1979,2007
2015-08-28,2008,2045,2004,2015
2015-08-31,2018,2019,1985,1996
2015-09-01,1992,2009,1989,2002
2015-09-02,1999,2006,1992,1999
2015-09-07,1998,1999,1893,1973
2015-09-08,1963,1989,1960,1989
2015-09-09,1990,2033,1990,1993
2015-09-10,1995,2009,1985,2001
2015-09-11,2000,2012,1997,1998
2015-09-14,1995,1999,1979,1980
2015-09-15,1977,1980,1953,1956
2015-09-16,1957,1984,1956,1978
2015-09-17,1978,1997,1973,1976
2015-09-18,1979,1983,1970,1974
2015-09-21,1973,1980,1946,1960
2015-09-22,1960,1970,1938,1952
2015-09-23,1947,1961,1937,1958
2015-09-24,1957,1970,1947,1953
2015-09-25,1951,1969,1946,1953
2015-09-28,1947,1947,1918,1921
2015-09-29,1910,1926,1889,1901
2015-09-30,1902,1909,1889,1890
2015-10-08,1906,1917,1877,1890
2015-10-09,1892,1929,1888,1920
2015-10-12,1926,1937,1903,1918
2015-10-13,1921,1921,1900,1914
2015-10-14,1915,1920,1907,1914
2015-10-15,1915,1923,1909,1916
2015-10-16,1916,1917,1902,1907
2015-10-19,1905,1909,1879,1883
2015-10-20,1883,1892,1880,1887
2015-10-21,1887,1896,1837,1891
2015-10-22,1893,1897,1885,1885
2015-10-23,1884,1892,1862,1881
2015-10-26,1881,1895,1870,1873
2015-10-27,1872,1874,1858,1867
2015-10-28,1866,1869,1849,1856
2015-10-29,1857,1871,1849,1852
2015-10-30,1854,1858,1847,1856
2015-11-02,1859,1865,1851,1855
2015-11-03,1850,1860,1825,1826
2015-11-04,1825,1833,1819,1822
2015-11-05,1823,1830,1805,1807
2015-11-06,1813,1814,1799,1806
2015-11-09,1807,1829,1801,1827
2015-11-10,1827,1831,1817,1822
2015-11-11,1822,1823,1805,1808
2015-11-12,1810,1816,1800,1813
2015-11-13,1812,1830,1807,1807
2015-11-16,1805,1823,1802,1812
2015-11-17,1811,1818,1809,1817
2015-11-18,1817,1820,1797,1799
2015-11-19,1797,1802,1760,1768
2015-11-20,1769,1777,1762,1766
2015-11-23,1766,1766,1724,1742
2015-11-24,1742,1770,1734,1766
2015-11-25,1769,1804,1760,1781
2015-11-26,1773,1811,1769,1782
2015-11-27,1782,1784,1742,1757
2015-11-30,1757,1757,1728,1728
2015-12-01,1725,1746,1724,1741
2015-12-02,1739,1784,1737,1779
2015-12-03,1777,1788,1753,1758
2015-12-04,1759,1788,1751,1783
2015-12-07,1791,1801,1774,1791
2015-12-08,1788,1792,1773,1776
2015-12-09,1774,1788,1770,1780
2015-12-10,1780,1789,1777,1784
2015-12-11,1784,1807,1775,1807
2015-12-14,1805,1841,1799,1841
2015-12-15,1837,1849,1829,1831
2015-12-16,1830,1867,1812,1861
2015-12-17,1864,1901,1857,1879
2015-12-18,1880,1916,1880,1915
2015-12-21,1917,1972,1915,1949
2015-12-22,1962,1963,1899,1920
2015-12-23,1919,1921,1884,1898
2015-12-24,1899,1935,1899,1914
2015-12-25,1915,1927,1906,1922
2015-12-28,1918,1928,1901,1917
2015-12-29,1921,1967,1919,1960
2015-12-30,1962,1993,1955,1981
2015-12-31,1980,2017,1980,1998
2016-01-04,2029,2043,1973,1978
2016-01-05,1980,2008,1962,2007
2016-01-06,2007,2009,1979,1984
2016-01-07,1973,1994,1951,1973
2016-01-08,1959,1969,1925,1930
2016-01-11,1929,1938,1914,1926
2016-01-12,1923,1930,1903,1906
2016-01-13,1906,1923,1899,1906
2016-01-14,1905,1936,1901,1930
2016-01-15,1929,1960,1924,1947
2016-01-18,1945,1997,1938,1986
2016-01-19,1991,2004,1982,1998
2016-01-20,1999,2001,1970,1978
2016-01-21,1981,1985,1965,1972
2016-01-22,1972,2009,1971,1983
2016-01-25,1987,2006,1979,1987
2016-01-26,1990,1996,1980,1994
2016-01-27,1998,2015,1984,1994
2016-01-28,1995,1995,1944,1947
2016-01-29,1944,1968,1939,1958
2016-02-01,1960,1994,1959,1973
2016-02-02,1976,1983,1961,1967
2016-02-03,1968,1984,1960,1972
2016-02-04,1973,2014,1971,2013
2016-02-05,2012,2021,1976,1993
2016-02-15,1995,2020,1981,2005
2016-02-16,2004,2035,2004,2018
2016-02-17,2014,2024,2004,2010
2016-02-18,2013,2027,2006,2024
2016-02-19,2025,2048,2019,2041
2016-02-22,2041,2132,2039,2132
2016-02-23,2129,2149,2096,2107
2016-02-24,2107,2113,2088,2112
2016-02-25,2112,2131,2094,2102
2016-02-26,2109,2118,2078,2108
2016-02-29,2105,2138,2093,2138
2016-03-01,2139,2176,2127,2158
2016-03-02,2163,2172,2136,2159
2016-03-03,2159,2189,2159,2176
2016-03-04,2171,2224,2168,2223
2016-03-07,2221,2305,2221,2305
2016-03-08,2439,2439,2298,2439
2016-03-09,2419,2426,2220,2267
2016-03-10,2279,2401,2269,2318
2016-03-11,2317,2339,2279,2284
2016-03-14,2239,2357,2233,2249
2016-03-15,2244,2267,2194,2209
2016-03-16,2205,2234,2199,2230
2016-03-17,2239,2317,2232,2312
2016-03-18,2312,2392,2312,2371
2016-03-21,2374,2459,2353,2408
2016-03-22,2418,2434,2397,2406
2016-03-23,2404,2477,2389,2450
2016-03-24,2452,2460,2357,2376
2016-03-25,2372,2459,2370,2459
2016-03-28,2461,2489,2391,2395
2016-03-29,2408,2441,2401,2425
2016-03-30,2419,2435,2380,2392
2016-03-31,2397,2438,2387,2438
2016-04-01,2434,2542,2434,2532
2016-04-05,2549,2589,2501,2579
2016-04-06,2579,2607,2545,2554
2016-04-07,2555,2609,2547,2595
2016-04-08,2581,2636,2579,2623
2016-04-11,2630,2763,2629,2730
2016-04-12,2729,2769,2709,2768
2016-04-13,2765,2769,2683,2711
2016-04-14,2711,2720,2644,2661
2016-04-15,2667,2671,2624,2631
2016-04-18,2629,2764,2612,2734
2016-04-19,2754,2852,2738,2852
2016-04-20,2873,3011,2869,2986
2016-04-21,2983,3112,2956,3107
2016-04-22,3093,3093,2949,2970
2016-04-25,2953,3122,2933,2984
2016-04-26,2984,2984,2838,2838
2016-04-27,2853,2862,2747,2785
