,open,high,low,close
2015-04-16,7681.0,7790.0,7480.2,7707.8
2015-04-17,7722.0,7918.8,7631.2,7758.2
2015-04-20,7760.0,7857.0,7582.0,7622.2
2015-04-21,7650.2,8147.0,7640.2,8140.4
2015-04-22,8158.0,8237.8,8104.4,8189.8
2015-04-23,8193.0,8378.8,8160.4,8265.6
2015-04-24,8247.8,8349.8,8123.8,8327.2
2015-04-27,8368.0,8548.0,8292.0,8347.2
2015-04-28,8308.0,8419.0,8011.6,8147.0
2015-04-29,8138.0,8309.0,8079.0,8302.2
2015-04-30,8320.0,8408.0,8291.2,8338.8
2015-05-04,8370.2,8527.4,8202.4,8347.2
2015-05-05,8334.8,8342.8,8090.0,8145.0
2015-05-06,8168.0,8280.6,7970.0,8040.8
2015-05-07,8020.0,8068.0,7901.0,7911.4
2015-05-08,7933.4,8171.4,7921.0,8171.2
2015-05-11,8170.0,8508.0,8144.0,8489.8
2015-05-12,8499.6,8648.0,8415.4,8647.8
2015-05-13,8595.0,8779.0,8492.0,8695.8
2015-05-14,8654.2,8804.2,8601.8,8727.2
2015-05-15,8734.2,8842.2,8606.2,8704.0
2015-05-18,8764.8,8946.4,8704.2,8922.6
2015-05-19,8929.8,9278.6,8860.4,9245.0
2015-05-20,9246.0,9587.8,9235.4,9411.0
2015-05-21,9435.6,9879.2,9425.2,9858.8
2015-05-22,9907.2,9991.6,9649.2,9865.4
2015-05-25,9734.2,10145.0,9579.6,10090.8
2015-05-26,10112.2,10659.2,10110.4,10656.4
2015-05-27,10722.6,10842.2,10490.2,10676.2
2015-05-28,10704.2,10883.0,9942.2,10101.4
2015-05-29,10251.0,10494.2,10025.2,10245.2
2015-06-01,10294.4,11214.0,10292.2,11149.8
2015-06-02,11182.2,11509.2,10954.2,11374.6
2015-06-03,11405.4,11560.2,10933.2,11227.4
2015-06-04,11251.2,11379.6,10154.2,10993.4
2015-06-05,11024.2,11382.2,10664.2,11073.2
2015-06-08,10964.2,11063.4,10508.4,10726.8
2015-06-09,10723.2,11074.2,10577.2,10824.6
2015-06-10,10732.2,11450.2,10724.2,11112.0
2015-06-11,11219.0,11414.2,11044.4,11383.0
2015-06-12,11417.2,11709.2,11346.0,11552.0
2015-06-15,11585.6,11684.2,11147.2,11352.8
2015-06-16,11362.2,11362.2,10780.4,10963.2
2015-06-17,10961.8,11241.8,10628.6,11157.6
2015-06-18,11166.8,11355.6,10733.2,10753.8
2015-06-19,10703.8,10778.4,10118.8,10158.8
2015-06-23,10145.8,10268.8,9544.0,10031.4
2015-06-24,10056.8,10383.2,9879.6,10226.8
2015-06-25,10269.8,10308.8,9503.8,9550.4
2015-06-26,9548.8,9558.8,8797.8,8797.8
2015-06-29,8956.8,8956.8,7937.2,7937.2
2015-06-30,7936.8,8797.8,7725.8,8514.8
2015-07-01,8564.8,8968.8,7678.2,7678.2
2015-07-02,8078.8,8445.8,7492.6,7836.6
2015-07-03,7886.8,8105.2,7241.2,7573.6
2015-07-06,8336.0,8336.0,6870.4,7608.8
2015-07-07,7472.4,7606.8,6685.0,6685.0
2015-07-08,6370.8,7449.0,6125.4,6125.4
2015-07-09,6125.4,6721.0,6068.8,6721.0
2015-07-10,7062.8,7376.2,7056.8,7376.2
2015-07-13,7668.8,8096.8,7476.2,7738.4
2015-07-14,7917.8,8138.8,7700.8,7813.8
2015-07-15,7782.4,7824.6,7170.8,7304.8
2015-07-16,7268.4,7912.4,6887.2,7695.0
2015-07-17,7693.2,8326.0,7693.2,8326.0
2015-07-20,8388.4,8556.2,7881.6,8057.4
2015-07-21,8056.2,8403.6,7870.6,8183.4
2015-07-22,8183.4,8386.4,8040.6,8241.4
2015-07-23,8270.6,8967.0,8170.6,8854.4
2015-07-24,8882.6,9006.4,8380.8,8448.4
2015-07-27,8447.2,8648.4,7809.8,7809.8
2015-07-28,7666.4,7997.2,7502.4,7689.4
2015-07-29,7769.0,8184.2,7423.6,8171.2
2015-07-30,8168.4,8199.4,7614.4,7700.4
2015-07-31,7743.4,8110.6,7678.4,7867.4
2015-08-03,7803.4,7819.4,7458.4,7533.6
2015-08-04,7557.2,8177.0,7537.6,8126.0
2015-08-05,8145.4,8205.6,7928.4,7954.8
2015-08-06,7883.4,8196.2,7829.4,8013.8
2015-08-07,8068.4,8434.4,8052.2,8319.6
2015-08-10,8323.4,8908.4,8323.4,8798.4
2015-08-11,8825.2,8864.6,8653.6,8669.0
2015-08-12,8670.6,8798.4,8519.4,8550.6
2015-08-13,8568.4,8855.4,8521.0,8814.2
2015-08-14,8856.4,8996.2,8776.4,8865.4
2015-08-17,8874.4,9158.4,8668.4,9127.4
2015-08-18,9157.4,9230.0,8238.6,8270.4
2015-08-19,8262.2,8667.2,8071.6,8619.6
2015-08-20,8629.0,8827.0,8409.2,8466.0
2015-08-21,8409.2,8528.0,7969.0,8116.4
2015-08-24,7862.0,7953.6,7432.6,7432.6
2015-08-25,7158.0,7289.0,6780.4,6780.4
2015-08-26,6778.0,7059.0,6210.2,6309.2
2015-08-27,6609.0,6988.4,6419.0,6837.2
2015-08-28,7010.2,7311.6,6793.0,7311.6
2015-08-31,7296.0,7296.0,6761.0,6870.4
2015-09-01,6869.0,7104.6,6272.2,6282.0
2015-09-02,6186.4,6884.0,6010.8,6286.0
2015-09-07,6559.0,6830.8,6459.0,6704.0
2015-09-08,6715.2,7292.0,6661.6,7292.0
2015-09-09,7337.0,7487.0,7209.0,7278.0
2015-09-10,7227.0,7372.8,7143.2,7228.0
2015-09-11,7239.8,7398.0,7205.2,7329.0
2015-09-14,7407.0,7409.0,6667.2,6667.2
2015-09-15,6658.6,6807.6,6499.2,6572.6
2015-09-16,6619.4,7109.0,6529.0,6959.8
2015-09-17,7009.0,7127.2,6764.0,6864.0
2015-09-18,6933.8,7063.6,6823.0,6995.0
2015-09-21,6915.0,7349.2,6880.0,7335.2
2015-09-22,7333.8,7355.0,7170.0,7242.8
2015-09-23,7245.8,7258.2,7068.0,7145.4
2015-09-24,7165.0,7311.8,7143.0,7265.0
2015-09-25,7263.8,7280.0,6878.0,6952.4
2015-09-28,7013.0,7201.6,6935.0,7159.4
2015-09-29,7115.0,7115.0,6953.2,7079.0
2015-09-30,7120.0,7158.0,7017.0,7082.8
2015-10-08,7385.0,7515.0,7356.8,7360.2
2015-10-09,7395.0,7609.6,7373.8,7571.8
2015-10-12,7623.2,7955.0,7623.2,7807.6
2015-10-13,7778.0,7902.6,7751.4,7853.6
2015-10-14,7810.0,7908.4,7790.6,7810.2
2015-10-15,7820.8,8122.0,7820.2,8119.8
2015-10-16,8130.8,8170.8,7947.0,8084.8
2015-10-19,8103.6,8123.8,7835.8,7990.8
2015-10-20,7990.8,8155.8,7951.4,8155.8
2015-10-21,8119.8,8149.8,7756.8,7784.6
2015-10-22,7826.0,8040.8,7788.8,7972.0
2015-10-23,8012.0,8225.8,7976.8,8213.8
2015-10-26,8249.8,8255.6,8055.8,8170.8
2015-10-27,8129.8,8295.8,7947.0,8209.2
2015-10-28,8215.8,8232.8,7972.6,7989.2
2015-10-29,8018.0,8192.4,7960.8,8087.8
2015-10-30,8106.8,8192.8,7956.8,8089.6
2015-11-02,7946.8,8173.8,7888.4,7974.6
2015-11-03,8002.6,8062.8,7920.6,7962.0
2015-11-04,8005.8,8423.4,7984.6,8396.4
2015-11-05,8372.6,8425.4,8289.0,8372.2
2015-11-06,8374.6,8644.6,8373.8,8599.6
2015-11-09,8575.8,8755.6,8511.0,8659.6
2015-11-10,8635.8,8744.8,8626.0,8699.8
2015-11-11,8693.8,8854.6,8683.8,8850.8
2015-11-12,8845.8,8875.8,8696.8,8824.8
2015-11-13,8782.4,8829.2,8635.8,8773.8
2015-11-16,8650.8,8976.0,8650.8,8943.8
2015-11-17,8965.8,9094.0,8806.6,8853.4
2015-11-18,8863.6,8961.4,8771.8,8804.8
2015-11-19,8855.8,9087.8,8837.4,9064.4
2015-11-20,9067.8,9169.2,9017.6,9071.4
2015-11-23,9029.0,9204.0,8967.6,8985.4
2015-11-24,8979.4,9117.4,8941.4,9099.8
2015-11-25,9107.6,9265.6,9081.4,9259.8
2015-11-26,9275.4,9299.8,9158.8,9160.6
2015-11-27,9169.0,9188.2,8559.8,8721.4
2015-11-30,8721.4,8827.8,8550.8,8747.0
2015-12-01,8754.4,8895.8,8671.8,8766.4
2015-12-02,8772.0,8922.0,8579.8,8909.0
2015-12-03,8881.0,9036.4,8850.0,9006.6
2015-12-04,8935.8,9016.0,8850.8,8944.6
2015-12-07,8974.8,9065.8,8880.0,8968.2
2015-12-08,8939.8,8944.2,8795.4,8858.8
2015-12-09,8859.8,8909.2,8779.8,8840.8
2015-12-10,8823.8,8958.8,8780.6,8798.8
2015-12-11,8817.8,8897.8,8749.8,8856.2
2015-12-14,8795.8,9058.6,8793.8,9050.8
2015-12-15,9031.8,9129.2,9023.8,9074.8
2015-12-16,9097.6,9199.6,9091.0,9121.4
2015-12-17,9157.8,9342.6,9142.6,9322.4
2015-12-18,9311.4,9349.6,9242.2,9349.0
2015-12-21,9329.8,9474.0,9295.8,9446.4
2015-12-22,9466.0,9521.4,9390.2,9511.4
2015-12-23,9522.8,9528.2,9372.6,9377.8
2015-12-24,9394.0,9432.4,9267.2,9394.8
2015-12-25,9414.0,9464.6,9364.4,9457.2
2015-12-28,9407.4,9481.2,9156.6,9166.4
2015-12-29,9194.6,9298.8,9146.4,9279.6
2015-12-30,9303.4,9404.4,9272.6,9372.8
2015-12-31,9390.4,9414.4,9199.4,9210.4
2016-01-04,9211.4,9226.2,8742.6,8742.6
2016-01-05,8511.4,8741.4,8511.4,8560.4
2016-01-06,8610.4,8731.4,8562.4,8675.8
2016-01-07,8607.2,8607.2,8221.4,8221.4
2016-01-08,8381.4,8450.2,8011.4,8261.2
2016-01-11,8110.2,8258.2,7791.2,7801.8
2016-01-12,7901.6,8028.6,7822.4,7936.2
2016-01-13,7987.8,8071.4,7710.8,7765.8
2016-01-14,7596.4,7971.2,7584.4,7939.4
2016-01-15,7921.6,7985.4,7626.2,7709.4
2016-01-18,7695.2,7949.4,7682.6,7834.6
2016-01-19,7860.6,8108.0,7839.4,8068.2
2016-01-20,8015.4,8103.8,7940.4,7974.4
2016-01-21,7989.2,8129.4,7794.4,7818.4
2016-01-22,7919.4,7975.4,7755.2,7919.2
2016-01-25,7954.6,8051.4,7890.0,7939.4
2016-01-26,7889.4,7907.2,7510.2,7540.6
2016-01-27,7589.4,7596.2,7251.6,7419.8
2016-01-28,7389.4,7485.8,7271.4,7294.4
2016-01-29,7316.4,7560.4,7299.6,7469.2
2016-02-01,7478.4,7533.8,7352.0,7462.4
2016-02-02,7473.4,7686.2,7470.2,7663.0
2016-02-03,7609.4,7723.4,7550.4,7696.2
2016-02-04,7739.4,7858.6,7739.4,7834.4
2016-02-05,7822.4,7848.2,7750.4,7756.4
2016-02-15,7671.2,7814.4,7600.4,7790.8
2016-02-16,7828.4,8047.4,7820.4,8020.4
