,open,high,low,close
2010-04-16,3450.0,3488.0,3413.2,3415.6
2010-04-19,3396.0,3396.8,3166.2,3197.4
2010-04-20,3209.2,3240.0,3168.8,3214.6
2010-04-21,3215.0,3281.2,3208.0,3267.2
2010-04-22,3260.2,3274.4,3211.0,3236.2
2010-04-23,3241.0,3266.0,3221.0,3221.2
2010-04-26,3243.0,3252.0,3211.8,3219.6
2010-04-27,3201.2,3205.0,3107.6,3138.8
2010-04-28,3101.6,3142.6,3094.2,3129.0
2010-04-29,3141.0,3157.6,3082.2,3083.8
2010-04-30,3103.0,3119.6,3043.0,3107.0
2010-05-04,3079.8,3094.4,3060.8,3076.4
2010-05-05,3046.4,3087.0,3031.0,3076.4
2010-05-06,3078.6,3083.4,2953.6,2967.4
2010-05-07,2928.0,2959.8,2862.2,2897.6
2010-05-10,2910.0,2931.0,2870.0,2918.0
2010-05-11,2949.0,2957.8,2797.2,2801.6
2010-05-12,2809.0,2855.0,2782.0,2836.2
2010-05-13,2847.8,2915.6,2823.0,2894.6
2010-05-14,2880.0,2894.8,2850.4,2862.6
2010-05-17,2840.0,2840.0,2708.0,2719.0
2010-05-18,2708.4,2844.6,2705.0,2807.0
2010-05-19,2775.8,2855.6,2730.8,2781.4
2010-05-20,2797.6,2841.4,2738.8,2759.8
2010-05-21,2698.6,2799.4,2673.6,2797.6
2010-05-24,2810.6,2930.0,2804.6,2898.6
2010-05-25,2876.6,2885.8,2807.6,2809.8
2010-05-26,2842.8,2875.4,2814.2,2836.2
2010-05-27,2821.6,2906.4,2786.6,2898.0
2010-05-28,2926.6,2938.6,2849.6,2861.8
2010-05-31,2846.6,2895.4,2782.8,2788.6
2010-06-01,2776.6,2817.2,2728.6,2758.6
2010-06-02,2754.6,2778.0,2714.8,2773.0
2010-06-03,2796.4,2803.6,2737.6,2744.6
2010-06-04,2736.6,2764.4,2718.8,2757.6
2010-06-07,2696.6,2714.6,2676.6,2702.8
2010-06-08,2706.4,2722.6,2679.6,2721.0
2010-06-09,2717.0,2804.6,2697.0,2785.4
2010-06-10,2772.6,2787.6,2759.6,2766.2
2010-06-11,2784.6,2793.4,2761.6,2762.4
2010-06-17,2775.6,2781.0,2739.6,2740.8
2010-06-18,2740.6,2757.2,2684.0,2696.4
2010-06-21,2727.4,2794.8,2696.2,2783.0
2010-06-22,2773.8,2793.2,2771.4,2775.8
2010-06-23,2763.2,2779.8,2721.2,2743.4
2010-06-24,2749.2,2788.2,2728.2,2749.2
2010-06-25,2737.2,2751.0,2714.2,2732.0
2010-06-28,2729.8,2742.0,2709.6,2719.8
2010-06-29,2719.8,2725.0,2576.6,2578.6
2010-06-30,2558.2,2571.2,2541.2,2557.2
2010-07-01,2556.0,2562.8,2513.8,2523.4
2010-07-02,2528.2,2543.2,2457.0,2524.2
2010-07-05,2513.2,2527.8,2457.8,2508.8
2010-07-06,2499.6,2563.2,2489.4,2542.8
2010-07-07,2536.2,2560.2,2524.4,2546.6
2010-07-08,2569.2,2577.6,2540.2,2547.2
2010-07-09,2551.4,2646.2,2541.2,2628.2
2010-07-12,2630.2,2671.2,2625.4,2638.8
2010-07-13,2629.2,2631.2,2596.8,2604.2
2010-07-14,2618.2,2657.4,2608.2,2625.2
2010-07-15,2620.6,2708.6,2578.6,2581.4
2010-07-16,2583.6,2600.4,2558.6,2591.2
2010-07-19,2570.8,2685.8,2564.2,2668.2
2010-07-20,2672.6,2731.6,2671.0,2716.6
2010-07-21,2719.6,2729.0,2704.4,2715.0
2010-07-22,2710.6,2756.2,2706.8,2755.0
2010-07-23,2760.6,2771.4,2735.8,2754.2
2010-07-26,2762.6,2773.8,2739.8,2767.4
2010-07-27,2768.4,2770.4,2744.2,2748.6
2010-07-28,2750.8,2859.2,2745.8,2858.0
2010-07-29,2858.6,2866.6,2833.4,2847.4
2010-07-30,2843.6,2851.2,2825.8,2842.0
