,open,high,low,close
2015-04-16,3100.0,3288.2,3088.8,3283.8
2015-04-17,3303.6,3341.6,3238.0,3254.0
2015-04-20,3258.0,3315.0,3143.6,3146.8
2015-04-21,3176.8,3242.2,3153.0,3234.0
2015-04-22,3250.0,3333.2,3229.8,3308.0
2015-04-23,3318.6,3348.2,3253.4,3267.8
2015-04-24,3248.8,3267.8,3170.0,3233.0
2015-04-27,3260.0,3358.0,3257.8,3357.6
2015-04-28,3339.0,3376.0,3265.0,3286.8
2015-04-29,3282.0,3325.6,3261.0,3295.2
2015-04-30,3315.2,3331.2,3247.2,3269.4
2015-05-04,3295.8,3301.8,3225.8,3273.2
2015-05-05,3279.6,3281.6,3141.2,3163.0
2015-05-06,3171.2,3257.4,3116.0,3153.0
2015-05-07,3159.6,3170.0,3103.0,3111.2
2015-05-08,3131.0,3149.0,3051.2,3099.8
2015-05-11,3112.0,3170.4,3078.0,3160.0
2015-05-12,3151.0,3194.6,3138.0,3175.0
2015-05-13,3200.0,3200.0,3112.4,3125.4
2015-05-14,3131.2,3158.4,3108.0,3129.4
2015-05-15,3131.2,3145.8,3037.0,3057.4
2015-05-18,3049.6,3065.0,2978.0,2985.4
2015-05-19,2989.4,3161.6,2987.2,3159.0
2015-05-20,3179.0,3233.0,3118.2,3161.2
2015-05-21,3173.0,3216.2,3155.8,3207.4
2015-05-22,3216.0,3326.0,3210.0,3319.0
2015-05-25,3314.6,3451.4,3296.0,3429.6
2015-05-26,3442.0,3474.0,3393.8,3433.8
2015-05-27,3469.8,3523.0,3367.8,3412.8
2015-05-28,3427.6,3435.0,3137.2,3180.6
2015-05-29,3195.4,3210.8,3076.6,3134.6
2015-06-01,3116.0,3356.4,3102.6,3352.0
2015-06-02,3356.0,3365.2,3236.4,3311.6
2015-06-03,3312.6,3352.0,3226.2,3260.8
2015-06-04,3274.8,3411.8,3037.2,3389.2
2015-06-05,3385.0,3442.2,3219.0,3320.8
2015-06-08,3331.0,3559.0,3301.0,3551.0
2015-06-09,3555.2,3581.0,3401.0,3431.8
2015-06-10,3415.0,3461.8,3367.2,3381.0
2015-06-11,3397.8,3431.0,3342.6,3377.0
2015-06-12,3389.2,3424.0,3346.0,3421.2
2015-06-15,3411.6,3433.4,3262.6,3279.8
2015-06-16,3280.8,3309.0,3169.2,3209.4
2015-06-17,3247.0,3249.6,3171.2,3221.4
2015-06-18,3216.0,3219.2,3081.8,3101.4
2015-06-19,3097.6,3104.6,2801.8,2857.8
2015-06-23,2886.4,3036.6,2815.8,2980.4
2015-06-24,2996.6,3055.8,2962.8,3042.0
2015-06-25,3077.8,3095.2,2904.4,2917.0
2015-06-26,2903.8,2966.6,2664.0,2687.8
2015-06-29,2787.8,2834.0,2470.8,2652.6
2015-06-30,2713.0,2884.0,2629.0,2845.6
2015-07-01,2844.8,2876.0,2627.4,2694.0
2015-07-02,2742.6,2812.2,2602.8,2738.2
2015-07-03,2722.8,2757.8,2516.2,2593.8
2015-07-06,2847.8,2867.8,2630.8,2754.6
2015-07-07,2734.8,2823.8,2674.8,2744.8
2015-07-08,2647.8,3053.6,2498.0,2498.0
