,open,high,low,close
2013-10-18,974.0,994.0,971.0,986.0
2013-10-21,985.0,986.0,969.0,978.0
2013-10-22,972.0,975.0,957.0,957.0
2013-10-23,958.0,962.0,945.0,948.0
2013-10-24,947.0,948.0,925.0,935.0
2013-10-25,937.0,945.0,926.0,927.0
2013-10-28,929.0,937.0,926.0,932.0
2013-10-29,933.0,934.0,922.0,930.0
2013-10-30,928.0,939.0,925.0,933.0
2013-10-31,934.0,936.0,929.0,931.0
2013-11-01,930.0,963.0,930.0,951.0
2013-11-04,952.0,966.0,951.0,959.0
2013-11-05,957.0,963.0,952.0,955.0
2013-11-06,958.0,960.0,951.0,953.0
2013-11-07,954.0,956.0,948.0,954.0
2013-11-08,956.0,957.0,945.0,948.0
2013-11-11,949.0,953.0,943.0,951.0
2013-11-12,949.0,953.0,945.0,952.0
2013-11-13,950.0,961.0,949.0,952.0
2013-11-14,949.0,953.0,946.0,946.0
2013-11-15,948.0,951.0,939.0,940.0
2013-11-18,940.0,944.0,934.0,941.0
2013-11-19,940.0,952.0,939.0,952.0
2013-11-20,952.0,955.0,949.0,951.0
2013-11-21,951.0,952.0,941.0,941.0
2013-11-22,943.0,944.0,938.0,940.0
2013-11-25,942.0,945.0,937.0,942.0
2013-11-26,943.0,952.0,943.0,950.0
2013-11-27,949.0,951.0,942.0,945.0
2013-11-28,942.0,949.0,942.0,948.0
2013-11-29,948.0,954.0,948.0,948.0
2013-12-02,949.0,950.0,943.0,945.0
2013-12-03,947.0,950.0,945.0,948.0
2013-12-04,951.0,964.0,950.0,961.0
2013-12-05,962.0,965.0,953.0,954.0
2013-12-06,953.0,954.0,947.0,950.0
2013-12-09,950.0,955.0,949.0,954.0
2013-12-10,955.0,956.0,951.0,951.0
2013-12-11,951.0,951.0,943.0,946.0
2013-12-12,945.0,947.0,939.0,939.0
2013-12-13,936.0,936.0,914.0,923.0
2013-12-16,922.0,932.0,921.0,927.0
2013-12-17,927.0,929.0,917.0,919.0
