,open,high,low,close
2013-11-08,4050,4078,3970,3976
2013-11-11,3982,3983,3932,3941
2013-11-12,3940,3970,3932,3951
2013-11-13,3946,3970,3935,3952
2013-11-14,3958,3963,3939,3957
2013-11-15,3955,4015,3954,4013
2013-11-18,4015,4039,4003,4029
2013-11-19,4025,4036,4012,4023
2013-11-20,4025,4048,4016,4036
2013-11-21,4039,4039,4005,4010
2013-11-22,4012,4040,4006,4018
2013-11-25,4021,4178,4021,4168
2013-11-26,4170,4180,4145,4162
2013-11-27,4166,4174,4123,4138
2013-11-28,4138,4193,4138,4174
2013-11-29,4179,4185,4156,4172
2013-12-02,4173,4190,4151,4162
2013-12-03,4160,4196,4140,4163
2013-12-04,4166,4176,4150,4153
2013-12-05,4155,4181,4149,4159
2013-12-06,4160,4180,4109,4131
2013-12-09,4138,4150,4130,4134
2013-12-10,4143,4190,4134,4155
2013-12-11,4161,4175,4149,4155
2013-12-12,4159,4172,4144,4153
2013-12-13,4147,4157,4090,4101
2013-12-16,4111,4119,4082,4088
2013-12-17,4091,4125,4091,4107
2013-12-18,4101,4122,4094,4098
2013-12-19,4093,4093,3962,3989
2013-12-20,3971,4000,3967,3982
2013-12-23,3957,3973,3933,3969
2013-12-24,3963,3994,3961,3982
2013-12-25,3985,4023,3980,3995
2013-12-26,4000,4017,3958,3973
2013-12-27,3972,3993,3965,3968
2013-12-30,3970,4006,3967,3984
2013-12-31,3981,4000,3939,3951
2014-01-02,3951,3978,3941,3975
2014-01-03,3998,4036,3980,4015
2014-01-06,4005,4024,3940,3943
2014-01-07,3832,3919,3832,3865
2014-01-08,3869,3884,3843,3857
2014-01-09,3850,3880,3808,3826
2014-01-10,3822,3847,3815,3832
2014-01-13,3830,3860,3816,3826
2014-01-14,3834,3875,3827,3865
2014-01-15,3866,3866,3820,3828
2014-01-16,3835,3837,3766,3770
2014-01-17,3770,3785,3751,3778
2014-01-20,3772,3808,3772,3781
2014-01-21,3771,3772,3725,3734
2014-01-22,3730,3731,3666,3696
2014-01-23,3688,3721,3686,3706
2014-01-24,3700,3718,3676,3703
2014-01-27,3688,3735,3685,3726
2014-01-28,3710,3762,3710,3729
2014-01-29,3732,3759,3714,3728
2014-01-30,3727,3752,3724,3741
2014-02-07,3741,3780,3693,3697
2014-02-10,3687,3750,3676,3739
2014-02-11,3740,3767,3718,3720
2014-02-12,3719,3732,3701,3719
2014-02-13,3730,3749,3720,3730
2014-02-14,3735,3834,3708,3831
2014-02-17,3840,3859,3816,3840
2014-02-18,3842,3866,3822,3851
2014-02-19,3868,3876,3838,3850
2014-02-20,3845,3850,3777,3785
2014-02-21,3780,3798,3755,3781
2014-02-24,3785,3817,3756,3795
2014-02-25,3790,3802,3680,3687
2014-02-26,3680,3710,3630,3697
2014-02-27,3708,3726,3682,3693
2014-02-28,3700,3720,3680,3720
2014-03-03,3731,3794,3731,3789
2014-03-04,3789,3849,3780,3847
2014-03-05,3868,3872,3833,3870
2014-03-06,3875,3879,3835,3855
2014-03-07,3862,4008,3837,4008
2014-03-10,4016,4090,3999,4080
2014-03-11,4080,4138,4066,4117
2014-03-12,4102,4126,4073,4115
2014-03-13,4115,4262,4106,4236
2014-03-14,4236,4266,4180,4218
2014-03-17,4236,4240,4048,4048
2014-03-18,4046,4129,4030,4119
2014-03-19,4132,4151,4102,4124
2014-03-20,4132,4144,4092,4143
2014-03-21,4155,4232,4127,4208
2014-03-24,4214,4229,4175,4211
2014-03-25,4212,4224,4187,4208
2014-03-26,4209,4266,4165,4249
2014-03-27,4253,4275,4234,4256
2014-03-28,4264,4268,4204,4242
2014-03-31,4226,4233,4194,4220
2014-04-01,4224,4272,4206,4220
2014-04-02,4224,4240,4174,4193
2014-04-03,4174,4249,4164,4239
2014-04-04,4229,4254,4226,4249
2014-04-08,4249,4319,4249,4307
2014-04-09,4312,4333,4271,4286
2014-04-10,4293,4340,4286,4332
2014-04-11,4329,4340,4299,4332
2014-04-14,4326,4357,4285,4307
2014-04-15,4312,4329,4290,4327
2014-04-16,4334,4355,4300,4350
2014-04-17,4354,4412,4331,4400
2014-04-18,4404,4431,4385,4427
2014-04-21,4444,4544,4435,4540
2014-04-22,4546,4552,4506,4535
2014-04-23,4535,4545,4485,4534
2014-04-24,4534,4560,4462,4484
2014-04-25,4476,4510,4465,4499
2014-04-28,4499,4589,4499,4579
2014-04-29,4583,4595,4535,4567
2014-04-30,4574,4623,4559,4621
2014-05-05,4644,4662,4605,4634
2014-05-06,4639,4654,4619,4653
2014-05-07,4654,4687,4629,4684
2014-05-08,4688,4739,4639,4643
2014-05-09,4644,4673,4625,4670
2014-05-12,4692,4773,4684,4772
2014-05-13,4773,4814,4759,4813
2014-05-14,4823,4829,4788,4818
2014-05-15,4814,4861,4785,4860
2014-05-16,4846,4902,4826,4900
2014-05-19,4870,4881,4759,4791
2014-05-20,4791,4906,4786,4890
2014-05-21,4870,4884,4692,4720
2014-05-22,4720,4741,4672,4692
2014-05-23,4690,4731,4650,4715
2014-05-26,4652,4652,4593,4600
2014-05-27,4594,4653,4584,4633
2014-05-28,4626,4699,4615,4648
2014-05-29,4633,4669,4609,4654
2014-05-30,4656,4677,4544,4552
2014-06-03,4484,4536,4481,4514
2014-06-04,4523,4580,4521,4570
2014-06-05,4568,4603,4552,4586
2014-06-06,4590,4704,4584,4703
2014-06-09,4704,4733,4684,4718
2014-06-10,4715,4716,4670,4686
2014-06-11,4684,4768,4675,4756
2014-06-12,4752,4794,4730,4749
2014-06-13,4749,4787,4705,4773
2014-06-16,4754,4759,4697,4727
2014-06-17,4722,4813,4711,4770
2014-06-18,4770,4790,4742,4779
2014-06-19,4776,4819,4767,4807
2014-06-20,4807,4888,4799,4869
2014-06-23,4883,4900,4833,4866
2014-06-24,4869,4882,4834,4873
2014-06-25,4873,4899,4845,4887
2014-06-26,4882,4894,4854,4879
2014-06-27,4879,4974,4846,4966
2014-06-30,4959,4993,4954,4989
2014-07-01,4963,4984,4915,4980
2014-07-02,4982,5014,4689,4834
2014-07-03,4834,4872,4817,4859
2014-07-04,4869,4959,4868,4956
2014-07-07,4978,4999,4905,4954
2014-07-08,4958,4974,4874,4966
2014-07-09,4960,4970,4907,4930
2014-07-10,4934,4952,4884,4921
2014-07-11,4926,5183,4926,5046
2014-07-14,5069,5103,5049,5087
2014-07-15,5080,5098,5044,5082
2014-07-16,5074,5084,5034,5059
2014-07-17,5059,5112,5047,5106
2014-07-18,5065,5095,4970,5015
2014-07-21,5004,5009,4930,4968
2014-07-22,4944,4948,4839,4855
2014-07-23,4839,4881,4812,4829
2014-07-24,4834,4923,4831,4907
2014-07-25,4907,4944,4878,4937
2014-07-28,4974,5079,4962,5068
2014-07-29,5078,5091,5049,5081
2014-07-30,5068,5071,5003,5058
2014-07-31,5062,5084,5037,5050
2014-08-01,5032,5091,5023,5037
2014-08-04,5048,5077,5010,5062
2014-08-05,5067,5091,5037,5065
2014-08-06,5065,5109,5022,5041
2014-08-07,5052,5052,4967,4967
2014-08-08,4967,4977,4922,4940
2014-08-11,4950,4976,4915,4940
2014-08-12,4945,5003,4940,4997
2014-08-13,5002,5032,4875,4893
2014-08-14,4893,4902,4842,4870
2014-08-15,4890,4919,4822,4885
2014-08-18,4904,4924,4823,4843
2014-08-19,4840,4847,4749,4750
2014-08-20,4745,4777,4718,4755
2014-08-21,4755,4790,4753,4777
2014-08-22,4782,4801,4710,4797
2014-08-25,4812,4868,4803,4866
2014-08-26,4872,4880,4806,4809
2014-08-27,4802,4840,4763,4814
2014-08-28,4811,4817,4773,4783
2014-08-29,4780,4807,4732,4782
2014-09-01,4782,4800,4755,4766
2014-09-02,4760,4761,4713,4724
2014-09-03,4722,4728,4662,4667
2014-09-04,4658,4697,4654,4674
2014-09-05,4678,4687,4596,4614
2014-09-09,4620,4645,4584,4632
2014-09-10,4631,4697,4618,4672
2014-09-11,4670,4689,4606,4606
2014-09-12,4599,4687,4573,4686
2014-09-15,4686,4728,4670,4691
2014-09-16,4687,4721,4643,4665
2014-09-17,4672,4716,4663,4715
2014-09-18,4717,4757,4682,4683
2014-09-19,4679,4698,4646,4664
2014-09-22,4642,4685,4554,4651
2014-09-23,4653,4699,4611,4617
2014-09-24,4603,4677,4597,4639
2014-09-25,4634,4662,4608,4656
2014-09-26,4652,4740,4636,4708
2014-09-29,4708,4753,4673,4748
2014-09-30,4753,4797,4745,4794
2014-10-08,4801,4830,4737,4751
2014-10-09,4751,4765,4707,4758
2014-10-10,4757,4801,4722,4768
2014-10-13,4790,4875,4773,4872
2014-10-14,4878,4917,4859,4916
2014-10-15,4920,4925,4868,4900
2014-10-16,4892,4939,4856,4921
2014-10-17,4923,4957,4868,4874
2014-10-20,4878,4964,4864,4962
2014-10-21,4968,4981,4938,4960
2014-10-22,4968,4974,4934,4951
2014-10-23,4937,4988,4935,4983
2014-10-24,4992,4996,4952,4979
2014-10-27,4971,4972,4888,4895
2014-10-28,4904,4930,4884,4897
2014-10-29,4901,4972,4892,4971
2014-10-30,4980,5000,4942,4958
2014-10-31,4951,4996,4923,4982
2014-11-03,4952,4952,4738,4749
2014-11-04,4742,4772,4720,4744
2014-11-05,4744,4786,4730,4733
2014-11-06,4752,4759,4679,4744
2014-11-07,4752,4794,4742,4752
2014-11-10,4742,4797,4697,4783
2014-11-11,4772,4795,4734,4735
2014-11-12,4752,4788,4723,4753
2014-11-13,4747,4784,4735,4765
2014-11-14,4752,4765,4712,4757
2014-11-17,4773,4876,4773,4852
2014-11-18,4852,4887,4837,4879
2014-11-19,4879,4890,4846,4867
2014-11-20,4868,4901,4840,4882
2014-11-21,4883,4906,4858,4884
2014-11-24,4827,4848,4791,4803
2014-11-25,4800,4838,4782,4820
2014-11-26,4818,4826,4763,4767
2014-11-27,4772,4797,4757,4780
2014-11-28,4787,4809,4763,4782
2014-12-01,4789,4836,4714,4820
2014-12-02,4835,4893,4825,4849
2014-12-03,4841,5080,4832,4970
2014-12-04,4954,5038,4953,5000
2014-12-05,5000,5024,4964,5012
2014-12-08,4994,5069,4981,5007
2014-12-09,5000,5010,4897,4944
2014-12-10,4947,5075,4947,5048
2014-12-11,5046,5073,5012,5061
2014-12-12,5061,5112,4991,5031
2014-12-15,5012,5057,4971,4972
2014-12-16,4961,4989,4933,4979
2014-12-17,4979,5006,4911,4925
2014-12-18,4926,4952,4906,4910
2014-12-19,4902,4903,4813,4816
2014-12-22,4801,4849,4793,4795
2014-12-23,4795,4860,4786,4831
2014-12-24,4834,4879,4825,4868
2014-12-25,4866,4878,4811,4820
2014-12-26,4822,4861,4814,4829
2014-12-29,4829,4909,4822,4878
2014-12-30,4880,4919,4853,4872
2014-12-31,4876,4895,4743,4759
2015-01-05,4746,4800,4746,4781
2015-01-06,4797,4812,4752,4767
2015-01-07,4766,4787,4720,4776
2015-01-08,4784,4791,4759,4764
2015-01-09,4759,4784,4741,4749
2015-01-12,4771,4796,4753,4759
2015-01-13,4746,4746,4674,4679
2015-01-14,4667,4681,4593,4616
2015-01-15,4627,4653,4623,4634
2015-01-16,4639,4665,4611,4642
2015-01-19,4631,4695,4612,4658
2015-01-20,4651,4677,4623,4645
2015-01-21,4647,4675,4541,4581
2015-01-22,4591,4614,4558,4604
2015-01-23,4604,4619,4581,4611
2015-01-26,4601,4673,4576,4670
2015-01-27,4679,4726,4647,4657
2015-01-28,4636,4686,4636,4677
2015-01-29,4674,4679,4603,4610
2015-01-30,4604,4626,4585,4611
2015-02-02,4610,4636,4573,4580
2015-02-03,4581,4651,4573,4651
2015-02-04,4651,4677,4623,4635
2015-02-05,4631,4687,4629,4664
2015-02-06,4685,4685,4644,4659
2015-02-09,4715,4721,4647,4657
2015-02-10,4653,4675,4642,4650
2015-02-11,4647,4651,4602,4609
2015-02-12,4606,4625,4581,4582
2015-02-13,4579,4622,4564,4604
2015-02-16,4601,4629,4595,4604
2015-02-17,4605,4619,4574,4597
2015-02-25,4576,4693,4542,4688
2015-02-26,4696,4706,4661,4678
2015-02-27,4676,4770,4674,4763
2015-03-02,4761,4799,4746,4795
2015-03-03,4790,4790,4742,4774
2015-03-04,4771,4823,4731,4740
2015-03-05,4727,4734,4699,4719
2015-03-06,4725,4748,4627,4633
2015-03-09,4598,4637,4587,4606
2015-03-10,4611,4631,4597,4611
2015-03-11,4611,4642,4597,4630
2015-03-12,4649,4672,4611,4625
2015-03-13,4620,4638,4583,4613
2015-03-16,4624,4656,4611,4650
2015-03-17,4642,4659,4623,4641
2015-03-18,4641,4647,4605,4639
2015-03-19,4641,4689,4612,4613
2015-03-20,4613,4626,4598,4618
2015-03-23,4624,4636,4601,4627
2015-03-24,4628,4654,4606,4611
2015-03-25,4603,4603,4422,4422
