,open,high,low,close
2013-03-25,1276.0,1286.0,1251.0,1258.0
2013-03-26,1255.0,1276.0,1249.0,1272.0
2013-03-27,1279.0,1279.0,1260.0,1261.0
2013-03-28,1264.0,1273.0,1248.0,1259.0
2013-03-29,1257.0,1268.0,1231.0,1240.0
2013-04-01,1235.0,1242.0,1202.0,1202.0
2013-04-02,1197.0,1231.0,1192.0,1228.0
2013-04-03,1225.0,1233.0,1214.0,1216.0
2013-04-08,1199.0,1223.0,1197.0,1220.0
2013-04-09,1222.0,1232.0,1213.0,1223.0
2013-04-10,1225.0,1227.0,1211.0,1215.0
2013-04-11,1209.0,1225.0,1202.0,1206.0
2013-04-12,1206.0,1220.0,1203.0,1209.0
2013-04-15,1191.0,1195.0,1164.0,1174.0
2013-04-16,1160.0,1180.0,1151.0,1179.0
2013-04-17,1182.0,1189.0,1148.0,1165.0
2013-04-18,1149.0,1169.0,1127.0,1157.0
2013-04-19,1160.0,1167.0,1148.0,1163.0
2013-04-22,1161.0,1164.0,1146.0,1146.0
2013-04-23,1151.0,1153.0,1129.0,1134.0
2013-04-24,1134.0,1158.0,1129.0,1145.0
2013-04-25,1144.0,1148.0,1137.0,1142.0
2013-04-26,1147.0,1155.0,1136.0,1138.0
2013-05-02,1123.0,1123.0,1102.0,1119.0
2013-05-03,1128.0,1138.0,1124.0,1129.0
2013-05-06,1147.0,1149.0,1135.0,1140.0
2013-05-07,1135.0,1148.0,1131.0,1134.0
2013-05-08,1133.0,1149.0,1132.0,1148.0
2013-05-09,1146.0,1150.0,1138.0,1142.0
2013-05-10,1142.0,1153.0,1137.0,1150.0
2013-05-13,1150.0,1187.0,1146.0,1178.0
2013-05-14,1179.0,1185.0,1161.0,1180.0
2013-05-15,1176.0,1180.0,1143.0,1145.0
2013-05-16,1146.0,1157.0,1125.0,1146.0
2013-05-17,1150.0,1165.0,1142.0,1163.0
2013-05-20,1161.0,1173.0,1160.0,1162.0
2013-05-21,1166.0,1171.0,1151.0,1163.0
2013-05-22,1159.0,1175.0,1158.0,1170.0
2013-05-23,1159.0,1164.0,1145.0,1145.0
2013-05-24,1149.0,1156.0,1143.0,1144.0
2013-05-27,1141.0,1141.0,1126.0,1127.0
2013-05-28,1128.0,1131.0,1119.0,1125.0
2013-05-29,1125.0,1130.0,1108.0,1111.0
2013-05-30,1103.0,1114.0,1100.0,1108.0
2013-05-31,1115.0,1115.0,1093.0,1094.0
2013-06-03,1094.0,1105.0,1084.0,1098.0
2013-06-04,1101.0,1102.0,1090.0,1102.0
2013-06-05,1105.0,1105.0,1092.0,1100.0
2013-06-06,1096.0,1096.0,1056.0,1056.0
2013-06-07,1050.0,1054.0,1032.0,1042.0
2013-06-13,1033.0,1042.0,1025.0,1035.0
2013-06-14,1039.0,1040.0,1024.0,1030.0
2013-06-17,1034.0,1059.0,1031.0,1041.0
2013-06-18,1045.0,1045.0,1035.0,1041.0
2013-06-19,1040.0,1041.0,1023.0,1033.0
2013-06-20,1025.0,1027.0,998.0,1005.0
2013-06-21,995.0,1015.0,989.0,1006.0
2013-06-24,1008.0,1018.0,996.0,998.0
2013-06-25,1001.0,1013.0,996.0,1011.0
2013-06-26,1015.0,1016.0,1000.0,1004.0
2013-06-27,1005.0,1011.0,999.0,1006.0
2013-06-28,1004.0,1009.0,1000.0,1001.0
2013-07-01,1000.0,1006.0,987.0,996.0
2013-07-02,1001.0,1002.0,980.0,990.0
2013-07-03,989.0,994.0,980.0,987.0
2013-07-04,988.0,1004.0,981.0,1001.0
2013-07-05,1001.0,1005.0,998.0,1002.0
2013-07-08,1001.0,1002.0,984.0,993.0
2013-07-09,993.0,998.0,983.0,985.0
2013-07-10,984.0,1022.0,976.0,1017.0
2013-07-11,1022.0,1041.0,1014.0,1020.0
2013-07-12,1016.0,1025.0,1009.0,1009.0
2013-07-15,1007.0,1014.0,998.0,998.0
2013-07-16,1001.0,1005.0,992.0,1002.0
2013-07-17,1001.0,1026.0,1000.0,1021.0
2013-07-18,1020.0,1028.0,1014.0,1027.0
2013-07-19,1031.0,1040.0,1026.0,1032.0
2013-07-22,1037.0,1045.0,1026.0,1035.0
2013-07-23,1032.0,1040.0,1031.0,1040.0
2013-07-24,1041.0,1046.0,1023.0,1033.0
2013-07-25,1029.0,1038.0,1025.0,1030.0
2013-07-26,1030.0,1033.0,1022.0,1024.0
2013-07-29,1018.0,1020.0,1006.0,1009.0
2013-07-30,1010.0,1016.0,1002.0,1009.0
2013-07-31,1006.0,1017.0,1005.0,1015.0
2013-08-01,1021.0,1030.0,1017.0,1026.0
2013-08-02,1031.0,1035.0,1027.0,1035.0
