,open,high,low,close
2011-04-18,2946.5,3101.5,2946.5,3094.5
2011-04-19,3088.5,3097.5,3033.5,3049.5
2011-04-20,3063.5,3108.5,3041.5,3056.5
2011-04-21,3066.5,3076.5,3036.5,3048.5
2011-04-22,3049.5,3064.5,3010.5,3043.5
2011-04-25,3053.5,3072.5,3030.5,3042.5
2011-04-26,3028.5,3042.5,3016.5,3035.5
2011-04-27,3045.5,3052.5,3028.5,3033.5
2011-04-28,3043.5,3060.5,3039.5,3050.5
2011-04-29,3050.5,3056.5,3036.5,3042.5
2011-05-03,3043.5,3067.5,3039.5,3057.5
2011-05-04,3054.5,3059.5,3033.5,3042.5
2011-05-05,3022.5,3032.5,3006.5,3021.5
2011-05-06,2968.5,3002.5,2968.5,2984.5
2011-05-09,2993.5,2997.5,2986.5,2993.5
2011-05-10,2998.5,3001.5,2988.5,3000.5
2011-05-11,3006.5,3051.5,2999.5,3027.5
2011-05-12,3003.5,3065.5,3001.5,3057.5
2011-05-13,3073.5,3157.5,3066.5,3132.5
2011-05-16,3128.5,3136.5,3109.5,3120.5
2011-05-17,3127.5,3130.5,3084.5,3104.5
2011-05-18,3113.5,3136.5,3083.5,3085.5
2011-05-19,3107.5,3107.5,3076.5,3080.5
2011-05-20,3077.5,3105.5,3075.5,3089.5
2011-05-23,3101.5,3102.5,3063.5,3070.5
2011-05-24,3069.5,3093.5,3058.5,3093.5
2011-05-25,3095.5,3098.5,3079.5,3088.5
2011-05-26,3098.5,3111.5,3090.5,3091.5
2011-05-27,3092.5,3093.5,3064.5,3084.5
2011-05-30,3083.5,3095.5,3073.5,3078.5
2011-05-31,3083.5,3091.5,3074.5,3077.5
2011-06-01,3083.5,3088.5,3070.5,3072.5
2011-06-02,3064.5,3076.5,3050.5,3052.5
2011-06-03,3053.5,3057.5,3033.5,3039.5
2011-06-07,3034.5,3054.5,3025.5,3044.5
2011-06-08,3051.5,3051.5,3033.5,3039.5
2011-06-09,3043.5,3046.5,3031.5,3031.5
2011-06-10,3037.5,3037.5,3019.5,3024.5
2011-06-13,3019.5,3034.5,3008.5,3033.5
2011-06-14,3026.5,3066.5,3026.5,3047.5
2011-06-15,3052.5,3055.5,3034.5,3036.5
2011-06-16,3028.5,3034.5,3012.5,3020.5
2011-06-17,3023.5,3033.5,3017.5,3020.5
2011-06-20,3019.5,3023.5,2993.5,2994.5
2011-06-21,3001.5,3013.5,2983.5,3008.5
2011-06-22,3003.5,3009.5,2996.5,3001.5
2011-06-23,3000.5,3035.5,2993.5,3031.5
2011-06-24,3031.5,3036.5,3013.5,3015.5
2011-06-27,3009.5,3031.5,3004.5,3021.5
2011-06-28,3029.5,3051.5,3015.5,3016.5
2011-06-29,3023.5,3026.5,3001.5,3009.5
2011-06-30,3012.5,3025.5,3009.5,3022.5
2011-07-01,3021.5,3030.5,3008.5,3009.5
2011-07-04,3012.5,3038.5,3006.5,3029.5
2011-07-05,3030.5,3035.5,3019.5,3028.5
2011-07-06,3034.5,3058.5,3029.5,3055.5
2011-07-07,3053.5,3061.5,3020.5,3024.5
2011-07-08,3029.5,3035.5,3015.5,3020.5
2011-07-11,3016.5,3029.5,3015.5,3017.5
2011-07-12,3019.5,3028.5,3003.5,3010.5
2011-07-13,3017.5,3026.5,3013.5,3023.5
2011-07-14,3029.5,3029.5,3010.5,3018.5
2011-07-15,3016.5,3022.5,3011.5,3016.5
2011-07-18,3020.5,3027.5,3016.5,3018.5
2011-07-19,3019.5,3023.5,3015.5,3018.5
2011-07-20,3021.5,3027.5,3009.5,3011.5
2011-07-21,3013.5,3013.5,2996.5,2999.5
2011-07-22,2992.5,3006.5,2989.5,2999.5
2011-07-25,2998.5,3011.5,2995.5,2999.5
2011-07-26,3003.5,3006.5,2993.5,3002.5
2011-07-27,3006.5,3006.5,2996.5,2997.5
2011-07-28,2996.5,3007.5,2993.5,2998.5
2011-07-29,3001.5,3004.5,2997.5,2998.5
2011-08-01,3000.5,3001.5,2995.5,2998.5
2011-08-02,2998.5,3000.5,2995.5,2998.5
2011-08-03,2999.5,3001.5,2996.5,2998.5
2011-08-04,2998.5,3018.5,2995.5,3016.5
2011-08-05,3008.5,3025.5,2998.5,3010.5
2011-08-08,3003.5,3003.5,2979.5,2983.5
2011-08-09,2973.5,2973.5,2893.5,2942.5
2011-08-10,2953.5,2963.5,2944.5,2947.5
2011-08-11,2927.5,2949.5,2927.5,2942.5
2011-08-12,2957.5,2957.5,2933.5,2938.5
2011-08-15,2939.5,2942.5,2906.5,2910.5
2011-08-16,2910.5,2910.5,2875.5,2880.5
2011-08-17,2872.5,2888.5,2862.5,2869.5
2011-08-18,2869.5,2875.5,2844.5,2852.5
2011-08-19,2844.5,2844.5,2819.5,2821.5
2011-08-22,2814.5,2823.5,2768.5,2770.5
2011-08-23,2773.5,2778.5,2670.5,2683.5
2011-08-24,2693.5,2719.5,2677.5,2715.5
2011-08-25,2715.5,2745.5,2706.5,2743.5
2011-08-26,2738.5,2754.5,2734.5,2741.5
2011-08-29,2747.5,2748.5,2727.5,2737.5
2011-08-30,2741.5,2749.5,2734.5,2741.5
2011-08-31,2748.5,2780.5,2745.5,2770.5
2011-09-01,2773.5,2777.5,2763.5,2766.5
2011-09-02,2766.5,2767.5,2733.5,2743.5
2011-09-05,2738.5,2761.5,2734.5,2746.5
2011-09-06,2740.5,2776.5,2740.5,2771.5
2011-09-07,2771.5,2783.5,2766.5,2777.5
2011-09-08,2778.5,2784.5,2765.5,2766.5
2011-09-09,2766.5,2772.5,2761.5,2771.5
2011-09-13,2778.5,2779.5,2758.5,2760.5
2011-09-14,2764.5,2765.5,2741.5,2750.5
2011-09-15,2753.5,2766.5,2752.5,2758.5
2011-09-16,2765.5,2773.5,2754.5,2771.5
2011-09-19,2768.5,2773.5,2745.5,2748.5
2011-09-20,2739.5,2747.5,2723.5,2741.5
2011-09-21,2739.5,2773.5,2739.5,2761.5
2011-09-22,2749.5,2749.5,2693.5,2718.5
2011-09-23,2678.5,2715.5,2658.5,2669.5
2011-09-26,2673.5,2678.5,2600.5,2601.5
2011-09-27,2616.5,2644.5,2616.5,2634.5
2011-09-28,2638.5,2641.5,2602.5,2615.5
2011-09-29,2578.5,2578.5,2530.5,2550.5
2011-09-30,2558.5,2569.5,2554.5,2566.5
2011-10-10,2584.5,2615.5,2568.5,2574.5
