,open,high,low,close
2010-01-04,12600.0,12695.0,12550.0,12635.0
2010-01-05,12720.0,12745.0,12620.0,12660.0
2010-01-06,12650.0,12700.0,12560.0,12605.0
2010-01-07,12705.0,12840.0,12000.0,12235.0
2010-01-08,12300.0,12365.0,12040.0,12175.0
2010-01-11,12310.0,12495.0,12310.0,12490.0
2010-01-12,12415.0,12445.0,12230.0,12255.0
2010-01-13,11995.0,11995.0,11740.0,11765.0
2010-01-14,11900.0,12150.0,11850.0,12065.0
2010-01-15,12035.0,12055.0,11770.0,11840.0
2010-01-18,11685.0,12040.0,11680.0,11985.0
2010-01-19,12030.0,12075.0,11920.0,12000.0
2010-01-20,12100.0,12205.0,12000.0,12100.0
2010-01-21,12100.0,12335.0,12065.0,12335.0
2010-01-22,12135.0,12315.0,11920.0,12070.0
2010-01-25,12030.0,12070.0,11880.0,11945.0
2010-01-26,12000.0,12050.0,11775.0,11775.0
2010-01-27,11835.0,11835.0,11535.0,11575.0
2010-01-28,11445.0,11520.0,11330.0,11450.0
2010-01-29,11425.0,11500.0,11360.0,11450.0
2010-02-01,11415.0,11495.0,11245.0,11375.0
2010-02-02,11500.0,11600.0,11150.0,11285.0
2010-02-03,11480.0,11500.0,11215.0,11475.0
2010-02-04,11370.0,11485.0,11330.0,11390.0
2010-02-05,11140.0,11310.0,11050.0,11285.0
2010-02-08,11300.0,11480.0,11285.0,11395.0
2010-02-09,11375.0,11550.0,11305.0,11520.0
2010-02-10,11580.0,11695.0,11520.0,11645.0
2010-02-11,11715.0,11780.0,11630.0,11690.0
2010-02-12,11715.0,11810.0,11625.0,11790.0
2010-02-22,12300.0,12300.0,12010.0,12095.0
2010-02-23,12075.0,12155.0,12015.0,12125.0
2010-02-24,12025.0,12160.0,12020.0,12060.0
2010-02-25,12055.0,12145.0,11835.0,11855.0
2010-02-26,11835.0,11945.0,11810.0,11890.0
2010-03-01,12010.0,12055.0,11835.0,11915.0
2010-03-02,11870.0,11910.0,11625.0,11640.0
2010-03-03,11720.0,11755.0,11655.0,11695.0
2010-03-04,11755.0,11810.0,11480.0,11520.0
2010-03-05,11525.0,11555.0,11445.0,11495.0
2010-03-08,11550.0,11685.0,11400.0,11620.0
2010-03-09,11580.0,11640.0,11520.0,11540.0
2010-03-10,11500.0,11660.0,11480.0,11535.0
2010-03-11,11550.0,11595.0,11250.0,11270.0
2010-03-12,11295.0,11370.0,11200.0,11345.0
2010-03-15,11330.0,11330.0,10920.0,10960.0
2010-03-16,10865.0,11000.0,10835.0,10920.0
2010-03-17,11000.0,11250.0,10950.0,11220.0
2010-03-18,11175.0,11305.0,11060.0,11100.0
2010-03-19,11095.0,11260.0,11065.0,11245.0
2010-03-22,11160.0,11370.0,11145.0,11335.0
2010-03-23,11400.0,11465.0,11285.0,11355.0
2010-03-24,11355.0,11435.0,11205.0,11275.0
2010-03-25,11250.0,11340.0,11225.0,11280.0
2010-03-26,11300.0,11345.0,11255.0,11320.0
2010-03-29,11365.0,11425.0,11285.0,11380.0
2010-03-30,11440.0,11440.0,11180.0,11245.0
2010-03-31,11245.0,11275.0,11100.0,11125.0
2010-04-01,11160.0,11265.0,11150.0,11175.0
