,open,high,low,close
2010-01-04,3050,3055,3024,3033
2010-01-05,3035,3051,3032,3032
2010-01-06,3035,3082,3030,3058
2010-01-07,3065,3080,2936,2988
2010-01-08,2980,2986,2930,2962
2010-01-11,2984,2998,2980,2985
2010-01-12,2958,2967,2941,2955
2010-01-13,2890,2898,2860,2869
2010-01-14,2889,2898,2880,2881
2010-01-15,2875,2905,2870,2886
2010-01-18,2892,2909,2888,2904
2010-01-19,2912,2923,2906,2910
2010-01-20,2906,2913,2863,2870
2010-01-21,2866,2885,2856,2885
2010-01-22,2872,2878,2838,2870
2010-01-25,2866,2882,2864,2870
2010-01-26,2864,2868,2841,2843
2010-01-27,2854,2861,2848,2852
2010-01-28,2827,2829,2802,2807
2010-01-29,2805,2815,2782,2788
2010-02-01,2765,2780,2716,2721
2010-02-02,2735,2739,2683,2698
2010-02-03,2730,2742,2710,2742
2010-02-04,2710,2729,2691,2718
2010-02-05,2702,2740,2693,2730
2010-02-08,2743,2759,2742,2756
2010-02-09,2756,2762,2742,2758
2010-02-10,2753,2760,2721,2742
2010-02-11,2772,2795,2762,2780
2010-02-12,2784,2787,2768,2776
2010-02-22,2810,2820,2792,2813
2010-02-23,2821,2878,2816,2868
2010-02-24,2850,2860,2847,2854
2010-02-25,2856,2864,2824,2832
2010-02-26,2828,2828,2807,2814
2010-03-01,2841,2857,2831,2851
2010-03-02,2851,2852,2818,2821
2010-03-03,2828,2840,2826,2831
2010-03-04,2825,2825,2777,2783
2010-03-05,2765,2779,2752,2777
2010-03-08,2779,2800,2774,2797
2010-03-09,2794,2804,2781,2794
2010-03-10,2788,2797,2784,2787
2010-03-11,2801,2809,2760,2784
2010-03-12,2756,2761,2738,2749
2010-03-15,2745,2754,2736,2749
2010-03-16,2760,2796,2755,2792
2010-03-17,2809,2810,2793,2798
2010-03-18,2802,2808,2782,2790
2010-03-19,2804,2843,2797,2833
2010-03-22,2829,2839,2821,2828
2010-03-23,2843,2847,2823,2827
2010-03-24,2826,2829,2806,2813
2010-03-25,2810,2830,2810,2824
2010-03-26,2806,2818,2796,2814
2010-03-29,2829,2838,2819,2832
2010-03-30,2840,2866,2835,2844
2010-03-31,2850,2860,2845,2849
2010-04-01,2801,2819,2801,2818
2010-04-02,2820,2831,2818,2830
2010-04-06,2819,2837,2817,2823
2010-04-07,2830,2842,2824,2840
2010-04-08,2840,2844,2824,2826
2010-04-09,2826,2832,2823,2829
2010-04-12,2840,2855,2838,2844
2010-04-13,2840,2858,2836,2856
2010-04-14,2868,2874,2860,2865
2010-04-15,2870,2870,2860,2864
2010-04-16,2881,2890,2873,2884
2010-04-19,2875,2882,2844,2858
2010-04-20,2870,2894,2869,2891
2010-04-21,2898,2899,2884,2885
2010-04-22,2897,2898,2886,2888
2010-04-23,2895,2920,2893,2918
2010-04-26,2925,2933,2920,2929
2010-04-27,2916,2919,2911,2917
2010-04-28,2897,2901,2880,2896
2010-04-29,2900,2905,2896,2900
2010-04-30,2905,2925,2889,2922
2010-05-04,2903,2908,2890,2898
2010-05-05,2891,2918,2886,2915
2010-05-06,2907,2911,2864,2870
2010-05-07,2839,2849,2820,2832
2010-05-10,2849,2879,2849,2876
2010-05-11,2872,2877,2857,2859
2010-05-12,2867,2898,2867,2889
2010-05-13,2888,2897,2880,2892
2010-05-14,2888,2891,2856,2862
2010-05-17,2848,2856,2800,2816
2010-05-18,2820,2846,2814,2833
2010-05-19,2814,2831,2803,2813
2010-05-20,2829,2840,2812,2817
2010-05-21,2816,2831,2788,2824
2010-05-24,2829,2841,2818,2830
2010-05-25,2814,2822,2796,2801
2010-05-26,2815,2817,2800,2812
2010-05-27,2814,2818,2802,2816
2010-05-28,2828,2830,2803,2806
2010-05-31,2790,2790,2773,2774
2010-06-01,2781,2784,2765,2770
2010-06-02,2768,2782,2761,2776
2010-06-03,2779,2787,2771,2783
2010-06-04,2804,2804,2791,2796
2010-06-07,2751,2754,2738,2749
2010-06-08,2751,2756,2746,2753
2010-06-09,2744,2750,2726,2743
2010-06-10,2752,2753,2740,2743
2010-06-11,2744,2744,2726,2730
2010-06-17,2766,2766,2749,2755
2010-06-18,2758,2779,2755,2772
2010-06-21,2791,2838,2788,2832
2010-06-22,2819,2830,2813,2826
2010-06-23,2810,2840,2806,2824
2010-06-24,2818,2829,2817,2818
2010-06-25,2808,2816,2801,2809
2010-06-28,2807,2817,2806,2807
2010-06-29,2813,2826,2788,2809
2010-06-30,2801,2806,2783,2790
2010-07-01,2784,2797,2781,2792
2010-07-02,2796,2815,2793,2810
2010-07-05,2811,2811,2799,2802
2010-07-06,2796,2812,2788,2808
2010-07-07,2806,2819,2801,2811
2010-07-08,2849,2852,2840,2844
2010-07-09,2858,2881,2854,2877
2010-07-12,2881,2890,2861,2865
2010-07-13,2870,2876,2858,2862
2010-07-14,2870,2872,2860,2869
2010-07-15,2871,2893,2867,2876
2010-07-16,2908,2926,2905,2924
2010-07-19,2922,2925,2911,2920
2010-07-20,2904,2909,2890,2903
2010-07-21,2905,2913,2893,2899
2010-07-22,2902,2906,2881,2896
2010-07-23,2897,2908,2887,2901
2010-07-26,2899,2926,2890,2918
2010-07-27,2898,2899,2862,2865
2010-07-28,2871,2894,2867,2889
2010-07-29,2910,2918,2895,2913
2010-07-30,2922,2951,2920,2944
2010-08-02,2973,3034,2973,3018
2010-08-03,3007,3012,2987,2996
2010-08-04,3006,3027,2990,3005
2010-08-05,3023,3033,2952,2962
2010-08-06,2977,3004,2952,2999
2010-08-09,3002,3057,2984,3031
2010-08-10,3008,3020,2989,2997
2010-08-11,2987,3022,2981,2989
2010-08-12,2986,3004,2969,2994
2010-08-13,3034,3046,3018,3043
2010-08-16,3043,3063,3034,3045
2010-08-17,3029,3035,3022,3034
2010-08-18,3058,3069,3012,3020
2010-08-19,3025,3031,2995,3013
2010-08-20,2988,2988,2959,2961
2010-08-23,2972,2981,2963,2977
2010-08-24,2968,2984,2958,2959
2010-08-25,2963,2967,2940,2943
2010-08-26,2953,2967,2950,2966
2010-08-27,2980,2993,2973,2992
2010-08-30,3014,3028,3007,3017
2010-08-31,2992,2992,2964,2966
2010-09-01,2973,2984,2960,2977
2010-09-02,2977,2982,2967,2976
2010-09-03,2979,3026,2977,3019
2010-09-06,3054,3058,3035,3049
2010-09-07,3057,3084,3040,3081
2010-09-08,3098,3101,3054,3061
