,open,high,low,close
2015-03-27,101870,102710,100650,101080
2015-03-30,99010,100000,96820,98430
2015-03-31,98000,98200,93840,95040
2015-04-01,93940,94130,91270,92500
2015-04-02,92870,96600,92550,96160
2015-04-03,96000,97800,95660,97300
2015-04-07,97500,97980,95950,96420
2015-04-08,94500,95630,93300,93950
2015-04-09,94450,95260,93880,94300
2015-04-10,94500,94970,93180,94540
2015-04-13,94280,95670,93700,95230
2015-04-14,94780,95070,92810,93100
2015-04-15,92700,95000,92640,94730
2015-04-16,94610,95900,94260,95400
2015-04-17,96280,96660,95010,95850
2015-04-20,95980,96550,95200,95410
2015-04-21,95330,96800,94900,95880
2015-04-22,95910,96720,95750,96330
2015-04-23,96120,96500,95600,95860
2015-04-24,95840,97900,95700,97830
2015-04-27,98000,101490,97990,101490
2015-04-28,102490,104530,101420,102650
2015-04-29,102350,104400,100500,101020
2015-04-30,101190,106980,101160,106010
2015-05-04,106010,108900,105450,107580
2015-05-05,107850,109230,106160,107960
2015-05-06,110000,113380,109690,113380
2015-05-07,114580,115300,111050,112500
2015-05-08,113700,114100,110000,112300
2015-05-11,111810,114430,111060,113880
2015-05-12,113300,115060,111270,111600
2015-05-13,112280,113650,110780,111750
2015-05-14,112100,112100,107060,109400
2015-05-15,108980,110960,108540,110210
2015-05-18,109390,109690,108200,108610
2015-05-19,108300,108890,106160,106430
2015-05-20,105500,105990,102340,102340
2015-05-21,100490,102550,100170,101070
2015-05-22,100960,103370,96710,100070
2015-05-25,98900,100580,98110,99480
2015-05-26,99670,101900,99660,100010
2015-05-27,99990,101180,99200,100670
2015-05-28,100420,102040,100400,101130
2015-05-29,100800,101330,97910,99260
2015-06-01,99160,99460,98020,98470
2015-06-02,98850,102160,98680,101940
2015-06-03,102040,102760,100700,100720
2015-06-04,100860,101600,99350,100190
2015-06-05,100310,101140,99720,100050
2015-06-08,100410,102260,99990,102230
2015-06-09,102510,103840,102320,102570
2015-06-10,103020,103430,102230,102990
2015-06-11,103510,103860,102960,103160
2015-06-12,103260,103300,99460,99730
2015-06-15,100060,100540,99060,99240
2015-06-16,99060,99710,97000,97360
2015-06-17,97660,98020,96360,96940
2015-06-18,97960,98470,97490,97960
2015-06-19,97680,97840,96100,96270
2015-06-23,95940,96990,95760,96710
2015-06-24,97170,98360,97010,98050
2015-06-25,97670,97880,96460,96510
2015-06-26,96420,96830,94680,95510
2015-06-29,95310,95340,91170,92020
2015-06-30,90540,91070,88990,88990
2015-07-01,88990,91640,88340,90020
2015-07-02,89660,91540,89230,91110
2015-07-03,91510,92330,89740,90900
2015-07-06,90760,91000,86920,87190
2015-07-07,87410,89020,85710,85880
2015-07-08,84060,84060,83290,83290
2015-07-09,76890,87710,76890,85260
2015-07-10,85760,86830,84610,86230
2015-07-13,85700,85830,82260,83910
2015-07-14,86170,87460,85340,86160
2015-07-15,86540,88780,85990,88630
2015-07-16,88510,88900,85290,87090
2015-07-17,86340,87420,86280,87260
2015-07-20,86460,87320,86110,86980
2015-07-21,87140,89610,86920,89530
2015-07-22,89330,89540,86190,86880
2015-07-23,86960,87280,85360,86070
2015-07-24,85850,86540,84560,85020
2015-07-27,84950,86610,84280,84310
2015-07-28,82960,85080,82810,84400
2015-07-29,84960,86430,84770,85990
2015-07-30,85250,86080,84160,84280
2015-07-31,83660,84660,83380,83440
2015-08-03,83860,84840,81820,82000
2015-08-04,82010,82880,81460,82760
2015-08-05,82960,83460,81950,82850
2015-08-06,83160,83300,82160,82440
2015-08-07,82360,82790,81590,82360
2015-08-10,82280,84150,81940,83860
2015-08-11,83850,85960,83640,84030
2015-08-12,82900,84500,81710,84350
2015-08-13,84360,85160,83410,84350
2015-08-14,83960,84290,83060,83230
2015-08-17,83730,84130,83160,83810
2015-08-18,83810,84180,82030,82060
2015-08-19,82020,82880,81550,82790
2015-08-20,82530,82780,80730,81580
2015-08-21,82480,82480,81230,81300
2015-08-24,80930,81030,77730,77730
2015-08-25,75130,77660,73980,74530
2015-08-26,76680,77160,75130,75290
2015-08-27,75230,77130,75030,77090
2015-08-28,77330,79830,77290,79540
2015-08-31,79130,80230,77720,77740
2015-09-01,77390,78300,76730,76740
2015-09-02,76930,77620,76490,77440
2015-09-07,77130,78130,77120,77930
2015-09-08,77800,77870,76230,77120
2015-09-09,78020,79800,77660,78720
2015-09-10,79140,79650,78050,79640
2015-09-11,80330,81150,79680,80340
2015-09-14,80030,80830,79160,79190
2015-09-15,78410,78990,77790,77890
2015-09-16,78250,80310,78200,79880
2015-09-17,79730,80260,79230,79520
2015-09-18,79040,79510,78740,78820
2015-09-21,78130,79120,77250,79040
2015-09-22,78720,78900,77870,78020
2015-09-23,77710,77910,76960,77670
2015-09-24,77870,78040,77230,77690
2015-09-25,77610,78780,77530,78030
2015-09-28,78230,78730,78150,78340
2015-09-29,78140,78350,76430,76470
2015-09-30,77190,78040,76880,78030
2015-10-08,79130,79460,78230,78380
2015-10-09,78440,80400,78290,80380
2015-10-12,81930,81930,79930,81240
2015-10-13,81300,81300,79750,80550
2015-10-14,80230,80810,79900,80200
2015-10-15,80330,81630,80130,81270
2015-10-16,81160,81830,80830,81320
2015-10-19,81210,81580,80040,80080
2015-10-20,80080,80220,78980,79250
2015-10-21,79380,79620,78830,79060
2015-10-22,79030,80530,78640,79590
2015-10-23,79890,80940,79520,80910
2015-10-26,80910,80910,79380,79520
2015-10-27,79650,80210,79200,80080
2015-10-28,80130,80510,79730,80090
2015-10-29,80010,80830,79580,80060
2015-10-30,79930,80280,78060,78080
2015-11-02,78030,78320,77390,77520
2015-11-03,77630,78180,77120,77260
2015-11-04,77130,77610,76650,77440
2015-11-05,77120,77900,75710,75750
2015-11-06,76730,76730,75490,75920
2015-11-09,75730,76130,74690,74920
2015-11-10,75030,75150,73360,74820
2015-11-11,74380,74610,73680,73860
2015-11-12,73930,74680,73480,74220
2015-11-13,73630,74570,73200,73860
2015-11-16,73760,74530,73630,74110
2015-11-17,74280,74280,71460,72170
2015-11-18,72380,72670,71040,71880
2015-11-19,71630,71950,70150,70700
2015-11-20,70530,70720,69430,69670
2015-11-23,69930,70130,65910,65910
2015-11-24,65110,66660,64240,65900
2015-11-25,65730,69180,65480,69180
2015-11-26,68830,73710,68290,71730
2015-11-27,71720,73090,69940,70300
2015-11-30,69690,70080,68610,70030
