,open,high,low,close
2011-03-25,18935,19135,18860,18950
2011-03-28,18900,19035,18500,18605
2011-03-29,18530,18735,18485,18675
2011-03-30,18800,18850,18695,18760
2011-03-31,18700,18705,18580,18665
2011-04-01,18780,18780,18570,18640
2011-04-06,18675,19360,18675,19220
2011-04-07,19200,19300,19035,19075
2011-04-08,19090,19250,19005,19175
2011-04-11,19250,19440,19145,19210
2011-04-12,19000,19125,18790,18800
2011-04-13,18610,18745,18540,18715
2011-04-14,18555,18690,18540,18580
2011-04-15,18605,18780,18505,18580
2011-04-18,18575,18650,18525,18580
2011-04-19,18300,18350,17950,17980
2011-04-20,18065,18180,18065,18165
2011-04-21,18300,18300,18140,18180
2011-04-22,18235,18235,17880,17975
2011-04-25,17980,18050,17760,17760
2011-04-26,17695,17695,17420,17645
2011-04-27,17620,17790,17420,17550
2011-04-28,17555,17850,17555,17755
2011-04-29,17665,17725,17530,17550
2011-05-03,17550,17650,17460,17530
2011-05-04,17590,17590,17440,17480
2011-05-05,17310,17310,16450,16715
2011-05-06,16220,16440,16190,16255
2011-05-09,16330,16640,16330,16620
2011-05-10,16505,16710,16465,16645
2011-05-11,16690,17200,16595,16675
2011-05-12,16450,16500,16220,16220
2011-05-13,16475,16740,16340,16705
2011-05-16,16575,16655,16460,16555
2011-05-17,16505,16610,16230,16570
2011-05-18,16735,16855,16620,16710
2011-05-19,17180,17180,16925,16945
2011-05-20,16995,16995,16850,16935
2011-05-23,17000,17075,16565,16610
2011-05-24,16605,16800,16525,16760
2011-05-25,16870,17095,16790,17090
2011-05-26,17050,17230,17050,17205
2011-05-27,17100,17340,17040,17315
2011-05-30,17230,17370,17030,17040
2011-05-31,17115,17180,16895,17095
2011-06-01,17085,17085,16910,16955
2011-06-02,16840,16900,16780,16880
2011-06-03,16710,16980,16675,16890
2011-06-07,16890,17165,16845,17030
2011-06-08,17100,17180,16865,17020
2011-06-09,17105,17130,16985,16985
2011-06-10,17080,17150,16990,17070
2011-06-13,16970,17025,16835,16940
2011-06-14,16965,16975,16820,16940
2011-06-15,17030,17070,16955,16980
2011-06-16,16835,16870,16680,16695
2011-06-17,16720,16780,16600,16620
2011-06-20,16550,16630,16455,16470
2011-06-21,16535,16890,16530,16850
2011-06-22,16800,16850,16685,16720
2011-06-23,16905,16910,16715,16855
2011-06-24,16875,17045,16860,17030
2011-06-27,16910,16965,16750,16770
2011-06-28,16850,16955,16820,16865
2011-06-29,16940,16980,16880,16975
2011-06-30,17100,17210,17050,17200
2011-07-01,17200,17235,17125,17160
2011-07-04,17205,17410,17205,17350
2011-07-05,17335,17430,17215,17220
2011-07-06,17280,17355,17250,17315
2011-07-07,17285,17385,17225,17320
2011-07-08,17415,17465,17300,17305
2011-07-11,17220,17305,17070,17170
2011-07-12,17080,17185,17070,17185
2011-07-13,17350,17700,17310,17695
2011-07-14,17550,17595,17480,17555
2011-07-15,17465,17530,17415,17435
2011-07-18,17485,17580,17455,17520
2011-07-19,17585,17740,17565,17735
2011-07-20,17740,17815,17610,17685
2011-07-21,17600,17650,17430,17445
2011-07-22,17485,17580,17485,17580
2011-07-25,17530,17535,17400,17410
2011-07-26,17410,17695,17410,17640
2011-07-27,17670,17835,17645,17770
2011-07-28,17700,17725,17580,17700
2011-07-29,17635,17780,17430,17540
2011-08-01,17570,17660,17530,17600
2011-08-02,17450,17535,17075,17190
2011-08-03,17085,17280,17055,17090
2011-08-04,17080,17095,16870,16920
2011-08-05,16560,16620,15960,16270
2011-08-08,15555,16175,15435,16150
2011-08-09,15395,16055,15100,15925
2011-08-10,16200,16505,15900,16380
2011-08-11,16460,16490,16300,16425
2011-08-12,16640,16655,16510,16560
2011-08-15,16560,16735,16560,16630
2011-08-16,16735,16735,16310,16350
2011-08-17,16355,16595,16355,16555
2011-08-18,16550,16665,16525,16570
2011-08-19,16320,16500,16310,16500
2011-08-22,16580,16630,16470,16470
2011-08-23,16450,16565,16430,16550
2011-08-24,16690,16690,16550,16590
2011-08-25,16625,16715,16585,16680
2011-08-26,16755,16780,16620,16660
2011-08-29,16795,16835,16720,16760
2011-08-30,16810,16895,16725,16805
2011-08-31,16840,16885,16785,16855
2011-09-01,16845,16890,16680,16685
2011-09-02,16685,16715,16460,16535
2011-09-05,16460,16620,16405,16455
2011-09-06,16415,16430,16260,16345
2011-09-07,16420,16565,16380,16560
2011-09-08,16585,16605,16485,16510
2011-09-09,16520,16590,16455,16500
2011-09-13,16500,16500,16300,16320
2011-09-14,16325,16465,16180,16250
2011-09-15,16245,16270,16145,16175
2011-09-16,16240,16260,16185,16250
2011-09-19,16120,16120,15660,15705
2011-09-20,15475,15780,15475,15650
2011-09-21,15615,15715,15500,15700
2011-09-22,15415,15415,14745,14970
2011-09-23,14535,14535,14195,14195
2011-09-26,13760,14000,13320,13355
2011-09-27,13930,14270,13930,14110
2011-09-28,14355,14410,13975,14230
2011-09-29,13620,14085,13315,14085
2011-09-30,14040,14605,14040,14605
2011-10-10,14340,14620,14340,14465
2011-10-11,14675,14710,14450,14495
2011-10-12,14455,14660,14325,14625
2011-10-13,14675,14770,14580,14635
2011-10-14,14625,14825,14625,14810
2011-10-17,14815,14880,14690,14765
2011-10-18,14460,14515,14130,14145
2011-10-19,14375,14375,14085,14185
2011-10-20,13425,13725,13415,13565
2011-10-21,13565,14315,13480,13950
2011-10-24,14355,14740,14265,14740
2011-10-25,14965,15365,14575,14810
2011-10-26,14590,14910,14475,14730
2011-10-27,14795,14865,14665,14820
2011-10-28,15295,15440,15075,15150
2011-10-31,15280,15280,14900,15060
2011-11-01,15165,15165,14990,15030
2011-11-02,14730,15055,14730,15000
2011-11-03,14945,14975,14795,14830
2011-11-04,14930,15250,14930,15195
2011-11-07,15195,15195,15065,15120
2011-11-08,15130,15165,15015,15050
2011-11-09,15165,15225,15100,15140
2011-11-10,14915,14965,14320,14385
2011-11-11,14720,14740,14325,14625
2011-11-14,14915,15335,14915,15235
2011-11-15,15170,15205,15030,15040
2011-11-16,15120,15150,14955,14980
2011-11-17,15045,15170,14920,15145
2011-11-18,14650,15030,14650,14980
2011-11-21,15000,15150,15000,15100
2011-11-22,14955,15100,14925,15100
2011-11-23,15195,15200,14985,14990
2011-11-24,14990,15055,14685,14940
2011-11-25,14930,14945,14750,14900
2011-11-28,15020,15250,15020,15170
2011-11-29,15200,15240,15105,15170
2011-11-30,15145,15195,15020,15065
2011-12-01,15935,15935,15480,15510
2011-12-02,15465,15465,15400,15445
2011-12-05,15460,15460,15350,15390
2011-12-06,15350,15365,15260,15345
2011-12-07,15500,15545,15400,15545
2011-12-08,15465,15515,15410,15480
2011-12-09,15290,15430,15285,15390
2011-12-12,15465,15465,15340,15410
2011-12-13,15265,15325,15250,15270
2011-12-14,15240,15240,15005,15070
2011-12-15,14890,14900,14665,14805
2011-12-16,14890,15050,14890,15050
2011-12-19,14950,14950,14830,14830
2011-12-20,14830,14850,14750,14830
2011-12-21,14910,14975,14890,14900
2011-12-22,14850,14930,14825,14910
2011-12-23,15030,15070,14930,15070
2011-12-26,15035,15035,14825,14825
2011-12-27,14780,14950,14755,14895
2011-12-28,14885,14945,14865,14920
2011-12-29,14740,14850,14640,14825
2011-12-30,14970,15020,14910,15015
2012-01-04,15135,15220,15015,15040
2012-01-05,15000,15135,15000,15100
2012-01-06,14955,15030,14880,15005
2012-01-09,14840,14970,14830,14905
2012-01-10,14925,15055,14850,15000
2012-01-11,15075,15110,14950,15060
2012-01-12,14990,15145,14945,15125
2012-01-13,15180,15215,15095,15215
2012-01-16,15075,15220,14990,15145
2012-01-17,15205,15425,15160,15355
2012-01-18,15390,15550,15390,15475
2012-01-19,15610,15725,15585,15725
2012-01-20,15735,15950,15615,15845
2012-01-30,16165,16165,15825,15845
2012-01-31,15835,15925,15785,15885
2012-02-01,15825,15855,15685,15720
2012-02-02,15855,15865,15750,15850
2012-02-03,15715,15895,15665,15870
2012-02-06,15990,16025,15950,15970
2012-02-07,15915,15925,15765,15775
2012-02-08,15785,15975,15785,15965
2012-02-09,15835,15930,15805,15805
2012-02-10,15950,15950,15770,15795
2012-02-13,15765,15825,15645,15740
2012-02-14,15680,15900,15545,15545
2012-02-15,15570,15645,15555,15585
2012-02-16,15510,15510,15225,15290
